"Geolocation","Fertilizer Grade","2004 January","2004 February","2004 March","2004 April","2004 May","2004 June","2004 July","2004 August","2004 September","2004 October","2004 November","2004 December","2004 Annual"
"PHILIPPINES","Ammophos (16-20-0)",524.24,540.53,548.86,576.05,617.43,640.83,658.06,673.70,681.56,683.07,684.91,689.87,626.59
"PHILIPPINES","Ammosul (21-0-0)",404.32,430.28,438.21,444.31,457.91,471.20,493.87,526.29,528.30,529.91,533.08,532.45,482.51
"PHILIPPINES","Complete (14-14-14)",542.45,562.64,580.25,607.79,649.98,670.01,683.04,696.52,707.60,708.92,711.70,715.98,653.07
"PHILIPPINES","Urea (45-0-0)",626.85,640.12,650.97,656.43,663.64,665.16,697.02,780.12,803.10,836.07,854.31,864.85,728.22
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",523.50,546.81,564.17,583.33,606.33,635.75,659.00,673.54,680.21,677.50,676.81,680.00,626.11
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",372.73,409.75,416.25,426.95,442.08,454.58,474.40,488.00,522.94,540.40,551.53,550.63,475.75
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",547.59,581.03,585.00,606.50,637.00,653.92,683.68,686.42,697.96,698.50,704.33,713.01,649.89
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",613.10,628.98,630.75,638.25,649.88,657.08,680.62,753.67,795.63,815.03,842.79,880.13,715.41
"....Abra","Ammophos (16-20-0)",512.00,550.00,550.00,550.00,570.00,650.00,654.00,660.00,670.00,670.00,670.00,670.00,614.67
"....Abra","Ammosul (21-0-0)",367.00,425.00,427.50,430.00,434.00,460.00,460.00,460.00,505.00,506.00,510.00,510.00,457.88
"....Abra","Complete (14-14-14)",520.00,570.00,565.00,560.00,579.00,655.00,667.00,670.00,671.25,675.00,680.00,680.00,624.35
"....Abra","Urea (45-0-0)",620.00,650.00,640.00,642.50,648.00,660.00,660.00,660.00,815.00,832.00,865.00,900.00,716.04
"....Apayao","Ammophos (16-20-0)",550.00,540.00,..,..,..,580.00,..,675.00,677.50,675.00,678.75,682.50,632.34
"....Apayao","Ammosul (21-0-0)",..,..,..,..,..,430.00,..,..,675.00,..,..,680.00,595.00
"....Apayao","Complete (14-14-14)",550.00,555.00,..,..,..,560.00,..,677.50,676.67,675.00,673.75,690.00,632.24
"....Apayao","Urea (45-0-0)",545.00,550.00,..,..,..,640.00,..,815.00,820.00,824.00,885.00,920.00,749.88
"....Benguet","Ammophos (16-20-0)",533.75,580.00,580.00,..,640.00,640.00,656.00,..,..,670.00,670.00,677.50,627.47
"....Benguet","Ammosul (21-0-0)",362.50,380.00,385.00,395.00,456.00,480.00,494.00,500.00,505.00,520.00,522.50,520.00,460.00
"....Benguet","Complete (14-14-14)",551.25,580.00,575.00,605.00,670.00,680.00,694.00,666.25,673.75,680.00,685.00,692.50,646.06
"....Benguet","Urea (45-0-0)",617.50,640.00,640.00,640.00,646.00,650.00,696.00,795.00,800.00,824.00,847.50,870.00,722.17
"....Ifugao","Ammophos (16-20-0)",535.00,525.00,575.00,600.00,610.00,657.50,668.00,700.00,700.00,704.00,700.00,700.00,639.54
"....Ifugao","Ammosul (21-0-0)",390.00,400.00,400.00,422.50,432.00,460.00,470.00,480.00,550.00,610.00,637.50,625.00,489.75
"....Ifugao","Complete (14-14-14)",565.00,600.00,600.00,620.00,644.00,702.50,702.00,728.75,745.00,748.00,758.75,765.00,681.58
"....Ifugao","Urea (45-0-0)",605.00,630.00,620.00,635.00,653.00,680.00,682.50,790.00,810.00,832.00,857.50,860.00,721.25
"....Kalinga","Ammophos (16-20-0)",522.00,535.00,555.00,600.00,628.00,651.25,658.00,660.00,670.00,662.00,660.00,..,618.30
"....Kalinga","Ammosul (21-0-0)",342.00,420.00,438.75,450.00,450.00,457.50,464.00,480.00,500.00,540.00,550.00,..,462.93
"....Kalinga","Complete (14-14-14)",532.00,545.00,562.50,610.00,638.00,665.00,670.00,673.75,700.00,684.00,680.00,..,632.75
"....Kalinga","Urea (45-0-0)",622.00,630.00,636.25,640.00,650.00,652.50,680.00,795.00,810.00,836.00,840.00,..,708.34
"....Mountain Province","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Ammosul (21-0-0)",416.00,423.75,430.00,437.25,438.40,440.00,484.00,520.00,519.00,526.00,535.75,557.50,477.30
"....Mountain Province","Complete (14-14-14)",580.60,615.75,622.50,636.25,654.00,661.00,685.40,700.00,716.75,729.00,740.00,759.00,675.02
"....Mountain Province","Urea (45-0-0)",612.00,612.00,617.50,633.75,652.40,660.00,684.60,702.50,718.75,742.20,757.75,835.00,685.70
