"Geolocation","Fertilizer Grade","2009 January","2009 February","2009 March","2009 April","2009 May","2009 June","2009 July","2009 August","2009 September","2009 October","2009 November","2009 December","2009 Annual"
"PHILIPPINES","Ammophos (16-20-0)",1393.36,1232.89,1196.93,1180.75,1153.96,1116.42,1070.31,1039.67,1009.78,991.22,972.00,975.70,1111.08
"PHILIPPINES","Ammosul (21-0-0)",770.77,673.28,665.17,653.48,640.11,613.18,582.39,558.61,538.82,526.90,509.45,521.01,604.43
"PHILIPPINES","Complete (14-14-14)",1477.46,1329.63,1284.34,1262.07,1243.50,1220.71,1178.35,1151.49,1130.30,1114.81,1100.35,1105.42,1216.54
"PHILIPPINES","Urea (45-0-0)",1273.72,1137.39,1101.90,1081.33,1058.92,1023.96,967.70,937.91,919.85,911.48,902.10,956.05,1022.69
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",1404.00,1341.00,1298.50,1296.50,1220.80,1173.50,1141.20,1091.00,1075.50,1073.60,1013.90,1004.20,1177.81
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",859.60,800.00,762.00,788.25,706.80,685.50,622.00,596.25,580.50,569.60,499.50,492.00,663.50
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",1526.67,1437.92,1333.75,1337.08,1257.00,1242.92,1169.33,1127.08,1118.75,1121.67,1094.08,1066.42,1236.06
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",1325.17,1241.67,1127.08,1126.25,1038.67,1005.42,941.33,915.83,908.75,929.17,883.33,912.92,1029.63
"....Abra","Ammophos (16-20-0)",1300.00,1200.00,1100.00,1100.00,1100.00,1047.50,966.00,897.50,890.00,882.00,850.00,850.00,1015.25
"....Abra","Ammosul (21-0-0)",640.00,532.50,500.00,500.00,500.00,500.00,500.00,466.25,440.00,436.00,420.00,450.00,490.40
"....Abra","Complete (14-14-14)",1370.00,1290.00,1200.00,1200.00,1200.00,1147.50,1106.00,1045.00,1030.00,1024.00,1000.00,1030.00,1136.88
"....Abra","Urea (45-0-0)",1066.00,950.00,930.00,930.00,930.00,877.50,828.00,807.50,800.00,796.00,780.00,950.00,887.08
"....Apayao","Ammophos (16-20-0)",1196.00,1122.50,1040.00,1040.00,1032.00,962.50,950.00,950.00,925.00,900.00,937.50,950.00,1000.46
