"Geolocation","Fertilizer Grade","1996 January","1996 February","1996 March","1996 April","1996 May","1996 June","1996 July","1996 August","1996 September","1996 October","1996 November","1996 December","1996 Annual"
"....Ilocos Norte","Urea (45-0-0)",375.00,375.00,373.00,366.00,365.00,368.00,370.00,365.00,365.00,365.00,365.00,359.00,367.58
"....Ilocos Sur","Ammophos (16-20-0)",318.00,325.00,325.00,333.00,325.00,325.00,325.00,328.00,330.00,330.00,330.00,330.00,327.00
"....Ilocos Sur","Ammosul (21-0-0)",210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00
"....Ilocos Sur","Complete (14-14-14)",325.00,330.00,330.00,330.00,330.00,330.00,330.00,331.00,335.00,335.00,334.00,335.00,331.25
"....Ilocos Sur","Urea (45-0-0)",370.00,370.00,370.00,370.00,370.00,370.00,370.00,370.00,370.00,360.00,360.00,360.00,367.50
"....La Union","Ammophos (16-20-0)",313.00,316.00,325.00,325.00,325.00,325.00,326.00,334.00,330.00,330.00,330.00,330.00,325.75
"....La Union","Ammosul (21-0-0)",215.00,219.00,219.00,215.00,215.00,220.00,220.00,220.00,220.00,220.00,211.00,215.00,217.42
"....La Union","Complete (14-14-14)",315.00,323.00,328.00,325.00,330.00,331.00,330.00,330.00,330.00,330.00,329.00,330.00,327.58
"....La Union","Urea (45-0-0)",375.00,376.00,375.00,375.00,375.00,380.00,380.00,380.00,380.00,380.00,368.00,360.00,375.33
"....Pangasinan","Ammophos (16-20-0)",315.00,314.00,310.00,308.00,310.00,308.00,..,310.00,310.00,308.00,310.00,310.00,310.27
"....Pangasinan","Ammosul (21-0-0)",212.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,200.00,209.33
"....Pangasinan","Complete (14-14-14)",321.00,319.00,315.00,315.00,315.00,320.00,328.00,330.00,330.00,326.00,323.00,321.00,321.92
"....Pangasinan","Urea (45-0-0)",375.00,370.00,370.00,370.00,370.00,369.00,370.00,370.00,370.00,368.00,360.00,360.00,368.50
"..REGION II (CAGAYAN VALLEY)","Ammophos (16-20-0)",327.25,329.50,322.25,326.25,330.00,333.00,337.00,335.25,331.56,335.00,337.25,337.50,331.82
"..REGION II (CAGAYAN VALLEY)","Ammosul (21-0-0)",218.25,219.25,220.25,216.50,215.00,219.50,222.00,223.75,220.94,218.75,222.75,221.50,219.87
"..REGION II (CAGAYAN VALLEY)","Complete (14-14-14)",332.25,333.50,329.00,331.00,330.00,338.00,343.50,343.50,340.00,339.25,337.75,338.50,336.35
"..REGION II (CAGAYAN VALLEY)","Urea (45-0-0)",389.75,386.75,373.25,373.25,383.75,385.50,386.00,380.50,379.25,379.75,378.50,371.00,380.60
"....Cagayan","Ammophos (16-20-0)",330.00,340.00,319.00,315.00,315.00,339.00,346.00,346.00,335.00,336.00,342.00,345.00,334.00
"....Cagayan","Ammosul (21-0-0)",220.00,220.00,227.00,225.00,225.00,250.00,238.00,250.00,230.00,229.00,240.00,240.00,232.83
"....Cagayan","Complete (14-14-14)",336.00,346.00,328.00,330.00,325.00,346.00,353.00,353.00,350.00,349.00,338.00,344.00,341.50
"....Cagayan","Urea (45-0-0)",378.00,374.00,335.00,325.00,375.00,376.00,380.00,387.00,371.00,369.00,383.00,379.00,369.33
"....Isabela","Ammophos (16-20-0)",332.00,328.00,322.00,325.00,330.00,332.00,335.00,329.00,321.25,325.00,327.00,335.00,328.44
"....Isabela","Ammosul (21-0-0)",225.00,223.00,215.00,204.00,195.00,196.00,210.00,211.00,211.25,216.00,208.00,211.00,210.44
"....Isabela","Complete (14-14-14)",339.00,333.00,327.00,329.00,330.00,332.00,340.00,338.00,325.00,323.00,330.00,335.00,331.75
"....Isabela","Urea (45-0-0)",394.00,389.00,376.00,376.00,380.00,382.00,385.00,379.00,381.00,385.00,378.00,385.00,382.50
"....Nueva Vizcaya","Ammophos (16-20-0)",314.00,315.00,313.00,315.00,320.00,324.00,325.00,325.00,330.00,335.00,335.00,325.00,323.00
"....Nueva Vizcaya","Ammosul (21-0-0)",208.00,209.00,209.00,212.00,220.00,212.00,215.00,212.00,220.00,210.00,220.00,210.00,213.08
"....Nueva Vizcaya","Complete (14-14-14)",316.00,315.00,315.00,319.00,330.00,324.00,330.00,333.00,335.00,335.00,335.00,325.00,326.00
"....Nueva Vizcaya","Urea (45-0-0)",371.00,364.00,362.00,372.00,360.00,364.00,365.00,365.00,365.00,365.00,365.00,345.00,363.58
"....Quirino","Ammophos (16-20-0)",333.00,335.00,335.00,350.00,355.00,337.00,342.00,341.00,340.00,344.00,345.00,345.00,341.83
"....Quirino","Ammosul (21-0-0)",220.00,225.00,230.00,225.00,220.00,220.00,225.00,222.00,222.50,220.00,223.00,225.00,223.13
"....Quirino","Complete (14-14-14)",338.00,340.00,346.00,346.00,335.00,350.00,351.00,350.00,350.00,350.00,348.00,350.00,346.17
"....Quirino","Urea (45-0-0)",416.00,420.00,420.00,420.00,420.00,420.00,414.00,391.00,400.00,400.00,388.00,375.00,407.00
"..REGION III (CENTRAL LUZON)","Ammophos (16-20-0)",327.00,330.57,331.43,332.43,331.86,331.86,331.14,331.43,332.24,333.29,333.43,332.14,331.57
"..REGION III (CENTRAL LUZON)","Ammosul (21-0-0)",236.14,238.86,242.43,239.29,254.43,240.43,255.14,241.71,243.14,241.43,237.14,234.00,242.01
