Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Trade Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levels (in million pesos, current)",-8582.9,6653.6,26985.9,31703.4,6213.6,-54716.8,-37559.6,-18144.5,-7954.2,-48988.6,-54453.0,-55380.5,-61135.8,-44004.2,-7096.2,-27628.3,-53408.4,-59543.6,-34930.6,-36942.3,-36697.7,-41754.9,-16588.4,13051.4,19626.3,27131.5,24460.1,36233.8,79748.8,38876.2,39257.2,13680.2,-11360.4,-22318.0,-32341.8,-11857.8,10896.4,-30433.6,18907.4,-36920.7,8223.1,-12542.4,49961.2,-78974.2,-70517.0,-8784.1,-62654.6,-120281.7,-60274.0,-58851.6,-79225.9,-123274.8,-66761.8,-41851.6,-156593.5,-152941.6,-113798.9,-6397.4,-125166.5,-119035.1,-132467.7,-43976.2,-235282.5,-247201.7,-287777.5,-273566.3,-345111.0,-369213.8,-414250.3,-334606.3,-325463.8,-426339.3,-458989.8,-567326.0,-549941.7,-567379.4,-614686.2,-520833.5,-621330.6,-600127.3,-445029.5,-244731.8,-389900.6,-314077.0,-432784.6,-606709.6,-648569.7,-637432.5,-743622.1,-1027764.5,-1046698.5,-630415.3,-872219.1,-903393.7,-897116.7,-753577.3
"Share to GDP (in percent, current)",-1.0,0.7,3.0,3.1,0.7,-5.5,-3.8,-1.6,-0.8,-4.6,-5.1,-4.6,-5.6,-3.8,-0.6,-2.1,-4.4,-4.6,-2.7,-2.5,-2.7,-2.9,-1.1,0.8,1.3,1.7,1.5,2.0,4.8,2.2,2.3,0.7,-0.6,-1.1,-1.6,-0.5,0.6,-1.5,0.9,-1.6,0.4,-0.5,2.2,-3.0,-3.0,-0.3,-2.6,-4.3,-2.4,-2.1,-3.0,-4.0,-2.4,-1.4,-5.4,-4.5,-3.7,-0.2,-3.9,-3.2,-4.1,-1.3,-7.1,-6.3,-8.4,-7.2,-9.5,-8.7,-11.1,-8.1,-8.1,-9.2,-11.2,-12.4,-12.4,-11.0,-13.9,-10.7,-13.1,-10.9,-10.0,-5.9,-9.3,-6.1,-9.9,-12.7,-14.1,-11.3,-15.1,-19.0,-19.9,-9.8,-15.5,-15.3,-15.6,-10.7
"Net Merchandise Export (in million pesos, current)",18440.4,27168.0,39779.0,66905.5,22956.5,-47499.7,-25042.2,14344.1,6159.4,-40705.2,-31277.8,-40070.8,-34704.1,-48135.9,-5151.0,4774.3,-44424.0,-54517.7,-18136.3,-11476.9,-42907.6,-91344.2,-84223.9,-37986.1,-41577.9,-64880.5,-52493.7,-19517.3,11626.3,-49829.4,-58573.7,-49467.3,-59049.6,-85633.1,-86388.7,-5359.1,-65137.0,-104314.9,-51590.4,-49838.0,-113388.6,-145078.2,-30262.7,-118949.4,-213330.7,-138720.1,-118417.3,-168584.6,-148618.6,-153641.4,-129912.7,-182191.1,-180473.3,-206963.1,-181699.3,-185084.3,-260359.2,-166324.1,-203815.1,-147974.7,-329150.8,-257501.8,-330546.1,-292684.5,-499654.9,-517315.9,-451096.7,-443096.2,-640473.6,-638336.0,-532909.2,-531763.1,-779966.9,-932825.7,-773489.3,-665762.9,-948886.4,-921340.1,-863536.9,-669458.3,-764924.2,-482038.1,-526923.1,-464246.1,-771220.1,-956905.8,-845349.9,-805382.1,-1119317.3,-1429534.2,-1291619.9,-785129.4,-1319974.5,-1282888.3,-1114998.9,-886011.7
