"Gross Regional Domestic Product, by Region"

"Region","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022"
"..National Capital Region (NCR)",1237450701,1349240704,1435447457,1545711905,1743576537,1954778997,2176864045,2399583921,2655351616,2754035852,3053160348,3237138656,3553088571,3890702252,4215201150,4532443704,4928222539,5327124065,5814440130,6294194685,5800819179,6157504618,6888962938
"..Cordillera Administrative Region (CAR)",90446009,95301368,104838201,113075065,126064714,133005766,145857673,153956921,165532965,172017163,189766817,200486679,201836502,219989238,237096008,243673958,255584787,280805810,308267122,322106088,295502542,323883881,365945436
"..Region I (Ilocos Region)",128944988,137048662,147243617,157948520,178137944,198599341,218353822,235792743,265782293,278946712,312628376,334384268,356651167,393993447,430678687,449373363,490900560,527801491,587597251,630300658,597917300,644125310,729474685
"..Region II (Cagayan Valley)",85937981,93104321,96648982,99116555,117674721,121542578,139253836,154237291,174606287,184247388,192880304,213085202,234724620,268304482,304061090,303113509,323458416,358686602,385061271,399370781,367331248,400003438,455743088
"..Region III (Central Luzon)",368786804,406500228,452337803,494424474,548718978,610192972,668848239,721803908,832147448,854442889,979287700,1096258667,1206580595,1306617621,1461916690,1511232438,1640708336,1860323671,2062393875,2184815143,1864111182,2062335867,2367265679
"..Region IV-A (CALABARZON)",601691426,671228264,713061159,788436127,881529587,987614867,1093698856,1194749373,1286125893,1283795207,1486403920,1582459854,1721867470,1847878662,2006907506,2076801161,2206254090,2423069480,2706994745,2865792547,2565120461,2785990792,3140807481
"..MIMAROPA Region",66182382,71908260,83490454,95423489,103521732,121806090,131197013,148513117,174989809,184665344,191713018,212158911,231318002,242953220,276139956,274605684,287300274,321948705,370744808,375589553,342643478,382709950,453006892
"..Region V (Bicol Region)",96854451,105014935,113543367,120066693,135875452,148022711,158101543,178100846,203567999,223520298,246110918,266892594,298247874,332295863,366663555,395256951,431762419,465966050,522014835,560835429,516847516,564637176,645753789
"..Region VI (Western Visayas)",180855163,190527313,206272535,220844486,244363281,270572999,299925476,329317934,375511999,407178512,433178888,477427428,527279962,566792962,615916323,667996261,720566797,791281769,860107768,919163055,850797186,937010126,1133925246
"..Region VII (Central Visayas)",201368028,221348981,236861695,251698543,286487926,321657954,354599746,394422136,442118144,465442221,539482115,592227842,674544563,746139449,829547258,889023020,977480106,1067272679,1180945761,1270612311,1170115820,1237764942,1406272534
"..Region VIII (Eastern Visayas)",103764213,111662287,118558368,126148913,147430426,164052811,183249360,187305762,225450370,241850136,254164654,272677861,265041353,292195740,305697115,324929357,376587299,397386688,444384029,455533643,414265871,450146977,512903347
"..Region IX (Zamboanga Peninsula)",71512156,76332913,81220537,86783931,96967352,110091946,124161636,140783508,162968224,178223978,195081265,210255381,236734323,253224354,276633110,300939935,322282583,344667607,379428020,399109397,394821669,428106861,490297996
"..Region X (Northern Mindanao)",122602899,136862102,158949261,177471012,204146137,224201372,248747368,278501999,322020334,346382742,394980142,436363852,472652726,509881162,569991317,609017243,679435851,737898187,821122015,885223985,860415357,948892065,1070688541
"..Region XI (Davao Region)",152937206,162157754,177461785,194422080,221493390,240651281,260394849,289561841,328336322,358638649,403461237,437559437,454315711,495294298,555456044,602911849,674076172,748538551,841429225,922613763,890607548,967140487,1095713673
"..Region XII (SOCCSKSARGEN)",90192440,95184436,109032491,120147954,139197728,146556546,162095898,185204666,211332780,220826218,252178036,277035863,291093120,324370805,352653227,354753546,381711706,420127877,454304549,474892618,467334771,503888631,564216855
"..Region XIII (Caraga)",52357709,56225051,62421224,68343455,77441587,84420023,95817471,111530938,119394512,125030284,143337552,156504793,180393968,194874139,223865240,235177755,251476878,273088164,290561794,302930146,292574562,331856215,376765344
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)",45671649,44751362,53170834,57745738,71276682,79514046,89250281,94877985,104963626,111177863,131635468,141744037,154218301,165084288,178403975,172907713,184572658,210663685,235393060,254779370,260347879,284617149,326771477
"Philippines",3697556205,4024398940,4350559772,4717808940,5323904177,5917282301,6550417113,7198244888,8050200621,8390421456,9399450758,10144661327,11060588831,12050591984,13206828252,13944157448,15132381470,16556651083,18265190258,19517863172,17951573570,19410614486,22024515001
