Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Inflow of compensation,,,,,,,,,,,,,,,,,,,,,,,,
Pesos (at current prices),434846.9,519114.4,584827.3,610956.0,673496.6,768737.9,825831.0,848995.1,949362.9,1209347.5,1286821.7,1331057.8,1518865.6,1707937.4,1855468.0,1914104.7,1983722.4,2143019.4,2326517.7,2430628.4,1740559.0,941740.5,1469235.1,2879901.4
US $,9844.1,10185.4,11319.2,11275.0,12018.1,13953.4,16101.1,18417.4,21300.6,25391.9,28528.1,30733.8,35998.7,40448.0,41805.6,42075.9,41772.6,42518.6,44181.7,46947.2,34915.4,19073.3,26887.9,51709.9
Growth Rates (pesos),,,,,,,,,,,,,,,,,,8.0,8.6,4.5,-28.4,-45.9,56.0,96.0
Growth Rates (US $),,,,,,,,,,,,,,,,,,1.8,3.9,6.3,-25.6,-45.4,41.0,92.3
"Share to GNI (in percent, current)",10.7,11.8,12.3,11.8,11.6,11.8,11.5,10.8,10.8,12.9,12.3,11.8,12.4,12.7,12.6,12.3,11.8,11.7,11.5,11.3,9.0,4.7,6.3,10.7
"Share to GDP (in percent, current)",11.8,12.9,13.4,12.9,12.7,13.0,12.6,11.8,11.8,14.4,13.7,13.1,13.7,14.2,14.0,13.7,13.1,12.9,12.7,12.5,9.7,4.9,6.7,11.8
