Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Debt to GDP,,,,,,,,,,,,,,,,,,,,,,,,
National Government Debt Service (in million pesos),227843.0,274439.0,357959.0,469990.0,451796.0,657394.0,839992.0,610140.0,564019.0,779303.0,939222.0,930569.0,599242.0,698521.6,755547.0,797259.0,789965.0,680466.4,725589.0,842449.0,962466.2,1204069.0,1293181.0,1603611.0
Ratio (in percent, current)",6.2,6.8,8.2,10.0,8.5,11.1,12.8,8.5,7.0,9.3,10.0,9.2,5.4,5.8,5.7,5.7,5.2,4.1,4.0,4.3,5.4,6.2,5.9,6.6
