Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
..National Capital Region (NCR),124217,132888,138760,146700,162509,178986,195867,212226,230893,235516,256845,267954,289444,312009,332838,352467,377155,401598,432181,461671,420207,440885,487933
..Cordillera Administrative Region (CAR),66055,68201,73581,77899,85310,88486,95465,99205,105076,107641,117134,122141,121430,130777,139346,141660,146940,159756,173651,179759,163465,177693,199224
..Region I (Ilocos Region),30635,32133,34079,36094,40199,44268,48086,51312,57163,59308,65720,69514,73332,80140,86675,89496,96707,102915,113471,120613,113439,121231,136270
..Region II (Cagayan Valley),30478,32544,33302,33672,39420,40156,45383,49592,55394,57685,59604,65003,70692,79789,89298,87924,92584,101390,107568,110333,100426,108294,122264
..Region III (Central Luzon),44790,48278,52549,56201,61042,66456,71334,75406,85170,85705,96288,105686,114072,121174,133020,134943,143451,159443,173452,180481,151385,164804,186304
..Region IV-A (CALABARZON),64234,69288,71236,76293,82683,89865,96613,102528,107282,104163,117379,121691,129004,134961,142957,144351,149661,160625,175563,182040,159748,170281,188581
..MIMAROPA Region,28701,30571,34816,39051,41596,48078,50895,56647,65652,68178,69680,75941,81570,84434,94612,92788,95562,105511,119813,119786,107924,119142,139486
..Region V (Bicol Region),20616,22004,23427,24401,27205,29208,30752,34157,38502,41704,45308,48490,53486,58837,64112,68262,73610,78481,86916,92373,84262,91175,103340
..Region VI (Western Visayas),29053,30157,32180,33970,37071,40497,44303,48022,54072,57914,60875,66308,72392,76945,82697,88727,94682,102914,110783,117302,107629,117559,141158
..Region VII (Central Visayas),35182,37964,39889,41630,46546,51350,55634,60830,67038,69402,79123,85449,95761,104244,114079,120360,130130,139860,152478,161787,147054,153669,172611
..Region VIII (Eastern Visayas),28680,30523,32038,33686,38886,42726,47108,47511,56407,59668,61815,65357,62588,67965,70023,73279,83761,87192,96204,97322,87355,93707,105424
..Region IX (Zamboanga Peninsula),25179,26262,27338,28610,31341,34924,38696,43145,49153,52950,57138,60758,67543,71386,77109,82999,88047,93325,101872,106305,104374,112378,127855
..Region X (Northern Mindanao),34854,38023,43184,47183,53141,57179,62190,68293,77486,81832,91659,99512,105965,112432,123669,130066,142868,152911,167832,178607,171498,186990,208753
..Region XI (Davao Region),41467,43053,46153,49549,55331,58951,62570,68273,75982,81486,90029,95917,97856,104857,115610,123401,135702,148272,164042,177082,168329,180059,200995
..Region XII (SOCCSKSARGEN),30261,31162,34856,37532,42514,43794,47419,53069,59345,60804,68120,73450,75779,82953,88632,87659,92642,100269,106737,109949,106725,113617,125727
..Region XIII (Caraga),24926,26337,28780,31027,34626,37190,41601,47738,50393,52055,58881,63449,72193,77006,87369,90671,95710,102656,107932,111248,106271,119278,134060
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),14902,14453,16961,18157,22048,24153,26576,27650,29891,30896,35651,37369,39533,41111,43123,40537,42391,47404,51898,55039,55107,59036,66423
Philippines,48194,51415,54496,57959,64161,69977,76035,82032,90088,92229,101510,107662,115371,123575,133172,138289,147590,158940,172712,181920,165039,176142,197401
