Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
GDP to Total Employment,,,,,,,,,,,,,,,,,,,,,,,,
"Levels (in pesos, constant)",,,,,,,,,,,,,,,,,,,,,,,,
"Total (in pesos, constant)",254453.4,246915.3,248349.9,256160.3,264480.2,271547.9,280349.3,293259.0,301293.8,297197.6,310282.2,312314.6,330035.0,349570.1,369208.4,382366.6,391793.0,425843.7,443798.1,462176.2,445373.4,421477.7,425400.6,436893.9
"Agriculture, Forestry and Fishing (in pesos, constant)",104511.5,101854.1,102969.1,106889.0,110461.7,111888.7,115192.1,121635.4,123231.1,122919.4,125277.2,126403.2,132049.1,139905.1,144634.1,147769.3,151132.6,169881.7,176292.6,191294.2,182535.2,166586.4,164607.3,161247.1
"Industry (in pesos, constant)",501421.6,480359.3,502007.4,509594.6,514461.3,537702.9,559748.0,574154.3,614708.8,600628.2,622799.3,616959.8,637020.7,663367.4,695039.2,709044.4,679006.8,705909.4,711492.2,726384.4,709838.9,686024.1,693463.3,726736.5
"Services (in pesos, constant)",287875.6,281792.5,278566.7,286835.8,297519.6,304718.7,314555.5,328339.2,334239.5,372962.4,338644.2,343036.0,361721.8,379660.5,399643.2,410822.0,418414.1,450611.2,468429.0,477862.6,474717.0,444275.0,445022.4,459377.3
"GDP to Total Hours Worked (in pesos, constant)",114.6,116.2,117.1,120.0,124.1,125.8,131.4,134.5,138.6,138.8,143.2,146.0,154.3,161.3,172.9,179.6,178.3,197.9,202.6,210.6,223.3,204.8,202.8,209.4
