Type of Expenditure,1981 Q1,1981 Q2,1981 Q3,1981 Q4,1982 Q1,1982 Q2,1982 Q3,1982 Q4,1983 Q1,1983 Q2,1983 Q3,1983 Q4,1984 Q1,1984 Q2,1984 Q3,1984 Q4,1985 Q1,1985 Q2,1985 Q3,1985 Q4,1986 Q1,1986 Q2,1986 Q3,1986 Q4,1987 Q1,1987 Q2,1987 Q3,1987 Q4,1988 Q1,1988 Q2,1988 Q3,1988 Q4,1989 Q1,1989 Q2,1989 Q3,1989 Q4,1990 Q1,1990 Q2,1990 Q3,1990 Q4,1991 Q1,1991 Q2,1991 Q3,1991 Q4,1992 Q1,1992 Q2,1992 Q3,1992 Q4,1993 Q1,1993 Q2,1993 Q3,1993 Q4,1994 Q1,1994 Q2,1994 Q3,1994 Q4,1995 Q1,1995 Q2,1995 Q3,1995 Q4,1996 Q1,1996 Q2,1996 Q3,1996 Q4,1997 Q1,1997 Q2,1997 Q3,1997 Q4,1998 Q1,1998 Q2,1998 Q3,1998 Q4,1999 Q1,1999 Q2,1999 Q3,1999 Q4,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4
..Household final consumption expenditure,42128,47703,49103,56748,47973,53586,56310,65558,54022,60083,61932,78144,77459,88832,101636,128438,107373,111470,114160,133463,111501,118945,120260,142424,117344,130419,129790,153842,133961,152717,154223,174808,153630,170738,179096,206684,180356,201458,208771,242983,218537,248022,253699,285297,250316,272887,278838,313426,272769,298006,306458,344847,306622,333030,349342,384844,339633,372944,395101,437014,392689,428876,441142,481012,432856,475088,484601,537641,494085,544588,544720,611500,562884,601593,592553,663987,600429,652947,654886,743547,674223,711777,726832,821054,725177,781357,797033,876877,801177,845576,859685,961372,889324,941246,975651,1112155,1001726,1075814,1077433,1221087,1106500,1189444,1177253,1326777,1193910,1283459,1271515,1452307,1325318,1452134,1466475,1647678,1426912,1531354,1482901,1699717,1537553,1631454,1592490,1836208,1689009,1816501,1762602,2049375,1878447,1963276,1936819,2246467,2031658,2111436,2098485,2436145,2204907,2291325,2280899,2635906,2372797,2468974,2436184,2827778,2547013,2680857,2664733,3086483,2782053,2923649,2889159,3356002,3050982,3240042,3227592,3731469,3340847,3499709,3462628,3985148,3422615,3042128,3210325,3801008,3397750,3395240,3583127,4232430,3853345,3878011,4131183,4862506,4418198,4326017,4534502,5329613
..Government final consumption expenditure,6187,6774,6565,7003,7490,7782,7717,8010,7833,8089,8361,8355,9625,9677,9652,11320,11139,10978,11846,14183,11613,12480,13057,16472,13924,14956,15556,18608,16742,18077,20368,24199,21105,21180,24072,29911,28265,28243,28926,32618,32206,32501,33302,37668,34585,34331,33650,40009,38555,38901,39269,45238,45869,47014,49023,57196,53979,56554,58561,67905,63439,68724,70436,80489,77655,87068,85423,99647,85296,101255,96969,108573,89902,103871,96346,106286,90432,107541,101030,110046,96420,115588,106211,114072,95652,118854,113794,118503,102139,120330,120511,125555,109222,125281,123412,128738,116921,145367,127055,135235,136192,159946,141229,156552,149629,180494,160002,174388,154818,189997,178814,185951,170036,220378,213454,220625,218123,258927,216029,220585,193759,291008,249213,251435,255368,336766,303401,298139,298078,380841,324213,300375,318521,400446,332400,343430,324078,413473,384928,399058,368652,489049,410195,435703,379718,538639,455432,500980,444837,623474,543284,588042,481517,668914,591359,691649,528976,829162,639282,742251,634088,817866,748261,823802,680159,947127,790600,895976,759460,918369,872654,914719
..Gross capital formation,19930,21487,20045,23004,25306,24408,22014,24460,29494,30917,23755,34300,34951,35978,21830,25563,20316,29541,19939,22359,26240,28399,22928,26724,27286,31267,40327,34501,40354,32989,42835,50408,45330,53546,48556,74121,71579,69256,59681,85970,72199,65796,62414,80157,74910,78785,78929,87216,79702,93686,99647,117043,100663,124563,97774,127531,112938,112590,106589,142254,137497,145356,134418,160434,152915,161996,159984,192504,195494,133232,133740,146440,140029,142705,120650,138947,166151,129082,134397,150309,149172,210326,204708,198224,196365,218962,211646,263114,250364,222701,183345,264919,287709,286485,231115,298389,279083,264507,258960,296083,233514,236650,242002,336905,228144,270445,266927,395464,314637,388095,403136,421026,296000,334142,338229,494224,397214,465444,414559,644197,531329,436755,494388,641524,460525,500764,522959,679284,524310,553791,636098,773311,626063,639480,682287,815563,611588,683363,770421,910443,782499,929892,936656,1076319,973080,1064658,1023509,1170430,1064617,1273938,1260483,1360067,1178488,1246495,1272706,1455380,956211,518470,709963,944922,815357,1141002,952964,1194224,1142898,1569620,1344707,1380646,1325886,1550110,1269222,1526169
..Exports of goods and services,13627,12821,12132,13110,12113,12710,12028,13145,12976,15599,15553,17599,18996,21460,28667,31965,28050,28655,26695,27335,29118,32702,33121,33695,32817,35112,37081,39111,41070,43839,47709,49432,47215,49744,53364,57841,54439,56273,62061,65353,67793,76489,74887,79156,79752,73251,80114,87207,82432,86190,95844,110767,106029,113568,124949,120755,112308,135734,155602,161093,149338,162432,199727,205270,200883,208014,253750,310424,290640,257942,310756,292343,291127,279025,353851,361844,340182,354091,426877,481527,437967,397172,415770,405352,406393,418057,456775,459246,468700,468734,527198,531238,516904,532205,576366,601346,554058,588845,635777,661017,641771,696436,684153,679390,690958,671799,694341,679257,622690,678281,739996,644325,595200,619529,677851,642966,773314,769221,816692,730827,792700,762280,727152,670515,789290,771207,756647,720876,763378,810700,809385,771071,903606,905643,945597,857816,967214,948829,969929,907961,1010940,1002884,1023974,998463,1192114,1202642,1284166,1213949,1337126,1361794,1455659,1363993,1389374,1406478,1402117,1341770,1321643,904783,1116142,1181738,1205533,1177329,1282623,1333144,1460189,1405651,1665177,1722239,1560801,1520476,1736375,1664156
..Imports of goods and services,13795,15773,16384,15200,15931,16780,16546,16736,17380,19707,20645,24521,20741,23354,30646,31948,23972,28765,25992,24175,26614,28139,28384,28924,31730,36584,39572,38367,37960,45133,46270,46542,48883,59289,59911,59094,61382,67589,74587,85351,85096,78739,84065,83006,86637,90908,100073,95608,94846,114208,126379,138369,127539,147188,139028,136103,138314,179288,172127,193382,184245,218570,222001,242861,237676,259566,313489,358038,358702,298239,329187,301521,316485,315018,335904,329795,348764,347437,399891,449824,431754,451889,453330,423496,414347,467046,511228,514627,529836,512738,534294,558866,570312,591748,611297,638289,590756,630600,652366,647966,622145,669304,659692,643156,611209,632923,655084,665577,634051,700599,772337,656183,584303,649962,658943,679887,765091,781763,766730,809801,863217,771064,789806,790797,849564,830059,835873,844150,830140,852552,965979,924012,1017405,912041,1070764,976851,1099682,992806,1205212,1155163,1298718,1276450,1369085,1367676,1606364,1537248,1609629,1640288,1796116,1929120,2005601,1931373,2004060,1927311,2023448,1941898,1766673,1149515,1506042,1495815,1638318,1784038,1931192,1970576,2203811,2433416,2711875,2352654,2433020,2423870,2633492,2417733
..Statistical discrepancy,8234,7239,4248,2994,7906,8595,3106,6216,10198,10465,8395,5792,14040,16756,10955,5538,14058,14844,1833,5209,10433,11842,2659,300,15604,17720,7525,10746,10891,20421,-471,11615,14146,15186,10702,5541,5886,3061,10893,20722,19645,-2637,4554,12180,9873,-146,-1005,7822,9170,-4847,-7308,9855,14433,-8941,-12273,529,14549,15582,-5945,14709,14494,9480,-9273,13000,9993,-7418,7864,11257,-834,-718,-8846,-3305,-53,-1339,-1973,2553,1968,8509,-3656,-6820,-92,7236,-3425,-3718,-2661,3807,-8323,7177,-1211,2780,-3891,2322,-9209,12726,4610,-8127,-6552,12861,-3405,-2904,967,13265,3853,-18084,368,9742,-977,-9132,12287,12269,-17634,-6922,-4245,19840,-17272,1677,-9499,9563,-3272,3208,7629,9360,-14491,-2498,5476,11073,-11032,-5516,-14563,-10232,12301,12493,223,-28129,3997,23910,28282,-27934,-25668,25320,27263,-35086,-21494,29317,24932,-38386,-24715,38169,-309,-1336,-31204,32849,39911,-28311,20530,-32130,-13632,-6655,35438,-15151,-40339,20591,-31687,51435,-3982,31111,30155,-57283,-15560,-1602,-16028,33190
Gross Domestic Product,76312,80251,75709,87659,84856,90302,84629,100653,97142,105446,97351,119668,134329,149349,142094,170877,156964,166722,148481,178374,162291,176228,163641,190692,175246,192890,190706,218441,205057,222910,218394,263919,232543,251104,255879,315003,279143,290701,295743,362294,325283,341433,344791,411450,362800,368201,370452,440072,387781,397727,407532,489381,446077,462046,469787,554751,495093,514116,537781,629594,573212,596298,614449,697344,636625,665182,678133,793435,705979,738060,748152,854030,767405,810836,825523,943824,850396,904732,913644,1028784,925936,990210,996766,1111487,1006579,1073992,1059697,1210291,1091333,1147383,1152553,1326540,1223639,1306195,1299857,1494213,1354481,1456794,1443454,1662553,1496799,1626437,1588797,1838384,1651799,1783015,1736724,2026706,1795699,2020177,1998449,2235875,1899600,2075281,2036219,2379322,2151614,2352847,2269768,2625222,2351209,2544840,2429057,2819554,2539542,2753027,2672921,3095098,2772721,2993985,2914503,3369383,3035915,3296724,3174416,3699773,3204277,3493900,3330583,3915398,3437650,3791145,3644979,4258608,3745533,4153954,4017922,4639242,4101138,4568792,4450213,5145048,4426077,4865973,4725892,5499920,4449141,4138373,4205108,5158953,4374072,4767989,4604095,5664458,4928798,5398104,5249946,6451429,5615765,5889500,5763234,7050113
