Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Trade Balance,,,,,,,,,,,,,,,,,,,,,,,,
Net Export,,,,,,,,,,,,,,,,,,,,,,,,
"Levels (in million pesos, current)",56760.1,-104207.2,-166776.3,-139864.5,-184824.8,-81989.6,107451.7,171562.4,-77878.0,-37550.5,-33332.2,-262237.4,-321626.2,-418148.5,-364398.0,-658928.0,-1275668.7,-1500659.8,-2143637.0,-2356977.6,-1393738.9,-2325496.4,-3448500.3,-3426306.8
"Share to GDP (in percent, current)",1.5,-2.6,-3.8,-3.0,-3.5,-1.4,1.6,2.4,-1.0,-0.4,-0.4,-2.6,-2.9,-3.5,-2.8,-4.7,-8.4,-9.1,-11.7,-12.1,-7.8,-12.0,-15.7,-14.1
"Net Merchandise Export (in million pesos, current)",152292.9,-35241.3,-105894.4,-83216.7,-128554.8,-256461.7,-178469.4,-146244.2,-236430.6,-270880.3,-407678.9,-639052.7,-614363.8,-754220.0,-778473.1,-1209883.2,-1911163.7,-2343481.9,-3152044.9,-3403221.6,-2238131.6,-3378857.8,-4625600.9,-4603873.4
