Type of Expenditure,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023
....Household Final Consumption Expenditure,2651809,2933886,3180445,3467809,3918376,4376060,4799974,5201191,5891606,6140884,6597705,7317487,8025008,8677723,9413037,10105734,10979086,11950864,13250084,14288333,13476075,14608547,16725045,18608329
....Government Final Consumption Expenditure,409049,432291,446804,468536,486654,524578,593919,664512,709580,824493,913664,985415,1193675,1303507,1394796,1521536,1703599,1874770,2199637,2433439,2739671,3024017,3313862,3465202
....Gross capital formation,579938,762429,890087,921328,1103699,1098634,1049071,1160980,1526893,1462595,1921414,2103996,2163532,2487510,2763393,2975815,3725366,4231677,4959105,5153069,3129566,4103547,5437870,5671387
......Gross fixed capital formation,716186,736938,798061,878847,987297,1075852,1226167,1358596,1536294,1561912,1917689,1924101,2204383,2504476,2755231,3100015,3782584,4245610,4983346,5300100,3824091,4324545,5142714,5744029
........Construction,350830,354461,381018,420488,480413,510452,593121,694539,827382,888983,1088492,1062693,1297705,1492104,1681422,1891222,2214527,2421830,2939786,3290529,2331973,2681783,3235413,3644960
........Durable equipment,255304,264046,287914,318359,345042,380865,416486,430001,464822,425177,567567,581077,615145,713709,780331,894030,1204858,1393963,1527020,1451965,943928,1071208,1313677,1482058
........Breeding Stocks and Orchard Development,88772,95655,105009,114718,131826,154760,186539,202482,213695,214150,225503,240891,245087,248612,233515,248904,281928,326782,397760,418119,421946,427223,437247,451684
........Intellectual Property Products,21280,22777,24120,25283,30016,29775,30020,31574,30395,33602,36127,39440,46446,50052,59964,65860,81271,103036,118780,139488,126244,144331,156377,165325
......Changes in Inventories,-136846,24650,91134,40201,115195,20573,-178149,-198482,-10935,-100524,1857,178559,-42229,-18218,6864,-125425,-58266,-15472,-26944,-148526,-695464,-222040,294025,-74141
......Valuables,598,841,892,2281,1207,2209,1053,865,1535,1206,1869,1336,1378,1252,1298,1225,1047,1538,2703,1495,939,1042,1131,1499
....Exports of Goods and services,1602677,1656262,1740471,1995870,2226821,2439698,2701750,2736354,2685292,2535546,3090053,2952647,3038020,3154534,3612662,3793934,4036261,4892870,5518573,5539739,4524306,4998628,6253255,6481808
......Exports of Goods,1404197,1380125,1413004,1626697,1788188,1811522,1963317,1945262,1929936,1712358,2052323,1955259,2060382,2018343,2287941,2200984,2255146,2758686,3081897,2941577,2551888,2917951,3571499,3318729
......Exports of Services,198480,276137,327467,369173,438633,628176,738433,791092,755356,823187,1037731,997388,977638,1136191,1324722,1592950,1781114,2134184,2436675,2598162,1972418,2080677,2681757,3163078
....Imports of goods and services,1545917,1760469,1907247,2135734,2411646,2521687,2594298,2564792,2763170,2573096,3123386,3214885,3359646,3572683,3977060,4452862,5311929,6393529,7662209,7896717,5918045,7324125,9701756,9908114
......Imports of goods,1251904,1415366,1518898,1709913,1916743,2067984,2141786,2091507,2166367,1983239,2460002,2594312,2674746,2772563,3066414,3410868,4166310,5102168,6233942,6344799,4790020,6296809,8197099,7922603
......Imports of Services,294013,345102,388349,425821,494903,453704,452511,473285,596803,589857,663384,620573,684900,800120,910647,1041995,1145619,1291361,1428267,1551918,1128025,1027315,1504656,1985512
....Statistical discrepancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..Gross Domestic Product,3697556,4024399,4350560,4717809,5323904,5917282,6550417,7198245,8050201,8390421,9399451,10144661,11060589,12050592,13206828,13944157,15132381,16556651,18265190,19517863,17951574,19410614,22028276,24318611
..Net Primary Income from the Rest of the World,348601,385364,414766,443997,496610,577513,602492,646487,754128,968972,1054599,1094896,1220547,1417074,1521990,1593553,1680553,1826528,1947159,1954197,1360427,690388,1294379,2670713
Gross National Income,4046157,4409763,4765326,5161806,5820514,6494795,7152910,7844732,8804329,9359393,10454049,11239557,12281136,13467666,14728818,15537710,16812934,18383179,20212349,21472060,19312001,20101002,23322655,26989325
