"Geolocation","Fertilizer Grade","2015 January","2015 February","2015 March","2015 April","2015 May","2015 June","2015 July","2015 August","2015 September","2015 October","2015 November","2015 December","2015 Annual"
"PHILIPPINES","Ammophos (16-20-0)",1016.98,1008.43,1000.47,1000.47,998.97,996.63,993.66,993.36,991.74,991.84,989.74,993.53,997.98
"PHILIPPINES","Ammosul (21-0-0)",607.02,605.00,602.33,601.25,600.70,599.82,594.79,597.43,598.34,593.90,592.95,592.89,598.87
"PHILIPPINES","Complete (14-14-14)",1188.73,1185.80,1186.92,1186.92,1183.93,1188.61,1188.16,1185.22,1186.58,1179.75,1176.59,1178.07,1184.61
"PHILIPPINES","Urea (45-0-0)",1072.21,1060.55,1053.46,1054.32,1051.97,1049.19,1048.28,1046.11,1043.43,1037.44,1032.76,1031.49,1048.43
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",1018.00,1010.50,1003.00,1003.00,998.80,992.00,956.75,992.80,993.00,992.80,993.50,989.50,995.30
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",590.60,580.00,579.50,579.50,578.80,576.00,552.75,575.60,586.00,588.40,589.00,589.50,580.47
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",1159.50,1155.00,1146.67,1146.25,1142.67,1148.33,1143.75,1135.00,1147.08,1147.67,1140.83,1141.67,1146.20
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",1064.50,1052.50,1037.92,1036.25,1033.17,1037.50,1044.17,1027.33,1035.83,1036.67,1030.42,1031.25,1038.96
