"Geolocation","Fertilizer Grade","2003 January","2003 February","2003 March","2003 April","2003 May","2003 June","2003 July","2003 August","2003 September","2003 October","2003 November","2003 December","2003 Annual"
"PHILIPPINES","Ammophos (16-20-0)",430.59,438.80,444.01,450.81,454.66,465.52,469.90,474.65,478.11,481.35,490.43,498.27,464.54
"PHILIPPINES","Ammosul (21-0-0)",299.14,299.08,301.26,309.27,309.74,310.54,311.62,309.76,310.71,317.83,332.96,358.42,314.19
"PHILIPPINES","Complete (14-14-14)",442.96,452.28,460.59,472.70,478.80,485.70,488.87,489.72,492.87,495.60,502.84,512.97,481.33
"PHILIPPINES","Urea (45-0-0)",444.80,470.38,505.68,552.38,557.58,552.78,550.50,547.38,548.65,557.99,573.98,592.75,537.90
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",448.67,457.25,471.60,483.17,474.60,487.00,487.75,484.75,500.50,491.56,488.75,488.33,479.30
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",309.85,314.00,318.10,352.50,324.33,327.08,332.08,336.00,333.20,336.00,339.92,335.60,329.66
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",455.42,465.63,481.10,502.71,494.67,504.38,512.08,512.83,521.25,515.75,517.00,515.87,499.18
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",440.35,463.33,492.07,532.92,529.17,540.63,548.67,547.83,555.83,561.00,566.40,575.50,527.81
"....Abra","Ammophos (16-20-0)",442.50,455.00,460.00,460.00,460.00,460.00,460.00,460.00,460.00,460.00,460.00,460.00,458.13
"....Abra","Ammosul (21-0-0)",260.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,296.67
"....Abra","Complete (14-14-14)",452.50,465.00,470.00,470.00,470.00,472.50,480.00,480.00,480.00,480.00,480.00,480.00,473.33
"....Abra","Urea (45-0-0)",447.50,510.00,552.00,580.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,590.00,567.46
"....Apayao","Ammophos (16-20-0)",462.50,460.00,497.00,517.50,465.00,503.00,508.50,489.00,550.00,..,..,..,494.72
"....Apayao","Ammosul (21-0-0)",332.50,..,320.00,322.50,315.00,315.00,315.00,..,..,..,..,..,320.00
"....Apayao","Complete (14-14-14)",460.00,472.50,503.00,526.25,473.00,500.00,508.75,499.00,555.00,..,..,..,499.72
"....Apayao","Urea (45-0-0)",472.50,460.00,502.00,517.50,471.00,500.00,513.75,495.00,560.00,..,..,..,499.08
"....Benguet","Ammophos (16-20-0)",440.00,440.00,440.00,468.33,470.00,..,..,..,490.00,488.75,485.00,..,465.26
"....Benguet","Ammosul (21-0-0)",295.00,295.00,295.00,460.00,300.00,300.00,300.00,300.00,296.25,298.75,310.00,310.00,313.33
"....Benguet","Complete (14-14-14)",440.00,440.00,440.00,470.00,470.00,482.50,490.00,490.00,490.00,491.25,495.00,495.00,474.48
"....Benguet","Urea (45-0-0)",430.00,435.00,440.00,563.75,566.00,571.25,560.00,560.00,560.00,563.75,577.00,580.00,533.90
"....Ifugao","Ammophos (16-20-0)",450.00,465.00,480.00,480.00,480.00,480.00,472.50,480.00,500.00,510.00,500.00,495.00,482.71
"....Ifugao","Ammosul (21-0-0)",350.00,350.00,350.00,350.00,350.00,350.00,375.00,370.00,370.00,370.00,370.00,350.00,358.75
"....Ifugao","Complete (14-14-14)",450.00,465.00,492.00,500.00,492.00,500.00,515.00,520.00,520.00,520.00,520.00,511.67,500.47
"....Ifugao","Urea (45-0-0)",430.00,455.00,480.00,480.00,480.00,490.00,530.00,550.00,550.00,550.00,550.00,570.00,509.58
"....Kalinga","Ammophos (16-20-0)",448.33,466.25,481.00,490.00,498.00,505.00,510.00,510.00,502.50,507.50,510.00,510.00,494.88
"....Kalinga","Ammosul (21-0-0)",298.33,300.00,311.00,315.00,303.00,305.00,302.50,310.00,302.50,311.25,315.00,315.00,307.38
"....Kalinga","Complete (14-14-14)",455.00,476.25,488.00,500.00,504.00,511.25,516.25,518.00,512.50,517.50,520.00,520.00,503.23
"....Kalinga","Urea (45-0-0)",438.33,495.00,542.00,576.25,572.00,570.00,571.25,562.00,545.00,571.25,585.00,607.50,552.97
"....Mountain Province","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
