"Geolocation","Fertilizer Grade","1994 January","1994 February","1994 March","1994 April","1994 May","1994 June","1994 July","1994 August","1994 September","1994 October","1994 November","1994 December","1994 Annual"
"PHILIPPINES","Ammophos (16-20-0)",307.97,312.20,312.47,314.45,312.30,314.64,316.50,316.80,316.45,315.15,313.95,313.55,313.90
"PHILIPPINES","Ammosul (21-0-0)",186.49,187.80,188.00,191.95,193.85,196.05,194.50,199.90,201.50,200.05,204.20,201.95,195.62
"PHILIPPINES","Complete (14-14-14)",316.12,319.55,319.28,318.60,321.90,322.50,325.90,326.00,326.10,325.30,325.10,325.40,322.54
"PHILIPPINES","Urea (45-0-0)",262.70,263.85,261.78,263.48,268.35,275.60,280.50,285.80,293.45,307.75,311.75,314.00,282.67
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",316.25,321.25,323.75,374.00,325.00,326.25,325.00,330.00,326.25,326.25,323.75,323.25,328.42
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",232.00,221.00,218.00,225.00,216.00,229.00,222.00,224.00,227.00,227.00,224.40,223.00,224.03
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",361.00,367.00,371.00,366.00,369.60,371.00,372.00,376.00,377.00,376.00,367.00,366.00,369.97
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",319.00,313.40,311.00,312.00,302.00,322.00,317.00,317.00,333.00,339.00,338.00,339.00,321.87
"....Abra","Ammophos (16-20-0)",300.00,310.00,320.00,320.00,320.00,325.00,320.00,340.00,320.00,320.00,320.00,320.00,319.58
"....Abra","Ammosul (21-0-0)",185.00,180.00,175.00,175.00,175.00,185.00,175.00,185.00,190.00,190.00,190.00,190.00,182.92
"....Abra","Complete (14-14-14)",285.00,305.00,325.00,325.00,325.00,320.00,325.00,345.00,345.00,340.00,340.00,340.00,326.67
"....Abra","Urea (45-0-0)",260.00,250.00,240.00,240.00,240.00,240.00,240.00,240.00,290.00,290.00,330.00,330.00,265.83
"....Apayao","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
