"Geolocation","Fertilizer Grade","2016 January","2016 February","2016 March","2016 April","2016 May","2016 June","2016 July","2016 August","2016 September","2016 October","2016 November","2016 December","2016 Annual"
"PHILIPPINES","Ammophos (16-20-0)",985.31,981.73,977.78,971.59,964.32,961.40,954.72,946.29,939.17,934.30,927.45,922.43,955.54
"PHILIPPINES","Ammosul (21-0-0)",592.95,587.49,584.57,579.59,579.66,574.81,568.82,562.76,561.55,559.35,558.78,559.90,572.52
"PHILIPPINES","Complete (14-14-14)",1173.93,1170.87,1161.89,1156.42,1152.56,1154.06,1142.21,1133.24,1126.88,1120.38,1116.74,1116.48,1143.81
"PHILIPPINES","Urea (45-0-0)",1027.96,1016.14,1004.03,993.31,980.97,965.67,944.87,919.37,900.09,886.94,881.33,896.53,951.43
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",985.20,967.50,961.00,928.40,917.10,900.20,910.88,919.73,907.58,899.92,898.00,889.20,923.73
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",578.40,560.00,551.00,528.80,526.00,520.00,532.08,537.10,531.05,519.80,531.60,535.20,537.59
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",1136.00,1122.50,1119.17,1107.67,1106.25,1097.50,1099.90,1106.79,1096.08,1087.80,1092.17,1090.40,1105.19
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",1021.00,1001.67,988.75,948.67,942.92,921.67,900.13,902.73,884.83,866.00,870.25,907.50,929.68
"....Abra","Ammophos (16-20-0)",920.00,920.00,915.00,920.00,915.00,887.50,850.00,850.00,850.00,850.00,850.00,850.00,881.46
"....Abra","Ammosul (21-0-0)",520.00,520.00,515.00,520.00,515.00,500.00,500.00,500.00,500.00,484.00,480.00,492.00,503.83
"....Abra","Complete (14-14-14)",1120.00,1120.00,1115.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1104.58
"....Abra","Urea (45-0-0)",920.00,920.00,915.00,900.00,900.00,882.50,812.00,800.00,800.00,760.00,750.00,834.00,849.46
"....Apayao","Ammophos (16-20-0)",878.00,880.00,877.50,862.00,857.50,860.00,848.00,847.50,850.00,852.00,850.00,836.00,858.21
"....Apayao","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Complete (14-14-14)",1074.00,1062.50,1055.00,1062.00,1057.50,1057.50,1048.00,1037.50,1050.00,1048.00,1042.50,1022.00,1051.38
"....Apayao","Urea (45-0-0)",968.00,957.50,900.00,856.00,827.50,757.50,746.00,740.00,730.00,736.00,735.00,820.00,814.46
"....Benguet","Ammophos (16-20-0)",1000.00,1000.00,1000.00,984.00,953.00,923.50,928.40,943.63,890.38,893.60,890.00,870.00,939.71
"....Benguet","Ammosul (21-0-0)",550.00,535.00,530.00,506.00,500.00,500.00,514.40,533.00,525.25,511.00,520.50,530.00,521.26
"....Benguet","Complete (14-14-14)",1160.00,1160.00,1160.00,1104.00,1090.00,1105.00,1103.40,1123.25,1064.00,1064.80,1085.50,1070.40,1107.53
"....Benguet","Urea (45-0-0)",1010.00,1000.00,1000.00,960.00,950.00,950.00,896.80,869.00,809.00,776.00,801.50,847.00,905.78
"....Ifugao","Ammophos (16-20-0)",1228.00,1165.00,1142.50,996.00,980.00,950.00,1032.00,1050.00,1050.00,1050.00,1050.00,1050.00,1061.96
"....Ifugao","Ammosul (21-0-0)",702.00,635.00,610.00,526.00,535.00,520.00,542.00,550.00,550.00,550.00,550.00,550.00,568.33
"....Ifugao","Complete (14-14-14)",1232.00,1170.00,1155.00,1150.00,1160.00,1120.00,1132.00,1150.00,1150.00,1150.00,1150.00,1150.00,1155.75
"....Ifugao","Urea (45-0-0)",1228.00,1157.50,1137.50,980.00,960.00,940.00,946.00,950.00,970.00,970.00,970.00,970.00,1014.92
"....Kalinga","Ammophos (16-20-0)",900.00,872.50,870.00,880.00,880.00,880.00,896.00,907.50,897.50,854.00,850.00,840.00,877.29
"....Kalinga","Ammosul (21-0-0)",520.00,510.00,500.00,500.00,500.00,500.00,522.00,540.00,530.00,504.00,520.00,504.00,512.50
"....Kalinga","Complete (14-14-14)",1080.00,1072.50,1080.00,1080.00,1080.00,1052.50,1066.00,1080.00,1062.50,1014.00,1000.00,1000.00,1055.63
"....Kalinga","Urea (45-0-0)",1000.00,975.00,980.00,996.00,1020.00,1000.00,1000.00,1010.00,1000.00,954.00,940.00,924.00,983.25
"....Mountain Province","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Ammosul (21-0-0)",600.00,600.00,600.00,592.00,580.00,580.00,582.00,562.50,550.00,550.00,587.50,600.00,582.00
"....Mountain Province","Complete (14-14-14)",1150.00,1150.00,1150.00,1150.00,1150.00,1150.00,1150.00,1150.00,1150.00,1150.00,1175.00,1200.00,1156.25
"....Mountain Province","Urea (45-0-0)",1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1025.00,1050.00,1006.25
"..REGION I (ILOCOS REGION)","Ammophos (16-20-0)",916.00,912.50,912.50,912.50,904.38,905.63,894.00,882.50,874.38,875.00,874.06,873.75,894.77
"..REGION I (ILOCOS REGION)","Ammosul (21-0-0)",516.50,512.50,512.50,512.50,516.25,515.63,502.00,488.75,482.50,485.00,483.13,482.50,500.81
"..REGION I (ILOCOS REGION)","Complete (14-14-14)",1108.00,1105.00,1106.25,1110.00,1101.88,1103.13,1055.00,1034.38,1030.00,1028.00,1020.00,1017.50,1068.26
"..REGION I (ILOCOS REGION)","Urea (45-0-0)",977.00,968.13,979.38,980.00,955.63,936.88,894.00,779.38,730.63,726.50,739.38,754.50,868.45
"....Ilocos Norte","Ammophos (16-20-0)",970.00,970.00,970.00,970.00,970.00,970.00,956.00,920.00,920.00,920.00,920.00,920.00,948.00
"....Ilocos Norte","Ammosul (21-0-0)",550.00,550.00,550.00,550.00,550.00,555.00,550.00,520.00,520.00,520.00,520.00,520.00,537.92
"....Ilocos Norte","Complete (14-14-14)",1170.00,1170.00,1170.00,1170.00,1170.00,1170.00,1160.00,1140.00,1140.00,1112.00,1100.00,1088.00,1146.67
"....Ilocos Norte","Urea (45-0-0)",1060.00,1060.00,1060.00,1060.00,1060.00,1060.00,1040.00,790.00,720.00,720.00,740.00,760.00,927.50
"....Ilocos Sur","Ammophos (16-20-0)",920.00,920.00,920.00,920.00,910.00,910.00,878.00,860.00,860.00,850.00,850.00,850.00,887.33
"....Ilocos Sur","Ammosul (21-0-0)",520.00,520.00,520.00,520.00,520.00,520.00,482.00,455.00,450.00,450.00,450.00,450.00,488.08
"....Ilocos Sur","Complete (14-14-14)",1130.00,1130.00,1120.00,1120.00,1110.00,1110.00,1044.00,1020.00,1020.00,1020.00,1020.00,1020.00,1072.00
"....Ilocos Sur","Urea (45-0-0)",1010.00,1010.00,1010.00,1010.00,1010.00,1010.00,938.00,800.00,780.00,780.00,780.00,780.00,909.83
"....La Union","Ammophos (16-20-0)",910.00,900.00,900.00,900.00,900.00,912.50,922.00,930.00,897.50,910.00,940.00,950.00,914.33
"....La Union","Ammosul (21-0-0)",506.00,500.00,500.00,500.00,500.00,487.50,494.00,500.00,480.00,490.00,505.00,510.00,497.71
"....La Union","Complete (14-14-14)",1110.00,1100.00,1100.00,1100.00,1100.00,1112.50,1036.00,997.50,980.00,1000.00,995.00,1002.00,1052.75
"....La Union","Urea (45-0-0)",952.00,962.50,1000.00,1000.00,1000.00,957.50,908.00,847.50,742.50,726.00,765.00,808.00,889.08
"....Pangasinan","Ammophos (16-20-0)",864.00,860.00,860.00,860.00,837.50,830.00,820.00,820.00,820.00,820.00,786.25,775.00,829.40
"....Pangasinan","Ammosul (21-0-0)",490.00,480.00,480.00,480.00,495.00,500.00,482.00,480.00,480.00,480.00,457.50,450.00,479.54
"....Pangasinan","Complete (14-14-14)",1022.00,1020.00,1035.00,1050.00,1027.50,1020.00,980.00,980.00,980.00,980.00,965.00,960.00,1001.63
"....Pangasinan","Urea (45-0-0)",886.00,840.00,847.50,850.00,752.50,720.00,690.00,680.00,680.00,680.00,672.50,670.00,747.38
"..REGION II (CAGAYAN VALLEY)","Ammophos (16-20-0)",938.50,937.50,934.38,911.50,902.50,886.88,877.50,868.13,860.00,850.00,843.75,844.00,887.89
"..REGION II (CAGAYAN VALLEY)","Ammosul (21-0-0)",501.25,500.00,493.75,488.25,486.25,478.75,476.50,473.13,472.50,472.50,472.50,472.50,482.32
"..REGION II (CAGAYAN VALLEY)","Complete (14-14-14)",1127.50,1140.00,1130.00,1111.00,1122.50,1103.13,1065.00,1055.63,1052.50,1052.50,1048.75,1046.50,1087.92
"..REGION II (CAGAYAN VALLEY)","Urea (45-0-0)",951.00,942.50,925.63,909.00,879.38,831.88,793.50,785.63,780.00,775.00,771.25,780.00,843.73
"....Cagayan","Ammophos (16-20-0)",848.00,840.00,830.00,830.00,820.00,820.00,820.00,820.00,800.00,800.00,785.00,780.00,816.08
"....Cagayan","Ammosul (21-0-0)",490.00,485.00,470.00,476.00,480.00,460.00,456.00,450.00,450.00,450.00,450.00,450.00,463.92
"....Cagayan","Complete (14-14-14)",1052.00,1060.00,1040.00,1038.00,1030.00,1022.50,1020.00,1020.00,1020.00,1020.00,1005.00,1000.00,1027.29
"....Cagayan","Urea (45-0-0)",890.00,865.00,830.00,842.00,800.00,722.50,720.00,700.00,680.00,676.00,695.00,720.00,761.71
"....Isabela","Ammophos (16-20-0)",960.00,960.00,960.00,912.00,900.00,840.00,820.00,820.00,820.00,820.00,820.00,826.00,871.50
"....Isabela","Ammosul (21-0-0)",490.00,490.00,490.00,482.00,495.00,485.00,480.00,472.50,470.00,470.00,470.00,470.00,480.38
"....Isabela","Complete (14-14-14)",1150.00,1150.00,1150.00,1126.00,1180.00,1117.50,1090.00,1052.50,1040.00,1040.00,1040.00,1036.00,1097.67
"....Isabela","Urea (45-0-0)",980.00,980.00,980.00,956.00,927.50,815.00,780.00,780.00,780.00,780.00,750.00,760.00,855.71
"....Nueva Vizcaya","Ammophos (16-20-0)",990.00,990.00,967.50,926.00,920.00,920.00,920.00,920.00,920.00,920.00,920.00,920.00,936.13
"....Nueva Vizcaya","Ammosul (21-0-0)",505.00,505.00,495.00,479.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,470.00,478.67
"....Nueva Vizcaya","Complete (14-14-14)",1180.00,1180.00,1150.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1117.50
"....Nueva Vizcaya","Urea (45-0-0)",990.00,990.00,962.50,914.00,890.00,890.00,874.00,870.00,870.00,862.00,860.00,860.00,902.71
"....Quirino","Ammophos (16-20-0)",956.00,960.00,980.00,978.00,970.00,967.50,950.00,912.50,900.00,860.00,850.00,850.00,927.83
"....Quirino","Ammosul (21-0-0)",520.00,520.00,520.00,516.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,506.33
"....Quirino","Complete (14-14-14)",1128.00,1170.00,1180.00,1180.00,1180.00,1172.50,1050.00,1050.00,1050.00,1050.00,1050.00,1050.00,1109.21
"....Quirino","Urea (45-0-0)",944.00,935.00,930.00,924.00,900.00,900.00,800.00,792.50,790.00,782.00,780.00,780.00,854.79
"..REGION III (CENTRAL LUZON)","Ammophos (16-20-0)",974.00,964.11,961.43,962.57,957.14,958.15,953.14,938.39,927.32,931.29,930.00,901.43,946.58
"..REGION III (CENTRAL LUZON)","Ammosul (21-0-0)",572.86,575.18,573.21,569.57,565.71,566.19,568.57,561.25,565.71,562.86,579.07,553.29,567.79
"..REGION III (CENTRAL LUZON)","Complete (14-14-14)",1112.43,1114.64,1120.89,1123.29,1130.18,1134.58,1118.00,1103.75,1093.75,1087.00,1095.71,1085.57,1109.98
"..REGION III (CENTRAL LUZON)","Urea (45-0-0)",970.00,943.75,926.96,911.43,890.00,888.15,866.29,821.79,795.00,788.71,821.96,842.86,872.24
"....Aurora","Ammophos (16-20-0)",980.00,970.00,970.00,970.00,970.00,970.83,970.00,957.50,950.00,950.00,950.00,952.00,963.36
