"Geolocation","Fertilizer Grade","2005 January","2005 February","2005 March","2005 April","2005 May","2005 June","2005 July","2005 August","2005 September","2005 October","2005 November","2005 December","2005 Annual"
"PHILIPPINES","Ammophos (16-20-0)",698.50,702.10,704.40,716.39,746.49,777.36,783.66,781.37,776.83,771.10,764.28,760.77,748.61
"PHILIPPINES","Ammosul (21-0-0)",535.73,525.55,525.65,536.81,556.15,559.11,552.30,539.56,530.07,522.25,514.86,514.89,534.41
"PHILIPPINES","Complete (14-14-14)",718.82,724.54,733.50,742.26,769.64,795.79,807.90,805.21,800.35,795.76,786.35,777.20,771.44
"PHILIPPINES","Urea (45-0-0)",863.89,851.95,846.83,885.77,934.15,949.71,950.49,936.26,925.32,914.80,903.83,901.55,905.38
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",685.70,687.00,694.00,696.60,718.88,754.13,775.40,780.25,782.00,781.40,779.25,765.55,742.47
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",562.45,557.00,555.35,550.40,553.90,563.40,576.92,573.00,573.25,555.88,532.00,522.99,557.63
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",713.47,714.71,716.21,713.33,735.88,762.08,788.90,785.67,788.17,786.67,778.04,764.37,753.93
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",885.67,893.54,891.46,888.97,914.92,939.71,951.53,932.71,927.46,921.00,912.96,907.42,914.10
"....Abra","Ammophos (16-20-0)",667.00,665.00,665.00,673.00,707.50,740.00,740.00,743.75,741.25,745.00,748.75,748.00,715.35
"....Abra","Ammosul (21-0-0)",504.00,500.00,500.00,500.00,500.00,500.00,500.00,495.00,495.00,480.00,480.00,480.00,494.50
"....Abra","Complete (14-14-14)",680.00,680.00,680.00,689.00,720.00,750.00,750.00,748.75,746.25,750.00,750.00,748.00,724.33
"....Abra","Urea (45-0-0)",892.00,890.00,890.00,876.00,912.50,950.00,950.00,918.75,883.75,880.00,880.00,874.00,899.75
"....Apayao","Ammophos (16-20-0)",690.00,695.00,700.00,699.00,736.25,760.00,753.00,742.50,748.75,750.00,747.50,722.00,728.67
"....Apayao","Ammosul (21-0-0)",680.00,..,..,..,..,..,..,..,..,..,..,..,680.00
"....Apayao","Complete (14-14-14)",684.00,680.00,700.00,682.00,737.92,767.50,752.00,746.25,757.50,760.00,758.75,725.00,729.24
"....Apayao","Urea (45-0-0)",884.00,860.00,846.25,846.00,935.83,963.75,940.00,917.50,913.75,914.00,898.75,862.00,898.49
"....Benguet","Ammophos (16-20-0)",700.00,700.00,700.00,700.00,700.00,795.00,786.00,750.00,750.00,750.00,750.00,750.00,735.92
"....Benguet","Ammosul (21-0-0)",520.00,520.00,520.00,520.00,520.00,534.75,538.40,510.00,510.00,510.00,510.00,510.00,518.60
"....Benguet","Complete (14-14-14)",688.00,700.00,700.00,700.00,730.00,750.00,781.20,765.00,750.00,750.00,750.00,760.00,735.35
"....Benguet","Urea (45-0-0)",870.00,870.00,850.00,858.00,877.50,906.50,950.40,900.00,900.00,900.00,900.00,900.00,890.20
"....Ifugao","Ammophos (16-20-0)",700.00,715.00,745.00,750.00,746.66,767.50,838.00,910.00,920.00,912.00,900.00,856.00,813.35
"....Ifugao","Ammosul (21-0-0)",650.00,650.00,650.00,634.00,632.50,675.00,730.00,750.00,750.00,670.00,550.00,500.00,653.46
"....Ifugao","Complete (14-14-14)",765.00,761.25,750.00,750.00,760.00,780.00,894.00,900.00,920.00,902.00,850.00,780.00,817.69
"....Ifugao","Urea (45-0-0)",860.00,870.00,895.00,884.00,872.50,895.00,942.00,945.00,950.00,930.00,900.00,900.00,903.63
"....Kalinga","Ammophos (16-20-0)",660.00,660.00,660.00,661.00,730.00,745.00,760.00,755.00,750.00,750.00,750.00,747.50,719.04
"....Kalinga","Ammosul (21-0-0)",530.00,530.00,520.00,510.00,511.00,530.00,528.00,520.00,517.50,522.00,520.00,520.00,521.54
"....Kalinga","Complete (14-14-14)",680.00,680.00,680.00,675.00,686.00,750.00,770.00,765.00,760.00,760.00,760.00,760.00,727.17
"....Kalinga","Urea (45-0-0)",870.00,870.00,862.50,879.00,906.50,950.00,938.00,920.00,920.00,904.00,900.00,900.00,901.67
"....Mountain Province","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Ammosul (21-0-0)",571.80,585.00,586.75,588.00,587.00,586.33,588.20,590.00,593.75,597.40,600.00,604.20,589.87
"....Mountain Province","Complete (14-14-14)",769.40,787.00,787.25,784.00,785.25,785.00,786.20,789.00,795.25,798.00,799.50,812.00,789.82
"....Mountain Province","Urea (45-0-0)",932.00,1001.25,1005.00,990.80,988.25,988.67,988.80,995.00,997.25,998.00,999.00,1006.40,990.87
"..REGION I (ILOCOS REGION)","Ammophos (16-20-0)",671.83,667.81,666.25,681.50,711.95,736.80,737.40,740.00,735.94,731.50,729.06,718.75,710.79
"..REGION I (ILOCOS REGION)","Ammosul (21-0-0)",507.50,494.06,486.56,487.00,502.81,511.56,509.50,499.38,485.00,473.50,468.75,459.83,490.72
"..REGION I (ILOCOS REGION)","Complete (14-14-14)",685.33,691.25,687.50,699.75,724.38,745.63,749.50,751.25,747.50,744.00,737.50,718.00,723.60
"..REGION I (ILOCOS REGION)","Urea (45-0-0)",877.67,860.00,850.00,872.50,915.63,946.56,932.75,905.00,891.25,879.50,868.44,855.92,887.63
"....Ilocos Norte","Ammophos (16-20-0)",675.00,675.00,675.00,698.00,741.56,766.25,769.60,765.00,750.00,746.00,740.00,732.00,727.78
"....Ilocos Norte","Ammosul (21-0-0)",520.00,490.00,480.00,492.00,517.50,530.00,518.00,497.50,480.00,456.00,450.00,442.00,489.42
"....Ilocos Norte","Complete (14-14-14)",700.00,685.00,688.75,714.00,751.25,775.00,770.00,767.50,760.00,752.00,750.00,742.00,737.96
"....Ilocos Norte","Urea (45-0-0)",878.00,857.50,852.50,888.00,945.00,970.00,936.00,900.00,872.50,866.00,855.00,847.00,888.96
"....Ilocos Sur","Ammophos (16-20-0)",676.00,660.00,660.00,684.00,713.20,740.00,724.00,720.00,730.00,724.00,720.00,690.00,703.43
"....Ilocos Sur","Ammosul (21-0-0)",500.00,500.00,490.00,492.00,495.20,505.00,488.00,480.00,470.00,458.00,450.00,440.00,480.68
"....Ilocos Sur","Complete (14-14-14)",676.00,660.00,670.00,698.00,720.00,750.00,744.00,740.00,730.00,724.00,720.00,692.00,710.33
"....Ilocos Sur","Urea (45-0-0)",884.00,860.00,845.00,876.00,907.20,942.50,918.00,890.00,880.00,862.00,850.00,850.00,880.39
"....La Union","Ammophos (16-20-0)",666.00,665.00,660.00,666.00,693.75,722.50,730.00,737.50,735.00,731.00,725.00,719.00,704.23
"....La Union","Ammosul (21-0-0)",508.00,492.50,476.25,464.00,485.00,497.50,498.00,490.00,487.50,480.00,475.00,468.00,485.15
"....La Union","Complete (14-14-14)",666.00,670.00,670.00,682.00,715.00,735.00,740.00,745.00,750.00,750.00,730.00,710.00,713.58
"....La Union","Urea (45-0-0)",876.00,860.00,842.50,864.00,922.50,947.50,946.00,920.00,915.00,900.00,882.50,864.00,895.00
"....Pangasinan","Ammophos (16-20-0)",670.00,671.25,670.00,678.00,695.00,720.00,726.00,737.50,728.75,725.00,731.25,740.00,707.73
"....Pangasinan","Ammosul (21-0-0)",500.00,493.75,500.00,500.00,506.25,525.00,534.00,530.00,502.50,500.00,500.00,500.00,507.63
"....Pangasinan","Complete (14-14-14)",703.75,750.00,721.25,705.00,706.25,725.00,744.00,752.50,750.00,750.00,750.00,732.50,732.52
"....Pangasinan","Urea (45-0-0)",870.00,862.50,860.00,862.00,875.00,925.00,931.00,910.00,897.50,890.00,886.25,865.00,886.19
"..REGION II (CAGAYAN VALLEY)","Ammophos (16-20-0)",666.83,658.75,657.19,683.75,723.13,756.15,761.92,742.81,741.25,743.00,732.19,730.75,716.64
"..REGION II (CAGAYAN VALLEY)","Ammosul (21-0-0)",533.75,506.56,502.50,495.92,507.81,522.08,517.00,504.38,496.56,487.50,479.06,473.50,502.71
"..REGION II (CAGAYAN VALLEY)","Complete (14-14-14)",693.42,678.13,673.13,707.00,752.50,784.48,790.25,750.63,742.81,749.50,741.88,741.75,734.02
"..REGION II (CAGAYAN VALLEY)","Urea (45-0-0)",874.92,855.00,846.25,857.75,903.44,925.21,922.50,900.00,889.06,881.00,872.19,862.50,883.10
"....Cagayan","Ammophos (16-20-0)",689.00,680.00,680.00,677.00,692.50,750.00,750.00,757.50,750.00,750.00,750.00,750.00,723.00
"....Cagayan","Ammosul (21-0-0)",547.00,531.25,530.00,504.00,522.50,530.00,524.00,527.50,520.00,520.00,520.00,504.00,523.35
"....Cagayan","Complete (14-14-14)",726.00,682.50,675.00,687.00,727.50,780.00,780.00,770.00,740.00,744.00,750.00,747.00,734.08
"....Cagayan","Urea (45-0-0)",904.00,870.00,860.00,872.00,927.50,947.50,952.00,942.50,920.00,920.00,920.00,888.00,910.29
"....Isabela","Ammophos (16-20-0)",660.00,660.00,660.00,668.00,700.00,778.33,776.00,730.00,727.50,720.00,720.00,724.00,710.32
"....Isabela","Ammosul (21-0-0)",537.50,500.00,500.00,506.00,525.00,565.00,550.00,520.00,515.00,500.00,500.00,500.00,518.21
"....Isabela","Complete (14-14-14)",670.00,670.00,670.00,675.00,710.00,788.33,783.00,735.00,733.75,730.00,730.00,734.00,719.09
"....Isabela","Urea (45-0-0)",867.50,860.00,860.00,872.00,920.00,943.33,934.00,900.00,895.00,880.00,872.50,862.00,888.86
"....Nueva Vizcaya","Ammophos (16-20-0)",664.00,645.00,638.75,689.00,718.00,721.25,725.00,722.50,715.00,724.00,700.00,684.00,695.54
"....Nueva Vizcaya","Ammosul (21-0-0)",514.00,495.00,480.00,476.00,487.00,486.25,485.00,470.00,451.25,430.00,413.75,410.00,466.52
