"Geolocation","Fertilizer Grade","2010 January","2010 February","2010 March","2010 April","2010 May","2010 June","2010 July","2010 August","2010 September","2010 October","2010 November","2010 December","2010 Annual"
"....Ilocos Norte","Ammophos (16-20-0)",850.00,865.00,870.00,870.00,855.00,847.50,870.00,842.50,820.00,850.00,870.00,900.00,859.17
"....Ilocos Norte","Ammosul (21-0-0)",450.00,502.50,520.00,572.00,495.00,477.50,470.00,462.50,440.00,472.00,485.00,520.00,488.88
"....Ilocos Norte","Complete (14-14-14)",1050.00,1087.50,1100.00,1100.00,1090.00,1022.50,1000.00,985.00,980.00,980.00,1005.00,1020.00,1035.00
"....Ilocos Norte","Urea (45-0-0)",950.00,977.50,990.00,1004.00,965.00,937.50,876.00,840.00,840.00,906.00,975.00,1080.00,945.08
"....Ilocos Sur","Ammophos (16-20-0)",850.00,850.00,865.00,880.00,880.00,880.00,844.00,820.00,820.00,820.00,835.00,880.00,852.00
"....Ilocos Sur","Ammosul (21-0-0)",440.00,460.00,460.00,484.00,500.00,500.00,430.00,430.00,430.00,450.00,465.00,495.00,462.00
"....Ilocos Sur","Complete (14-14-14)",1000.00,1000.00,1000.00,1000.00,1037.50,1050.00,1030.00,950.00,935.00,950.00,960.00,992.50,992.08
"....Ilocos Sur","Urea (45-0-0)",930.00,967.50,980.00,980.00,980.00,980.00,928.00,857.50,850.00,924.00,940.00,995.00,942.67
"....La Union","Ammophos (16-20-0)",940.00,980.00,980.00,944.00,890.00,860.00,860.00,845.00,850.00,880.00,887.50,900.00,901.38
"....La Union","Ammosul (21-0-0)",455.00,460.00,460.00,476.00,500.00,490.00,490.00,445.00,437.50,460.00,472.50,500.00,470.50
"....La Union","Complete (14-14-14)",1055.00,1060.00,1060.00,1060.00,1060.00,1050.00,1050.00,975.00,957.50,980.00,985.00,1000.00,1024.38
"....La Union","Urea (45-0-0)",890.00,950.00,950.00,950.00,950.00,945.00,940.00,872.50,857.50,880.00,907.50,950.00,920.21
"....Pangasinan","Ammophos (16-20-0)",784.00,816.25,820.00,820.00,877.50,842.50,826.00,830.00,830.00,821.00,852.50,908.75,835.71
"....Pangasinan","Ammosul (21-0-0)",469.00,475.00,480.00,480.00,495.00,471.25,457.00,455.00,450.00,446.00,452.50,491.25,468.50
"....Pangasinan","Complete (14-14-14)",982.00,993.75,1002.50,1020.00,1020.00,962.50,926.00,922.50,920.00,929.00,952.50,1015.00,970.48
"....Pangasinan","Urea (45-0-0)",970.00,965.00,967.50,975.00,937.50,846.25,822.00,840.00,840.00,860.00,907.50,986.25,909.75
"..REGION II (CAGAYAN VALLEY)","Ammophos (16-20-0)",843.17,842.50,844.69,847.25,849.06,835.63,822.25,818.13,820.00,890.00,898.13,948.13,854.91
"..REGION II (CAGAYAN VALLEY)","Ammosul (21-0-0)",471.00,467.81,476.88,490.00,490.00,473.13,452.00,450.63,461.88,476.50,471.25,488.13,472.43
"..REGION II (CAGAYAN VALLEY)","Complete (14-14-14)",1029.00,1026.25,1023.44,1019.00,1006.25,984.38,960.50,957.50,951.56,972.00,976.88,1014.06,993.40
"..REGION II (CAGAYAN VALLEY)","Urea (45-0-0)",939.08,931.56,915.00,907.00,898.75,885.00,848.50,843.75,860.31,941.75,946.88,994.38,909.33
"....Cagayan","Ammophos (16-20-0)",841.00,815.00,806.25,814.00,806.25,787.50,769.00,750.00,788.75,854.00,827.50,900.00,813.27
"....Cagayan","Ammosul (21-0-0)",452.00,471.25,505.00,526.00,507.50,462.50,436.00,417.50,455.00,475.00,455.00,485.00,470.65
"....Cagayan","Complete (14-14-14)",1022.00,1005.00,1010.00,1018.00,1025.00,990.00,950.00,937.50,960.00,961.00,955.00,1007.50,986.75
"....Cagayan","Urea (45-0-0)",969.00,958.75,965.00,934.00,917.50,857.50,832.00,820.00,860.00,924.00,940.00,990.00,913.98
"....Isabela","Ammophos (16-20-0)",852.50,860.00,890.00,892.00,890.00,875.00,874.00,890.00,890.00,898.00,905.00,960.00,889.71
"....Isabela","Ammosul (21-0-0)",552.50,500.00,470.00,472.00,470.00,462.50,464.00,480.00,480.00,496.00,495.00,507.50,487.46
"....Isabela","Complete (14-14-14)",1022.50,995.00,1010.00,1012.00,1010.00,980.00,974.00,990.00,990.00,998.00,997.50,1037.50,1001.38
"....Isabela","Urea (45-0-0)",876.25,870.00,810.00,814.00,810.00,840.00,854.00,870.00,870.00,934.00,892.50,975.00,867.98
"....Nueva Vizcaya","Ammophos (16-20-0)",816.00,835.00,843.75,858.00,842.50,830.00,796.00,807.50,801.25,912.00,910.00,932.50,848.71
"....Nueva Vizcaya","Ammosul (21-0-0)",440.00,457.50,470.00,482.00,472.50,462.50,434.00,432.50,432.50,455.00,455.00,465.00,454.88
"....Nueva Vizcaya","Complete (14-14-14)",1016.00,1055.00,1038.75,1046.00,980.00,952.50,918.00,917.50,906.25,955.00,955.00,976.25,976.35
"....Nueva Vizcaya","Urea (45-0-0)",934.00,940.00,935.00,932.00,922.50,907.50,854.00,835.00,861.25,955.00,955.00,972.50,916.98
"....Quirino","Ammophos (16-20-0)",864.00,860.00,838.75,825.00,857.50,850.00,850.00,825.00,800.00,896.00,950.00,1000.00,868.02
"....Quirino","Ammosul (21-0-0)",458.00,442.50,462.50,480.00,510.00,505.00,474.00,472.50,480.00,480.00,480.00,495.00,478.29
