"Geolocation","Fertilizer Grade","1992 January","1992 February","1992 March","1992 April","1992 May","1992 June","1992 July","1992 August","1992 September","1992 October","1992 November","1992 December","1992 Annual"
"PHILIPPINES","Ammophos (16-20-0)",354.68,352.17,350.38,349.72,349.83,350.49,350.92,351.40,350.02,346.28,336.77,331.64,348.01
"PHILIPPINES","Ammosul (21-0-0)",169.84,166.41,163.39,187.32,164.00,197.06,186.92,191.65,190.09,192.00,188.30,188.03,182.16
"PHILIPPINES","Complete (14-14-14)",361.99,357.76,358.03,355.94,355.74,356.65,356.67,357.04,356.30,352.38,340.97,336.10,353.77
"PHILIPPINES","Urea (45-0-0)",320.30,313.47,307.96,305.56,304.95,317.45,321.61,322.80,320.84,315.61,303.91,298.54,312.81
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",351.00,352.50,351.25,348.75,343.75,348.33,355.00,358.75,356.25,348.33,352.50,353.75,351.68
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",195.00,204.00,187.50,177.00,195.00,202.50,203.00,214.00,215.00,218.00,220.60,213.40,203.75
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",373.25,374.00,373.00,368.40,365.60,373.75,369.60,368.40,366.00,358.00,363.00,364.40,368.12
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",331.25,336.80,328.40,332.00,333.00,353.75,337.00,334.00,335.00,338.40,335.00,331.40,335.50
