"Geolocation","Fertilizer Grade","2011 January","2011 February","2011 March","2011 April","2011 May","2011 June","2011 July","2011 August","2011 September","2011 October","2011 November","2011 December","2011 Annual"
"PHILIPPINES","Ammophos (16-20-0)",1002.31,1020.11,1023.68,1030.03,1035.71,1052.49,1074.62,1080.83,1082.75,1096.39,1105.68,1113.97,1059.88
"PHILIPPINES","Ammosul (21-0-0)",587.46,610.30,617.03,618.95,621.04,640.84,683.54,696.72,713.35,737.79,746.38,752.96,668.86
"PHILIPPINES","Complete (14-14-14)",1110.63,1132.43,1137.67,1142.93,1151.60,1172.81,1194.50,1198.38,1205.45,1235.16,1250.63,1266.63,1183.23
"PHILIPPINES","Urea (45-0-0)",1060.14,1085.59,1096.99,1100.84,1098.88,1149.71,1239.59,1262.65,1279.47,1314.01,1327.99,1339.59,1196.29
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",968.80,995.00,1007.00,1016.40,1011.75,1014.38,1035.00,1055.00,1054.00,1061.20,1067.50,1091.60,1031.47
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",604.00,621.50,623.00,621.60,620.25,630.75,666.00,680.00,689.00,742.00,723.50,731.20,662.73
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",1062.33,1080.00,1087.92,1083.67,1088.75,1105.83,1134.33,1166.25,1182.92,1214.33,1202.92,1240.67,1137.49
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",1031.67,1075.63,1089.79,1081.50,1067.92,1085.42,1176.67,1213.75,1237.50,1267.33,1266.67,1307.00,1158.40
"....Abra","Ammophos (16-20-0)",924.00,940.00,950.00,964.00,977.50,970.00,980.00,980.00,980.00,964.00,1015.00,1050.00,974.54
