"Geolocation","Fertilizer Grade","2007 January","2007 February","2007 March","2007 April","2007 May","2007 June","2007 July","2007 August","2007 September","2007 October","2007 November","2007 December","2007 Annual"
"PHILIPPINES","Ammophos (16-20-0)",724.50,724.69,724.98,728.32,741.32,777.18,794.65,799.91,803.10,806.67,814.54,837.56,773.12
"PHILIPPINES","Ammosul (21-0-0)",471.75,480.25,492.20,505.57,524.63,547.21,556.25,559.83,562.43,562.19,564.04,577.34,533.64
"PHILIPPINES","Complete (14-14-14)",757.02,760.78,761.31,764.95,775.98,800.80,819.27,822.87,824.94,830.42,833.40,865.80,801.46
"PHILIPPINES","Urea (45-0-0)",900.21,912.26,940.29,966.90,980.88,982.84,981.71,966.45,951.05,951.11,953.15,968.42,954.61
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",703.50,705.50,709.40,709.00,714.25,746.80,750.00,761.50,784.80,792.75,792.75,806.95,748.10
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",504.65,506.00,510.68,505.30,508.00,566.20,577.25,587.65,583.48,581.65,582.70,587.76,550.11
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",760.46,765.21,767.17,765.33,768.46,795.50,792.71,791.50,818.00,839.46,841.25,860.60,797.14
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",909.79,911.25,933.00,936.04,955.00,971.03,975.92,965.21,939.50,946.25,947.50,952.57,945.26
"....Abra","Ammophos (16-20-0)",690.00,690.00,690.00,690.00,690.00,740.00,740.00,760.00,780.00,780.00,770.00,788.00,734.00
"....Abra","Ammosul (21-0-0)",440.00,440.00,440.00,440.00,440.00,550.00,550.00,550.00,520.00,520.00,520.00,542.00,496.00
"....Abra","Complete (14-14-14)",706.25,720.00,720.00,720.00,720.00,780.00,780.00,790.00,800.00,800.00,795.00,832.00,763.60
"....Abra","Urea (45-0-0)",915.00,940.00,940.00,940.00,940.00,962.00,970.00,970.00,888.00,885.00,885.00,900.00,927.92
"....Apayao","Ammophos (16-20-0)",672.50,682.50,692.00,690.00,690.00,694.00,690.00,680.00,744.00,780.00,780.00,835.00,719.17
"....Apayao","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Complete (14-14-14)",697.50,700.00,708.00,700.00,700.00,704.00,700.00,690.00,754.00,790.00,790.00,884.00,734.79
"....Apayao","Urea (45-0-0)",902.50,910.00,946.00,942.50,955.00,960.00,960.00,940.00,912.00,900.00,905.00,954.00,932.25
"....Benguet","Ammophos (16-20-0)",730.00,730.00,730.00,730.00,738.75,780.00,780.00,780.00,780.00,780.00,780.00,780.00,759.90
"....Benguet","Ammosul (21-0-0)",510.00,510.00,510.00,510.00,512.50,600.00,600.00,600.00,600.00,600.00,600.00,600.00,562.71
"....Benguet","Complete (14-14-14)",730.00,730.00,730.00,730.00,742.50,780.00,780.00,780.00,780.00,780.00,780.00,780.00,760.21
"....Benguet","Urea (45-0-0)",900.00,900.00,900.00,900.00,985.00,985.00,985.00,967.50,950.00,950.00,950.00,950.00,943.54
"....Ifugao","Ammophos (16-20-0)",750.00,750.00,750.00,750.00,750.00,786.00,800.00,822.50,830.00,830.00,830.00,830.00,789.88
"....Ifugao","Ammosul (21-0-0)",460.00,460.00,460.00,450.00,450.00,486.00,530.00,587.50,600.00,600.00,600.00,600.00,523.63
"....Ifugao","Complete (14-14-14)",750.00,750.00,750.00,750.00,750.00,798.00,805.00,800.00,816.00,820.00,825.00,830.00,787.00
"....Ifugao","Urea (45-0-0)",890.00,882.50,880.00,870.00,870.00,938.00,960.00,987.50,996.00,1000.00,980.00,956.00,934.17
"....Kalinga","Ammophos (16-20-0)",675.00,675.00,685.00,685.00,702.50,734.00,740.00,765.00,790.00,793.75,803.75,805.00,737.83
"....Kalinga","Ammosul (21-0-0)",438.75,440.00,460.00,460.00,485.00,535.00,550.00,550.00,550.00,542.50,545.00,545.00,508.44
"....Kalinga","Complete (14-14-14)",685.00,685.00,690.00,690.00,720.00,760.00,760.00,780.00,800.00,803.75,813.75,815.00,750.21
"....Kalinga","Urea (45-0-0)",847.50,850.00,950.00,967.50,970.00,970.00,970.00,922.50,850.00,842.50,870.00,870.00,906.67
"....Mountain Province","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Ammosul (21-0-0)",674.50,680.00,683.40,666.50,652.50,660.00,656.25,650.75,647.40,645.75,648.50,651.80,659.78
"....Mountain Province","Complete (14-14-14)",994.00,1006.25,1005.00,1002.00,978.25,951.00,931.25,909.00,958.00,1043.00,1043.75,1022.60,987.01
"....Mountain Province","Urea (45-0-0)",1003.75,985.00,982.00,996.25,1010.00,1011.20,1010.50,1003.75,1041.00,1100.00,1095.00,1085.40,1026.99
"..REGION I (ILOCOS REGION)","Ammophos (16-20-0)",688.75,694.06,695.75,694.38,714.38,740.25,762.50,766.25,771.25,771.25,765.00,776.00,736.65
"..REGION I (ILOCOS REGION)","Ammosul (21-0-0)",461.25,466.25,473.50,494.38,523.75,535.00,542.50,536.25,530.75,523.13,522.50,526.50,511.31
"..REGION I (ILOCOS REGION)","Complete (14-14-14)",699.38,736.88,745.50,730.00,751.25,776.00,803.44,799.38,803.75,799.38,795.31,818.50,771.56
