Indicator,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Inflation Rate (%),6.9,8.3,5.7,9.4,6.1,6.6,5.4,2.7,2.3,4.8,6.6,5.5,2.9,8.2,4.2,3.8,4.7,3.1,2.6,3.6,0.7,1.3,2.9,5.2
Consumer Price Index (2012=100),41.6,45.1,47.6,52.1,55.3,58.9,62.1,63.8,65.2,68.4,72.9,76.9,79.1,85.6,89.2,92.6,97.0,100.0,102.6,106.3,107.0,108.4,111.5,117.3
