# Palay and Corn: Area Harvested by Crop and Year
Crop,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Palay,3255900.00,3392670.00,3497280.00,3318720.00,3424960.00,3198070.00,3282350.00,3651530.00,3758691.00,3951136.00,3842270.00,3170042.00,3999839.00,4038085.00,4065441.00,4046318.00,4006421.00,4126645.00,4070421.00,4159930.00,4272889.00,4459977.00,4532310.00,4354161.00,4536642.00,4690061.17,4746091.35,4739672.16,4656227.14,4556042.79,4811807.77,4800406.09
Corn,3682650.00,3745070.00,3689240.00,3819560.00,3589460.00,3331410.00,3149340.00,3005820.00,2692332.00,2735723.00,2725875.00,2354208.00,2642208.00,2510342.00,2486588.00,2395456.00,2409828.00,2527135.00,2441788.00,2570673.00,2648317.00,2661021.00,2683890.00,2499040.00,2544612.00,2593923.59,2563718.32,2611431.80,2561934.25,2484465.30,2552592.25,2511436.27
