Type of Valuation,Geolocation,Subsector,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
Current Prices,BARMM,CROPS,-26.8,16.5,2.7,37.7,13.4,4.7,5.4,13.6,-1.2,25.2,0.4,4.1,10.1,3.7,-10.9,9.2,17.8,2.2,3.9,5.3,3.6,12.5
Current Prices,BARMM,..Palay,29.3,1.2,-14.2,54.5,10.6,4.7,19.5,29.7,-14.8,25.2,-19.8,6.5,10.7,9.7,-18.2,15.7,2.5,18.0,-1.6,2.8,18.4,9.4
Current Prices,BARMM,..Corn,1.4,-5.3,3.4,33.5,-6.4,9.0,38.2,7.3,4.5,-0.9,1.2,3.7,-18.4,18.9,-12.4,-13.5,43.2,25.5,15.8,-15.4,34.0,28.3
Current Prices,BARMM,..Banana,-2.5,0.3,27.6,84.1,26.1,-8.2,1.7,-20.4,37.8,17.6,-35.6,119.3,42.7,8.6,15.3,11.0,13.8,12.0,-13.0,0.4,-8.1,11.2
Current Prices,BARMM,..Coconut,-34.0,25.8,18.6,28.1,44.2,-5.4,-18.7,47.5,-21.4,84.4,-4.5,-27.1,15.6,30.0,-3.2,18.3,9.5,-20.6,-11.8,14.4,4.5,16.1
Current Prices,BARMM,..Cassava,-74.1,128.5,3.0,27.3,-9.3,34.3,-7.9,6.4,22.7,-3.9,54.2,6.7,18.1,-16.4,-29.9,10.0,23.2,-9.0,29.5,29.7,-21.9,-1.8
Current Prices,BARMM,..Rubber,31.0,11.7,67.5,70.8,10.6,30.4,9.2,14.2,-21.4,106.5,40.5,-23.1,-9.5,-28.8,-13.0,8.3,44.8,-16.1,12.2,-16.4,27.3,10.9
Current Prices,BARMM,..Coffee,-24.0,6.3,24.2,-0.7,10.1,-3.0,4.6,23.2,-4.3,7.2,-9.0,6.4,3.8,0.7,3.8,5.7,15.2,1.8,6.1,1.7,-8.9,11.4
Current Prices,BARMM,..Mango,8.5,-10.4,-12.2,-28.0,-1.7,15.9,5.2,-30.8,41.0,-16.3,-36.8,43.9,-2.7,79.0,-19.4,59.3,83.4,-26.3,7.9,2.8,40.2,-11.4
Current Prices,BARMM,..Durian,4.9,22.7,-18.4,27.4,94.8,-47.0,2.2,-25.7,-27.3,97.3,-97.8,3707.0,-47.3,-29.8,81.6,15.7,-13.3,2.9,22.0,6.4,22.6,2.0
Current Prices,BARMM,..Abaca,-3.0,-24.8,33.8,31.5,45.6,20.1,16.1,41.0,-13.0,-11.4,32.4,9.5,-18.7,16.3,4.7,16.1,19.0,3.2,-0.7,0.3,-2.1,1.3
Current Prices,BARMM,..Sugarcane,55115.9,170.2,86.3,11.1,-48.5,6.3,112.7,-4.2,-27.6,67.2,14.3,56.2,-2.8,-13.4,66.2,-66.2,128.7,19.1,-18.1,27.8,28.3,47.6
Current Prices,BARMM,..Mongo,1.3,-1.7,4.5,-18.5,2.8,44.8,-10.5,12.0,1.8,29.5,33.7,-18.6,-2.5,8.2,2.5,9.5,-2.2,-1.6,14.9,-8.7,21.0,-11.7
Current Prices,BARMM,..Sweet Potato,45.5,-10.3,-11.4,24.9,27.4,-3.3,8.6,-12.7,4.6,17.5,25.0,24.5,22.0,-2.6,0.0,15.5,5.7,1.5,4.1,-7.6,-16.4,21.3
Current Prices,BARMM,..Oil Palm (fresh fruit bunch),,,-90.7,64.8,-33.8,-86.0,158.4,109.4,-10.6,200.8,3391.7,171.9,62.5,-50.0,-61.1,-2.0,3.7,-0.4,-27.0,30.3,4.3,8.1
Current Prices,BARMM,"..Jackfruit, ripe",-4.6,-8.2,17.1,-16.0,32.7,-9.5,10.7,2.6,-7.5,-13.3,-26.7,-3.1,19.6,5.0,-3.5,78.2,-31.7,50.5,-12.9,-37.6,17.3,1.7
Current Prices,BARMM,..Lanzones,-16.8,-41.6,-35.0,16.6,159.4,-27.2,-6.8,-99.1,3372.3,307.8,-99.0,2247.8,139.6,-86.0,28.6,22.2,-17.1,-5.1,-13.0,9.6,116.6,-0.2
Current Prices,BARMM,..Black Pepper,-9.0,-49.2,1.6,250.3,-18.0,-38.8,-100.0,,18.8,-0.9,-42.5,32.4,53.3,7.5,8.1,6.8,29.4,2.1,10.4,1.4,5.7,-47.3
Current Prices,BARMM,..Papaya,-30.1,5.4,-4.6,9.8,10.2,-13.7,1.9,3.3,11.4,-6.9,-10.1,-3.0,-7.0,8.0,11.4,62.0,16.7,-1.1,-10.0,-33.5,2.9,1.6
Current Prices,BARMM,..Calamansi,-14.0,-21.1,51.0,63.3,-16.0,2.6,12.6,-9.3,6.5,-14.3,-13.2,25.0,22.2,4.9,10.4,18.1,27.8,1.0,0.6,11.6,-9.9,-0.1
Current Prices,BARMM,..Mangosteen,-23.0,29.6,-16.7,323.6,-9.4,5.4,-79.1,-97.6,661.6,1066.0,-99.6,17622.4,11.8,-69.2,26.9,32.1,19.5,-1.2,-30.0,4.8,112.5,8.5
Current Prices,BARMM,..Ginger,27.9,43.7,39.7,10.5,-14.3,-13.9,-19.3,83.2,7.9,2.0,29.8,-31.4,33.6,84.3,24.0,-46.0,2.2,7.4,7.7,42.6,-43.5,37.5
Current Prices,BARMM,..Peanut,-13.6,0.5,9.8,-1.8,30.0,-20.4,-1.6,9.6,9.7,-0.2,9.0,8.5,5.8,17.7,19.8,1.9,6.6,-8.2,1.5,1.8,-6.1,-15.1
Current Prices,BARMM,..Other Crops,30.9,-7.1,-17.7,22.2,11.2,-13.6,2.2,5.4,-8.4,17.0,-5.6,4.6,0.5,9.2,3.0,31.6,105.2,19.9,22.1,-5.0,-3.2,-1.3
Current Prices,BARMM,LIVESTOCK,20.4,7.2,3.7,31.9,1.6,7.4,24.8,14.4,24.5,19.2,-2.9,-14.2,-9.0,-0.3,-5.1,3.0,14.7,14.6,8.1,-1.2,11.9,35.5
Current Prices,BARMM,..Hog,15.7,2.0,-13.7,45.2,10.7,10.9,28.2,15.3,46.6,6.0,15.4,-19.3,-8.5,3.8,-11.8,-6.5,11.8,16.6,6.9,4.1,13.0,84.9
Current Prices,BARMM,..Cattle,12.9,-2.5,11.5,22.1,-0.6,4.6,17.9,10.6,21.2,35.8,-11.2,-25.7,1.9,-4.3,-1.1,9.9,8.7,9.3,8.1,0.9,-4.2,18.0
Current Prices,BARMM,..Carabao,39.7,61.3,-8.9,49.4,-21.3,14.7,22.4,36.6,5.5,13.8,-12.8,26.5,-31.4,2.5,-2.6,0.9,18.1,14.5,7.3,-10.5,33.5,22.8
Current Prices,BARMM,..Goat,41.5,-11.7,39.2,20.0,33.5,2.1,39.0,-1.4,22.7,13.1,-1.2,-18.8,2.4,-2.3,-3.2,7.4,29.3,22.5,10.6,-2.8,20.4,8.8
Current Prices,BARMM,POULTRY,17.5,6.0,19.4,12.2,-9.4,-1.8,17.9,0.2,-4.1,2.1,-10.4,1.7,0.4,-7.3,1.2,-7.2,49.8,9.7,-15.3,21.4,24.2,0.0
Current Prices,BARMM,..Chicken,21.1,4.5,20.7,11.9,-11.9,-6.1,16.4,-4.3,-12.2,15.3,-3.9,-12.5,0.6,-7.1,0.6,-5.1,2.8,12.5,10.7,12.5,25.1,13.6
