Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Processing,UT Total Carcass Net Food Disposable,UT Carcass Per Capita (kg/yr),UT Carcass Per Capita (gm/day),UT Total Offals Net Food Disposable,UT Offals Per Capita (kg/yr),UT Offals Per Capita (gm/day)
Beef,1990,99050.90,10881.00,109931.90,0.00,9905.09,86931.00,1.41,3.87,13095.81,0.21,0.58
Beef,1991,94983.37,10685.00,105668.37,0.00,9498.34,83179.00,1.32,3.62,12991.03,0.21,0.57
Beef,1992,97825.95,14859.00,112684.95,0.00,9782.60,89504.50,1.39,3.82,13397.86,0.21,0.57
Beef,1993,106500.23,17218.00,123718.23,0.00,10650.02,98640.50,1.51,4.13,14427.71,0.22,0.60
Beef,1994,114611.86,26977.00,141588.86,0.00,11461.19,114382.50,1.67,4.57,15745.17,0.23,0.63
Beef,1995,124886.19,26195.00,151081.19,0.00,12488.62,121547.00,1.78,4.87,17045.57,0.25,0.68
Beef,1996,136174.47,32663.00,168837.47,0.00,13617.45,136169.00,1.95,5.33,19051.03,0.27,0.75
Beef,1997,147391.26,39609.00,187000.26,0.00,14739.13,151507.10,2.12,5.80,20754.03,0.29,0.79
Beef,1998,152860.15,29783.00,182643.15,0.00,15286.02,146689.05,2.01,5.49,20668.09,0.28,0.77
Beef,1999,158971.42,36371.00,195342.42,0.00,15897.14,157766.20,2.11,5.78,21679.08,0.29,0.79
Beef,2000,159158.97,43883.00,203041.97,0.00,15915.90,164652.20,2.15,5.90,22473.87,0.29,0.80
Beef,2001,153079.36,29569.00,182648.36,20.00,15307.94,146279.35,1.88,5.14,21041.07,0.27,0.74
Beef,2002,153006.09,32549.00,185555.09,0.00,15300.61,149182.10,1.88,5.14,21072.38,0.27,0.73
Beef,2003,151486.34,34355.00,185841.34,0.00,15148.63,149077.25,1.84,5.04,21615.45,0.27,0.73
Beef,2004,150030.46,46768.00,196798.46,0.00,15003.05,159858.45,1.93,5.30,21936.97,0.27,0.73
Beef,2005,144619.59,30829.00,175448.59,0.00,14461.96,140777.05,1.65,4.52,20209.58,0.24,0.65
Beef,2006,139652.39,33695.71,173348.10,0.00,13965.24,138824.51,1.60,4.37,20558.35,0.24,0.65
Beef,2007,138830.09,44821.04,183651.14,52.74,13883.01,148957.17,1.68,4.61,20758.22,0.23,0.64
Beef,2008,140169.33,49836.65,190005.98,,14016.93,153457.00,1.70,4.65,22531.99,0.25,0.68
Beef,2009,143653.11,41541.24,185194.35,0.00,14365.31,148455.00,1.63,4.47,22374.04,0.25,0.67
