Commodity,Item,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cassava,CASH COSTS,,2824,3774,3882,4029,4143,4527,5018,5534,5786,6045,7959,7427,7366,7862,8453,18053,18804,18647,19382,19757,20889,22295,23547,24893
Cassava,..Seeds/Planting materials,,77,71,72,64,64,82,83,79,104,95,108,117,116,130,144,427,365,305,255,293,261,300,340,325
Cassava,..Fertilizer,,548,545,586,698,689,861,1166,1450,1441,1529,3031,2269,2027,2219,2413,3210,3656,3487,3471,3330,3393,3516,3132,3867
Cassava,..Pesticides,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,288,286,287,281,270,312,291,319
Cassava,..Hired labor,,1283,2198,2219,2220,2293,2407,2510,2657,2768,2877,3138,3240,3323,3472,3702,7443,8224,8835,9117,9261,10116,10629,11543,12218
Cassava,..Land Tax,,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,98,99,100,101,102,103,104,105,106
Cassava,..Caretaker/ Overseer's wages,,,,,,,,,,,,,,,,,158,170,175,180,183,200,210,222,235
Cassava,..Rentals,,299,305,308,297,304,337,348,357,402,399,421,442,447,479,518,1265,1214,1142,1232,1286,1367,1494,1629,1646
Cassava,..Fuel and oil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Cassava,..Fuel,,,,,,,,,,,,,,,,,66,60,57,55,58,62,62,60,64
Cassava,..Oil,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava,..Transport of Inputs,,18,19,22,25,25,26,29,34,38,38,42,40,42,46,47,59,59,59,57,60,64,65,67,73
Cassava,..Interest payment on crop loan,,280,308,339,373,410,451,496,546,601,661,727,800,880,968,1065,118,130,143,157,173,190,209,230,253
Cassava,..Storage costs,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava,..Electricity,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava,..Water,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava,..Landowner's share,,,,,,,,,,,,,,,,,3622,3095,2587,2971,3209,3295,3780,4281,4095
Cassava,..Repairs,,124,126,131,139,141,142,153,165,174,180,194,205,208,213,222,1142,1183,1205,1227,1243,1272,1312,1338,1365
Cassava,..Food expenses,,168,175,178,186,190,194,206,219,231,239,271,287,296,308,315,192,205,210,214,220,235,239,246,259
Cassava,..Other costs paid in cash,,,,,,,,,,,,,,,,,53,55,56,57,58,61,63,65,67
