"Corn:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by Region, Area Harvested and Year by PHILIPPINES, FERTILIZER and Year"

"PHILIPPINES","FERTILIZER","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Area Applied",20279.00,..,9586.00,12138.00,14482.00,52963.00,44201.00,47846.00,56051.00,57294.87,61639.00,56118.76,54297.43,45730.07,58663.63,52227.74,46797.20,60849.00,57548.46
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Average Quantity Applied",5.46,..,2.89,4.22,6.04,4.89,4.45,4.57,4.43,5.31,4.81,6.20,6.70,6.44,6.23,6.53,7.06,6.05,5.95
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea",3.22,..,1.74,2.10,2.94,2.83,2.38,2.39,2.53,2.76,2.40,3.34,3.32,3.23,3.43,3.65,4.17,3.64,3.36
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul",0.12,..,0.28,0.08,0.50,0.30,0.12,0.21,0.01,0.28,0.21,0.12,0.69,0.10,0.14,0.40,0.23,0.15,0.22
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos",0.86,..,0.32,0.62,0.85,0.58,0.97,0.75,0.80,0.85,1.01,1.40,1.29,1.24,1.09,0.99,1.13,0.60,0.36
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete",1.03,..,0.55,1.40,1.64,1.13,0.95,1.21,1.08,1.42,1.19,1.34,1.40,1.87,1.56,1.49,1.53,1.66,2.01
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Others",0.23,..,..,0.01,0.11,0.06,0.02,..,..,..,..,..,0.00,..,0.00,0.00,0.00,0.00,0.01
"..REGION I (ILOCOS REGION)","Area Applied",51197.00,39321.00,55444.00,54993.00,68946.00,74460.00,70681.00,75317.00,77183.00,81775.20,84106.00,57220.00,88194.31,93696.09,92170.49,89190.44,60743.83,94522.00,94909.00
"..REGION I (ILOCOS REGION)","Average Quantity Applied",6.67,6.52,6.98,6.97,6.51,6.58,6.28,5.78,6.91,8.45,6.79,7.99,9.65,9.12,9.88,10.07,10.31,7.87,8.29
"..REGION I (ILOCOS REGION)","Urea",4.06,3.49,4.59,4.44,3.61,3.25,3.57,3.34,4.33,5.17,4.07,4.55,5.25,5.13,5.70,5.12,5.52,4.44,4.23
"..REGION I (ILOCOS REGION)","Ammosul",0.26,0.87,0.56,0.50,0.13,1.01,0.63,0.73,0.73,0.39,0.36,0.64,0.75,0.61,0.52,1.03,0.71,0.32,0.31
"..REGION I (ILOCOS REGION)","Ammophos",0.06,0.07,0.18,0.10,0.31,0.06,0.05,0.05,0.06,0.01,0.01,0.01,0.07,0.00,0.01,0.02,0.26,0.12,0.14
"..REGION I (ILOCOS REGION)","Complete",2.30,2.09,1.56,1.92,2.16,2.09,2.03,1.66,1.80,2.88,2.35,2.80,3.58,3.38,3.65,3.91,3.82,2.99,3.18
"..REGION I (ILOCOS REGION)","Others",..,..,0.09,0.01,0.29,0.18,0.01,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.43
"..REGION II (CAGAYAN VALLEY)","Area Applied",227345.00,172335.00,219685.00,313493.00,308886.00,388888.00,413149.00,387901.00,422095.00,427882.66,416740.00,363013.07,499112.63,431474.98,454142.12,441659.31,422361.86,426010.24,431504.00
"..REGION II (CAGAYAN VALLEY)","Average Quantity Applied",6.47,6.26,5.96,5.87,5.42,6.13,5.75,5.57,5.72,6.60,6.97,6.90,6.65,7.20,7.03,7.22,7.56,8.20,7.58
"..REGION II (CAGAYAN VALLEY)","Urea",3.28,2.76,2.91,1.86,2.97,3.03,3.03,3.04,3.15,3.50,3.44,3.90,3.71,4.12,3.61,4.01,3.77,3.49,3.36
