# Import Dependency Ratio (IDR) of Selected Agricultural Commodities
Commodity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Rice,9.0,,0.0,3.2,,3.7,10.5,8.9,28.0,9.8,7.3,8.7,12.1,9.1,9.6,16.0,14.6,14.5,18.1,14.2,18.7,6.1,8.1,3.2,8.1,11.1,5.0,6.6,13.8,20.2,15.0,18.5,23.0
Corn,6.7,,0.0,0.0,0.0,4.8,8.9,6.6,10.8,3.2,9.0,3.7,6.1,2.1,0.4,1.3,4.8,2.2,0.3,4.1,1.4,0.9,1.8,4.4,6.9,8.7,10.0,5.7,11.6,5.4,8.6,5.2,10.1
Coffee,,,0.0,0.0,0.0,0.0,,2.4,10.5,4.5,10.6,6.4,18.1,19.1,16.0,32.3,15.4,44.9,40.0,47.5,45.3,45.1,54.8,53.4,28.1,67.0,68.1,55.7,57.8,53.9,60.4,55.6,61.9
Banana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamansi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomelo,,,,0.3,0.0,0.1,,0.0,0.0,,0.1,,0.0,0.5,,,,,,,,,,,,,,,,,,,
Tomato,,,,,,,,0.0,,,0.1,0.0,0.1,,,,,,,,,0.5,0.0,,,,,,,,,,
Garlic,1.1,2.3,2.3,3.7,,,8.3,21.2,43.9,67.5,27.2,33.1,57.9,63.4,67.2,78.2,82.3,81.8,83.0,77.9,71.8,71.3,51.9,28.1,76.9,87.1,89.1,90.0,91.3,92.1,92.9,94.1,94.5
Onion,0.3,,,0.4,,,1.8,1.0,12.3,16.3,11.1,18.9,7.8,16.0,10.8,32.6,49.5,2.2,35.2,7.6,7.8,4.1,13.4,6.1,4.3,16.0,52.6,15.6,38.5,9.5,27.6,31.8,9.7
Cabbage,,,0.1,,,,,,0.0,0.3,,0.0,0.1,0.1,,,,,,,,,,,,,,,,,,0.1,
Eggplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peanut,49.9,45.8,45.2,48.9,53.0,53.0,63.8,66.8,63.7,63.0,64.7,65.0,64.1,58.0,58.3,58.3,63.7,38.3,35.1,69.8,69.9,67.3,64.4,54.6,69.5,71.6,72.5,75.0,75.3,75.0,69.9,71.5,75.5
Mongo,39.4,31.3,38.2,22.9,45.6,47.6,51.2,49.7,46.5,58.4,57.2,60.0,57.9,61.4,59.3,53.6,54.2,53.4,56.0,52.5,53.6,42.9,49.9,51.0,47.2,47.8,47.9,50.8,51.0,50.0,52.5,58.1,58.1
Cassava,,,,,,,,,,,,,,0.4,0.7,,0.2,,,,1.2,0.3,,0.7,0.4,,,,,,,,
Sweet Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,,,,,0.0,0.2,,,0.0,0.5,1.0,2.2,2.8,8.3,9.7,13.1,10.0,4.3,4.3,1.5,4.8,6.4,5.0,3.6,5.3,14.5,14.8,14.7,16.6,18.1,19.0,20.0,21.1
Beef,8.5,8.7,11.4,12.0,16.6,15.1,16.9,18.3,14.0,16.1,18.8,13.9,15.1,16.0,20.7,15.1,16.8,20.1,21.3,18.0,20.5,19.9,24.9,25.0,30.0,29.2,32.7,35.7,39.0,40.3,41.4,46.3,50.0
Carabeef,,,,0.7,12.8,21.7,29.3,33.0,24.7,29.3,35.7,39.6,40.7,41.2,45.1,45.4,41.7,36.1,38.4,31.8,31.8,27.3,30.3,25.0,32.0,33.7,31.5,32.7,34.9,28.3,30.6,36.3,38.4
