"Poultry: Supply Utilization Accounts"

"Commodity","Year","SU Production","SU Imports","SU Gross Supply","UT Exports","UT Egg Hatched","UT Processing","UT Total Net Food Disposable","UT Per Capita kg/yr","UT Per Capita gm/day"
"Chicken (Dressed)","1990",430930.50,190.00,431120.50,0.00,.,.,431120.50,7.01,19.21
"Chicken (Dressed)","1991",444967.60,34.00,445001.60,82.00,.,.,444919.67,7.08,19.39
"Chicken (Dressed)","1992",502032.30,41.47,502073.77,0.00,.,.,502073.77,7.81,21.41
"Chicken (Dressed)","1993",522645.20,112.68,522757.88,0.00,.,.,522757.88,7.99,21.89
"Chicken (Dressed)","1994",546284.20,198.55,546482.75,0.00,.,.,546482.75,7.96,21.82
"Chicken (Dressed)","1995",575844.50,191.07,576035.57,0.00,.,.,576035.57,8.43,23.09
"Chicken (Dressed)","1996",655893.70,200.00,656093.70,0.00,.,.,656093.70,9.38,25.70
"Chicken (Dressed)","1997",715855.91,965.87,716821.78,0.00,.,.,716821.78,10.02,27.45
"Chicken (Dressed)","1998",707975.73,2417.00,710392.73,0.00,.,.,710392.73,9.71,26.61
"Chicken (Dressed)","1999",715453.20,29387.60,744840.80,0.00,.,.,744840.80,9.96,27.30
"Chicken (Dressed)","2000",769473.32,16789.93,786263.25,6.00,.,.,786257.52,10.28,28.16
"Chicken (Dressed)","2001",846070.61,11154.05,857224.66,25.00,.,.,857199.50,11.00,30.14
"Chicken (Dressed)","2002",904933.26,12175.77,917109.03,25.00,.,.,917083.87,11.54,31.60
"Chicken (Dressed)","2003",915328.26,13640.22,928968.48,22.00,.,.,928946.76,11.46,31.39
"Chicken (Dressed)","2004",948481.38,20545.77,969027.15,1244.00,.,.,967783.06,11.71,32.08
"Chicken (Dressed)","2005",936068.98,26210.49,962279.47,3599.00,.,.,958680.05,11.25,30.81
"Chicken (Dressed)","2006",928582.27,33629.14,962211.41,419.00,.,.,961792.35,11.06,30.30
"Chicken (Dressed)","2007",932948.94,38335.53,971284.47,3585.00,.,.,967699.47,10.93,29.93
"Chicken (Dressed)","2008",986634.11,43758.15,1030392.26,3267.00,.,.,1027125.31,11.35,31.11
"Chicken (Dressed)","2009",1001691.46,61444.00,1063135.46,4548.00,.,.,1058587.46,11.63,31.86
"Chicken (Dressed)","2010",1041907.79,98004.00,1139911.79,5505.00,.,.,1134406.79,12.18,33.37
"Chicken (Dressed)","2011",1089002.68,112109.00,1201111.68,9902.00,.,.,1191209.68,12.56,34.42
"Chicken (Dressed)","2012",1139164.95,107258.00,1246422.95,5800.00,.,.,1240622.95,12.85,35.22
"Chicken (Dressed)","2013",1197403.90,98727.00,1296130.90,6084.00,.,.,1290046.90,13.14,35.99
"Chicken (Dressed)","2014",1210256.74,166605.00,1376861.74,8405.00,.,.,1368456.74,13.70,37.54
"Chicken (Dressed)","2015",1278826.01,190529.00,1469355.01,3700.00,.,.,1465655.01,14.43,39.54
"Chicken (Dressed)","2016",1289368.85,235770.02,1525138.87,2398.58,.,.,1522740.29,14.75,40.41
"Chicken (Dressed)","2017",1344334.08,55418.85,1399752.93,355.61,.,.,1399397.32,13.43,36.81
"Chicken (Dressed)","2018",1414230.97,96326.67,1510557.64,362.71,.,.,1510194.93,14.28,39.12
"Chicken (Dressed)","2019",1484108.76,114740.90,1598849.66,1169.36,.,.,1597680.30,14.89,40.80
"Chicken (Dressed)","2020",1393586.46,106487.32,1500073.78,251.38,.,.,1499822.40,13.79,37.78
"Chicken (Dressed)","2021",1343496.28,166057.88,1509554.16,125.28,.,.,1509428.88,13.70,37.53
"Chicken (Dressed)","2022",1437322.32,193990.96,1631313.28,63.31,.,.,1631249.97,14.62,40.06
"Duck (Dressed)","1990",26880.00,52.96,26932.96,0.00,.,.,26932.96,0.44,1.20
"Duck (Dressed)","1991",26872.50,6.30,26878.80,0.00,.,.,26878.80,0.43,1.17
"Duck (Dressed)","1992",29317.50,8.60,29326.10,0.00,.,.,29326.10,0.46,1.25
"Duck (Dressed)","1993",31245.00,60.95,31305.95,0.00,.,.,31305.95,0.48,1.31
"Duck (Dressed)","1994",33000.00,150.74,33150.74,0.00,.,.,33150.74,0.48,1.32
"Duck (Dressed)","1995",35527.50,189.03,35716.53,b/,.,.,35716.19,0.52,1.43
"Duck (Dressed)","1996",38212.50,260.79,38473.29,1.31,.,.,38471.98,0.55,1.51
"Duck (Dressed)","1997",38078.25,421.84,38500.09,0.70,.,.,38499.39,0.54,1.47
