"Nuts: Supply Utilization Accounts"

"Commodity","Year","SU Production","SU Imports","SU Gross Supply","UT Exports","UT Seeds","UT Feeds and Waste","UT Processing","UT Total Net Food Disposable","UT Per Capita (kg/yr)","UT Per Capita (gm/day)"
"Cashew Nut","1990",9767,0,9767,2622,103,36,18,6989,0.11,0.31
"Cashew Nut","1991",9828,1,9829,3645,103,31,15,6035,0.10,0.26
"Cashew Nut","1992",9911,18,9929,3098,103,34,17,6677,0.10,0.28
"Cashew Nut","1993",9851,18,9869,3119,103,34,17,6596,0.10,0.28
"Cashew Nut","1994",12375,8,12383,1152,112,56,28,11035,0.16,0.44
"Cashew Nut","1995",15357,3,15360,1122,113,71,36,14018,0.21,0.56
"Cashew Nut","1996",6160,55,6215,298,115,30,15,5757,0.08,0.23
"Cashew Nut","1997",17324,237,17561,555,116,85,43,16763,0.23,0.64
"Cashew Nut","1998",16856,92,16948,3098,115,69,35,13631,0.19,0.51
"Cashew Nut","1999",11117,108,11225,8,115,56,28,11018,0.15,0.40
"Cashew Nut","2000",11102,45,11147,0,112,56,28,10951,0.14,0.39
"Cashew Nut","2001",11115,210,11325,0,112,57,28,11128,0.14,0.39
"Cashew Nut","2002",11122,148,11270,1220,111,50,25,9863,0.12,0.34
"Cashew Nut","2003",11129,240,11369,2176,111,46,23,9013,0.11,0.30
"Cashew Nut","2004",11691,167,11858,2223,111,48,24,9452,0.11,0.31
"Cashew Nut","2005",11653,144,11797,1589,111,51,26,10021,0.12,0.32
"Cashew Nut","2006",11307,160,11467,473,110,55,27,10801,0.12,0.34
"Cashew Nut","2007",11256,55,11311,48,110,56,28,11068,0.12,0.34
"Cashew Nut","2008",11233,100,11333,15,110,57,28,11123,0.12,0.34
"Cashew Nut","2009",11199,577,11776,0,110,59,29,11578,0.13,0.35
"Cashew Nut","2010",13468,209,13677,541,112,66,33,12925,0.14,0.38
"Cashew Nut","2011",13339,60,13399,150,113,66,33,13037,0.14,0.38
"Cashew Nut","2012",13254,196,13450,6,113,67,34,13230,0.14,0.38
"Cashew Nut","2013",14629,28,14657,814,115,69,35,13624,0.14,0.38
"Cashew Nut","2014",17085,0,17085,24,114,85,43,16819,0.17,0.46
"Cashew Nut","2015",20553,0,20553,0,115,103,51,20284,0.20,0.55
"Cashew Nut","2016",21640,0,21640,275,115,107,53,21090,0.20,0.56
"Cashew Nut","2017",22254,0,22254,797,115,107,54,21182,0.20,0.56
"Cashew Nut","2018",22861,30,22892,144,115,114,57,22463,0.21,0.58
"Cashew Nut","2019",24233,b/,24233,339,115,119,60,23600,0.22,0.60
"Cashew Nut","2020",25591,1,25592,350,119,126,63,24934,0.23,0.63
"Cashew Nut","2021",25593,b/,25593,203,119,127,63,25081,0.23,0.62
"Cashew Nut","2022",12376,b/,12376,0,99,62,31,12185,0.11,0.30
"Pili Nut","1990",2697,0,2697,0,6,13,7,2670,0.04,0.12
"Pili Nut","1991",2480,7,2487,0,6,12,6,2462,0.04,0.11
"Pili Nut","1992",2441,0,2441,0,6,12,6,2417,0.04,0.10
"Pili Nut","1993",2269,0,2269,0,6,11,6,2246,0.03,0.09
"Pili Nut","1994",2280,0,2280,0,5,11,6,2258,0.03,0.09
"Pili Nut","1995",2229,0,2229,0,5,11,6,2207,0.03,0.09
"Pili Nut","1996",2391,0,2391,0,5,12,6,2368,0.03,0.09
"Pili Nut","1997",2585,0,2585,0,5,13,6,2561,0.04,0.10
"Pili Nut","1998",3225,0,3225,0,6,16,8,3195,0.04,0.12
"Pili Nut","1999",2905,0,2905,0,7,15,7,2877,0.04,0.11
"Pili Nut","2000",3946,0,3946,0,7,20,10,3910,0.05,0.14
"Pili Nut","2001",3392,0,3392,0,8,17,8,3359,0.04,0.12
"Pili Nut","2002",4391,0,4391,0,8,22,11,4350,0.05,0.15
"Pili Nut","2003",4794,0,4794,0,8,24,12,4750,0.06,0.16
"Pili Nut","2004",4939,0,4939,0,8,25,12,4894,0.06,0.16
"Pili Nut","2005",5402,0,5402,b/,8,27,14,5353,0.06,0.17
"Pili Nut","2006",5116,0,5116,b/,9,26,13,5069,0.06,0.16
"Pili Nut","2007",5217,0,5217,2,9,26,13,5167,0.06,0.16
"Pili Nut","2008",5853,0,5853,3,9,29,15,5798,0.06,0.18
"Pili Nut","2009",6122,1,6123,2,9,31,15,6066,0.07,0.18
"Pili Nut","2010",6637,0,6637,b/,9,33,17,6579,0.07,0.19
"Pili Nut","2011",7105,1,7106,4,9,36,18,7040,0.07,0.20
"Pili Nut","2012",7933,0,7933,8,9,40,20,7856,0.08,0.22
"Pili Nut","2013",8243,0,8243,23,9,41,21,8149,0.08,0.23
"Pili Nut","2014",7316,0,7316,25,9,36,18,7227,0.07,0.20
"Pili Nut","2015",7362,0,7362,18,9,37,18,7280,0.07,0.20
"Pili Nut","2016",7291,0,7291,30,9,36,18,7197,0.07,0.19
"Pili Nut","2017",7427,27,7455,124,9,37,18,7267,0.07,0.19
"Pili Nut","2018",7649,0,7649,70,9,38,19,7513,0.07,0.19
"Pili Nut","2019",7158,0,7158,60,9,35,18,7037,0.07,0.18
"Pili Nut","2020",6331,0,6331,55,8,31,16,6222,0.06,0.16
"Pili Nut","2021",5859,0,5859,23,8,29,15,5784,0.05,0.14
"Pili Nut","2022",5735,0,5735,3,8,29,14,5682,0.05,0.14
