"Growth Rates of Value of Production in Philippine Agriculture and Fisheries"

"Type of Valuation","Subsector","2000-2001 January to December","2001-2002 January to December","2002-2003 January to December","2003-2004 January to December","2004-2005 January to December","2005-2006 January to December","2006-2007 January to December","2007-2008 January to December","2008-2009 January to December","2009-2010 January to December","2010-2011 January to December","2011-2012 January to December","2012-2013 January to December","2013-2014 January to December","2014-2015 January to December","2015-2016 January to December","2016-2017 January to December","2017-2018 January to December","2018-2019 January to December","2019-2020 January to December","2020-2021 January to December","2021-2022 January to December","2022-2023 January to December"
"Current Prices","CROP",0.2,8.5,7.1,18.0,6.0,11.4,12.3,23.5,-0.5,5.9,18.5,-0.8,2.1,14.2,-7.8,2.5,9.7,4.0,-9.6,8.0,1.3,3.0,11.1
"Current Prices","..Palay",1.3,9.8,2.1,15.2,10.8,6.0,14.2,28.7,1.6,-2.4,9.5,14.8,7.7,20.2,-17.5,-2.4,15.0,10.0,-20.8,1.4,4.4,3.6,16.3
"Current Prices","..Corn",2.3,-4.6,8.1,51.3,-14.7,36.5,19.7,15.1,-0.2,-7.1,24.6,7.3,-4.2,11.5,-8.1,-7.8,10.5,15.8,-4.3,-5.4,17.2,21.6,11.6
"Current Prices","..Banana",12.6,11.9,12.5,20.3,22.9,9.6,21.6,29.4,18.1,18.6,-2.9,5.0,8.9,11.5,4.3,8.2,0.1,7.5,14.2,13.3,-7.3,-21.0,8.5
"Current Prices","..Coconut",-14.7,49.4,15.4,35.8,2.8,-4.7,18.7,34.3,-19.1,28.8,44.7,-26.5,-7.4,27.4,-8.4,13.1,11.1,-24.0,-21.5,6.2,12.6,7.6,-7.4
"Current Prices","..Mango",-7.9,7.3,-0.2,5.0,3.5,11.4,-7.1,14.3,-8.8,-1.3,3.8,5.1,-1.8,0.8,5.3,13.8,24.7,-6.6,-10.9,10.0,9.5,-1.9,17.5
"Current Prices","..Sugarcane",16.5,13.2,7.0,-5.8,2.3,45.9,-13.0,15.7,-13.5,20.1,62.2,-24.5,-5.8,2.3,5.1,3.6,-1.0,-7.5,-14.1,10.4,6.7,39.0,9.8
"Current Prices","..Pineapple",4.9,-0.4,27.1,-9.4,11.8,-19.5,18.7,15.2,3.1,1.1,20.4,8.3,-1.1,6.9,30.0,1.0,20.4,6.0,-12.2,51.2,-31.4,12.1,13.2
"Current Prices","..Cassava",-12.8,-5.5,28.6,-1.5,-3.1,43.6,-3.2,19.7,12.3,1.3,17.5,11.0,15.1,-7.8,-11.6,18.7,13.8,-10.3,20.3,15.0,-11.5,2.8,15.7
"Current Prices","..Rubber",12.7,49.6,53.0,55.6,15.5,43.1,25.5,1.3,-15.9,89.4,23.2,-29.5,-18.5,-35.2,-29.0,6.5,29.9,-12.1,9.0,-11.3,23.9,-4.3,-13.3
"Current Prices","..Sweet Potato",9.3,23.6,1.2,4.3,11.5,9.4,6.5,11.7,-2.0,3.9,8.2,4.4,5.1,10.9,8.7,2.0,7.6,4.9,9.5,20.8,-3.1,13.6,13.1
"Current Prices","..Onion",45.5,-40.3,45.5,-23.4,50.3,10.7,5.3,138.3,-32.6,-27.9,84.6,-18.2,-11.8,42.6,-24.6,18.2,25.1,23.8,-17.0,81.2,-13.7,23.0,96.3
"Current Prices","..Eggplant",27.5,-5.7,5.4,7.0,1.2,24.6,0.3,28.8,-4.4,-21.2,72.6,-8.3,-10.8,21.1,-7.3,5.1,28.7,23.1,-15.6,0.6,16.9,10.5,14.4
"Current Prices","..Coffee",-17.2,0.5,24.0,-0.3,16.9,6.1,10.9,13.1,-10.1,-0.4,11.3,-0.6,-9.1,3.4,2.9,-4.0,1.5,-5.7,-7.8,-3.7,1.3,13.9,12.5
"Current Prices","..Tobacco",-12.3,32.3,-7.5,-10.0,9.1,-19.5,5.6,32.9,-5.3,3.9,18.2,15.8,10.0,13.4,-14.0,4.9,-2.9,6.7,12.6,9.8,-7.8,-14.4,50.2
"Current Prices","..Abaca",-23.7,-2.0,27.4,38.5,27.3,0.3,-6.7,32.8,-21.5,-2.7,17.7,0.1,-9.8,20.6,12.5,27.7,4.2,12.9,0.7,-1.3,-11.5,12.7,-10.3
"Current Prices","..Tomato",50.8,-34.1,68.1,-17.7,17.7,18.7,-0.3,18.5,-5.5,-10.3,27.3,3.2,5.7,-18.3,18.5,14.6,8.1,7.9,-0.8,4.4,7.7,20.9,-8.2
"Current Prices","..Potato",18.3,-25.3,15.6,37.2,-27.0,54.9,68.3,33.4,22.3,-19.3,10.3,-7.7,13.5,-10.3,-15.4,82.4,-30.7,18.2,-6.4,15.5,-9.9,22.9,45.0
"Current Prices","..Ampalaya",-5.3,26.2,67.3,9.7,2.6,16.9,-2.1,28.4,-1.7,-18.1,28.5,-0.9,3.4,-8.0,20.9,5.0,-1.2,18.2,1.1,-0.9,4.2,11.7,-1.9
"Current Prices","..Cabbage",-27.5,33.0,5.5,1.6,17.6,16.9,33.2,-6.2,47.4,-49.0,121.8,-26.5,11.2,5.6,31.9,1.7,-18.1,37.4,-22.2,59.5,2.8,-6.0,6.3
"Current Prices","..Calamansi",-29.0,50.7,-23.4,19.1,19.6,2.2,-15.8,9.2,76.9,-25.3,73.9,-34.2,-15.8,18.4,-12.5,-20.8,-4.0,27.7,7.0,-18.2,22.6,14.3,-9.1
