# Volume of Rice and Corn Quarterly, in metric tons, read this using read_csv_to_df

Commodity,Geolocation,1987 Q1,1987 Q2,1987 Q3,1987 Q4,1988 Q1,1988 Q2,1988 Q3,1988 Q4,1989 Q1,1989 Q2,1989 Q3,1989 Q4,1990 Q1,1990 Q2,1990 Q3,1990 Q4,1991 Q1,1991 Q2,1991 Q3,1991 Q4,1992 Q1,1992 Q2,1992 Q3,1992 Q4,1993 Q1,1993 Q2,1993 Q3,1993 Q4,1994 Q1,1994 Q2,1994 Q3,1994 Q4,1995 Q1,1995 Q2,1995 Q3,1995 Q4,1996 Q1,1996 Q2,1996 Q3,1996 Q4,1997 Q1,1997 Q2,1997 Q3,1997 Q4,1998 Q1,1998 Q2,1998 Q3,1998 Q4,1999 Q1,1999 Q2,1999 Q3,1999 Q4,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4
Palay,....Albay,49220.00,12945.00,11797.00,25792.00,41732.00,22918.00,24756.00,30223.00,24251.00,24138.00,21779.00,40388.00,48220.00,22148.00,28446.00,30592.00,74040.00,13589.00,33779.00,27752.00,71990.00,18636.00,30074.00,36086.00,58722.00,30953.00,30958.00,55176.00,28947.00,42616.00,42177.00,43406.00,48703.00,23281.00,35658.00,23868.00,35868.00,35015.00,53385.00,31059.00,43871.00,33638.00,20826.00,46015.00,46914.00,23070.00,22717.00,14573.00,45704.00,25945.00,33272.00,37504.00,32236.00,20247.00,38583.00,32996.00,33537.00,21800.00,20556.00,28108.00,40759.00,29460.00,27380.00,34296.00,30943.00,26805.00,28142.00,45992.00,42017.00,33433.00,34630.00,45620.00,40992.00,41556.00,47508.00,49411.00,48744.00,45180.00,37924.00,25044.00,28614.00,42408.00,42954.00,34060.00,27092.00,37683.00,43003.00,53613.00,30803.00,48799.00,45064.00,45898.00,32423.00,51299.00,45111.00,53639.00,37196.00,68737.00,45118.00,49986.00,47511.00,63167.00,43553.00,52577.00,41240.00,67710.00,43064.00,68966.00,40796.00,70442.00,37545.00,76917.00,41444.00,64757.00,35311.00,62833.00,36618.00,68453.00,41130.00,55610.00,44492.00,59897.00,38697.00,61738.00,42475.00,61597.00,39385.00,62562.46,31724.88,53534.29,43565.72,59187.90,33599.00,64016.00,45295.95,73096.00,43607.00,66566.00,44737.00,69623.00,45161.80,69476.00,46033.00,65560.00,47530.78,69852.29,45766.90,69499.28
Palay,....Camarines Norte,3951.00,24879.00,4511.00,11606.00,14181.00,13624.00,12665.00,12107.00,11494.00,8036.00,20225.00,7247.00,17845.00,7151.00,8900.00,13136.00,23676.00,7202.00,15160.00,9686.00,28101.00,3387.00,7022.00,14328.00,13582.00,7235.00,3929.00,10564.00,11914.00,10148.00,8374.00,14640.00,11525.00,9307.00,7841.00,7678.00,7942.00,12771.00,13938.00,6466.00,8885.00,14530.00,2825.00,10043.00,12394.00,7350.00,5875.00,4220.00,13510.00,11941.00,13456.00,12437.00,9576.00,11370.00,9014.00,11296.00,11712.00,12524.00,10860.00,11869.00,11258.00,13626.00,6710.00,11795.00,10436.00,13446.00,4511.00,11667.00,16398.00,16400.00,13210.00,13299.00,21780.00,12910.00,7857.00,23832.00,20845.00,16501.00,7808.00,18569.00,19719.00,13738.00,11850.00,18775.00,18395.00,8933.00,23537.00,16856.00,19970.00,15720.00,21901.00,13496.00,21276.00,16345.00,6312.00,28882.00,20971.00,18004.00,12098.00,26115.00,16909.00,21667.00,24062.00,22888.00,20238.00,21570.00,24931.00,25672.00,25523.00,22485.00,14755.00,33021.00,23876.00,23884.00,15928.00,25927.00,17115.00,24855.00,17370.00,30569.00,28400.00,24889.00,21833.00,31977.00,31078.00,28224.00,19790.98,31757.00,20543.44,26281.48,14348.00,32285.00,30187.61,24719.00,21408.81,32196.65,29033.90,25732.00,26057.73,35469.00,27931.44,24037.75,25660.30,32162.94,19304.95,31204.41,24648.34,33232.42
Palay,....Camarines Sur,61989.00,32736.00,30267.00,143476.00,119678.00,30383.00,45650.00,137482.00,116792.00,24225.00,52932.00,123312.00,152170.00,13569.00,46730.00,111034.00,143200.00,8634.00,42457.00,142883.00,150699.00,8599.00,25041.00,138553.00,130059.00,9122.00,13311.00,120813.00,58122.00,58756.00,72633.00,103634.00,94390.00,54840.00,50332.00,69382.00,73218.00,68602.00,69470.00,76084.00,77032.00,69442.00,69489.00,103720.00,87973.00,35668.00,56937.00,39467.00,115276.00,50092.00,96959.00,84734.00,91919.00,79451.00,77241.00,82355.00,86011.00,80833.00,80461.00,100420.00,99368.00,92885.00,81540.00,112367.00,116430.00,51946.00,101202.00,111461.00,145349.00,92422.00,163383.00,100189.00,163068.00,108856.00,154686.00,98015.00,147175.00,116124.00,118433.00,82545.00,122970.00,167187.00,157314.00,113338.00,75117.00,160822.00,154030.00,136967.00,99770.00,166535.00,148652.00,120133.00,122570.00,128137.00,113707.00,203913.00,136691.00,143959.00,114489.00,125183.00,143359.00,135465.00,133902.00,151023.00,141452.00,160506.80,116987.00,182534.00,148685.00,150318.00,94512.00,190282.00,148463.00,155623.00,120257.00,234205.00,173961.00,151369.00,121468.00,219615.00,148323.00,169123.00,118801.00,247138.00,148237.00,178049.00,115006.00,248430.00,131756.00,145763.00,116841.00,218627.00,135490.00,181800.00,130112.00,203004.00,148602.00,178968.00,128041.00,227592.00,149189.00,159771.00,124442.00,232028.00,149893.00,151313.00,124609.00,217586.00
Palay,....Catanduanes,7796.00,1499.00,849.00,4371.00,10419.00,2845.00,3026.00,8395.00,5262.00,2378.00,3245.00,10941.00,5886.00,1587.00,482.00,13782.00,11322.00,3756.00,3668.00,9116.00,10152.00,1904.00,57.00,12566.00,7658.00,4267.00,54.00,5950.00,6797.00,5100.00,1887.00,8043.00,4240.00,7747.00,1787.00,7087.00,4070.00,8434.00,6616.00,8300.00,7944.00,4612.00,3383.00,5075.00,4800.00,4083.00,70.00,1781.00,7650.00,5337.00,12366.00,2663.00,8884.00,4611.00,5863.00,2643.00,7249.00,6771.00,7626.00,3163.00,7099.00,4985.00,5213.00,5236.00,13087.00,2306.00,4706.00,9859.00,9059.00,7366.00,5875.00,6420.00,10841.00,5449.00,5468.00,8174.00,11947.00,5355.00,13193.00,4823.00,14245.00,5806.00,7722.00,5837.00,8823.00,7603.00,10518.00,9666.00,9797.00,8172.00,13933.00,6158.00,9883.00,4268.00,9485.00,10920.00,11774.00,6199.00,21974.00,4000.00,11677.00,9252.00,7038.00,4363.00,11314.00,6236.00,7370.00,4568.00,20235.00,3120.00,7042.00,5055.00,14765.00,4214.00,9677.00,7085.00,11451.00,7638.00,6951.00,8025.00,10547.00,8112.00,8123.00,11007.00,12223.00,8777.00,8651.22,10293.66,8422.00,6429.06,3532.06,8947.56,6883.00,6715.17,6293.92,7127.00,6650.67,6487.95,4908.46,5329.34,7237.21,6648.02,5667.47,5256.76,5735.36,5016.17,3734.16,3307.58
Palay,....Masbate,13865.00,1530.00,1039.00,42514.00,17283.00,3083.00,1450.00,50814.00,15941.00,5487.00,2047.00,43417.00,16593.00,233.00,1365.00,29911.00,18750.00,4805.00,0.00,29585.00,15830.00,2695.00,2855.00,28490.00,9120.00,10220.00,0.00,28110.00,7830.00,5500.00,9640.00,44990.00,9133.00,4098.00,1252.00,45971.00,9303.00,4255.00,2947.00,47416.00,11730.00,5095.00,2855.00,47273.00,4470.00,1910.00,2490.00,46773.00,6129.00,2737.00,2503.00,56135.00,6174.00,4042.00,3351.00,59264.00,6372.00,2902.00,3476.00,61317.00,6112.00,2984.00,1835.00,57308.00,6370.00,3080.00,3213.00,70706.00,12016.00,3003.00,3021.00,74989.00,17492.00,3344.00,3021.00,57255.00,21333.00,3735.00,8251.00,44222.00,26985.00,6810.00,5040.00,36683.00,39475.00,7095.00,5404.00,45965.00,42042.00,10072.00,7835.00,49093.00,37052.00,8274.00,5761.00,61522.00,27674.00,27246.00,6267.00,52254.00,34143.00,41736.00,21411.00,57173.00,31949.00,56657.00,23183.00,56864.00,32437.00,60050.00,13593.00,74093.00,32159.00,49045.00,9220.00,57330.00,30399.00,47431.00,9210.00,62831.00,31841.00,52784.00,10794.00,63413.00,31989.00,48858.00,10088.00,65097.00,29628.00,46938.33,9824.24,61269.00,29588.00,47814.00,9636.98,60971.03,28815.00,48581.00,9659.00,61699.00,36889.00,44922.00,10240.00,59202.00,36830.00,47253.00,10596.00,60475.00
Palay,....Sorsogon,12145.00,34430.00,9346.00,38851.00,30276.00,18442.00,15480.00,41905.00,25789.00,18981.00,14185.00,45515.00,21385.00,31426.00,14783.00,49624.00,23252.00,33568.00,16655.00,47688.00,31628.00,27231.00,9223.00,40312.00,23512.00,31351.00,10034.00,50429.00,21716.00,32777.00,11264.00,38659.00,14583.00,33999.00,6143.00,25773.00,7766.00,31316.00,10504.00,36221.00,14380.00,37784.00,8977.00,38466.00,18372.00,26735.00,7812.00,17039.00,12948.00,28652.00,15030.00,27267.00,20078.00,22445.00,13071.00,25583.00,16205.00,31324.00,17420.00,34771.00,21616.00,34462.00,17594.00,30920.00,24722.00,25868.00,10949.00,33201.00,21813.00,33146.00,18036.00,32120.00,25699.00,36768.00,9133.00,28803.00,19713.00,34851.00,22330.00,14127.00,27496.00,33268.00,17325.00,31286.00,16345.00,28701.00,26914.00,35024.00,34520.00,25330.00,27261.00,34547.00,25141.00,28486.00,9776.00,46896.00,17056.00,34810.00,23648.00,39468.00,32210.00,32443.00,27811.00,37967.00,29061.00,37350.60,12346.00,51472.00,29686.00,40738.00,12849.00,53968.00,23327.00,45826.00,14839.00,44453.00,19999.00,51973.00,14423.00,47028.00,21765.00,54649.00,6146.00,60588.00,24698.00,51893.00,9893.00,61386.00,23813.00,45553.00,9821.00,44269.00,19109.00,51751.00,11549.00,62628.00,18366.00,55551.00,11738.40,65138.00,18339.50,57715.76,9582.00,65851.45,18747.25,53761.93,9971.03,62781.13
Palay,..REGION VI (WESTERN VISAYAS),410462.00,69458.00,94076.00,604379.00,390953.00,24929.00,298196.00,407867.00,434009.00,38044.00,298182.00,311311.00,269781.00,20660.00,340951.00,255340.00,447125.00,24444.00,154779.00,557539.00,387024.00,26704.00,155090.00,669885.00,546727.00,33100.00,149360.00,755747.00,528888.00,81446.00,530891.00,301044.00,380617.00,72463.00,451434.00,386761.00,501126.00,134151.00,510412.00,328741.00,426715.00,100444.00,385988.00,414521.00,297876.00,41266.00,311622.00,393698.00,525590.00,156831.00,548727.00,300580.00,418317.00,160557.00,613474.00,415989.00,445902.00,156101.00,552001.00,435527.00,501052.00,144093.00,465817.00,621640.00,474880.00,80302.00,687299.00,525049.00,545747.00,126968.00,806341.00,456813.00,514585.00,129002.00,617232.00,540001.00,562502.00,126722.00,784436.00,513564.00,483271.00,126640.00,766291.00,616224.00,571661.00,158145.00,794749.00,593043.00,547355.00,187455.00,919913.00,550348.00,422074.00,72081.00,558214.00,737324.00,642749.00,164576.00,899424.00,538289.00,588924.00,128259.00,916295.00,658723.00,498038.00,115978.00,822313.00,654461.00,561059.00,111040.00,615661.00,764814.00,546017.00,91196.00,570413.00,849198.00,446539.00,69889.00,609115.00,770687.00,632113.00,111846.72,789163.00,697714.00,602863.00,133508.00,781998.95,713922.80,588013.60,84138.93,549923.74,855713.76,632635.85,121196.39,744726.79,797020.72,659378.00,159222.28,813344.82,724957.34,646288.48,134618.76,851490.14,689196.34,667020.89,129475.94,726642.00,740019.50
Palay,....Aklan,27439.00,14611.00,8719.00,25502.00,35202.00,5475.00,20804.00,17748.00,36088.00,59.00,14822.00,34186.00,33576.00,385.00,35314.00,6850.00,39508.00,150.00,29085.00,14925.00,37966.00,16.00,23758.00,28710.00,71087.00,200.00,17787.00,42993.00,57490.00,2150.00,39739.00,16465.00,55958.00,4219.00,29901.00,22100.00,47794.00,7042.00,43893.00,11924.00,52718.00,3435.00,14994.00,40849.00,51595.00,421.00,28107.00,19101.00,46555.00,13723.00,45739.00,19507.00,33971.00,18118.00,36981.00,34859.00,49430.00,8322.00,30076.00,36038.00,58142.00,3706.00,17886.00,46734.00,57369.00,9490.00,17486.00,47135.00,72953.00,10868.00,57578.00,14926.00,73097.00,5699.00,32373.00,39263.00,56406.00,6471.00,55724.00,17554.00,55210.00,3969.00,28633.00,53762.00,38583.00,7248.00,50927.00,32560.00,33736.00,12184.00,54687.00,39750.00,43058.00,2572.00,6072.00,51923.00,45999.00,12604.00,48791.00,19263.00,48536.00,9486.00,23385.00,48238.00,45231.00,12870.00,28103.00,49089.00,36525.00,9427.00,14351.00,44409.00,37827.00,6663.00,5168.00,56671.00,37135.00,6586.00,18586.00,39164.00,44945.00,11559.00,28786.00,36507.00,45402.00,9727.00,29361.00,22117.80,39242.00,5895.00,8428.74,40596.84,41985.85,10238.00,30312.30,39771.04,27794.00,11709.00,20921.11,46123.00,38333.75,13086.87,22797.65,37362.35,27027.73,7178.00,13753.35,36979.90
Palay,....Antique,32165.00,7440.00,18966.00,38624.00,28935.00,4366.00,27297.00,26329.00,26175.00,3729.00,25357.00,36939.00,21762.00,3334.00,26190.00,33878.00,36021.00,4520.00,13800.00,81171.00,32460.00,2810.00,13002.00,80046.00,31420.00,4331.00,13029.00,79745.00,31302.00,12456.00,30575.00,30205.00,26392.00,13650.00,27954.00,44608.00,53998.00,27864.00,45318.00,55272.00,41319.00,28029.00,66608.00,41405.00,36080.00,18863.00,71304.00,50946.00,48820.00,32497.00,57278.00,40629.00,46796.00,35326.00,69165.00,60081.00,53886.00,28412.00,59520.00,58696.00,53210.00,26855.00,72270.00,69634.00,28879.00,8406.00,98496.00,81273.00,49660.00,16700.00,89642.00,58086.00,41328.00,19828.00,87004.00,84176.00,59106.00,19472.00,79351.00,72225.00,58337.00,18455.00,77637.00,88748.00,64195.00,23938.00,79758.00,76463.00,56361.00,26026.00,98483.00,70043.00,33150.00,7471.00,66273.00,104572.00,71010.00,20792.00,109167.00,86067.00,52798.00,20687.00,109197.00,90786.00,59109.00,19613.00,113203.00,94697.00,59566.00,15525.00,101196.00,103797.00,57611.00,15683.00,102716.00,109193.00,53356.00,11302.00,99894.00,110377.00,60291.00,14510.00,106162.00,112135.00,62383.00,18305.00,105336.00,121434.00,66583.00,13842.00,91811.00,140471.57,32570.00,14320.00,114918.00,103723.00,65235.00,21525.00,114041.00,101945.00,65558.00,20338.00,129457.40,97708.33,62572.02,16831.08,83243.31,86173.24
Palay,....Capiz,97290.00,3385.00,3765.00,121401.00,90988.00,1055.00,61204.00,60239.00,94581.00,3845.00,70514.00,22312.00,70836.00,1063.00,75785.00,27652.00,92670.00,502.00,22596.00,95883.00,101971.00,1034.00,35359.00,77424.00,133136.00,2113.00,5630.00,104051.00,94998.00,7491.00,93717.00,27423.00,103530.00,10760.00,107661.00,17870.00,81745.00,23442.00,113443.00,20226.00,81747.00,12052.00,65162.00,53953.00,80093.00,8087.00,35461.00,85308.00,105145.00,27445.00,85488.00,30872.00,87231.00,41887.00,86784.00,42584.00,74496.00,38566.00,97051.00,49315.00,95498.00,36771.00,71905.00,77423.00,110264.00,25245.00,90745.00,71267.00,93089.00,45957.00,101649.00,65021.00,97030.00,42950.00,100913.00,68316.00,97025.00,39111.00,117115.00,50628.00,94311.00,41566.00,118395.00,61161.00,77150.00,44064.00,108190.00,88730.00,90057.00,49508.00,135758.00,98659.00,87833.00,29620.00,114690.00,103465.00,98239.00,39730.00,121806.00,89319.00,103837.00,31236.00,127222.00,98619.00,96950.00,34438.00,130628.00,60372.00,73740.00,32255.00,61665.00,123498.00,61448.00,27088.00,50459.00,117828.00,84180.00,17193.00,93623.00,79904.00,111258.00,35660.00,114115.00,87444.00,90172.00,53603.00,87021.00,116333.00,106105.00,19182.00,45914.00,130567.00,130048.00,49297.01,97602.00,86325.68,119637.00,67648.28,121121.68,75402.60,126392.73,45422.00,114622.27,68412.66,125471.76,54098.09,91180.46,52530.27
Palay,....Guimaras,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15582.00,2715.00,14000.00,2524.00,7168.00,83.00,13095.00,6430.00,12480.00,630.00,17517.00,4989.00,9590.00,902.00,12667.00,12671.00,3083.00,20.00,22583.00,9005.00,12878.00,1524.00,19441.00,7333.00,7764.00,1304.00,18828.00,16778.00,10716.00,1144.00,11574.00,18367.00,8252.00,1104.00,2912.00,28538.00,7732.00,98.00,19496.00,14032.00,7602.00,95.00,22665.00,16040.00,8701.00,204.00,26528.00,11443.00,8754.00,158.00,24352.00,15220.00,6178.00,150.00,17148.00,20278.00,10549.00,1078.00,19192.00,20160.00,10445.00,916.00,20241.00,21122.00,7344.00,790.00,14560.00,20022.00,9398.00,2652.00,28475.00,10888.00,9711.00,3074.00,28863.00,13777.00,6271.00,470.00,20540.00,18785.00,11667.00,755.00,18904.00,19876.00,6642.00,221.00,11879.00,21412.00,2772.00,9.00,22210.00,17658.00,10333.00,555.00,21843.00,22591.00,7834.00,195.00,22513.00,15186.00,10693.00,165.00,5275.00,31593.00,14455.00,681.00,25366.00,24489.00,14122.00,974.00,18838.00,27342.75,14775.00,1192.19,27734.65,21277.00,12838.00,1320.00,16431.00,23411.00
Palay,....Iloilo,189039.00,20481.00,29885.00,294762.00,167542.00,1409.00,123755.00,212057.00,191280.00,14419.00,131954.00,131635.00,89763.00,1383.00,144145.00,117122.00,180431.00,7145.00,47543.00,265630.00,134427.00,9950.00,38809.00,377034.00,226409.00,15953.00,65972.00,400597.00,256546.00,28008.00,250870.00,134043.00,145791.00,12251.00,185315.00,210131.00,231770.00,27816.00,195173.00,154167.00,186939.00,22132.00,134193.00,207794.00,86045.00,2515.00,77405.00,175227.00,228126.00,51147.00,186022.00,136290.00,172174.00,30475.00,208021.00,188623.00,182260.00,44855.00,203552.00,205247.00,208026.00,45347.00,145821.00,336929.00,195986.00,11812.00,283766.00,237804.00,238616.00,22879.00,347517.00,220015.00,209951.00,29007.00,177879.00,253463.00,256025.00,31751.00,302819.00,264051.00,190795.00,32259.00,315184.00,285138.00,296162.00,50546.00,328378.00,267200.00,272580.00,65161.00,404560.00,201749.00,168525.00,4760.00,165000.00,321685.00,325883.00,50400.00,379704.00,203252.00,283249.00,37628.00,411113.00,263412.00,204618.00,22194.00,304513.00,291127.00,290793.00,27546.00,196282.00,332015.00,290779.00,16308.00,188423.00,381566.00,210076.00,10123.00,161238.00,368262.00,325217.00,20233.72,304445.00,287373.00,314475.00,21348.00,321039.95,282469.00,282782.60,15593.93,195223.00,344237.35,333490.00,18926.38,270410.49,370963.00,355040.00,28323.00,333985.03,301640.99,346539.00,22864.70,352244.17,294940.00,365912.38,16001.77,315446.88,368704.49
Palay,....Negros Occidental,64529.00,23541.00,32741.00,124090.00,68286.00,12624.00,65136.00,91494.00,85885.00,15992.00,55535.00,86239.00,53844.00,14495.00,59517.00,69838.00,98495.00,12127.00,41755.00,99930.00,80200.00,12894.00,44162.00,106671.00,84675.00,10503.00,46942.00,128361.00,72970.00,28626.00,101990.00,90384.00,41778.00,31500.00,87508.00,85622.00,73339.00,47357.00,95068.00,82163.00,54402.00,33894.00,92364.00,57849.00,40980.00,11360.00,76762.00,54111.00,84066.00,30495.00,154759.00,65949.00,70381.00,33447.00,193695.00,73064.00,75114.00,34802.00,150228.00,67864.00,77924.00,30310.00,155023.00,62382.00,74650.00,25251.00,177310.00,73538.00,83827.00,30469.00,187290.00,82725.00,84478.00,31314.00,192535.00,83340.00,85186.00,29759.00,205075.00,93886.00,78440.00,30241.00,209294.00,107137.00,85022.00,31271.00,208304.00,107930.00,84176.00,33660.00,206184.00,119025.00,82164.00,26868.00,191619.00,135657.00,92220.00,38398.00,211481.00,129500.00,90793.00,26148.00,216515.00,143891.00,85859.00,26393.00,225326.00,140391.00,88768.00,25532.00,223263.00,141219.00,91710.00,25233.00,211768.00,162528.00,59020.00,24676.00,213564.00,155322.00,80069.00,29329.00,213812.00,151664.00,82597.00,30330.00,216728.00,156383.00,82608.00,29461.00,203272.00,168248.00,80087.00,27734.00,206118.00,171749.00,77550.00,29043.00,204438.00,172503.00,54690.00,31715.00,204634.00,169496.00,73199.00,34047.00,206587.00,172220.60
Palay,..REGION VII (CENTRAL VISAYAS),51222.00,19088.00,10104.00,69421.00,28263.00,21643.00,17303.00,83434.00,73931.00,21816.00,36629.00,98548.00,55550.00,21922.00,25460.00,80008.00,72676.00,22411.00,22019.00,90594.00,52846.00,16660.00,14499.00,79688.00,60700.00,33010.00,20305.00,84704.00,68301.00,38173.00,31303.00,70674.00,84434.00,28811.00,25796.00,91718.00,85039.00,30390.00,30931.00,85707.00,92519.00,27360.00,26269.00,90752.00,32989.00,11391.00,10690.00,61373.00,44542.00,59673.00,30436.00,73713.00,66004.00,36627.00,24756.00,87805.00,70943.00,38808.00,22348.00,93093.00,77537.00,32652.00,19750.00,88785.00,50329.00,23077.00,18303.00,101578.00,63429.00,32128.00,20997.00,112342.00,67034.00,17916.00,18292.00,105596.00,77543.00,37842.00,26612.00,103134.00,67817.00,26154.00,24436.00,133395.00,108944.00,43620.00,28047.00,131190.00,92436.00,43913.00,23200.00,117269.00,83990.00,34145.00,16146.00,136168.00,85250.00,50322.00,23782.00,163508.00,90805.00,53340.00,22822.00,160153.00,99050.00,57279.00,21115.00,170253.00,93371.00,57074.00,20294.00,168083.00,93131.00,52088.00,17177.00,173798.00,75462.00,25302.00,13876.00,117342.00,93482.00,55898.00,16905.00,158924.00,100311.00,57660.00,16294.00,135194.00,78013.00,39324.00,13025.00,92724.50,64872.00,38294.78,16008.00,141349.00,92733.00,49039.00,21731.00,125999.00,66712.42,31842.83,24743.11,119096.21,81121.79,57111.26,28044.93,126795.40
Palay,....Bohol,37043.00,6312.00,374.00,41711.00,13736.00,7823.00,3778.00,48080.00,50086.00,11895.00,17228.00,35001.00,31897.00,3988.00,9741.00,25383.00,49710.00,6338.00,5298.00,32224.00,24822.00,3779.00,1959.00,30279.00,42034.00,15993.00,6495.00,58886.00,53020.00,20022.00,18829.00,48373.00,62898.00,9600.00,12022.00,67840.00,65520.00,16770.00,15850.00,60628.00,71647.00,14462.00,11790.00,64060.00,19097.00,4665.00,1606.00,35265.00,25446.00,48902.00,18446.00,46568.00,48689.00,24665.00,10737.00,58780.00,52407.00,27005.00,6429.00,63104.00,58357.00,21592.00,6630.00,58202.00,31830.00,12628.00,3502.00,68326.00,43429.00,21158.00,7625.00,78314.00,49384.00,7971.00,4336.00,70940.00,56766.00,25504.00,5165.00,75262.00,48480.00,12573.00,6310.00,96078.00,83002.00,25816.00,11184.00,98699.00,71646.00,28756.00,6062.00,88981.00,65677.00,23387.00,4153.00,97957.00,66438.00,34116.00,6288.00,124727.00,68583.00,39162.00,5354.00,124737.00,80126.00,41602.00,5861.00,128816.00,74702.00,43340.00,6200.00,130811.00,72687.00,39799.00,5171.00,135159.00,58551.00,17062.00,4432.00,80958.00,74935.00,38546.00,5465.00,119782.00,81734.00,41874.00,3520.00,98420.00,61298.00,29398.00,3260.00,59449.00,49908.00,26297.78,5124.00,107503.00,74197.00,35505.00,8973.00,91909.00,53322.00,20946.00,11521.00,84297.85,63091.00,45374.00,13241.65,91011.96
Palay,....Cebu,2100.00,2865.00,618.00,3752.00,3990.00,707.00,1549.00,3478.00,3020.00,2125.00,2280.00,5370.00,2740.00,1996.00,1224.00,5594.00,2035.00,1542.00,1548.00,4674.00,1694.00,159.00,1139.00,2459.00,1478.00,1160.00,1004.00,2045.00,2922.00,1428.00,2547.00,2443.00,3928.00,1991.00,1820.00,3563.00,3140.00,2226.00,1992.00,4633.00,4169.00,2434.00,1639.00,5191.00,2520.00,510.00,1200.00,2886.00,5160.00,2572.00,2910.00,3227.00,4363.00,1923.00,2800.00,4206.00,4983.00,1959.00,3576.00,4295.00,5075.00,1998.00,3430.00,5096.00,4146.00,1288.00,2440.00,6316.00,5329.00,1154.00,2338.00,6086.00,4211.00,621.00,2352.00,6118.00,4722.00,1223.00,2733.00,4745.00,4177.00,956.00,2691.00,6945.00,5558.00,1470.00,2853.00,6260.00,5392.00,1548.00,2806.00,6252.00,5612.00,1488.00,1113.00,7102.00,5843.00,1801.00,2957.00,6337.00,5536.00,2043.00,3396.00,5960.00,5882.00,2072.00,3503.00,6203.00,5908.00,1615.00,3036.00,6206.00,5357.00,1681.00,1706.00,5547.00,4685.00,1138.00,1530.00,6193.00,5155.00,1565.00,2244.00,5550.00,5287.00,1624.00,2007.00,4980.00,4495.00,1292.00,1433.00,4189.00,3187.00,1999.00,1297.00,4723.00,4000.00,2228.00,1690.00,4281.00,2835.00,2122.83,2270.07,4670.40,3985.58,1679.00,1951.00,4430.60
Palay,....Negros Oriental,12032.00,9258.00,8926.00,23685.00,10387.00,13056.00,11976.00,31694.00,19859.00,7083.00,16878.00,56304.00,20322.00,15938.00,13209.00,49031.00,20671.00,14263.00,14923.00,53241.00,26200.00,12557.00,11214.00,46505.00,17074.00,15707.00,12652.00,23308.00,12199.00,16480.00,9650.00,19497.00,17280.00,16948.00,11714.00,19889.00,15968.00,11080.00,12817.00,19845.00,16258.00,10154.00,12578.00,20916.00,11001.00,6045.00,7690.00,22891.00,13250.00,7840.00,8799.00,23180.00,12190.00,9780.00,10880.00,23864.00,12560.00,9495.00,12151.00,24778.00,12920.00,8740.00,9389.00,24446.00,13318.00,8937.00,12033.00,25872.00,13474.00,9579.00,10744.00,26798.00,12451.00,9120.00,11344.00,27391.00,14950.00,10808.00,18491.00,22203.00,14070.00,12377.00,14965.00,29856.00,19424.00,16022.00,13252.00,25482.00,14284.00,13324.00,13877.00,20951.00,11602.00,9001.00,10566.00,29884.00,11769.00,14042.00,13940.00,31469.00,15566.00,11689.00,13727.00,28681.00,12431.00,12999.00,11440.00,34303.00,11846.00,11707.00,10771.00,30288.00,14033.00,10076.00,9998.00,32286.00,11366.00,6980.00,7783.00,29615.00,12293.00,15343.00,8921.00,32748.00,12398.00,13368.00,10707.00,31117.00,11883.00,8088.00,8327.00,28586.50,11746.00,9356.00,9583.00,28298.00,13840.00,10427.00,10390.00,29519.00,9652.42,7866.00,10300.00,29107.38,13608.00,9490.83,12259.30,30497.54
