"Palay:  Estimated Inorganic Fertilizer Use by Geolocation, Grade and Year by Region, Area Harvested and Year by PHILIPPINES, FERTILIZER and Year"

"PHILIPPINES","FERTILIZER","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"..REGION XI (DAVAO REGION)","Area Applied",109536.06,103407.10,105276.95,103263.00,94937.00,93633.00,89861.00,95413.00,98431.00,102988.00,135537.17,101494.00,97526.00,96043.43,97169.00,102057.75,97520.80,98806.38,104926.02
"..REGION XI (DAVAO REGION)","All Grades",4.55,4.47,4.88,5.35,4.80,4.70,4.82,4.58,4.52,4.35,5.08,4.74,4.90,4.91,5.08,5.39,5.58,5.68,6.07
"..REGION XI (DAVAO REGION)","Urea",1.97,1.76,2.06,2.11,1.95,1.72,2.12,2.24,1.99,1.88,2.19,1.89,1.95,2.05,2.10,2.19,2.38,2.24,2.29
"..REGION XI (DAVAO REGION)","Ammosul",0.89,0.98,1.08,1.18,0.93,0.91,1.07,0.96,1.14,0.94,0.98,1.06,1.02,0.96,0.87,0.97,1.18,1.06,1.06
"..REGION XI (DAVAO REGION)","Ammophos",0.56,0.54,0.58,0.65,0.48,0.32,0.37,0.25,0.34,0.28,0.28,0.17,0.30,0.33,0.48,0.44,0.28,0.41,0.64
"..REGION XI (DAVAO REGION)","Complete",1.04,1.00,1.06,1.26,1.24,0.99,1.25,1.13,1.05,1.26,1.63,1.62,1.63,1.58,1.64,1.78,1.75,1.98,2.08
"..REGION XI (DAVAO REGION)","Others",0.10,0.18,0.10,0.15,0.19,0.76,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION XII (SOCCSKSARGEN)","Area Applied",298662.00,300652.35,297575.77,309899.00,320862.00,335798.00,341784.00,325895.00,341330.00,345422.00,329909.45,313033.19,333002.01,307037.99,349498.33,348289.84,318729.02,331670.98,345293.70
"..REGION XII (SOCCSKSARGEN)","All Grades",3.36,3.20,3.53,3.44,3.81,2.92,3.22,3.29,3.12,3.44,3.66,3.72,3.91,4.05,4.55,4.78,5.20,5.46,5.53
"..REGION XII (SOCCSKSARGEN)","Urea",1.97,1.87,2.06,1.90,1.87,1.48,1.73,1.83,1.61,1.69,1.83,1.89,2.04,2.17,2.34,2.20,2.40,2.55,2.95
"..REGION XII (SOCCSKSARGEN)","Ammosul",0.26,0.31,0.33,0.37,0.59,0.52,0.52,0.58,0.60,0.75,0.60,0.69,0.55,0.66,0.79,1.03,0.95,0.67,0.53
"..REGION XII (SOCCSKSARGEN)","Ammophos",0.20,0.19,0.23,0.36,0.33,0.14,0.27,0.20,0.28,0.26,0.33,0.25,0.29,0.29,0.37,0.42,0.40,0.64,0.68
"..REGION XII (SOCCSKSARGEN)","Complete",0.92,0.78,0.85,0.71,0.89,0.68,0.71,0.68,0.64,0.74,0.89,0.89,1.03,0.93,1.06,1.13,1.44,1.60,1.38
"..REGION XII (SOCCSKSARGEN)","Others",0.01,0.05,0.06,0.10,0.13,0.10,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION XII (CARAGA)","Area Applied",94952.00,101347.89,103856.17,107138.50,115098.00,134721.00,122681.00,123906.00,140634.00,153920.00,173208.30,130705.42,147968.00,148274.03,158768.36,159082.26,142863.51,147086.89,144165.23
"..REGION XII (CARAGA)","All Grades",3.73,3.52,3.60,3.87,3.46,3.77,2.46,3.02,2.95,2.98,3.07,3.32,3.30,3.71,3.82,4.28,3.74,4.42,4.09
"..REGION XII (CARAGA)","Urea",0.94,0.76,0.61,0.86,0.79,0.90,0.56,0.83,0.75,0.78,0.86,0.94,1.09,1.23,1.22,1.36,1.14,1.30,1.54
"..REGION XII (CARAGA)","Ammosul",0.95,1.03,1.14,1.21,0.99,0.86,1.01,1.07,1.17,1.21,1.15,1.15,1.05,1.03,0.94,0.98,0.99,1.15,0.84
"..REGION XII (CARAGA)","Ammophos",0.12,0.07,0.06,0.10,0.06,0.20,0.07,0.09,0.16,0.15,0.11,0.09,0.12,0.22,0.27,0.33,0.31,0.42,0.27
"..REGION XII (CARAGA)","Complete",1.59,1.60,1.59,1.57,1.40,1.04,0.82,1.03,0.87,0.84,0.94,1.14,1.04,1.23,1.39,1.61,1.29,1.56,1.45
"..REGION XII (CARAGA)","Others",0.13,0.06,0.20,0.14,0.22,0.78,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Area Applied",113636.00,118861.60,157493.02,84953.58,124583.00,189175.00,204760.00,..,199176.00,187070.30,151324.04,85889.93,..,..,..,..,161651.62,223769.22,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","All Grades",5.27,4.44,3.77,3.01,3.93,3.03,1.87,..,1.79,1.84,1.68,2.39,..,..,..,..,4.46,3.19,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Urea",2.00,1.88,1.46,1.46,1.63,2.12,0.50,..,0.46,0.66,0.67,1.31,..,..,..,..,2.02,1.60,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammosul",1.21,0.79,0.65,0.21,0.31,0.09,0.48,..,0.40,0.32,0.14,0.05,..,..,..,..,0.54,0.30,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Ammophos",0.95,0.45,0.75,0.51,0.13,0.08,0.42,..,0.48,0.33,0.22,..,..,..,..,..,0.43,0.11,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Complete",0.90,1.22,0.90,0.82,1.84,0.75,0.47,..,0.44,0.53,0.65,1.03,..,..,..,..,1.47,1.18,..
"..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","Others",0.21,0.10,..,..,0.01,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,..
