Commodity,Item,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tilapia,..Wage of stay-in laborer paid in kind,,,,,,,,,,,359,465,468,490,486,463,515,545,572,588,641
Tilapia,..Other laborer's share,,,,,,,,,,,319,413,416,436,433,413,459,485,510,524,571
Tilapia,..Administrator's share,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Tilapia,..Lease fishpond rentals,,,,,,,,,,,54,70,70,73,72,69,74,75,78,84,84
Tilapia,..Rice allowance for overseer,,,,,,,,,,,21,22,23,24,24,24,25,26,27,28,29
Tilapia,IMPUTED COSTS,,,,,,,,,,,42236,28874,30156,31405,32475,32691,35498,38504,42739,45373,47159
Tilapia,..Stocking materials,,,,,,,,,,,174,294,319,344,372,355,383,390,403,434,432
Tilapia,..Feeds,,,,,,,,,,,131,135,139,145,147,149,153,161,165,169,177
Tilapia,..Fertilizer,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
Tilapia,..Operator labor,,,,,,,,,,,1781,1899,2002,2139,2298,2368,2916,3185,3443,3634,3847
Tilapia,..Family labor,,,,,,,,,,,563,600,633,676,726,748,1061,1159,1253,1323,1400
Tilapia,..Operator/family labor,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Tilapia,..Exchange labor,,,,,,,,,,,2,2,2,2,2,2,3,3,3,3,4
Tilapia,..Depreciation,,,,,,,,,,,3640,4004,4404,4844,5328,5861,6447,7092,7801,8581,9439
Tilapia,..Interest on operating capital,,,,,,,,,,,27120,10688,11334,11401,11843,12000,12426,14195,16917,17520,18189
Tilapia,..Rental value of owned fishpond,,,,,,,,,,,8824,11251,11322,11853,11758,11208,12108,12318,12753,13707,13670
Tilapia,ALL COSTS,,,,,,,,,,,235216,236758,245999,257200,263901,264416,275873,290277,302388,313673,325784
Tilapia,GROSS RETURNS,,,,,,,,,,,321006,415610,431356,440358,416653,394349,438629,463845,486890,500719,545815
Tilapia,RETURNS ABOVE CASH COSTS,,,,,,,,,,,129688,209882,217734,216885,187553,164865,200695,214644,229941,235224,270188
Tilapia,RETURNS ABOVE CASH AND NON-CASH COSTS,,,,,,,,,,,128026,207726,215513,214563,185227,162624,198254,212071,227241,232419,267191
Tilapia,NET RETURNS,,,,,,,,,,,85790,178852,185357,183158,152752,129933,162756,173568,184502,187046,220032
Tilapia,NET PROFIT-COST RATIO,,,,,,,,,,,0,1,1,1,1,0,1,1,1,1,1
Tilapia,Cost per kilogram (pesos),,,,,,,,,,,41,40,41,44,47,47,48,49,50,54,52
Tilapia,Yield per hectare (kg),,,,,,,,,,,5762,5851,6035,5885,5613,5573,5738,5965,6048,5786,6325
Tilapia,Farmgate price (pesos/kg),,,,,,,,,,,56,71,71,75,74,71,76,78,81,87,86
