Commodity,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Palay,8539852.00,8971030.00,9458772.00,9319276.00,9673262.00,9128940.00,9434208.00,10538054.00,10540649.00,11283568.00,11268963.00,8554824.00,11786625.00,12389412.00,12954870.00,13270653.00,13499884.00,14496784.00,14603005.00,15326706.00,16240194.00,16815548.00,16266417.00,15772319.00,16684062.00,18032525.47,18439419.73,18967826.17,18149837.78,17627244.82,19276346.63,19066093.94
Corn,4278119.00,4427951.00,4522195.00,4853891.00,4655026.00,4618854.00,4797977.00,4519246.00,4128510.00,4151332.00,4332417.00,3823184.00,4584593.00,4511104.00,4525012.00,4319262.00,4615625.00,5413386.00,5253160.00,6082109.00,6736940.00,6928225.00,7034033.00,6376796.00,6971221.00,7407068.35,7377293.30,7770602.74,7518755.72,7218816.55,7914908.49,7771918.63
