"Quarterly Indices on Volume of Production (2016=100)"

"Sector_subsector","2000 Q1","2000 Q2","2000 Q3","2000 Q4","2001 Q1","2001 Q2","2001 Q3","2001 Q4","2002 Q1","2002 Q2","2002 Q3","2002 Q4","2003 Q1","2003 Q2","2003 Q3","2003 Q4","2004 Q1","2004 Q2","2004 Q3","2004 Q4","2005 Q1","2005 Q2","2005 Q3","2005 Q4","2006 Q1","2006 Q2","2006 Q3","2006 Q4","2007 Q1","2007 Q2","2007 Q3","2007 Q4","2008 Q1","2008 Q2","2008 Q3","2008 Q4","2009 Q1","2009 Q2","2009 Q3","2009 Q4","2010 Q1","2010 Q2","2010 Q3","2010 Q4","2011 Q1","2011 Q2","2011 Q3","2011 Q4","2012 Q1","2012 Q2","2012 Q3","2012 Q4","2013 Q1","2013 Q2","2013 Q3","2013 Q4","2014 Q1","2014 Q2","2014 Q3","2014 Q4","2015 Q1","2015 Q2","2015 Q3","2015 Q4","2016 Q1","2016 Q2","2016 Q3","2016 Q4","2017 Q1","2017 Q2","2017 Q3","2017 Q4","2018 Q1","2018 Q2","2018 Q3","2018 Q4","2019 Q1","2019 Q2","2019 Q3","2019 Q4","2020 Q1","2020 Q2","2020 Q3","2020 Q4"
"Total AFF",69.26,73.92,62.34,82.32,71.38,76.90,64.38,85.91,75.44,76.77,63.50,88.86,77.92,76.43,66.80,92.99,84.48,80.18,72.14,95.00,84.31,81.77,73.82,98.61,87.24,87.78,76.57,100.29,90.71,91.15,80.83,106.00,93.22,95.71,82.80,109.08,95.15,95.87,84.02,105.62,92.60,92.75,81.39,111.61,96.14,100.15,82.22,108.62,95.00,100.38,85.58,113.70,98.61,100.30,85.89,114.09,99.04,103.36,83.96,120.24,99.90,102.45,84.18,119.83,92.76,102.14,88.89,116.20,98.96,109.62,91.46,119.06,99.66,110.26,90.51,121.86,99.34,108.92,85.52,121.34,95.90,110.80,89.80,..
"..Total Crops",70.59,87.38,59.56,85.10,72.50,90.26,60.83,86.04,78.44,87.91,56.92,88.86,81.68,84.55,60.79,91.53,85.99,89.29,69.73,92.94,82.44,90.08,71.01,96.06,85.89,97.23,74.95,98.06,88.60,102.42,80.21,105.52,91.32,111.12,82.20,105.99,92.20,106.52,84.11,100.16,87.12,98.27,77.36,107.96,94.22,114.99,79.55,103.06,92.12,117.10,85.53,109.42,95.80,112.02,84.24,110.88,97.12,118.70,81.64,117.66,98.56,115.50,79.19,116.52,90.84,111.26,83.65,114.24,102.90,125.92,87.52,117.40,104.65,123.64,85.17,118.16,100.53,117.72,83.37,117.99,100.20,126.90,88.00,..
"…Palay",57.50,101.56,69.87,57.45,56.64,108.17,69.66,63.14,61.57,102.65,58.52,70.71,61.12,92.11,70.50,72.06,69.14,102.25,83.16,70.83,68.09,104.10,77.29,74.81,72.79,114.80,87.05,73.30,74.02,119.81,91.13,80.70,75.48,132.40,100.41,78.95,79.35,134.88,101.91,68.09,70.30,122.87,76.63,82.47,81.28,139.05,91.75,75.28,80.38,153.12,104.11,82.96,83.99,150.35,97.38,89.70,86.80,159.98,87.66,95.80,88.02,155.45,73.89,92.17,79.25,145.97,85.94,88.84,89.06,163.08,98.12,92.72,93.17,161.17,92.79,90.68,89.01,152.24,96.91,90.15,87.30,163.20,111.80,..
"…Corn",51.38,76.75,98.72,35.33,54.88,69.76,100.69,35.36,56.47,65.65,95.05,31.86,68.92,55.16,89.88,41.77,78.13,63.69,120.74,42.29,63.80,57.27,137.17,40.00,77.89,85.45,138.72,46.41,86.79,83.32,158.09,53.68,101.48,103.33,140.48,51.23,98.03,102.79,147.75,53.59,81.59,64.61,144.38,61.01,97.44,110.81,135.72,55.09,102.68,115.29,151.29,55.99,114.42,85.41,161.82,54.00,116.09,95.46,152.36,68.46,120.69,80.50,149.77,64.33,97.77,72.45,165.55,64.23,120.69,105.72,161.01,60.62,126.32,102.38,137.82,67.17,123.70,93.80,111.07,62.27,118.30,108.40,115.60,..
"…Coconut",61.48,110.73,103.16,85.70,64.80,131.99,113.06,71.47,70.26,127.76,129.00,75.05,72.47,134.49,134.71,69.64,72.07,132.68,137.07,70.94,75.58,136.85,142.63,71.67,77.45,138.24,143.70,71.37,73.48,132.94,146.47,73.81,77.78,141.67,147.79,74.02,78.68,143.58,154.01,75.62,79.61,143.04,151.93,73.84,74.71,138.28,151.50,75.46,78.94,144.98,158.58,75.95,79.20,142.83,153.71,69.67,74.45,136.52,147.25,68.73,74.77,135.41,148.72,68.55,70.95,126.00,138.08,64.97,69.29,126.83,142.63,67.24,75.15,131.89,151.23,69.61,75.33,131.38,150.59,71.72,71.50,128.30,147.50,..
"…Sugarcane",149.93,39.54,5.34,115.17,158.17,40.05,5.70,118.05,174.46,40.37,3.22,125.14,207.48,49.32,2.61,128.27,213.36,66.53,2.18,131.48,204.09,49.66,1.88,131.73,207.19,51.33,2.96,155.97,206.15,39.12,2.67,125.98,213.77,82.45,4.13,128.03,206.27,39.16,4.57,146.76,196.77,15.52,0.79,105.35,249.08,93.81,2.43,131.06,232.82,53.95,3.81,155.87,239.96,41.55,4.72,140.54,254.55,43.35,6.25,138.95,247.21,36.68,3.63,128.20,242.71,46.42,1.95,108.92,245.12,119.42,3.18,124.79,217.53,88.19,4.14,122.02,249.22,56.64,10.35,102.70,271.30,97.80,10.90,..
"…Banana",35.58,66.55,61.02,58.28,36.79,67.74,62.11,60.44,37.60,70.18,65.41,64.00,38.56,70.80,64.80,67.05,39.77,72.95,68.79,71.87,41.13,81.97,79.25,83.04,46.45,90.86,83.77,85.60,49.18,98.54,88.88,102.28,59.35,119.34,105.76,107.71,62.39,124.16,108.90,110.92,63.18,124.51,111.38,111.18,64.90,124.25,112.40,110.82,66.20,125.89,115.02,107.52,62.07,112.12,107.72,106.41,63.17,113.63,112.37,109.89,65.73,113.43,116.20,111.97,63.05,109.27,113.99,113.70,64.65,112.08,117.90,117.28,66.00,116.21,120.20,118.11,65.15,111.49,122.09,116.40,62.90,109.80,120.50,..
"…Other Crops",86.22,86.67,40.31,129.06,89.32,88.83,42.21,126.61,97.35,88.92,42.58,126.53,97.39,91.57,43.41,128.38,97.31,89.37,43.94,131.69,94.55,92.29,44.78,135.03,93.00,89.71,44.70,135.90,95.88,100.25,47.09,147.12,93.53,94.82,46.67,149.58,93.17,89.53,47.03,144.89,94.99,92.91,48.25,145.84,92.65,95.03,46.37,141.99,86.05,96.05,47.00,146.74,88.64,99.18,46.77,143.53,87.95,106.06,48.39,147.24,89.26,107.04,50.98,154.54,86.74,105.42,51.47,156.37,102.63,105.52,52.48,159.12,102.72,106.77,54.23,161.70,92.63,107.68,53.17,167.79,94.50,111.20,53.70,..
"..Livestock and Poultry",63.24,59.35,59.91,94.01,65.53,61.58,63.24,100.70,66.21,62.22,63.91,101.77,69.12,63.99,65.77,102.00,71.44,64.44,66.07,103.40,73.83,65.75,65.95,105.33,73.26,67.45,67.34,106.07,74.90,67.86,67.73,108.07,75.00,68.82,68.92,111.24,77.37,71.16,69.95,109.80,78.40,73.49,71.28,113.77,79.98,74.99,73.86,118.53,82.50,75.26,75.40,121.94,83.73,78.85,77.31,125.20,84.79,79.21,76.65,130.53,88.40,83.16,80.89,135.80,90.84,86.77,83.50,138.89,93.19,88.97,85.18,143.30,95.15,90.60,88.12,149.28,98.19,93.89,84.16,145.64,89.90,87.50,79.20,..
"..Fishery",70.99,59.88,68.51,57.38,73.05,64.49,70.84,62.54,77.07,68.11,74.66,68.30,77.41,71.85,78.17,80.59,92.50,77.07,82.16,84.63,97.38,80.61,87.02,91.20,102.15,89.61,90.71,94.24,110.98,95.13,99.69,97.66,115.02,96.99,104.34,108.61,119.39,102.29,103.67,109.03,118.75,102.07,108.15,113.07,115.11,99.61,100.98,107.66,110.73,97.17,101.02,111.21,116.85,100.38,101.48,106.31,113.39,99.62,101.08,111.44,110.14,98.10,102.19,107.50,104.71,92.32,99.54,103.43,105.47,89.61,96.93,102.88,101.61,94.17,95.89,104.88,103.02,97.33,94.97,109.08,100.20,98.30,97.00,..
