# Number, Area and Average Area of Holdings/Farms by Region: Philippines 1960, 1971, 1980, 1991, 2002 and 2012
Geolocation,Farm Characteristics,1960,1971,1980,1991,2002,2012
PHILIPPINES,Farms (Number),2166216,2354469,3420323,4610041,4822739,5563138
PHILIPPINES,Area (Hectares),7772485,8493735,9725155,9974871,9670793,7271446
PHILIPPINES,Average Farm Area (Hectares),3.6,3.6,2.8,2.2,2.3,1.3
..NATIONAL  CAPITAL  REGION (NCR),Farms (Number),5272,2787,12841,15136,22820,38580
..NATIONAL  CAPITAL  REGION (NCR),Area (Hectares),8980,6244,47946,53646,71632,20271
..NATIONAL  CAPITAL  REGION (NCR),Average Farm Area (Hectares),1.7,2.2,3.7,3.5,3.1,0.5
..CORDILLERA ADMINISTRATIVE REGION  (CAR),Farms (Number),69312,67036,93940,108251,120104,167515
..CORDILLERA ADMINISTRATIVE REGION  (CAR),Area (Hectares),163333,161451,227365,155581,177839,138817
..CORDILLERA ADMINISTRATIVE REGION  (CAR),Average Farm Area (Hectares),2.4,2.4,2.4,1.4,1.5,0.8
..Region I  (ILOCOS REGION),Farms (Number),175004,175308,246261,311758,276766,313398
..Region I  (ILOCOS REGION),Area (Hectares),293292,297200,326915,324501,270664,218658
..Region I  (ILOCOS REGION),Average Farm Area (Hectares),1.7,1.7,1.3,1.0,1.0,0.7
..Region II  (CAGAYAN VALLEY),Farms (Number),125297,144827,209284,285721,321755,443260
..Region II  (CAGAYAN VALLEY),Area (Hectares),417788,502439,506563,530143,540812,480957
..Region II  (CAGAYAN VALLEY),Average Farm Area (Hectares),3.3,3.5,2.4,1.9,1.7,1.1
..Region III  (CENTRAL LUZON),Farms (Number),174598,174445,245491,350785,341466,361545
..Region III  (CENTRAL LUZON),Area (Hectares),565728,564921,526750,632493,552104,446176
..Region III  (CENTRAL LUZON),Average Farm Area (Hectares),7.3,7.3,5.2,4.2,1.6,1.2
..Region IV-A  (CALABARZON),Farms (Number),163807,169407,250771,319865,282746,341851
..Region IV-A  (CALABARZON),Area (Hectares),543561,586399,654217,703256,588516,497669
..Region IV-A  (CALABARZON),Average Farm Area (Hectares),3.3,3.5,2.6,2.2,2.1,1.5
..MIMAROPA Region,Farms (Number),78888,92550,138368,209248,220967,277742
..MIMAROPA Region,Area (Hectares),411791,456080,565757,569814,542218,445568
..MIMAROPA Region,Average Farm Area (Hectares),5.2,4.9,4.1,2.7,2.5,1.6
..Region V  (BICOL REGION),Farms (Number),196695,223023,311214,377791,384801,486312
..Region V  (BICOL REGION),Area (Hectares),834401,921276,1036607,936174,891955,774225
..Region V  (BICOL REGION),Average Farm Area (Hectares),4.2,4.1,3.3,2.5,2.3,1.6
..Region VI  (WESTERN VISAYAS),Farms (Number),211715,190704,279123,411572,429456,517796
..Region VI  (WESTERN VISAYAS),Area (Hectares),813865,781954,765886,754386,666917,467789
..Region VI  (WESTERN VISAYAS),Average Farm Area (Hectares),3.8,4.1,2.7,1.8,1.6,0.9
..Region VII  (CENTRAL VISAYAS),Farms (Number),235458,221742,341884,424825,430043,427464
..Region VII  (CENTRAL VISAYAS),Area (Hectares),456035,479133,582862,549895,522433,292505
..Region VII  (CENTRAL VISAYAS),Average Farm Area (Hectares),1.9,2.2,1.7,1.3,1.2,0.7
..Region VIII  (EASTERN VISAYAS),Farms (Number),201370,200147,271283,321456,330750,412852
..Region VIII  (EASTERN VISAYAS),Area (Hectares),670354,674136,744141,695711,723048,453641
..Region VIII  (EASTERN VISAYAS),Average Farm Area (Hectares),3.3,3.4,2.7,2.2,2.2,1.1
..Region IX  (ZAMBOANGA PENINSULA),Farms (Number),85594,123814,169898,235674,252659,212718
..Region IX  (ZAMBOANGA PENINSULA),Area (Hectares),390161,500495,613069,675723,785294,448198
..Region IX  (ZAMBOANGA PENINSULA),Average Farm Area (Hectares),4.6,4.0,3.6,2.9,3.1,2.1
..Region X  (NORTHERN MINDANAO),Farms (Number),107373,140539,208401,289468,319157,371950
..Region X  (NORTHERN MINDANAO),Area (Hectares),478300,571530,758642,768290,746901,565231
..Region X  (NORTHERN MINDANAO),Average Farm Area (Hectares),4.5,4.1,3.6,2.7,2.3,1.5
..Region XI  (DAVAO REGION),Farms (Number),92243,113202,187711,267224,299966,338344
..Region XI  (DAVAO REGION),Area (Hectares),460385,551413,746727,795893,758335,575559
..Region XI  (DAVAO REGION),Average Farm Area (Hectares),5.0,4.9,4.0,3.0,2.5,1.7
..Region XII  (SOCCSKSARGEN),Farms (Number),75311,116053,169823,264095,330571,385648
..Region XII  (SOCCSKSARGEN),Area (Hectares),450826,591157,623648,746702,775309,638267
..Region XII  (SOCCSKSARGEN),Average Farm Area (Hectares),6.0,5.1,3.7,2.8,2.3,1.7
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Farms (Number),104912,119537,152040,227572,248528,282692
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area (Hectares),530057,488158,514124,565220,533410,346525
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Average Farm Area (Hectares),5.1,4.1,3.4,2.5,2.1,1.2
..Region XIII (Caraga),Farms (Number),63367,79348,131990,189600,210184,183471
..Region XIII (Caraga),Area (Hectares),283629,359750,483936,517446,523407,461389
..Region XIII (Caraga),Average Farm Area (Hectares),4.5,4.5,3.7,2.7,2.5,2.5
