"Gross Domestic Product by Expenditure Shares, Q1 1981 to Q4 2023"

"Type of Expenditure","At Current Prices 1981 Q1","At Current Prices 1981 Q2","At Current Prices 1981 Q3","At Current Prices 1981 Q4","At Current Prices 1982 Q1","At Current Prices 1982 Q2","At Current Prices 1982 Q3","At Current Prices 1982 Q4","At Current Prices 1983 Q1","At Current Prices 1983 Q2","At Current Prices 1983 Q3","At Current Prices 1983 Q4","At Current Prices 1984 Q1","At Current Prices 1984 Q2","At Current Prices 1984 Q3","At Current Prices 1984 Q4","At Current Prices 1985 Q1","At Current Prices 1985 Q2","At Current Prices 1985 Q3","At Current Prices 1985 Q4","At Current Prices 1986 Q1","At Current Prices 1986 Q2","At Current Prices 1986 Q3","At Current Prices 1986 Q4","At Current Prices 1987 Q1","At Current Prices 1987 Q2","At Current Prices 1987 Q3","At Current Prices 1987 Q4","At Current Prices 1988 Q1","At Current Prices 1988 Q2","At Current Prices 1988 Q3","At Current Prices 1988 Q4","At Current Prices 1989 Q1","At Current Prices 1989 Q2","At Current Prices 1989 Q3","At Current Prices 1989 Q4","At Current Prices 1990 Q1","At Current Prices 1990 Q2","At Current Prices 1990 Q3","At Current Prices 1990 Q4","At Current Prices 1991 Q1","At Current Prices 1991 Q2","At Current Prices 1991 Q3","At Current Prices 1991 Q4","At Current Prices 1992 Q1","At Current Prices 1992 Q2","At Current Prices 1992 Q3","At Current Prices 1992 Q4","At Current Prices 1993 Q1","At Current Prices 1993 Q2","At Current Prices 1993 Q3","At Current Prices 1993 Q4","At Current Prices 1994 Q1","At Current Prices 1994 Q2","At Current Prices 1994 Q3","At Current Prices 1994 Q4","At Current Prices 1995 Q1","At Current Prices 1995 Q2","At Current Prices 1995 Q3","At Current Prices 1995 Q4","At Current Prices 1996 Q1","At Current Prices 1996 Q2","At Current Prices 1996 Q3","At Current Prices 1996 Q4","At Current Prices 1997 Q1","At Current Prices 1997 Q2","At Current Prices 1997 Q3","At Current Prices 1997 Q4","At Current Prices 1998 Q1","At Current Prices 1998 Q2","At Current Prices 1998 Q3","At Current Prices 1998 Q4","At Current Prices 1999 Q1","At Current Prices 1999 Q2","At Current Prices 1999 Q3","At Current Prices 1999 Q4","At Current Prices 2000 Q1","At Current Prices 2000 Q2","At Current Prices 2000 Q3","At Current Prices 2000 Q4","At Current Prices 2001 Q1","At Current Prices 2001 Q2","At Current Prices 2001 Q3","At Current Prices 2001 Q4","At Current Prices 2002 Q1","At Current Prices 2002 Q2","At Current Prices 2002 Q3","At Current Prices 2002 Q4","At Current Prices 2003 Q1","At Current Prices 2003 Q2","At Current Prices 2003 Q3","At Current Prices 2003 Q4","At Current Prices 2004 Q1","At Current Prices 2004 Q2","At Current Prices 2004 Q3","At Current Prices 2004 Q4","At Current Prices 2005 Q1","At Current Prices 2005 Q2","At Current Prices 2005 Q3","At Current Prices 2005 Q4","At Current Prices 2006 Q1","At Current Prices 2006 Q2","At Current Prices 2006 Q3","At Current Prices 2006 Q4","At Current Prices 2007 Q1","At Current Prices 2007 Q2","At Current Prices 2007 Q3","At Current Prices 2007 Q4","At Current Prices 2008 Q1","At Current Prices 2008 Q2","At Current Prices 2008 Q3","At Current Prices 2008 Q4","At Current Prices 2009 Q1","At Current Prices 2009 Q2","At Current Prices 2009 Q3","At Current Prices 2009 Q4","At Current Prices 2010 Q1","At Current Prices 2010 Q2","At Current Prices 2010 Q3","At Current Prices 2010 Q4","At Current Prices 2011 Q1","At Current Prices 2011 Q2","At Current Prices 2011 Q3","At Current Prices 2011 Q4","At Current Prices 2012 Q1","At Current Prices 2012 Q2","At Current Prices 2012 Q3","At Current Prices 2012 Q4","At Current Prices 2013 Q1","At Current Prices 2013 Q2","At Current Prices 2013 Q3","At Current Prices 2013 Q4","At Current Prices 2014 Q1","At Current Prices 2014 Q2","At Current Prices 2014 Q3","At Current Prices 2014 Q4","At Current Prices 2015 Q1","At Current Prices 2015 Q2","At Current Prices 2015 Q3","At Current Prices 2015 Q4","At Current Prices 2016 Q1","At Current Prices 2016 Q2","At Current Prices 2016 Q3","At Current Prices 2016 Q4","At Current Prices 2017 Q1","At Current Prices 2017 Q2","At Current Prices 2017 Q3","At Current Prices 2017 Q4","At Current Prices 2018 Q1","At Current Prices 2018 Q2","At Current Prices 2018 Q3","At Current Prices 2018 Q4","At Current Prices 2019 Q1","At Current Prices 2019 Q2","At Current Prices 2019 Q3","At Current Prices 2019 Q4","At Current Prices 2020 Q1","At Current Prices 2020 Q2","At Current Prices 2020 Q3","At Current Prices 2020 Q4","At Current Prices 2021 Q1","At Current Prices 2021 Q2","At Current Prices 2021 Q3","At Current Prices 2021 Q4","At Current Prices 2022 Q1","At Current Prices 2022 Q2","At Current Prices 2022 Q3","At Current Prices 2022 Q4","At Current Prices 2023 Q1","At Current Prices 2023 Q2","At Current Prices 2023 Q3","At Current Prices 2023 Q4","At Constant 2018 Prices 1981 Q1","At Constant 2018 Prices 1981 Q2","At Constant 2018 Prices 1981 Q3","At Constant 2018 Prices 1981 Q4","At Constant 2018 Prices 1982 Q1","At Constant 2018 Prices 1982 Q2","At Constant 2018 Prices 1982 Q3","At Constant 2018 Prices 1982 Q4","At Constant 2018 Prices 1983 Q1","At Constant 2018 Prices 1983 Q2","At Constant 2018 Prices 1983 Q3","At Constant 2018 Prices 1983 Q4","At Constant 2018 Prices 1984 Q1","At Constant 2018 Prices 1984 Q2","At Constant 2018 Prices 1984 Q3","At Constant 2018 Prices 1984 Q4","At Constant 2018 Prices 1985 Q1","At Constant 2018 Prices 1985 Q2","At Constant 2018 Prices 1985 Q3","At Constant 2018 Prices 1985 Q4","At Constant 2018 Prices 1986 Q1","At Constant 2018 Prices 1986 Q2","At Constant 2018 Prices 1986 Q3","At Constant 2018 Prices 1986 Q4","At Constant 2018 Prices 1987 Q1","At Constant 2018 Prices 1987 Q2","At Constant 2018 Prices 1987 Q3","At Constant 2018 Prices 1987 Q4","At Constant 2018 Prices 1988 Q1","At Constant 2018 Prices 1988 Q2","At Constant 2018 Prices 1988 Q3","At Constant 2018 Prices 1988 Q4","At Constant 2018 Prices 1989 Q1","At Constant 2018 Prices 1989 Q2","At Constant 2018 Prices 1989 Q3","At Constant 2018 Prices 1989 Q4","At Constant 2018 Prices 1990 Q1","At Constant 2018 Prices 1990 Q2","At Constant 2018 Prices 1990 Q3","At Constant 2018 Prices 1990 Q4","At Constant 2018 Prices 1991 Q1","At Constant 2018 Prices 1991 Q2","At Constant 2018 Prices 1991 Q3","At Constant 2018 Prices 1991 Q4","At Constant 2018 Prices 1992 Q1","At Constant 2018 Prices 1992 Q2","At Constant 2018 Prices 1992 Q3","At Constant 2018 Prices 1992 Q4","At Constant 2018 Prices 1993 Q1","At Constant 2018 Prices 1993 Q2","At Constant 2018 Prices 1993 Q3","At Constant 2018 Prices 1993 Q4","At Constant 2018 Prices 1994 Q1","At Constant 2018 Prices 1994 Q2","At Constant 2018 Prices 1994 Q3","At Constant 2018 Prices 1994 Q4","At Constant 2018 Prices 1995 Q1","At Constant 2018 Prices 1995 Q2","At Constant 2018 Prices 1995 Q3","At Constant 2018 Prices 1995 Q4","At Constant 2018 Prices 1996 Q1","At Constant 2018 Prices 1996 Q2","At Constant 2018 Prices 1996 Q3","At Constant 2018 Prices 1996 Q4","At Constant 2018 Prices 1997 Q1","At Constant 2018 Prices 1997 Q2","At Constant 2018 Prices 1997 Q3","At Constant 2018 Prices 1997 Q4","At Constant 2018 Prices 1998 Q1","At Constant 2018 Prices 1998 Q2","At Constant 2018 Prices 1998 Q3","At Constant 2018 Prices 1998 Q4","At Constant 2018 Prices 1999 Q1","At Constant 2018 Prices 1999 Q2","At Constant 2018 Prices 1999 Q3","At Constant 2018 Prices 1999 Q4","At Constant 2018 Prices 2000 Q1","At Constant 2018 Prices 2000 Q2","At Constant 2018 Prices 2000 Q3","At Constant 2018 Prices 2000 Q4","At Constant 2018 Prices 2001 Q1","At Constant 2018 Prices 2001 Q2","At Constant 2018 Prices 2001 Q3","At Constant 2018 Prices 2001 Q4","At Constant 2018 Prices 2002 Q1","At Constant 2018 Prices 2002 Q2","At Constant 2018 Prices 2002 Q3","At Constant 2018 Prices 2002 Q4","At Constant 2018 Prices 2003 Q1","At Constant 2018 Prices 2003 Q2","At Constant 2018 Prices 2003 Q3","At Constant 2018 Prices 2003 Q4","At Constant 2018 Prices 2004 Q1","At Constant 2018 Prices 2004 Q2","At Constant 2018 Prices 2004 Q3","At Constant 2018 Prices 2004 Q4","At Constant 2018 Prices 2005 Q1","At Constant 2018 Prices 2005 Q2","At Constant 2018 Prices 2005 Q3","At Constant 2018 Prices 2005 Q4","At Constant 2018 Prices 2006 Q1","At Constant 2018 Prices 2006 Q2","At Constant 2018 Prices 2006 Q3","At Constant 2018 Prices 2006 Q4","At Constant 2018 Prices 2007 Q1","At Constant 2018 Prices 2007 Q2","At Constant 2018 Prices 2007 Q3","At Constant 2018 Prices 2007 Q4","At Constant 2018 Prices 2008 Q1","At Constant 2018 Prices 2008 Q2","At Constant 2018 Prices 2008 Q3","At Constant 2018 Prices 2008 Q4","At Constant 2018 Prices 2009 Q1","At Constant 2018 Prices 2009 Q2","At Constant 2018 Prices 2009 Q3","At Constant 2018 Prices 2009 Q4","At Constant 2018 Prices 2010 Q1","At Constant 2018 Prices 2010 Q2","At Constant 2018 Prices 2010 Q3","At Constant 2018 Prices 2010 Q4","At Constant 2018 Prices 2011 Q1","At Constant 2018 Prices 2011 Q2","At Constant 2018 Prices 2011 Q3","At Constant 2018 Prices 2011 Q4","At Constant 2018 Prices 2012 Q1","At Constant 2018 Prices 2012 Q2","At Constant 2018 Prices 2012 Q3","At Constant 2018 Prices 2012 Q4","At Constant 2018 Prices 2013 Q1","At Constant 2018 Prices 2013 Q2","At Constant 2018 Prices 2013 Q3","At Constant 2018 Prices 2013 Q4","At Constant 2018 Prices 2014 Q1","At Constant 2018 Prices 2014 Q2","At Constant 2018 Prices 2014 Q3","At Constant 2018 Prices 2014 Q4","At Constant 2018 Prices 2015 Q1","At Constant 2018 Prices 2015 Q2","At Constant 2018 Prices 2015 Q3","At Constant 2018 Prices 2015 Q4","At Constant 2018 Prices 2016 Q1","At Constant 2018 Prices 2016 Q2","At Constant 2018 Prices 2016 Q3","At Constant 2018 Prices 2016 Q4","At Constant 2018 Prices 2017 Q1","At Constant 2018 Prices 2017 Q2","At Constant 2018 Prices 2017 Q3","At Constant 2018 Prices 2017 Q4","At Constant 2018 Prices 2018 Q1","At Constant 2018 Prices 2018 Q2","At Constant 2018 Prices 2018 Q3","At Constant 2018 Prices 2018 Q4","At Constant 2018 Prices 2019 Q1","At Constant 2018 Prices 2019 Q2","At Constant 2018 Prices 2019 Q3","At Constant 2018 Prices 2019 Q4","At Constant 2018 Prices 2020 Q1","At Constant 2018 Prices 2020 Q2","At Constant 2018 Prices 2020 Q3","At Constant 2018 Prices 2020 Q4","At Constant 2018 Prices 2021 Q1","At Constant 2018 Prices 2021 Q2","At Constant 2018 Prices 2021 Q3","At Constant 2018 Prices 2021 Q4","At Constant 2018 Prices 2022 Q1","At Constant 2018 Prices 2022 Q2","At Constant 2018 Prices 2022 Q3","At Constant 2018 Prices 2022 Q4","At Constant 2018 Prices 2023 Q1","At Constant 2018 Prices 2023 Q2","At Constant 2018 Prices 2023 Q3","At Constant 2018 Prices 2023 Q4"
"..Household final consumption expenditure",42128,47703,49103,56748,47973,53586,56310,65558,54022,60083,61932,78144,77459,88832,101636,128438,107373,111470,114160,133463,111501,118945,120260,142424,117344,130419,129790,153842,133961,152717,154223,174808,153630,170738,179096,206684,180356,201458,208771,242983,218537,248022,253699,285297,250316,272887,278838,313426,272769,298006,306458,344847,306622,333030,349342,384844,339633,372944,395101,437014,392689,428876,441142,481012,432856,475088,484601,537641,494085,544588,544720,611500,562884,601593,592553,663987,600429,652947,654886,743547,674223,711777,726832,821054,725177,781357,797033,876877,801177,845576,859685,961372,889324,941246,975651,1112155,1001726,1075814,1077433,1221087,1106500,1189444,1177253,1326777,1193910,1283459,1271515,1452307,1325318,1452134,1466475,1647678,1426912,1531354,1482901,1699717,1537553,1631454,1592490,1836208,1689009,1816501,1762602,2049375,1878447,1963276,1936819,2246467,2031658,2111436,2098485,2436145,2204907,2291325,2280899,2635906,2372797,2468974,2436184,2827778,2547013,2680857,2664733,3086483,2782053,2923649,2889159,3356002,3050982,3240042,3227592,3731469,3340847,3499709,3462628,3985148,3422615,3042128,3210325,3801008,3397750,3395240,3583127,4232430,3853345,3878011,4131183,4862506,4418198,4326017,4534502,5329613,633014,705894,712489,812117,654253,718373,737035,854105,678393,727596,733240,851999,685674,737819,742368,862361,709461,723790,721526,856903,708361,757132,760662,879110,720555,790918,781067,920238,761200,845028,841994,944335,798676,873505,877864,997000,834218,917188,923737,1057080,867721,945887,946235,1065642,908059,975185,976987,1089075,925911,1000663,1005132,1117439,950347,1029232,1035562,1152036,988765,1059374,1055980,1187475,1021617,1100927,1095002,1238002,1064091,1151858,1138640,1294011,1135556,1233179,1191246,1334636,1177095,1282998,1237056,1394638,1238391,1339475,1313248,1465298,1293275,1360269,1372739,1541293,1339317,1446344,1458722,1607139,1429858,1515315,1523863,1697272,1523683,1582891,1612650,1811167,1598765,1678553,1671508,1871806,1654718,1766477,1732145,1952559,1721464,1852435,1808810,2064944,1812829,1908160,1874840,2138752,1850946,1988001,1889867,2201565,1929592,2030708,1939923,2314840,2021322,2129049,2070681,2450123,2168390,2273112,2212883,2606341,2291103,2390956,2355858,2761690,2441153,2530825,2479539,2914944,2591280,2695933,2636266,3111056,2777972,2898169,2828137,3319183,2943490,3073414,2983445,3527479,3114801,3263873,3148718,3722692,3308748,3445708,3337241,3935759,3314612,2917737,3030086,3648922,3156809,3130131,3245553,3922624,3472080,3397178,3505788,4195302,3693737,3583480,3685185,4418869
"..Government final consumption expenditure",6187,6774,6565,7003,7490,7782,7717,8010,7833,8089,8361,8355,9625,9677,9652,11320,11139,10978,11846,14183,11613,12480,13057,16472,13924,14956,15556,18608,16742,18077,20368,24199,21105,21180,24072,29911,28265,28243,28926,32618,32206,32501,33302,37668,34585,34331,33650,40009,38555,38901,39269,45238,45869,47014,49023,57196,53979,56554,58561,67905,63439,68724,70436,80489,77655,87068,85423,99647,85296,101255,96969,108573,89902,103871,96346,106286,90432,107541,101030,110046,96420,115588,106211,114072,95652,118854,113794,118503,102139,120330,120511,125555,109222,125281,123412,128738,116921,145367,127055,135235,136192,159946,141229,156552,149629,180494,160002,174388,154818,189997,178814,185951,170036,220378,213454,220625,218123,258927,216029,220585,193759,291008,249213,251435,255368,336766,303401,298139,298078,380841,324213,300375,318521,400446,332400,343430,324078,413473,384928,399058,368652,489049,410195,435703,379718,538639,455432,500980,444837,623474,543284,588042,481517,668914,591359,691649,528976,829162,639282,742251,634088,817866,748261,823802,680159,947127,790600,895976,759460,918369,872654,914719,145725,158394,149185,156958,166338,167086,157770,165138,151592,156982,156909,161797,144138,141753,127747,144972,128765,128133,136188,163221,127088,131174,138529,160259,134895,139668,142490,163829,137301,146134,163253,183078,159245,158254,167857,185528,178848,177340,178346,180560,176122,173824,174688,176854,175967,174180,168256,176791,180547,187136,180086,186573,188602,195801,191037,197825,198440,206100,201112,204115,204773,215530,206072,210348,212327,230290,216809,210594,205211,233016,219753,210295,210468,223429,207637,195218,196144,224339,212407,195842,197424,227298,206386,186652,185698,220816,204648,176674,193910,217669,219997,189452,207095,221251,217024,193032,210418,250907,210662,191371,232880,275899,245446,214170,263396,302268,239834,231713,257821,294099,258554,232026,273082,328676,290351,265495,332186,353662,271834,248236,282310,378231,298731,269628,352315,417495,345576,303855,377580,456070,360322,295382,391488,464651,357840,329361,392957,476327,414450,381728,443226,545076,430953,402112,433777,583654,464841,457607,494233,655488,531757,518159,523615,697011,575719,603522,560060,848877,609090,633848,650700,814245,693780,683980,675243,904956,700083,708326,716945,840453,746801,700904
"..Gross capital formation",19930,21487,20045,23004,25306,24408,22014,24460,29494,30917,23755,34300,34951,35978,21830,25563,20316,29541,19939,22359,26240,28399,22928,26724,27286,31267,40327,34501,40354,32989,42835,50408,45330,53546,48556,74121,71579,69256,59681,85970,72199,65796,62414,80157,74910,78785,78929,87216,79702,93686,99647,117043,100663,124563,97774,127531,112938,112590,106589,142254,137497,145356,134418,160434,152915,161996,159984,192504,195494,133232,133740,146440,140029,142705,120650,138947,166151,129082,134397,150309,149172,210326,204708,198224,196365,218962,211646,263114,250364,222701,183345,264919,287709,286485,231115,298389,279083,264507,258960,296083,233514,236650,242002,336905,228144,270445,266927,395464,314637,388095,403136,421026,296000,334142,338229,494224,397214,465444,414559,644197,531329,436755,494388,641524,460525,500764,522959,679284,524310,553791,636098,773311,626063,639480,682287,815563,611588,683363,770421,910443,782499,929892,936656,1076319,973080,1064658,1023509,1170430,1064617,1273938,1260483,1360067,1178488,1246495,1272706,1455380,956211,518470,709963,944922,815357,1141002,952964,1194224,1142898,1569620,1344707,1380646,1325886,1550110,1269222,1526169,264487,274099,268056,295365,323420,300434,271818,299600,348370,354673,250095,322658,275599,262200,124592,149296,125244,178173,119172,133977,161314,166553,129127,154287,154527,172196,212434,188440,199176,168854,212268,249196,212882,241082,215059,325800,293923,293051,234758,328854,262246,213376,207567,270682,262798,241304,237649,286617,258175,246145,277166,322319,284550,299836,247976,357671,313301,283471,260335,364807,339585,329452,317061,377465,386700,351100,343173,432530,383649,323849,343306,238960,259311,334554,297779,229585,295296,252277,245992,339958,299802,355948,320307,389787,377907,352121,295793,431648,382789,369237,264350,435143,383136,455576,302760,399154,331202,414060,295131,433406,333424,329575,237287,421478,320010,368243,296236,447441,397180,444797,400907,572370,332148,447442,359092,567685,411846,607373,516452,690450,542058,502596,505978,618973,471105,554814,546995,714421,615198,661457,671810,760718,662869,719529,705254,845796,714675,826153,802818,983110,861764,1034695,968213,1153703,1007110,1132602,1066586,1250029,1042614,1305208,1246250,1365034,1130741,1297367,1237959,1466282,991934,625145,757159,1001594,852223,1148345,908516,1142715,1003149,1344737,1072152,1186610,1131646,1353851,1068548,1324629
"..Exports of goods and services",13627,12821,12132,13110,12113,12710,12028,13145,12976,15599,15553,17599,18996,21460,28667,31965,28050,28655,26695,27335,29118,32702,33121,33695,32817,35112,37081,39111,41070,43839,47709,49432,47215,49744,53364,57841,54439,56273,62061,65353,67793,76489,74887,79156,79752,73251,80114,87207,82432,86190,95844,110767,106029,113568,124949,120755,112308,135734,155602,161093,149338,162432,199727,205270,200883,208014,253750,310424,290640,257942,310756,292343,291127,279025,353851,361844,340182,354091,426877,481527,437967,397172,415770,405352,406393,418057,456775,459246,468700,468734,527198,531238,516904,532205,576366,601346,554058,588845,635777,661017,641771,696436,684153,679390,690958,671799,694341,679257,622690,678281,739996,644325,595200,619529,677851,642966,773314,769221,816692,730827,792700,762280,727152,670515,789290,771207,756647,720876,763378,810700,809385,771071,903606,905643,945597,857816,967214,948829,969929,907961,1010940,1002884,1023974,998463,1192114,1202642,1284166,1213949,1337126,1361794,1455659,1363993,1389374,1406478,1402117,1341770,1321643,904783,1116142,1181738,1205533,1177329,1282623,1333144,1460189,1405651,1665177,1722239,1560801,1520476,1736375,1664156,168060,160596,148602,168961,146768,160046,127314,144004,149277,165651,148021,145534,154051,165022,167755,154700,135898,137841,126739,134229,137993,157073,164442,164298,155833,164359,171292,171316,174935,189284,196309,200297,191749,204837,210198,217795,207325,211672,218881,205933,213209,228125,216573,240032,231016,216359,233507,262691,232928,236108,246412,284215,268629,287775,304951,326068,278551,309183,354759,377387,319249,349187,412888,430412,390979,408705,458009,506393,401150,331241,349797,330594,399016,363689,414820,378896,407798,410902,495673,455642,469729,414599,447494,399816,436735,431676,485171,461956,470344,467114,552200,493514,485321,489185,567254,571137,548189,572619,646921,609240,632653,678899,682779,621694,668838,671560,708423,642079,608143,691344,706051,569643,618357,636372,659397,539809,748693,782873,784806,635900,775297,832496,706488,614938,773802,876851,724909,685690,750065,884281,775367,711956,865649,949252,895291,790356,967195,1025607,981216,875430,1051563,1128329,1060860,963094,1181384,1307500,1304852,1141653,1334774,1454286,1435136,1294376,1392610,1513731,1457178,1300524,1342200,1010843,1234793,1161834,1230985,1297945,1348936,1251806,1362603,1362409,1534252,1432587,1378226,1425816,1573237,1396501
"..Imports of goods and services",13795,15773,16384,15200,15931,16780,16546,16736,17380,19707,20645,24521,20741,23354,30646,31948,23972,28765,25992,24175,26614,28139,28384,28924,31730,36584,39572,38367,37960,45133,46270,46542,48883,59289,59911,59094,61382,67589,74587,85351,85096,78739,84065,83006,86637,90908,100073,95608,94846,114208,126379,138369,127539,147188,139028,136103,138314,179288,172127,193382,184245,218570,222001,242861,237676,259566,313489,358038,358702,298239,329187,301521,316485,315018,335904,329795,348764,347437,399891,449824,431754,451889,453330,423496,414347,467046,511228,514627,529836,512738,534294,558866,570312,591748,611297,638289,590756,630600,652366,647966,622145,669304,659692,643156,611209,632923,655084,665577,634051,700599,772337,656183,584303,649962,658943,679887,765091,781763,766730,809801,863217,771064,789806,790797,849564,830059,835873,844150,830140,852552,965979,924012,1017405,912041,1070764,976851,1099682,992806,1205212,1155163,1298718,1276450,1369085,1367676,1606364,1537248,1609629,1640288,1796116,1929120,2005601,1931373,2004060,1927311,2023448,1941898,1766673,1149515,1506042,1495815,1638318,1784038,1931192,1970576,2203811,2433416,2711875,2352654,2433020,2423870,2633492,2417733,163795,181961,175448,169363,168022,181058,182645,176032,168723,179621,179363,160598,131311,138489,153551,150152,113009,142119,124890,115072,121362,138995,143154,141120,153735,170256,188641,184013,179724,203775,219548,225290,208111,245752,245617,250480,244431,276416,275129,247774,240058,256695,265022,272721,259578,287955,290109,286535,269832,307726,329476,340208,336948,362391,338863,378849,359988,426256,405826,438839,424555,478947,490962,494810,471430,515211,570649,573427,524146,480406,484896,360518,463796,503650,516143,397807,498256,493191,541691,570163,582622,584701,567179,549933,594821,596400,616974,638279,647140,640701,631950,656557,629576,677594,650812,703256,637569,723316,686892,712658,709926,725596,658963,676793,691585,707409,668976,696486,691877,735892,724753,744119,641907,759579,680923,746241,792706,918587,819057,885162,883200,897317,781806,821214,854461,995448,845783,916393,884242,1004059,990485,986382,1030754,1058554,1076147,1082298,1170119,1199382,1232968,1282825,1397852,1491631,1412587,1502303,1592602,1685049,1638292,1767504,1750368,1997855,1933520,1980467,1907419,2001894,1933644,1998007,1769935,1257461,1536230,1587264,1636543,1762962,1729904,1809800,1902101,2017312,2052446,1939992,1981558,2006068,2019698,1979746
"..Statistical discrepancy",8234,7239,4248,2994,7906,8595,3106,6216,10198,10465,8395,5792,14040,16756,10955,5538,14058,14844,1833,5209,10433,11842,2659,300,15604,17720,7525,10746,10891,20421,-471,11615,14146,15186,10702,5541,5886,3061,10893,20722,19645,-2637,4554,12180,9873,-146,-1005,7822,9170,-4847,-7308,9855,14433,-8941,-12273,529,14549,15582,-5945,14709,14494,9480,-9273,13000,9993,-7418,7864,11257,-834,-718,-8846,-3305,-53,-1339,-1973,2553,1968,8509,-3656,-6820,-92,7236,-3425,-3718,-2661,3807,-8323,7177,-1211,2780,-3891,2322,-9209,12726,4610,-8127,-6552,12861,-3405,-2904,967,13265,3853,-18084,368,9742,-977,-9132,12287,12269,-17634,-6922,-4245,19840,-17272,1677,-9499,9563,-3272,3208,7629,9360,-14491,-2498,5476,11073,-11032,-5516,-14563,-10232,12301,12493,223,-28129,3997,23910,28282,-27934,-25668,25320,27263,-35086,-21494,29317,24932,-38386,-24715,38169,-309,-1336,-31204,32849,39911,-28311,20530,-32130,-13632,-6655,35438,-15151,-40339,20591,-31687,51435,-3982,31111,30155,-57283,-15560,-1602,-16028,33190,64599,32272,-36061,-52816,22921,27799,-20664,-8486,28470,34006,3168,-83514,6942,15364,-16066,-13823,29823,46704,-37456,-50092,3418,29910,-35314,-51832,37918,47525,-37682,-48708,18013,25559,-45688,4733,28081,1299,-13660,-20152,-26864,-46081,-23582,-61808,-34587,-42392,-46943,-3600,-46373,-59879,-88476,-58985,-44467,-70630,-108871,-62895,-26242,-97754,-103982,-85904,-26621,-22350,-49193,-68706,3862,-13087,-36808,-44328,-43346,-32993,-12102,-68184,-33867,-60786,-39314,-6102,-961,-66588,-1163,36022,13922,-4013,-16217,6308,15600,12909,-17163,-11346,14010,-2853,-17594,6437,10318,4341,-18759,4100,2468,6503,-19757,10786,20134,2545,-19345,-3334,20632,59,-21100,409,15674,-2680,-21555,8561,9511,491,-24404,14402,-12276,11341,-3473,4408,-12720,7737,-1906,6888,5422,20672,-26296,202,-2251,23351,-5557,-15543,-19928,-1874,6012,15790,-22270,16052,5775,442,-14192,28866,-12394,-2280,-13985,25548,-23094,11530,-13182,25209,-38797,26769,-20479,39385,-31100,12194,14891,34002,1090,-49983,-5066,-2198,40601,-33338,12623,14120,-40251,13508,246,-1034,7719,-6931,-31353,8289,-291,23355
"Gross Domestic Product",76312,80251,75709,87659,84856,90302,84629,100653,97142,105446,97351,119668,134329,149349,142094,170877,156964,166722,148481,178374,162291,176228,163641,190692,175246,192890,190706,218441,205057,222910,218394,263919,232543,251104,255879,315003,279143,290701,295743,362294,325283,341433,344791,411450,362800,368201,370452,440072,387781,397727,407532,489381,446077,462046,469787,554751,495093,514116,537781,629594,573212,596298,614449,697344,636625,665182,678133,793435,705979,738060,748152,854030,767405,810836,825523,943824,850396,904732,913644,1028784,925936,990210,996766,1111487,1006579,1073992,1059697,1210291,1091333,1147383,1152553,1326540,1223639,1306195,1299857,1494213,1354481,1456794,1443454,1662553,1496799,1626437,1588797,1838384,1651799,1783015,1736724,2026706,1795699,2020177,1998449,2235875,1899600,2075281,2036219,2379322,2151614,2352847,2269768,2625222,2351209,2544840,2429057,2819554,2539542,2753027,2672921,3095098,2772721,2993985,2914503,3369383,3035915,3296724,3174416,3699773,3204277,3493900,3330583,3915398,3437650,3791145,3644979,4258608,3745533,4153954,4017922,4639242,4101138,4568792,4450213,5145048,4426077,4865973,4725892,5499920,4449141,4138373,4205108,5158953,4374072,4767989,4604095,5664458,4928798,5398104,5249946,6451429,5615765,5889500,5763234,7050113,1112091,1149294,1066823,1211223,1145678,1192681,1090627,1278330,1187380,1259287,1112070,1237876,1135092,1183670,992845,1147354,1016183,1072520,941280,1123165,1016812,1102846,1014292,1165002,1049993,1144410,1080960,1211101,1110899,1171082,1148588,1356350,1182522,1233225,1211700,1455492,1243019,1276755,1257010,1462845,1244652,1262125,1233098,1476889,1271891,1259193,1237813,1469653,1283261,1291695,1270450,1507443,1328939,1352499,1336681,1568847,1392448,1409521,1417167,1626238,1464531,1503062,1503253,1717089,1539321,1593750,1573879,1801916,1567553,1580093,1579892,1747867,1581132,1634432,1639985,1836553,1653296,1729789,1709413,1892885,1693209,1786322,1762583,1956269,1758847,1851705,1809767,2045575,1840079,1932976,1909701,2162922,1972128,2077812,2029119,2282020,2071140,2195369,2117985,2389831,2164381,2325314,2217593,2533516,2297797,2484417,2362773,2698252,2393607,2602999,2491196,2783075,2420350,2652251,2514311,2832721,2616891,2863767,2692052,3011152,2743209,2965726,2773776,3132649,2908899,3150174,2979022,3378370,3129776,3386829,3178884,3559155,3308136,3621756,3367553,3798601,3481796,3853504,3589388,4066219,3722688,4140186,3852483,4347319,3959977,4437331,4142636,4636033,4215576,4720384,4397241,4931988,4463186,4985924,4675544,5258096,4433805,4142943,4135499,4825596,4266797,4641825,4426630,5204832,4611219,4990934,4767549,5575902,4907643,5205820,5053783,5884513
