"Quarterly Gross Domestic Product Series by Industry, Q1 1981 to Q4 2023, Percent Share"

"Industry","At Current Prices 1981 Q1","At Current Prices 1981 Q2","At Current Prices 1981 Q3","At Current Prices 1981 Q4","At Current Prices 1982 Q1","At Current Prices 1982 Q2","At Current Prices 1982 Q3","At Current Prices 1982 Q4","At Current Prices 1983 Q1","At Current Prices 1983 Q2","At Current Prices 1983 Q3","At Current Prices 1983 Q4","At Current Prices 1984 Q1","At Current Prices 1984 Q2","At Current Prices 1984 Q3","At Current Prices 1984 Q4","At Current Prices 1985 Q1","At Current Prices 1985 Q2","At Current Prices 1985 Q3","At Current Prices 1985 Q4","At Current Prices 1986 Q1","At Current Prices 1986 Q2","At Current Prices 1986 Q3","At Current Prices 1986 Q4","At Current Prices 1987 Q1","At Current Prices 1987 Q2","At Current Prices 1987 Q3","At Current Prices 1987 Q4","At Current Prices 1988 Q1","At Current Prices 1988 Q2","At Current Prices 1988 Q3","At Current Prices 1988 Q4","At Current Prices 1989 Q1","At Current Prices 1989 Q2","At Current Prices 1989 Q3","At Current Prices 1989 Q4","At Current Prices 1990 Q1","At Current Prices 1990 Q2","At Current Prices 1990 Q3","At Current Prices 1990 Q4","At Current Prices 1991 Q1","At Current Prices 1991 Q2","At Current Prices 1991 Q3","At Current Prices 1991 Q4","At Current Prices 1992 Q1","At Current Prices 1992 Q2","At Current Prices 1992 Q3","At Current Prices 1992 Q4","At Current Prices 1993 Q1","At Current Prices 1993 Q2","At Current Prices 1993 Q3","At Current Prices 1993 Q4","At Current Prices 1994 Q1","At Current Prices 1994 Q2","At Current Prices 1994 Q3","At Current Prices 1994 Q4","At Current Prices 1995 Q1","At Current Prices 1995 Q2","At Current Prices 1995 Q3","At Current Prices 1995 Q4","At Current Prices 1996 Q1","At Current Prices 1996 Q2","At Current Prices 1996 Q3","At Current Prices 1996 Q4","At Current Prices 1997 Q1","At Current Prices 1997 Q2","At Current Prices 1997 Q3","At Current Prices 1997 Q4","At Current Prices 1998 Q1","At Current Prices 1998 Q2","At Current Prices 1998 Q3","At Current Prices 1998 Q4","At Current Prices 1999 Q1","At Current Prices 1999 Q2","At Current Prices 1999 Q3","At Current Prices 1999 Q4","At Current Prices 2000 Q1","At Current Prices 2000 Q2","At Current Prices 2000 Q3","At Current Prices 2000 Q4","At Current Prices 2001 Q1","At Current Prices 2001 Q2","At Current Prices 2001 Q3","At Current Prices 2001 Q4","At Current Prices 2002 Q1","At Current Prices 2002 Q2","At Current Prices 2002 Q3","At Current Prices 2002 Q4","At Current Prices 2003 Q1","At Current Prices 2003 Q2","At Current Prices 2003 Q3","At Current Prices 2003 Q4","At Current Prices 2004 Q1","At Current Prices 2004 Q2","At Current Prices 2004 Q3","At Current Prices 2004 Q4","At Current Prices 2005 Q1","At Current Prices 2005 Q2","At Current Prices 2005 Q3","At Current Prices 2005 Q4","At Current Prices 2006 Q1","At Current Prices 2006 Q2","At Current Prices 2006 Q3","At Current Prices 2006 Q4","At Current Prices 2007 Q1","At Current Prices 2007 Q2","At Current Prices 2007 Q3","At Current Prices 2007 Q4","At Current Prices 2008 Q1","At Current Prices 2008 Q2","At Current Prices 2008 Q3","At Current Prices 2008 Q4","At Current Prices 2009 Q1","At Current Prices 2009 Q2","At Current Prices 2009 Q3","At Current Prices 2009 Q4","At Current Prices 2010 Q1","At Current Prices 2010 Q2","At Current Prices 2010 Q3","At Current Prices 2010 Q4","At Current Prices 2011 Q1","At Current Prices 2011 Q2","At Current Prices 2011 Q3","At Current Prices 2011 Q4","At Current Prices 2012 Q1","At Current Prices 2012 Q2","At Current Prices 2012 Q3","At Current Prices 2012 Q4","At Current Prices 2013 Q1","At Current Prices 2013 Q2","At Current Prices 2013 Q3","At Current Prices 2013 Q4","At Current Prices 2014 Q1","At Current Prices 2014 Q2","At Current Prices 2014 Q3","At Current Prices 2014 Q4","At Current Prices 2015 Q1","At Current Prices 2015 Q2","At Current Prices 2015 Q3","At Current Prices 2015 Q4","At Current Prices 2016 Q1","At Current Prices 2016 Q2","At Current Prices 2016 Q3","At Current Prices 2016 Q4","At Current Prices 2017 Q1","At Current Prices 2017 Q2","At Current Prices 2017 Q3","At Current Prices 2017 Q4","At Current Prices 2018 Q1","At Current Prices 2018 Q2","At Current Prices 2018 Q3","At Current Prices 2018 Q4","At Current Prices 2019 Q1","At Current Prices 2019 Q2","At Current Prices 2019 Q3","At Current Prices 2019 Q4","At Current Prices 2020 Q1","At Current Prices 2020 Q2","At Current Prices 2020 Q3","At Current Prices 2020 Q4","At Current Prices 2021 Q1","At Current Prices 2021 Q2","At Current Prices 2021 Q3","At Current Prices 2021 Q4","At Current Prices 2022 Q1","At Current Prices 2022 Q2","At Current Prices 2022 Q3","At Current Prices 2022 Q4","At Current Prices 2023 Q1","At Current Prices 2023 Q2","At Current Prices 2023 Q3","At Current Prices 2023 Q4","At Constant 2018 Prices 1981 Q1","At Constant 2018 Prices 1981 Q2","At Constant 2018 Prices 1981 Q3","At Constant 2018 Prices 1981 Q4","At Constant 2018 Prices 1982 Q1","At Constant 2018 Prices 1982 Q2","At Constant 2018 Prices 1982 Q3","At Constant 2018 Prices 1982 Q4","At Constant 2018 Prices 1983 Q1","At Constant 2018 Prices 1983 Q2","At Constant 2018 Prices 1983 Q3","At Constant 2018 Prices 1983 Q4","At Constant 2018 Prices 1984 Q1","At Constant 2018 Prices 1984 Q2","At Constant 2018 Prices 1984 Q3","At Constant 2018 Prices 1984 Q4","At Constant 2018 Prices 1985 Q1","At Constant 2018 Prices 1985 Q2","At Constant 2018 Prices 1985 Q3","At Constant 2018 Prices 1985 Q4","At Constant 2018 Prices 1986 Q1","At Constant 2018 Prices 1986 Q2","At Constant 2018 Prices 1986 Q3","At Constant 2018 Prices 1986 Q4","At Constant 2018 Prices 1987 Q1","At Constant 2018 Prices 1987 Q2","At Constant 2018 Prices 1987 Q3","At Constant 2018 Prices 1987 Q4","At Constant 2018 Prices 1988 Q1","At Constant 2018 Prices 1988 Q2","At Constant 2018 Prices 1988 Q3","At Constant 2018 Prices 1988 Q4","At Constant 2018 Prices 1989 Q1","At Constant 2018 Prices 1989 Q2","At Constant 2018 Prices 1989 Q3","At Constant 2018 Prices 1989 Q4","At Constant 2018 Prices 1990 Q1","At Constant 2018 Prices 1990 Q2","At Constant 2018 Prices 1990 Q3","At Constant 2018 Prices 1990 Q4","At Constant 2018 Prices 1991 Q1","At Constant 2018 Prices 1991 Q2","At Constant 2018 Prices 1991 Q3","At Constant 2018 Prices 1991 Q4","At Constant 2018 Prices 1992 Q1","At Constant 2018 Prices 1992 Q2","At Constant 2018 Prices 1992 Q3","At Constant 2018 Prices 1992 Q4","At Constant 2018 Prices 1993 Q1","At Constant 2018 Prices 1993 Q2","At Constant 2018 Prices 1993 Q3","At Constant 2018 Prices 1993 Q4","At Constant 2018 Prices 1994 Q1","At Constant 2018 Prices 1994 Q2","At Constant 2018 Prices 1994 Q3","At Constant 2018 Prices 1994 Q4","At Constant 2018 Prices 1995 Q1","At Constant 2018 Prices 1995 Q2","At Constant 2018 Prices 1995 Q3","At Constant 2018 Prices 1995 Q4","At Constant 2018 Prices 1996 Q1","At Constant 2018 Prices 1996 Q2","At Constant 2018 Prices 1996 Q3","At Constant 2018 Prices 1996 Q4","At Constant 2018 Prices 1997 Q1","At Constant 2018 Prices 1997 Q2","At Constant 2018 Prices 1997 Q3","At Constant 2018 Prices 1997 Q4","At Constant 2018 Prices 1998 Q1","At Constant 2018 Prices 1998 Q2","At Constant 2018 Prices 1998 Q3","At Constant 2018 Prices 1998 Q4","At Constant 2018 Prices 1999 Q1","At Constant 2018 Prices 1999 Q2","At Constant 2018 Prices 1999 Q3","At Constant 2018 Prices 1999 Q4","At Constant 2018 Prices 2000 Q1","At Constant 2018 Prices 2000 Q2","At Constant 2018 Prices 2000 Q3","At Constant 2018 Prices 2000 Q4","At Constant 2018 Prices 2001 Q1","At Constant 2018 Prices 2001 Q2","At Constant 2018 Prices 2001 Q3","At Constant 2018 Prices 2001 Q4","At Constant 2018 Prices 2002 Q1","At Constant 2018 Prices 2002 Q2","At Constant 2018 Prices 2002 Q3","At Constant 2018 Prices 2002 Q4","At Constant 2018 Prices 2003 Q1","At Constant 2018 Prices 2003 Q2","At Constant 2018 Prices 2003 Q3","At Constant 2018 Prices 2003 Q4","At Constant 2018 Prices 2004 Q1","At Constant 2018 Prices 2004 Q2","At Constant 2018 Prices 2004 Q3","At Constant 2018 Prices 2004 Q4","At Constant 2018 Prices 2005 Q1","At Constant 2018 Prices 2005 Q2","At Constant 2018 Prices 2005 Q3","At Constant 2018 Prices 2005 Q4","At Constant 2018 Prices 2006 Q1","At Constant 2018 Prices 2006 Q2","At Constant 2018 Prices 2006 Q3","At Constant 2018 Prices 2006 Q4","At Constant 2018 Prices 2007 Q1","At Constant 2018 Prices 2007 Q2","At Constant 2018 Prices 2007 Q3","At Constant 2018 Prices 2007 Q4","At Constant 2018 Prices 2008 Q1","At Constant 2018 Prices 2008 Q2","At Constant 2018 Prices 2008 Q3","At Constant 2018 Prices 2008 Q4","At Constant 2018 Prices 2009 Q1","At Constant 2018 Prices 2009 Q2","At Constant 2018 Prices 2009 Q3","At Constant 2018 Prices 2009 Q4","At Constant 2018 Prices 2010 Q1","At Constant 2018 Prices 2010 Q2","At Constant 2018 Prices 2010 Q3","At Constant 2018 Prices 2010 Q4","At Constant 2018 Prices 2011 Q1","At Constant 2018 Prices 2011 Q2","At Constant 2018 Prices 2011 Q3","At Constant 2018 Prices 2011 Q4","At Constant 2018 Prices 2012 Q1","At Constant 2018 Prices 2012 Q2","At Constant 2018 Prices 2012 Q3","At Constant 2018 Prices 2012 Q4","At Constant 2018 Prices 2013 Q1","At Constant 2018 Prices 2013 Q2","At Constant 2018 Prices 2013 Q3","At Constant 2018 Prices 2013 Q4","At Constant 2018 Prices 2014 Q1","At Constant 2018 Prices 2014 Q2","At Constant 2018 Prices 2014 Q3","At Constant 2018 Prices 2014 Q4","At Constant 2018 Prices 2015 Q1","At Constant 2018 Prices 2015 Q2","At Constant 2018 Prices 2015 Q3","At Constant 2018 Prices 2015 Q4","At Constant 2018 Prices 2016 Q1","At Constant 2018 Prices 2016 Q2","At Constant 2018 Prices 2016 Q3","At Constant 2018 Prices 2016 Q4","At Constant 2018 Prices 2017 Q1","At Constant 2018 Prices 2017 Q2","At Constant 2018 Prices 2017 Q3","At Constant 2018 Prices 2017 Q4","At Constant 2018 Prices 2018 Q1","At Constant 2018 Prices 2018 Q2","At Constant 2018 Prices 2018 Q3","At Constant 2018 Prices 2018 Q4","At Constant 2018 Prices 2019 Q1","At Constant 2018 Prices 2019 Q2","At Constant 2018 Prices 2019 Q3","At Constant 2018 Prices 2019 Q4","At Constant 2018 Prices 2020 Q1","At Constant 2018 Prices 2020 Q2","At Constant 2018 Prices 2020 Q3","At Constant 2018 Prices 2020 Q4","At Constant 2018 Prices 2021 Q1","At Constant 2018 Prices 2021 Q2","At Constant 2018 Prices 2021 Q3","At Constant 2018 Prices 2021 Q4","At Constant 2018 Prices 2022 Q1","At Constant 2018 Prices 2022 Q2","At Constant 2018 Prices 2022 Q3","At Constant 2018 Prices 2022 Q4","At Constant 2018 Prices 2023 Q1","At Constant 2018 Prices 2023 Q2","At Constant 2018 Prices 2023 Q3","At Constant 2018 Prices 2023 Q4"
"..Agriculture, forestry, and fishing",22,23,18,23,20,21,16,23,21,20,17,20,22,23,19,22,22,23,18,23,22,22,17,23,23,22,17,22,21,22,18,20,21,21,19,19,21,19,18,19,20,18,16,19,20,18,17,21,20,18,15,21,21,19,17,21,20,18,18,20,19,18,17,18,18,16,15,17,16,14,13,15,17,15,14,16,15,14,12,15,13,13,12,15,14,12,12,15,14,12,12,14,14,13,13,15,14,12,13,15,14,12,13,14,14,13,13,15,15,15,14,15,16,14,13,15,15,12,13,15,15,13,13,15,14,12,13,14,13,11,12,14,13,11,11,13,12,10,10,12,11,9,10,11,11,9,10,11,10,9,9,10,10,8,8,9,10,10,10,11,11,10,9,10,10,9,9,10,10,9,9,10,18,19,16,20,17,19,14,20,17,17,14,18,18,18,15,20,19,20,15,20,20,20,15,20,20,20,15,20,19,18,16,19,18,17,16,18,17,17,15,18,18,17,15,19,18,16,14,20,19,16,14,19,18,16,14,18,18,15,14,17,17,16,14,17,17,15,13,17,16,13,13,16,16,15,14,17,16,15,13,17,16,15,14,17,16,14,14,17,16,14,13,17,16,14,14,17,15,13,14,17,15,14,14,16,15,13,14,16,15,13,13,16,15,13,13,15,14,12,12,15,14,12,12,14,14,12,12,14,13,11,12,14,13,11,11,13,12,10,10,13,11,9,10,12,11,9,9,11,10,9,9,11,10,8,9,10,10,10,10,11,10,9,9,10,9,8,9,9,9,8,8,9
"..Industry",43,42,45,43,43,43,44,41,42,44,43,43,43,42,42,40,39,39,41,37,39,38,41,36,37,38,42,36,39,37,40,39,38,37,39,40,38,37,39,39,37,37,39,37,37,36,39,34,35,36,39,35,35,36,38,35,36,36,37,35,35,35,37,35,35,35,37,35,36,35,36,33,33,33,35,33,35,34,37,34,36,35,36,33,35,35,35,33,36,34,35,33,35,33,33,33,34,34,34,34,34,33,34,33,34,33,33,32,32,32,34,33,31,31,31,33,33,33,31,33,33,31,30,32,33,31,30,32,33,30,28,31,32,31,29,32,32,30,28,32,31,30,28,32,31,30,28,31,31,30,29,32,31,30,28,32,30,28,25,31,28,30,25,31,30,31,26,30,29,29,25,29,38,39,40,39,38,39,40,37,38,39,38,37,39,37,37,34,34,33,35,31,33,33,34,30,32,32,36,30,33,32,34,33,33,33,34,34,34,33,34,33,32,32,34,32,33,32,34,31,31,32,35,31,32,32,34,32,33,33,35,33,33,33,35,33,33,33,35,33,33,33,34,32,31,31,33,31,32,32,33,31,31,31,33,31,31,32,32,30,31,32,33,30,31,31,31,30,31,31,31,30,30,31,30,30,30,31,30,29,29,30,31,30,29,30,29,30,30,31,29,30,30,30,28,30,30,30,28,30,31,30,28,29,31,30,28,30,31,30,28,31,31,31,29,31,31,31,29,31,31,31,29,31,31,30,29,31,30,29,27,31,30,31,27,31,31,31,27,30,30,30,27,30
"..Services",35,35,37,34,37,36,40,36,37,36,40,37,34,35,39,38,38,38,41,40,39,39,42,42,41,40,41,42,41,41,42,41,41,42,42,41,42,43,43,42,43,45,45,43,43,45,45,44,44,46,45,44,44,45,45,44,45,46,45,45,45,47,46,47,47,49,48,48,48,51,50,51,50,52,51,52,50,52,51,51,51,52,52,52,51,52,52,52,51,53,53,52,51,54,53,52,52,54,53,52,52,55,53,53,53,54,54,53,53,53,53,52,53,55,55,52,53,55,56,52,52,56,57,54,53,57,58,54,54,58,60,55,55,58,60,55,56,60,62,56,58,61,62,57,58,61,62,58,58,61,62,58,59,62,63,59,60,62,65,59,60,60,65,59,60,61,65,60,60,62,66,61,43,43,44,41,44,43,46,42,45,44,48,44,44,45,48,46,47,47,50,49,47,47,50,50,48,48,49,50,48,50,50,48,49,50,50,48,49,51,51,49,50,51,51,49,49,52,52,50,50,52,52,50,50,52,51,50,50,52,51,50,50,52,51,51,51,52,51,50,52,54,53,52,53,55,53,53,52,54,53,52,53,54,54,52,53,54,54,52,53,54,54,53,53,55,56,53,54,55,56,53,54,56,56,54,55,56,57,55,55,56,56,54,56,57,58,55,56,57,59,55,55,58,60,56,56,59,60,56,56,59,61,57,57,59,61,56,57,59,62,57,58,60,62,58,58,60,62,58,59,61,62,58,59,62,63,58,60,61,63,59,60,60,64,59,60,61,65,60,61,62,65,61
"Gross Domestic Product",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
