"Gross National Income and Gross Domestic Product by Industry"

"Industry","At Current Prices 2000 Q1","At Current Prices 2000 Q2","At Current Prices 2000 Q3","At Current Prices 2000 Q4","At Current Prices 2001 Q1","At Current Prices 2001 Q2","At Current Prices 2001 Q3","At Current Prices 2001 Q4","At Current Prices 2002 Q1","At Current Prices 2002 Q2","At Current Prices 2002 Q3","At Current Prices 2002 Q4","At Current Prices 2003 Q1","At Current Prices 2003 Q2","At Current Prices 2003 Q3","At Current Prices 2003 Q4","At Current Prices 2004 Q1","At Current Prices 2004 Q2","At Current Prices 2004 Q3","At Current Prices 2004 Q4","At Current Prices 2005 Q1","At Current Prices 2005 Q2","At Current Prices 2005 Q3","At Current Prices 2005 Q4","At Current Prices 2006 Q1","At Current Prices 2006 Q2","At Current Prices 2006 Q3","At Current Prices 2006 Q4","At Current Prices 2007 Q1","At Current Prices 2007 Q2","At Current Prices 2007 Q3","At Current Prices 2007 Q4","At Current Prices 2008 Q1","At Current Prices 2008 Q2","At Current Prices 2008 Q3","At Current Prices 2008 Q4","At Current Prices 2009 Q1","At Current Prices 2009 Q2","At Current Prices 2009 Q3","At Current Prices 2009 Q4","At Current Prices 2010 Q1","At Current Prices 2010 Q2","At Current Prices 2010 Q3","At Current Prices 2010 Q4","At Current Prices 2011 Q1","At Current Prices 2011 Q2","At Current Prices 2011 Q3","At Current Prices 2011 Q4","At Current Prices 2012 Q1","At Current Prices 2012 Q2","At Current Prices 2012 Q3","At Current Prices 2012 Q4","At Current Prices 2013 Q1","At Current Prices 2013 Q2","At Current Prices 2013 Q3","At Current Prices 2013 Q4","At Current Prices 2014 Q1","At Current Prices 2014 Q2","At Current Prices 2014 Q3","At Current Prices 2014 Q4","At Current Prices 2015 Q1","At Current Prices 2015 Q2","At Current Prices 2015 Q3","At Current Prices 2015 Q4","At Current Prices 2016 Q1","At Current Prices 2016 Q2","At Current Prices 2016 Q3","At Current Prices 2016 Q4","At Current Prices 2017 Q1","At Current Prices 2017 Q2","At Current Prices 2017 Q3","At Current Prices 2017 Q4","At Current Prices 2018 Q1","At Current Prices 2018 Q2","At Current Prices 2018 Q3","At Current Prices 2018 Q4","At Current Prices 2019 Q1","At Current Prices 2019 Q2","At Current Prices 2019 Q3","At Current Prices 2019 Q4","At Current Prices 2020 Q1","At Current Prices 2020 Q2","At Current Prices 2020 Q3","At Current Prices 2020 Q4","At Current Prices 2021 Q1","At Current Prices 2021 Q2","At Current Prices 2021 Q3","At Current Prices 2021 Q4","At Current Prices 2022 Q1","At Current Prices 2022 Q2","At Current Prices 2022 Q3","At Current Prices 2022 Q4","At Current Prices 2023 Q1","At Current Prices 2023 Q2","At Current Prices 2023 Q3","At Current Prices 2023 Q4","At Constant 2018 Prices 2000 Q1","At Constant 2018 Prices 2000 Q2","At Constant 2018 Prices 2000 Q3","At Constant 2018 Prices 2000 Q4","At Constant 2018 Prices 2001 Q1","At Constant 2018 Prices 2001 Q2","At Constant 2018 Prices 2001 Q3","At Constant 2018 Prices 2001 Q4","At Constant 2018 Prices 2002 Q1","At Constant 2018 Prices 2002 Q2","At Constant 2018 Prices 2002 Q3","At Constant 2018 Prices 2002 Q4","At Constant 2018 Prices 2003 Q1","At Constant 2018 Prices 2003 Q2","At Constant 2018 Prices 2003 Q3","At Constant 2018 Prices 2003 Q4","At Constant 2018 Prices 2004 Q1","At Constant 2018 Prices 2004 Q2","At Constant 2018 Prices 2004 Q3","At Constant 2018 Prices 2004 Q4","At Constant 2018 Prices 2005 Q1","At Constant 2018 Prices 2005 Q2","At Constant 2018 Prices 2005 Q3","At Constant 2018 Prices 2005 Q4","At Constant 2018 Prices 2006 Q1","At Constant 2018 Prices 2006 Q2","At Constant 2018 Prices 2006 Q3","At Constant 2018 Prices 2006 Q4","At Constant 2018 Prices 2007 Q1","At Constant 2018 Prices 2007 Q2","At Constant 2018 Prices 2007 Q3","At Constant 2018 Prices 2007 Q4","At Constant 2018 Prices 2008 Q1","At Constant 2018 Prices 2008 Q2","At Constant 2018 Prices 2008 Q3","At Constant 2018 Prices 2008 Q4","At Constant 2018 Prices 2009 Q1","At Constant 2018 Prices 2009 Q2","At Constant 2018 Prices 2009 Q3","At Constant 2018 Prices 2009 Q4","At Constant 2018 Prices 2010 Q1","At Constant 2018 Prices 2010 Q2","At Constant 2018 Prices 2010 Q3","At Constant 2018 Prices 2010 Q4","At Constant 2018 Prices 2011 Q1","At Constant 2018 Prices 2011 Q2","At Constant 2018 Prices 2011 Q3","At Constant 2018 Prices 2011 Q4","At Constant 2018 Prices 2012 Q1","At Constant 2018 Prices 2012 Q2","At Constant 2018 Prices 2012 Q3","At Constant 2018 Prices 2012 Q4","At Constant 2018 Prices 2013 Q1","At Constant 2018 Prices 2013 Q2","At Constant 2018 Prices 2013 Q3","At Constant 2018 Prices 2013 Q4","At Constant 2018 Prices 2014 Q1","At Constant 2018 Prices 2014 Q2","At Constant 2018 Prices 2014 Q3","At Constant 2018 Prices 2014 Q4","At Constant 2018 Prices 2015 Q1","At Constant 2018 Prices 2015 Q2","At Constant 2018 Prices 2015 Q3","At Constant 2018 Prices 2015 Q4","At Constant 2018 Prices 2016 Q1","At Constant 2018 Prices 2016 Q2","At Constant 2018 Prices 2016 Q3","At Constant 2018 Prices 2016 Q4","At Constant 2018 Prices 2017 Q1","At Constant 2018 Prices 2017 Q2","At Constant 2018 Prices 2017 Q3","At Constant 2018 Prices 2017 Q4","At Constant 2018 Prices 2018 Q1","At Constant 2018 Prices 2018 Q2","At Constant 2018 Prices 2018 Q3","At Constant 2018 Prices 2018 Q4","At Constant 2018 Prices 2019 Q1","At Constant 2018 Prices 2019 Q2","At Constant 2018 Prices 2019 Q3","At Constant 2018 Prices 2019 Q4","At Constant 2018 Prices 2020 Q1","At Constant 2018 Prices 2020 Q2","At Constant 2018 Prices 2020 Q3","At Constant 2018 Prices 2020 Q4","At Constant 2018 Prices 2021 Q1","At Constant 2018 Prices 2021 Q2","At Constant 2018 Prices 2021 Q3","At Constant 2018 Prices 2021 Q4","At Constant 2018 Prices 2022 Q1","At Constant 2018 Prices 2022 Q2","At Constant 2018 Prices 2022 Q3","At Constant 2018 Prices 2022 Q4","At Constant 2018 Prices 2023 Q1","At Constant 2018 Prices 2023 Q2","At Constant 2018 Prices 2023 Q3","At Constant 2018 Prices 2023 Q4"
"....Agriculture, forestry, and fishing",125530,124887,113497,151565,122881,125987,121929,164561,139122,133602,131605,180752,148870,140508,139399,191660,175281,171867,175144,222224,188460,180793,186337,244281,210596,202887,203640,258094,225815,225864,225946,301804,267036,293394,274774,333368,296535,287442,273942,362066,312501,292304,293158,394354,353982,340423,321382,414178,347055,337675,334960,428783,355840,338539,344722,464020,393887,374265,357221,495327,380058,350398,339552,463361,367694,348623,359115,468846,399694,391557,381799,512906,429666,406441,396871,529639,420920,395739,391371,513509,442375,423958,410313,551778,486938,453832,433484,580233,499973,480441,484834,638842,566967,503276,511362,703554,262540,254915,229681,316870,268115,266756,239115,331131,280567,266964,244844,352616,297301,273025,256616,370429,315776,285095,278154,378085,314209,294819,290530,401511,334473,319859,305512,400834,347815,334486,322419,429027,364057,345798,335587,436909,368988,351802,330853,428564,369914,339245,334908,455733,390506,367310,345799,446940,392755,368448,361975,475134,410364,373204,369553,492072,417246,386659,361388,510713,424177,387947,362680,513539,406682,382287,375326,507790,427592,406594,388417,520532,438516,406797,388573,528731,440880,409818,400102,533055,439720,416015,404885,519770,434067,415895,398151,527096,434861,416818,406560,525495,444604,417675,410346,532282
"....Industry",300292,309328,335169,348442,331235,344365,360535,368284,354214,379155,374922,404983,390010,394204,406600,438744,425102,433020,434185,497520,461941,489655,489238,560015,504968,535150,539873,611948,558339,592799,572735,651609,580476,646197,670921,740078,592716,642507,635073,774578,706382,771273,708172,853914,777912,789833,720850,890608,838650,851320,788777,994222,915358,910318,830454,1052494,975512,1011588,926096,1187186,1016200,1060894,930321,1243037,1073677,1132469,1027088,1349747,1156906,1234692,1139951,1456398,1275598,1381005,1283471,1642451,1371768,1441554,1342484,1763476,1317902,1146187,1053049,1581094,1241935,1432405,1171903,1761447,1483136,1651766,1339328,1962705,1654567,1731897,1432359,2034328,523874,545973,571097,592388,529029,557215,577428,599540,550491,586996,585111,623784,576085,614903,621477,650405,608869,645144,623433,693961,637068,689206,650178,724832,658569,709601,674138,759790,690484,762704,698409,789077,705170,793772,764196,838436,698670,788140,722977,847865,779181,891896,781957,904989,836026,875988,769370,930425,879341,935119,833410,1026240,979046,1017270,880501,1047701,1016015,1100384,948835,1153638,1067582,1174987,1008861,1241960,1157871,1266733,1102272,1334465,1220659,1355793,1194929,1431201,1305841,1456816,1274191,1545678,1371605,1509246,1351150,1655868,1338590,1181422,1114455,1480848,1282912,1432963,1210912,1624834,1411464,1522976,1280849,1698458,1469722,1553074,1352600,1750706
"......Mining and quarrying",5773,5487,5593,6058,5413,6614,5380,5373,14111,10608,8848,7771,11640,12279,13917,14550,14460,12647,14817,13550,15724,18214,19373,18147,18664,21801,21851,17165,24525,31560,23026,19099,23690,26074,26429,22375,24127,24279,30427,31843,27402,36983,34541,36476,40710,46875,34744,29159,33451,42165,29228,26923,30674,37313,31128,27339,37147,44754,33547,28432,31984,33088,27535,27020,32863,30657,32584,29793,34468,38890,39470,35265,40944,43539,40310,38530,42687,45187,37189,36594,33537,32447,34030,37046,42359,48530,47520,46962,71474,74106,77734,56935,67607,56538,55588,52348,14689,12780,13478,15504,12863,15745,12793,13019,27880,21193,16620,15432,19638,23442,25067,23532,23379,23824,18896,20834,24530,29236,21268,24308,25198,29560,20099,20685,28533,34023,23855,22635,29256,30590,22386,25051,30394,35595,26291,29841,30028,44335,27289,31748,36142,46292,24183,26771,33679,44705,23660,25967,32897,45121,26042,26851,41827,49513,28580,29590,41765,46478,28287,32059,46383,46544,29323,34557,41621,51012,30440,36992,43913,49764,29964,39681,45590,56863,29034,37370,35899,44545,25869,31179,36626,46405,26903,34565,44084,43261,29650,35188,43163,42044,31140,38807
"......Manufacturing",212973,221100,243288,257365,239904,243286,261975,273473,249642,261649,277281,304958,281363,275369,291786,323238,306684,297778,308665,365248,331317,329831,352725,422246,362337,353738,384249,460587,389577,378589,407388,490905,412890,434456,475284,550545,409040,404257,435335,575329,492383,462902,475002,629997,542362,509005,491717,658746,590471,540753,523248,704593,613570,547903,545052,755952,656219,616393,603566,841138,685149,628127,592308,873211,713257,663887,642465,944870,768653,729101,719727,1011100,823811,789469,779668,1095383,878958,806663,769222,1159172,822908,622353,642956,1081704,809444,770606,677728,1166271,941856,822687,742332,1288461,1029664,839574,777293,1297455,365733,381171,402145,423739,377687,388681,408926,439847,390248,405862,418406,461391,416141,428077,433215,466728,438496,441749,435153,500632,462706,476394,459446,534471,472380,485379,469736,560379,487595,502454,480719,574467,501463,537749,515575,596433,476408,502795,476404,603012,539879,545148,496710,632749,578146,572120,497746,649181,613036,605357,525719,683507,653751,639489,542919,702601,684808,699982,584462,763609,721236,729547,611043,812458,774691,771782,654655,869812,813258,833566,726370,944447,865404,891570,755189,976168,908331,915460,765770,1030895,878171,721736,686028,980367,885261,883270,734103,1053792,968523,903696,763530,1093409,989652,912961,777862,1098769
".......Electricity, steam, water and waste management",31368,34646,34950,33535,37477,42972,42350,37201,42284,46498,38047,38540,43170,48477,42051,41495,47230,51621,47377,49394,55697,60460,52645,51769,57338,66237,58816,56112,61868,73047,62392,57988,65714,77701,63490,59797,65097,82901,65691,62095,78757,99763,75543,72070,80588,100457,77949,76340,94204,112951,87784,84809,96267,124117,91399,89600,103692,129007,95551,97813,109099,135964,97976,100241,114583,141990,103800,105848,121533,153230,112114,118242,135974,164329,123364,133362,148193,187149,132171,140368,154737,182834,134159,139320,154629,205181,142539,148613,180881,236663,159855,168705,218219,274309,172964,178869,53466,57772,58312,58201,56881,61455,62766,55132,56941,63991,62518,56631,59650,68771,69453,62273,66035,73761,73840,66573,68329,75762,73908,66096,68056,78331,78392,68666,70111,83009,84393,73192,75884,87689,91084,76394,77482,85267,87390,77807,84966,94120,96504,85392,85069,93566,98638,88337,92765,99696,102196,93183,93859,104995,113356,97440,95886,109940,117274,105337,102357,116842,128160,111407,113470,128647,140160,118195,116383,133661,147043,126074,125342,140762,155652,135275,129544,152196,167020,142552,135882,142477,167303,143551,137399,155967,172370,149856,145092,164375,179463,158292,155127,171974,190778,167040
"......Construction",50177,48096,51337,51483,48441,51494,50829,52237,48177,60400,50746,53714,53837,58078,58846,59462,56727,70974,63326,69327,59204,81151,64495,67854,66630,93374,74957,78084,82368,109603,79929,83618,78182,107966,105718,107361,94451,131071,103620,105311,107841,171625,123086,115370,114253,133496,116439,126363,120524,155452,148517,177897,174848,200984,162875,179603,178454,221435,193432,219802,189968,263715,212503,242565,212974,295934,248239,269236,232252,313472,268640,291791,274869,383668,340129,375175,301929,402556,403901,427341,306720,308553,241904,323023,235502,408088,304117,399602,288926,518310,359407,448604,339078,561476,426514,505657,89986,94249,97160,94944,81597,91334,92943,91542,75422,95950,87567,90330,80655,94614,93743,97871,80959,105809,95544,105922,81503,107814,95556,99957,92936,116330,105911,110060,104246,143219,109443,118782,98567,137744,135150,140558,114386,164483,132892,137206,124308,208294,161455,155100,136670,164010,148803,166136,139861,185360,181836,223583,198539,227665,198184,220810,193493,240950,218519,255103,202224,282120,241370,286036,223327,319760,278135,311901,249397,337553,291076,323688,271181,374720,333387,394553,288139,384727,389327,445051,288638,272664,235256,325750,223627,347321,277537,386622,253765,411645,308207,411569,281780,426094,352820,446089
"....Services",424573,470516,464978,528778,471820,519858,514302,578642,513243,561235,553170,624556,552453,612672,606555,696136,623256,701307,690528,774470,704080,786345,767879,858256,781235,888400,845284,968342,867645,964352,938042,1073293,948186,1080586,1052754,1162429,1010349,1145332,1127203,1242678,1132731,1289270,1268437,1376955,1219315,1414585,1386826,1514768,1353837,1564032,1549185,1672093,1501523,1745128,1739328,1852869,1666516,1910871,1891099,2017260,1808020,2082608,2060710,2209000,1996279,2310054,2258776,2440014,2188933,2527705,2496171,2669939,2395875,2781346,2769870,2972958,2633390,3028680,2992038,3222935,2688864,2568228,2741746,3026081,2645200,2881752,2998708,3322779,2945689,3265897,3425783,3849882,3394231,3654327,3819512,4312230,866882,928902,908635,983627,896065,962350,946040,1025598,927788,997745,979812,1069176,966694,1045047,1031607,1142088,1047483,1147573,1127532,1209973,1119863,1211343,1177277,1263488,1171339,1295854,1237943,1372892,1259498,1387227,1341945,1480148,1324380,1463430,1391413,1507730,1352692,1512309,1460481,1556291,1467796,1632626,1575186,1650429,1516676,1722428,1658607,1755285,1636803,1846608,1783637,1876997,1740366,1996355,1928830,2019382,1874875,2134713,2057331,2134250,1990037,2290570,2217847,2310720,2158135,2491166,2374884,2505065,2311726,2674945,2559290,2684301,2471220,2856771,2734478,2857580,2650701,3066861,2924292,3069173,2655495,2545506,2616159,2824977,2549817,2792966,2817567,3052902,2764894,3051140,3080140,3351949,2993316,3235071,3290837,3601524
"......Wholesale and retail trade; repair of motor vehicles and motorcycles",122725,140519,144407,169085,135927,154008,160021,182108,145783,165643,170026,194801,156274,178537,182793,216465,175882,200515,207979,244299,198744,227947,234834,277894,224629,258709,263785,314938,252112,282439,296177,355656,268843,324757,335704,390238,276399,331842,344461,413409,327799,380534,405715,457201,354236,411158,445381,493888,387781,450082,501298,539422,423617,501044,556475,596991,467008,550438,605790,629088,499358,592322,657425,678055,543913,659134,717022,748527,598752,717144,786233,824373,655519,794491,866978,920316,718307,871509,943030,984808,725215,752324,897658,942174,704475,806132,966385,1025802,779320,919076,1099057,1190097,891686,1022186,1211838,1318316,276284,308488,314609,360768,289115,323027,333163,373234,298310,335620,341640,386033,309491,349222,353852,412732,332652,373865,381939,437432,348927,396389,398086,460191,363612,415728,422059,495836,392750,446641,461896,536126,393118,462043,468248,538144,385022,461191,472535,558444,437377,497343,519928,575666,442831,508246,544768,598068,469777,542305,598167,635204,492524,578600,634154,675805,524823,614911,672384,694418,553925,655136,722259,738974,591297,710315,765703,793746,633596,751457,819211,853289,666890,798756,862992,908667,713571,867098,934753,973878,723510,744589,876132,931305,698808,784584,933154,997318,748226,860317,1017275,1084966,799301,904740,1067634,1141745
"......Transportation and storage",30034,33837,32093,37719,36667,40643,38215,41234,39506,43659,41364,44499,43228,47222,44788,48501,47233,58900,51422,54148,52172,65650,56389,60007,58412,68174,61849,64024,63538,72046,66429,69055,68623,77328,70784,72066,71465,78185,72036,72356,74775,84755,79366,77602,81900,94010,88144,86044,92917,105633,93952,92657,98174,113788,103760,105877,111207,130727,113978,116751,127575,146767,124001,127377,137715,161814,138088,142462,154073,179323,149989,153806,167971,194404,167181,168283,185214,211818,182219,178410,165260,96378,139257,150149,143481,128120,158778,174825,177396,170362,220447,239118,230298,221288,256897,268916,63512,70368,64326,68898,64889,71041,65772,70620,67357,73607,69064,74239,70685,76203,72055,77327,73561,83729,74301,76742,73724,81387,72673,76156,74485,84156,76653,81238,78936,87267,80092,85984,83850,92120,79778,86594,86117,92871,77975,84063,84433,95295,82525,87041,92072,102549,88548,92739,101229,112818,93369,98009,105118,121347,103183,113223,119814,140419,113425,124764,137636,154657,122085,133669,148328,170619,136304,149077,163287,184983,141033,158851,177655,199169,156393,164622,189669,211309,168745,172623,168673,88852,118389,139236,135079,110482,136730,165516,170434,141176,169953,197808,195355,165274,190530,216444
"......Accommodation and food service activities",14250,14143,15188,16535,15785,15372,16718,17842,16630,16012,17584,19253,17553,16374,19051,21477,19757,18463,21201,23764,21476,19950,22412,25810,24237,21544,24526,28072,27408,24691,28337,30869,29379,26632,30759,34592,32303,28283,32530,36417,35113,31950,36773,41401,38439,35250,41154,46503,44499,39617,46507,52208,50995,44086,51114,56700,57833,51924,59417,63133,65082,57781,68090,71417,75911,68169,77663,82813,84875,77881,88146,95216,99447,90238,102792,110812,109945,96560,108968,116305,98774,34032,52226,67981,80829,57636,62274,84448,100202,80321,92436,123185,138608,106818,115735,149985,34345,33679,35421,38280,36162,35221,37189,39636,36931,35368,38149,41781,38042,35724,39854,45335,40985,38897,42984,48357,42685,39537,42601,48996,45036,40145,43825,50601,48736,44375,48642,53459,50225,44625,47828,54014,50588,44367,48444,54330,52928,48429,52628,59480,55636,50956,56060,63456,60589,53966,59738,67731,63689,57930,63282,69304,67700,62871,67978,72474,71164,68535,77147,80433,82450,77020,83698,89444,90034,87023,93835,100342,100486,94149,100591,108064,106499,98792,106646,113756,89597,32462,48427,61325,69435,50871,54435,73663,83935,66765,77369,101055,107437,84970,93631,119381
