"Net Primary Income from the Rest of the World"

"NPI","At Current Prices 2000 Q1","At Current Prices 2000 Q2","At Current Prices 2000 Q3","At Current Prices 2000 Q4","At Current Prices 2001 Q1","At Current Prices 2001 Q2","At Current Prices 2001 Q3","At Current Prices 2001 Q4","At Current Prices 2002 Q1","At Current Prices 2002 Q2","At Current Prices 2002 Q3","At Current Prices 2002 Q4","At Current Prices 2003 Q1","At Current Prices 2003 Q2","At Current Prices 2003 Q3","At Current Prices 2003 Q4","At Current Prices 2004 Q1","At Current Prices 2004 Q2","At Current Prices 2004 Q3","At Current Prices 2004 Q4","At Current Prices 2005 Q1","At Current Prices 2005 Q2","At Current Prices 2005 Q3","At Current Prices 2005 Q4","At Current Prices 2006 Q1","At Current Prices 2006 Q2","At Current Prices 2006 Q3","At Current Prices 2006 Q4","At Current Prices 2007 Q1","At Current Prices 2007 Q2","At Current Prices 2007 Q3","At Current Prices 2007 Q4","At Current Prices 2008 Q1","At Current Prices 2008 Q2","At Current Prices 2008 Q3","At Current Prices 2008 Q4","At Current Prices 2009 Q1","At Current Prices 2009 Q2","At Current Prices 2009 Q3","At Current Prices 2009 Q4","At Current Prices 2010 Q1","At Current Prices 2010 Q2","At Current Prices 2010 Q3","At Current Prices 2010 Q4","At Current Prices 2011 Q1","At Current Prices 2011 Q2","At Current Prices 2011 Q3","At Current Prices 2011 Q4","At Current Prices 2012 Q1","At Current Prices 2012 Q2","At Current Prices 2012 Q3","At Current Prices 2012 Q4","At Current Prices 2013 Q1","At Current Prices 2013 Q2","At Current Prices 2013 Q3","At Current Prices 2013 Q4","At Current Prices 2014 Q1","At Current Prices 2014 Q2","At Current Prices 2014 Q3","At Current Prices 2014 Q4","At Current Prices 2015 Q1","At Current Prices 2015 Q2","At Current Prices 2015 Q3","At Current Prices 2015 Q4","At Current Prices 2016 Q1","At Current Prices 2016 Q2","At Current Prices 2016 Q3","At Current Prices 2016 Q4","At Current Prices 2017 Q1","At Current Prices 2017 Q2","At Current Prices 2017 Q3","At Current Prices 2017 Q4","At Current Prices 2018 Q1","At Current Prices 2018 Q2","At Current Prices 2018 Q3","At Current Prices 2018 Q4","At Current Prices 2019 Q1","At Current Prices 2019 Q2","At Current Prices 2019 Q3","At Current Prices 2019 Q4","At Current Prices 2020 Q1","At Current Prices 2020 Q2","At Current Prices 2020 Q3","At Current Prices 2020 Q4","At Current Prices 2021 Q1","At Current Prices 2021 Q2","At Current Prices 2021 Q3","At Current Prices 2021 Q4","At Current Prices 2022 Q1","At Current Prices 2022 Q2","At Current Prices 2022 Q3","At Current Prices 2022 Q4","At Current Prices 2023 Q1","At Current Prices 2023 Q2","At Current Prices 2023 Q3","At Current Prices 2023 Q4","At Constant 2018 Prices 2000 Q1","At Constant 2018 Prices 2000 Q2","At Constant 2018 Prices 2000 Q3","At Constant 2018 Prices 2000 Q4","At Constant 2018 Prices 2001 Q1","At Constant 2018 Prices 2001 Q2","At Constant 2018 Prices 2001 Q3","At Constant 2018 Prices 2001 Q4","At Constant 2018 Prices 2002 Q1","At Constant 2018 Prices 2002 Q2","At Constant 2018 Prices 2002 Q3","At Constant 2018 Prices 2002 Q4","At Constant 2018 Prices 2003 Q1","At Constant 2018 Prices 2003 Q2","At Constant 2018 Prices 2003 Q3","At Constant 2018 Prices 2003 Q4","At Constant 2018 Prices 2004 Q1","At Constant 2018 Prices 2004 Q2","At Constant 2018 Prices 2004 Q3","At Constant 2018 Prices 2004 Q4","At Constant 2018 Prices 2005 Q1","At Constant 2018 Prices 2005 Q2","At Constant 2018 Prices 2005 Q3","At Constant 2018 Prices 2005 Q4","At Constant 2018 Prices 2006 Q1","At Constant 2018 Prices 2006 Q2","At Constant 2018 Prices 2006 Q3","At Constant 2018 Prices 2006 Q4","At Constant 2018 Prices 2007 Q1","At Constant 2018 Prices 2007 Q2","At Constant 2018 Prices 2007 Q3","At Constant 2018 Prices 2007 Q4","At Constant 2018 Prices 2008 Q1","At Constant 2018 Prices 2008 Q2","At Constant 2018 Prices 2008 Q3","At Constant 2018 Prices 2008 Q4","At Constant 2018 Prices 2009 Q1","At Constant 2018 Prices 2009 Q2","At Constant 2018 Prices 2009 Q3","At Constant 2018 Prices 2009 Q4","At Constant 2018 Prices 2010 Q1","At Constant 2018 Prices 2010 Q2","At Constant 2018 Prices 2010 Q3","At Constant 2018 Prices 2010 Q4","At Constant 2018 Prices 2011 Q1","At Constant 2018 Prices 2011 Q2","At Constant 2018 Prices 2011 Q3","At Constant 2018 Prices 2011 Q4","At Constant 2018 Prices 2012 Q1","At Constant 2018 Prices 2012 Q2","At Constant 2018 Prices 2012 Q3","At Constant 2018 Prices 2012 Q4","At Constant 2018 Prices 2013 Q1","At Constant 2018 Prices 2013 Q2","At Constant 2018 Prices 2013 Q3","At Constant 2018 Prices 2013 Q4","At Constant 2018 Prices 2014 Q1","At Constant 2018 Prices 2014 Q2","At Constant 2018 Prices 2014 Q3","At Constant 2018 Prices 2014 Q4","At Constant 2018 Prices 2015 Q1","At Constant 2018 Prices 2015 Q2","At Constant 2018 Prices 2015 Q3","At Constant 2018 Prices 2015 Q4","At Constant 2018 Prices 2016 Q1","At Constant 2018 Prices 2016 Q2","At Constant 2018 Prices 2016 Q3","At Constant 2018 Prices 2016 Q4","At Constant 2018 Prices 2017 Q1","At Constant 2018 Prices 2017 Q2","At Constant 2018 Prices 2017 Q3","At Constant 2018 Prices 2017 Q4","At Constant 2018 Prices 2018 Q1","At Constant 2018 Prices 2018 Q2","At Constant 2018 Prices 2018 Q3","At Constant 2018 Prices 2018 Q4","At Constant 2018 Prices 2019 Q1","At Constant 2018 Prices 2019 Q2","At Constant 2018 Prices 2019 Q3","At Constant 2018 Prices 2019 Q4","At Constant 2018 Prices 2020 Q1","At Constant 2018 Prices 2020 Q2","At Constant 2018 Prices 2020 Q3","At Constant 2018 Prices 2020 Q4","At Constant 2018 Prices 2021 Q1","At Constant 2018 Prices 2021 Q2","At Constant 2018 Prices 2021 Q3","At Constant 2018 Prices 2021 Q4","At Constant 2018 Prices 2022 Q1","At Constant 2018 Prices 2022 Q2","At Constant 2018 Prices 2022 Q3","At Constant 2018 Prices 2022 Q4","At Constant 2018 Prices 2023 Q1","At Constant 2018 Prices 2023 Q2","At Constant 2018 Prices 2023 Q3","At Constant 2018 Prices 2023 Q4"
"..Total inflow",113814,120568,126784,143476,139486,143396,146498,146856,155216,151096,154179,162490,162595,161457,164799,163872,182179,177769,181095,181417,196956,202829,216889,209612,223385,228925,230618,226545,242899,232035,245207,235248,237144,242825,266497,285173,300327,314340,326484,321882,339560,337966,332481,320401,350994,352366,345090,359827,382548,396972,404180,408306,410410,425157,461228,466985,479120,478298,474602,483759,484176,492088,504390,510695,514836,508303,518197,539178,556909,563481,575936,580612,605523,624583,651702,644280,651796,659574,681985,678285,638720,496072,462325,309800,219141,258462,302872,337183,352073,390442,462253,528293,646680,777707,906861,1026068,234665,240851,246654,274922,266136,267282,267216,267389,283587,270607,271247,287635,289679,279293,285873,280571,313090,288877,290179,289260,316651,306232,325658,312174,335373,327747,328927,324260,352482,324293,339027,327537,332420,313409,332984,363908,394513,401489,409331,415111,434858,411788,398533,397565,427853,408004,397843,422771,450286,449611,457103,466253,472862,473162,509610,518629,531827,518635,510922,530677,540075,526642,541403,555469,573193,539656,546510,569033,603908,579292,592433,603175,634488,620211,636699,634691,663937,639419,655580,661707,641091,472826,438772,294938,213038,238307,276812,309347,329731,340559,394089,451784,566633,644975,743052,848526
"....Compensation inflow",99554,102629,111008,121655,124353,128524,132750,133488,142756,142494,146539,153038,153145,149756,152741,155314,168074,167319,167552,170553,185238,190148,198853,194499,201622,208653,209901,205655,221474,208803,212318,206400,210402,222811,245732,270418,285476,300990,312866,310016,327507,328049,321507,309759,332422,332873,325855,339907,363825,378131,386537,390374,395116,411762,448280,452780,466719,463422,458876,466451,466882,475166,485415,486642,492938,485639,491749,513396,527830,528728,543310,543151,568306,580933,592253,585026,594043,598912,626338,611335,587972,462513,418985,271089,191003,217303,250217,283217,316674,340078,384731,427752,558604,671391,791434,858472,205214,204961,215927,233086,237269,239591,242184,243108,260892,255247,257838,270930,272845,259039,264948,265930,288909,271946,268532,271953,297779,287026,298486,289620,302719,298771,299415,294343,321274,291670,293397,287400,295220,287856,307322,345238,375076,384449,392244,399798,419433,399721,385397,384373,405217,385423,375652,399352,428242,428277,437166,445803,455274,458285,495328,502869,518062,502492,493974,511673,520783,508538,521041,529301,548787,515562,518580,541792,572356,543541,558832,564168,595335,576666,578373,576143,604880,580347,601859,596197,589956,440692,397467,257977,185583,200199,228503,259698,296453,296441,327743,365572,489177,556428,648092,709545
"....Property income",14260,17939,15776,21821,15133,14872,13748,13368,12460,8602,7640,9451,9450,11702,12058,8558,14105,10450,13543,10864,11718,12681,18036,15113,21763,20272,20717,20890,21425,23232,32890,28848,26742,20014,20765,14755,14851,13351,13618,11866,12052,9918,10975,10643,18572,19493,19235,19920,18724,18842,17643,17932,15294,13395,12948,14205,12401,14876,15726,17308,17294,16922,18975,24053,21899,22663,26448,25782,29079,34753,32626,37461,37217,43650,59449,59254,57753,60662,55647,66951,50748,33559,43340,38711,28138,41159,52655,53966,35398,50364,77521,100542,88076,106316,115427,167596,29451,35890,30727,41837,28866,27691,25032,24281,22695,15360,13409,16705,16835,20254,20925,14641,24181,16931,21647,17307,18872,19206,27172,22554,32654,28976,29512,29917,31208,32624,45629,40137,37200,25554,25662,18670,19437,17040,17087,15313,15425,12068,13136,13192,22636,22582,22191,23419,22044,21334,19937,20449,17588,14877,14282,15759,13765,16143,16948,19004,19292,18104,20362,26168,24406,24094,27931,27240,31552,35751,33601,39006,39152,43544,58325,58548,59056,59073,53721,65510,51135,32134,41305,36961,27455,38107,48309,49649,33278,44119,66345,86213,77456,88548,94960,138982
"..Total outflow",29045,39898,44271,42828,50205,37813,45843,57011,47289,54893,58738,47295,58739,48456,51807,49725,63638,48426,57621,56164,63732,64758,73036,47246,81008,67044,96077,62853,104962,57624,76203,70114,86646,48530,80654,61681,97174,56623,79035,61229,87886,61382,72897,53646,89466,79744,83264,60907,111204,82676,101781,75798,83736,89218,86499,87253,104646,100424,98282,90438,102230,103935,116334,75297,100935,96102,106701,96223,107904,107901,116097,118509,130534,156907,141168,150321,156543,176032,181235,203635,187094,126939,127944,104514,104693,89249,138243,95086,111808,94252,120814,111808,179845,182796,151616,172345,59749,79882,86415,82267,95577,70497,83750,103948,86043,98452,103638,83883,104285,83763,89911,85123,108879,78586,92344,89512,102034,97580,109593,70361,121058,96020,137204,90021,151692,80348,105086,97211,120352,62204,100274,78362,126978,72184,99165,78947,111991,74621,87384,66565,108404,92345,96202,71661,130087,93545,115205,86579,95765,99342,95848,97125,115553,108932,106108,99430,113216,111381,125391,82216,111166,102146,113065,102013,115864,111072,119988,123637,135068,156322,138759,148780,156669,171277,176204,200211,183774,121440,122343,99898,101506,82448,126764,87464,104661,82335,103207,95850,157255,151873,124717,142872
"....Compensation outflow",2488,2909,2203,2167,3103,3587,2746,2704,4902,5610,4360,4338,4207,4813,3770,3778,4366,5011,3867,3932,3337,12672,2055,1903,7112,6754,4637,4496,6937,6749,4873,7051,5041,5830,7685,5428,6074,6067,5629,5739,6704,7357,7170,6619,9440,9271,7613,7350,12745,10160,8818,9894,11744,11294,13186,9380,12155,13585,10482,13088,15581,15258,13632,13605,21612,21152,20714,23349,22376,25416,22288,24508,38675,46513,28786,36299,62598,67833,80368,95748,90382,47238,34619,20749,8533,11134,12870,10067,4242,1658,4120,11348,12321,14706,17074,16202,4852,5811,4397,4237,5644,6682,5132,5043,8532,10096,7885,7811,7177,8350,6707,6587,7171,8155,6362,6399,5162,19123,3246,2934,10190,9723,6821,6553,9677,9464,6924,9945,6847,7542,9806,7021,7698,7740,7239,7485,8258,8974,8813,8345,10989,10807,9036,8777,14363,11572,10280,11448,12897,12656,14853,10640,12900,14784,11596,14566,16511,16410,15078,15100,22858,22593,22417,25129,23151,26287,23471,25912,38675,46513,28786,36299,60846,66217,79080,94817,86570,45343,33629,20050,7915,10333,12035,9373,3791,1456,3594,9848,10300,12278,14317,13597
"....Property expense",26557,36990,42068,40660,47101,34226,43097,54307,42387,49283,54378,42957,54531,43644,48037,45946,59272,43415,53754,52232,60395,52087,70981,45343,73895,60290,91440,58357,98025,50874,71331,63063,81605,42700,72969,56253,91100,50556,73406,55490,81181,54024,65726,47027,80026,70473,75651,53557,98459,72516,92963,65904,71992,77924,73313,77872,92491,86839,87799,77350,86649,88676,102703,61692,79323,74950,85988,72874,85528,82485,93809,94000,91859,110394,112381,114022,93945,108199,100866,107887,96711,79701,93325,83764,96159,78115,125373,85019,107566,92595,116693,100460,167525,168090,134542,156144,54897,74071,82018,78030,89932,63814,78618,98905,77511,88357,95753,76073,97108,75412,83203,78536,101708,70431,85982,83113,96872,78457,106346,67427,110869,86297,130383,83467,142015,70885,98162,87266,113505,54662,90468,71341,119279,64444,91926,71462,103733,65647,78572,58220,97415,81537,87166,62884,115724,81973,104926,75130,82868,86686,80995,86484,102653,94148,94512,84864,96704,94971,110312,67116,88308,79553,90648,76884,92714,84786,96517,97726,96393,109809,109973,112481,95823,105061,97123,105394,97204,76097,88714,79848,93591,72115,114729,78091,100870,80880,99612,86003,146955,139595,110401,129275
"Net Primary Income From the Rest of the World",84769,80670,82513,100648,89282,105582,100655,89844,107927,96203,95441,115195,103857,113001,112991,114148,118541,129343,123474,125252,133224,138071,143853,162366,142377,161882,134542,163692,137937,174412,169004,165134,150498,194295,185843,223492,203153,257717,247449,260653,251674,276584,259585,266755,261528,272622,261826,298920,271344,314296,302399,332508,326674,335939,374729,379732,374474,377874,376321,393320,381946,388153,388056,435398,413901,412201,411496,442956,449005,455580,459839,462103,474989,467676,510534,493959,495253,483543,500751,474650,451626,369133,334382,205286,114448,169213,164629,242097,240265,296190,341439,416485,466835,594910,755246,853723,174916,160968,160239,192655,170559,196785,183466,163441,197544,172155,167609,203752,185394,195530,195962,195448,204211,210290,197835,199748,214617,208652,216065,241813,214315,231727,191723,234239,200790,243945,233940,230325,212068,251205,232710,285546,267535,329305,310166,336164,322867,337167,311149,331000,319449,315660,301642,351110,320199,356066,341897,379674,377096,373820,413762,421504,416274,409703,404814,431247,426859,415261,416012,473253,462028,437510,433445,467020,488044,468220,472445,479537,499419,463889,497939,485911,507267,468142,479376,461496,457317,351386,316430,195040,111532,155858,150048,221883,225070,258224,290882,355934,409378,493102,618334,705654
