"Per Capita: Gross Domestic Product, Gross National Income, and Household Final Consumption Expenditure"

"Industry","2000 Q1","2000 Q2","2000 Q3","2000 Q4","2001 Q1","2001 Q2","2001 Q3","2001 Q4","2002 Q1","2002 Q2","2002 Q3","2002 Q4","2003 Q1","2003 Q2","2003 Q3","2003 Q4","2004 Q1","2004 Q2","2004 Q3","2004 Q4","2005 Q1","2005 Q2","2005 Q3","2005 Q4","2006 Q1","2006 Q2","2006 Q3","2006 Q4","2007 Q1","2007 Q2","2007 Q3","2007 Q4","2008 Q1","2008 Q2","2008 Q3","2008 Q4","2009 Q1","2009 Q2","2009 Q3","2009 Q4","2010 Q1","2010 Q2","2010 Q3","2010 Q4","2011 Q1","2011 Q2","2011 Q3","2011 Q4","2012 Q1","2012 Q2","2012 Q3","2012 Q4","2013 Q1","2013 Q2","2013 Q3","2013 Q4","2014 Q1","2014 Q2","2014 Q3","2014 Q4","2015 Q1","2015 Q2","2015 Q3","2015 Q4","2016 Q1","2016 Q2","2016 Q3","2016 Q4","2017 Q1","2017 Q2","2017 Q3","2017 Q4","2018 Q1","2018 Q2","2018 Q3","2018 Q4","2019 Q1","2019 Q2","2019 Q3","2019 Q4","2020 Q1","2020 Q2","2020 Q3","2020 Q4","2021 Q1","2021 Q2","2021 Q3","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4","2023 Q1","2023 Q2","2023 Q3","2023 Q4"
"Per Capita Gross Domestic Product at current prices",11173,11822,11874,13298,11904,12663,12679,14064,12671,13449,13202,15001,13458,14078,14070,16114,14790,15711,15558,17798,16056,17186,16947,19428,17409,18828,18307,21085,18858,20264,19649,22826,20134,22550,22209,24739,20927,22763,22238,25874,23298,25369,24371,28069,25035,26985,25651,29653,26600,28719,27772,32030,28580,30738,29805,34322,30805,33323,31963,37111,32045,34796,33031,38667,33806,37129,35550,41368,36239,40034,38571,44365,39070,43364,42080,48473,41548,45516,44049,51085,41183,38176,38660,47273,39947,43405,41780,51239,44445,48529,47054,57648,50032,52319,51051,62271
"Per Capita Gross National Income at current prices",12287,12876,12946,14599,13052,14013,13960,15201,14029,14654,14391,16429,14739,15464,15450,17500,16223,17266,17036,19290,17635,18815,18636,21325,19064,20702,19857,22963,20433,22246,21561,24686,21822,24719,24275,27212,23165,25590,24941,28709,26023,28352,27158,30922,27820,29876,28416,32797,29442,31998,30914,35471,31947,34187,33637,38190,34605,37142,35752,41056,35864,38661,36879,42967,37877,41166,39564,45671,40583,44425,42985,48785,43595,47803,46908,53127,46198,50039,48716,55494,45363,41581,41734,49154,40992,44946,43274,53429,46611,51192,50114,61370,54191,57604,57740,69811
"Per Capita Household Final Consumption Expenditure at current prices",7889,8532,8511,9611,8668,9102,9246,10389,9128,9785,9930,10868,9880,10375,10495,11678,10749,11321,11678,13247,11874,12691,12650,14269,12869,13769,13565,15217,13631,14586,14385,16357,14860,16210,16297,18231,15719,16797,16195,18484,16649,17591,17099,19633,17984,19262,18613,21553,19675,20481,20124,23248,20941,21678,21460,24816,22373,23160,22966,26440,23729,24589,24160,27926,25048,26255,25990,29982,26917,28177,27735,32094,29066,30752,30519,35156,31361,32736,32274,37016,31681,28063,29514,34830,31030,30909,32515,38285,34747,34863,37027,43450,39362,38430,40166,47074
"Per Capita Gross Domestic Product at constant 2018 prices",21723,22603,22216,24467,21769,22844,22421,24754,22140,23188,22546,25354,22691,23716,23313,26273,23837,24991,24287,27181,24551,25899,24867,27926,25173,26918,25552,29058,26234,28235,26731,30390,26838,29056,27686,30794,26663,29092,27460,30805,28336,30878,28905,32196,29209,31448,29291,32946,30469,32862,30952,34961,32260,34772,32509,36255,33568,36608,33908,38102,34820,38377,35597,40156,36610,40547,37574,42230,38314,42765,39768,44335,40160,44803,41579,46466,41897,46638,43579,48839,41041,38218,38020,44218,38967,42257,40170,47081,41581,44868,42731,49825,43723,46246,44766,51975
"Per Capita Gross National Income at constant 2018 prices",24021,24707,24298,26957,23962,25360,24755,26822,24627,25344,24634,27879,24977,26115,25706,28648,26306,27521,26655,29560,27095,28360,27404,30752,27665,29601,27761,31745,28526,31008,29378,32984,29216,31860,30272,33953,29611,32704,30847,34460,31833,34514,32246,35735,32610,34795,32477,36639,33822,36577,34504,38890,36147,38610,36740,40549,37791,40749,37984,42428,39089,42513,39723,44830,41153,44832,41802,46767,43036,47278,44304,48921,44918,49205,46288,51044,46659,51017,48047,53126,45274,41459,40929,46005,39986,43676,41531,49088,43610,47190,45338,53005,47370,50626,50243,58208
"Per Capita Household Final Consumption Expenditure at constant 2018 prices",16271,17503,17067,18940,16627,17395,17462,19503,16859,18112,18173,19920,17632,18592,18603,20617,18417,19039,19302,21573,18951,19802,19625,21873,19245,20449,19959,22395,19654,21053,20464,23257,20326,21300,20836,23664,20391,21806,20640,23941,20894,21896,20829,24751,21522,22576,21867,25768,22712,23713,22992,26972,23615,24547,24092,28132,24770,25581,24966,29238,25914,26849,26145,30723,27319,28383,27583,32243,28479,29620,28640,33734,29674,30978,29774,35073,31060,32231,31105,36557,30681,26916,27857,33436,28830,28495,29452,35483,31309,30541,31422,37488,32908,31834,32643,39030
