"Gross National Income and Gross Domestic Product by Expenditure"

"Type of Expenditure","At Current Prices 2000 Q1","At Current Prices 2000 Q2","At Current Prices 2000 Q3","At Current Prices 2000 Q4","At Current Prices 2001 Q1","At Current Prices 2001 Q2","At Current Prices 2001 Q3","At Current Prices 2001 Q4","At Current Prices 2002 Q1","At Current Prices 2002 Q2","At Current Prices 2002 Q3","At Current Prices 2002 Q4","At Current Prices 2003 Q1","At Current Prices 2003 Q2","At Current Prices 2003 Q3","At Current Prices 2003 Q4","At Current Prices 2004 Q1","At Current Prices 2004 Q2","At Current Prices 2004 Q3","At Current Prices 2004 Q4","At Current Prices 2005 Q1","At Current Prices 2005 Q2","At Current Prices 2005 Q3","At Current Prices 2005 Q4","At Current Prices 2006 Q1","At Current Prices 2006 Q2","At Current Prices 2006 Q3","At Current Prices 2006 Q4","At Current Prices 2007 Q1","At Current Prices 2007 Q2","At Current Prices 2007 Q3","At Current Prices 2007 Q4","At Current Prices 2008 Q1","At Current Prices 2008 Q2","At Current Prices 2008 Q3","At Current Prices 2008 Q4","At Current Prices 2009 Q1","At Current Prices 2009 Q2","At Current Prices 2009 Q3","At Current Prices 2009 Q4","At Current Prices 2010 Q1","At Current Prices 2010 Q2","At Current Prices 2010 Q3","At Current Prices 2010 Q4","At Current Prices 2011 Q1","At Current Prices 2011 Q2","At Current Prices 2011 Q3","At Current Prices 2011 Q4","At Current Prices 2012 Q1","At Current Prices 2012 Q2","At Current Prices 2012 Q3","At Current Prices 2012 Q4","At Current Prices 2013 Q1","At Current Prices 2013 Q2","At Current Prices 2013 Q3","At Current Prices 2013 Q4","At Current Prices 2014 Q1","At Current Prices 2014 Q2","At Current Prices 2014 Q3","At Current Prices 2014 Q4","At Current Prices 2015 Q1","At Current Prices 2015 Q2","At Current Prices 2015 Q3","At Current Prices 2015 Q4","At Current Prices 2016 Q1","At Current Prices 2016 Q2","At Current Prices 2016 Q3","At Current Prices 2016 Q4","At Current Prices 2017 Q1","At Current Prices 2017 Q2","At Current Prices 2017 Q3","At Current Prices 2017 Q4","At Current Prices 2018 Q1","At Current Prices 2018 Q2","At Current Prices 2018 Q3","At Current Prices 2018 Q4","At Current Prices 2019 Q1","At Current Prices 2019 Q2","At Current Prices 2019 Q3","At Current Prices 2019 Q4","At Current Prices 2020 Q1","At Current Prices 2020 Q2","At Current Prices 2020 Q3","At Current Prices 2020 Q4","At Current Prices 2021 Q1","At Current Prices 2021 Q2","At Current Prices 2021 Q3","At Current Prices 2021 Q4","At Current Prices 2022 Q1","At Current Prices 2022 Q2","At Current Prices 2022 Q3","At Current Prices 2022 Q4","At Current Prices 2023 Q1","At Current Prices 2023 Q2","At Current Prices 2023 Q3","At Current Prices 2023 Q4","At Constant 2018 Prices 2000 Q1","At Constant 2018 Prices 2000 Q2","At Constant 2018 Prices 2000 Q3","At Constant 2018 Prices 2000 Q4","At Constant 2018 Prices 2001 Q1","At Constant 2018 Prices 2001 Q2","At Constant 2018 Prices 2001 Q3","At Constant 2018 Prices 2001 Q4","At Constant 2018 Prices 2002 Q1","At Constant 2018 Prices 2002 Q2","At Constant 2018 Prices 2002 Q3","At Constant 2018 Prices 2002 Q4","At Constant 2018 Prices 2003 Q1","At Constant 2018 Prices 2003 Q2","At Constant 2018 Prices 2003 Q3","At Constant 2018 Prices 2003 Q4","At Constant 2018 Prices 2004 Q1","At Constant 2018 Prices 2004 Q2","At Constant 2018 Prices 2004 Q3","At Constant 2018 Prices 2004 Q4","At Constant 2018 Prices 2005 Q1","At Constant 2018 Prices 2005 Q2","At Constant 2018 Prices 2005 Q3","At Constant 2018 Prices 2005 Q4","At Constant 2018 Prices 2006 Q1","At Constant 2018 Prices 2006 Q2","At Constant 2018 Prices 2006 Q3","At Constant 2018 Prices 2006 Q4","At Constant 2018 Prices 2007 Q1","At Constant 2018 Prices 2007 Q2","At Constant 2018 Prices 2007 Q3","At Constant 2018 Prices 2007 Q4","At Constant 2018 Prices 2008 Q1","At Constant 2018 Prices 2008 Q2","At Constant 2018 Prices 2008 Q3","At Constant 2018 Prices 2008 Q4","At Constant 2018 Prices 2009 Q1","At Constant 2018 Prices 2009 Q2","At Constant 2018 Prices 2009 Q3","At Constant 2018 Prices 2009 Q4","At Constant 2018 Prices 2010 Q1","At Constant 2018 Prices 2010 Q2","At Constant 2018 Prices 2010 Q3","At Constant 2018 Prices 2010 Q4","At Constant 2018 Prices 2011 Q1","At Constant 2018 Prices 2011 Q2","At Constant 2018 Prices 2011 Q3","At Constant 2018 Prices 2011 Q4","At Constant 2018 Prices 2012 Q1","At Constant 2018 Prices 2012 Q2","At Constant 2018 Prices 2012 Q3","At Constant 2018 Prices 2012 Q4","At Constant 2018 Prices 2013 Q1","At Constant 2018 Prices 2013 Q2","At Constant 2018 Prices 2013 Q3","At Constant 2018 Prices 2013 Q4","At Constant 2018 Prices 2014 Q1","At Constant 2018 Prices 2014 Q2","At Constant 2018 Prices 2014 Q3","At Constant 2018 Prices 2014 Q4","At Constant 2018 Prices 2015 Q1","At Constant 2018 Prices 2015 Q2","At Constant 2018 Prices 2015 Q3","At Constant 2018 Prices 2015 Q4","At Constant 2018 Prices 2016 Q1","At Constant 2018 Prices 2016 Q2","At Constant 2018 Prices 2016 Q3","At Constant 2018 Prices 2016 Q4","At Constant 2018 Prices 2017 Q1","At Constant 2018 Prices 2017 Q2","At Constant 2018 Prices 2017 Q3","At Constant 2018 Prices 2017 Q4","At Constant 2018 Prices 2018 Q1","At Constant 2018 Prices 2018 Q2","At Constant 2018 Prices 2018 Q3","At Constant 2018 Prices 2018 Q4","At Constant 2018 Prices 2019 Q1","At Constant 2018 Prices 2019 Q2","At Constant 2018 Prices 2019 Q3","At Constant 2018 Prices 2019 Q4","At Constant 2018 Prices 2020 Q1","At Constant 2018 Prices 2020 Q2","At Constant 2018 Prices 2020 Q3","At Constant 2018 Prices 2020 Q4","At Constant 2018 Prices 2021 Q1","At Constant 2018 Prices 2021 Q2","At Constant 2018 Prices 2021 Q3","At Constant 2018 Prices 2021 Q4","At Constant 2018 Prices 2022 Q1","At Constant 2018 Prices 2022 Q2","At Constant 2018 Prices 2022 Q3","At Constant 2018 Prices 2022 Q4","At Constant 2018 Prices 2023 Q1","At Constant 2018 Prices 2023 Q2","At Constant 2018 Prices 2023 Q3","At Constant 2018 Prices 2023 Q4"
"....Household final consumption expenditure",600429,652947,654886,743547,674223,711777,726832,821054,725177,781357,797033,876877,801177,845576,859685,961372,889324,941246,975651,1112155,1001726,1075814,1077433,1221087,1106500,1189444,1177253,1326777,1193910,1283459,1271515,1452307,1325318,1452134,1466475,1647678,1426912,1531354,1482901,1699717,1537553,1631454,1592490,1836208,1689009,1816501,1762602,2049375,1878447,1963276,1936819,2246467,2031658,2111436,2098485,2436145,2204907,2291325,2280899,2635906,2372797,2468974,2436184,2827778,2547013,2680857,2664733,3086483,2782053,2923649,2889159,3356002,3050982,3240042,3227592,3731469,3340847,3499709,3462628,3985148,3422615,3042128,3210325,3801008,3397750,3395240,3583127,4232430,3853345,3878011,4131183,4862506,4418198,4326017,4534502,5329613,1238391,1339475,1313248,1465298,1293275,1360269,1372739,1541293,1339317,1446344,1458722,1607139,1429858,1515315,1523863,1697272,1523683,1582891,1612650,1811167,1598765,1678553,1671508,1871806,1654718,1766477,1732145,1952559,1721464,1852435,1808810,2064944,1812829,1908160,1874840,2138752,1850946,1988001,1889867,2201565,1929592,2030708,1939923,2314840,2021322,2129049,2070681,2450123,2168390,2273112,2212883,2606341,2291103,2390956,2355858,2761690,2441153,2530825,2479539,2914944,2591280,2695933,2636266,3111056,2777972,2898169,2828137,3319183,2943490,3073414,2983445,3527479,3114801,3263873,3148718,3722692,3308748,3445708,3337241,3935759,3314612,2917737,3030086,3648922,3156809,3130131,3245553,3922624,3472080,3397178,3505788,4195302,3693737,3583480,3685185,4418869
"….Government final consumption expenditure",90432,107541,101030,110046,96420,115588,106211,114072,95652,118854,113794,118503,102139,120330,120511,125555,109222,125281,123412,128738,116921,145367,127055,135235,136192,159946,141229,156552,149629,180494,160002,174388,154818,189997,178814,185951,170036,220378,213454,220625,218123,258927,216029,220585,193759,291008,249213,251435,255368,336766,303401,298139,298078,380841,324213,300375,318521,400446,332400,343430,324078,413473,384928,399058,368652,489049,410195,435703,379718,538639,455432,500980,444837,623474,543284,588042,481517,668914,591359,691649,528976,829162,639282,742251,634088,817866,748261,823802,680159,947127,790600,895976,759460,918369,872654,914719,196144,224339,212407,195842,197424,227298,206386,186652,185698,220816,204648,176674,193910,217669,219997,189452,207095,221251,217024,193032,210418,250907,210662,191371,232880,275899,245446,214170,263396,302268,239834,231713,257821,294099,258554,232026,273082,328676,290351,265495,332186,353662,271834,248236,282310,378231,298731,269628,352315,417495,345576,303855,377580,456070,360322,295382,391488,464651,357840,329361,392957,476327,414450,381728,443226,545076,430953,402112,433777,583654,464841,457607,494233,655488,531757,518159,523615,697011,575719,603522,560060,848877,609090,633848,650700,814245,693780,683980,675243,904956,700083,708326,716945,840453,746801,700904
"....Gross capital formation",166151,129082,134397,150309,149172,210326,204708,198224,196365,218962,211646,263114,250364,222701,183345,264919,287709,286485,231115,298389,279083,264507,258960,296083,233514,236650,242002,336905,228144,270445,266927,395464,314637,388095,403136,421026,296000,334142,338229,494224,397214,465444,414559,644197,531329,436755,494388,641524,460525,500764,522959,679284,524310,553791,636098,773311,626063,639480,682287,815563,611588,683363,770421,910443,782499,929892,936656,1076319,973080,1064658,1023509,1170430,1064617,1273938,1260483,1360067,1178488,1246495,1272706,1455380,956211,518470,709963,944922,815357,1141002,952964,1194224,1142898,1569620,1344707,1380646,1325886,1550110,1269222,1526169,295296,252277,245992,339958,299802,355948,320307,389787,377907,352121,295793,431648,382789,369237,264350,435143,383136,455576,302760,399154,331202,414060,295131,433406,333424,329575,237287,421478,320010,368243,296236,447441,397180,444797,400907,572370,332148,447442,359092,567685,411846,607373,516452,690450,542058,502596,505978,618973,471105,554814,546995,714421,615198,661457,671810,760718,662869,719529,705254,845796,714675,826153,802818,983110,861764,1034695,968213,1153703,1007110,1132602,1066586,1250029,1042614,1305208,1246250,1365034,1130741,1297367,1237959,1466282,991934,625145,757159,1001594,852223,1148345,908516,1142715,1003149,1344737,1072152,1186610,1131646,1353851,1068548,1324629
"…...Gross fixed capital formation",172883,171823,178842,192638,182009,182548,178241,194140,184484,206215,192604,214758,216457,220358,211563,230468,223419,258352,234499,271026,230416,294124,256963,294348,267534,331763,294446,332424,312521,369679,317427,358969,316029,398936,402399,418929,354330,410572,392002,405009,424987,543511,458090,491101,465441,481646,468909,508105,486238,549781,531392,636971,595491,635773,589835,683377,645117,696754,669982,743378,679548,792141,758532,869794,824958,978065,940193,1039368,941109,1097891,1047456,1159155,1060569,1305605,1259226,1357946,1165560,1324452,1367888,1442201,1133230,852921,831625,1006315,937542,1216295,998543,1172165,1104623,1478149,1208816,1351126,1285608,1595936,1348756,1513729,319796,310029,305715,342144,303513,306980,282118,326967,296061,331303,292115,347836,343747,349871,325868,369228,339108,378832,331374,399730,331788,397493,325426,380001,337112,407754,344238,418005,384464,456669,381029,450797,398952,471790,449247,494200,413530,489762,447942,501110,478352,631372,520720,591251,533775,529327,504304,561931,536233,576754,583211,706153,666024,671315,625707,723699,664363,722481,699837,814599,712050,826570,800271,962218,848756,1041312,988307,1112378,948492,1133811,1086787,1242946,1040493,1335048,1244802,1363004,1115073,1307929,1310861,1441657,1095229,842833,813441,1010289,895859,1177826,941009,1117448,994135,1324321,1030519,1186201,1102754,1381284,1115018,1306878
"….....Construction",87690,83691,89031,90419,84858,89603,88516,91484,86303,106822,92185,95708,103085,105032,103273,109098,104421,129080,117243,129668,110306,149499,121966,128682,124005,175049,143385,150683,159157,206213,160476,168693,161650,220304,221374,224054,196027,264071,214392,214494,222222,347689,264018,254564,248542,281843,254863,277444,260538,326959,326548,383661,372894,401615,344456,373138,367225,447448,406491,460258,392268,527219,452773,518961,455132,623837,548956,586602,514331,672066,599670,635763,604906,804245,732021,798614,657634,849130,872713,911051,666918,583729,488177,593149,509362,828664,629375,714382,612848,1034455,759833,828277,735100,1096011,882703,931146,198225,185190,202192,210044,179626,186107,183558,199524,172999,205632,184061,204542,205251,210057,206868,224489,193900,230227,212922,235492,183921,240254,194924,202083,177535,250929,207801,225753,217604,291237,231645,250923,228384,298560,286465,294018,246460,335987,278984,286767,274525,431338,329609,333425,287953,324842,294152,341105,287655,363091,367166,458023,402573,440312,386308,437989,392292,475017,436132,524399,422366,551927,482852,585570,476133,655758,579980,640817,516578,704807,627410,709449,591574,816124,710197,821892,641461,839456,807238,917836,630876,579981,441881,589796,472020,784810,551836,681711,536200,903988,611190,741096,615153,926859,689251,815894
"….....Durable equipment",59290,62825,67575,65614,69917,67124,64605,62399,69306,70862,72977,74770,81942,83915,78008,74494,84917,93454,82411,84261,82076,103789,96142,98858,95758,104969,105244,110516,99789,105976,108561,115674,105561,121483,126513,111265,96324,94352,119797,114703,135840,135945,136452,159331,149599,131653,151477,148347,152313,152319,141634,168878,150094,163269,180151,220195,209684,178697,198069,193881,214134,190805,233996,255096,283323,269223,307967,344344,328821,323519,349547,392075,339570,377011,407271,403168,377025,334158,370916,369866,330584,131332,220090,261922,288708,245455,242068,294976,344187,304193,317688,347609,395694,358406,329735,398222,68144,75126,65172,62085,66856,68922,58070,59509,65988,72551,65435,71249,77321,83295,72672,71542,76907,88082,67764,84243,79119,96725,78490,96999,86087,90304,79176,105332,89556,94587,91339,109908,97402,108769,106756,106616,89841,87617,107690,122811,122977,130905,128822,158445,162223,129963,145597,128498,158885,139291,152455,149320,175198,157247,174580,180612,192271,165397,187495,182366,204384,188436,233382,257781,277355,292887,307184,342847,326466,321610,346841,393161,333330,398562,407681,387447,352724,336887,372307,362607,344504,136798,246407,273868,306525,266854,259552,288072,334224,293930,290440,296132,360787,326656,295671,339303
"….....Breeding stocks and orchard development",20461,20831,16813,30666,22184,21285,18895,33291,23719,23295,20963,37032,25722,25612,23293,40090,27448,29084,26919,48374,31434,34571,30158,58597,40590,44815,37785,63350,46368,50094,39894,66126,41588,50058,46464,75585,54922,44743,48573,65912,58780,51819,47978,66927,57895,59672,52343,70981,60777,60989,53358,69963,59978,60522,55176,72936,55595,56830,51627,69463,58194,60351,55709,74650,64988,67874,64300,84767,73154,77088,74528,102012,90383,94412,92135,120830,101878,102919,91934,121388,105818,108462,94384,113282,108807,108797,92651,116969,112954,103995,94283,126015,118280,103671,97575,132158,48960,45939,34001,65370,52895,48617,36264,63245,53232,49600,37796,67177,57152,52794,41062,68816,63897,56309,44656,74284,64652,56748,44971,75689,68778,62153,49415,81950,73064,66641,50691,84821,68890,60336,49613,88641,73144,61859,53968,85411,76185,64656,55071,93304,78069,69637,56731,85579,82439,68953,55720,89997,80494,67569,55824,93808,70825,73494,63044,95465,73766,77218,66972,101501,77884,80357,78994,107407,82773,87270,84423,113784,90383,94912,92135,120330,92254,97737,91674,121963,90656,99878,90224,109117,87797,97189,88267,103097,91088,96527,86189,104436,92990,96595,86769,105337
"….....Intellectual property products",5441,4477,5423,5939,5050,4536,6225,6965,5155,5236,6480,7248,5709,5798,6990,6786,6633,6735,7926,8723,6600,6266,8698,8211,7182,6930,8032,7876,7207,7396,8496,8476,7230,7091,8049,8025,7057,7406,9240,9900,8146,8059,9643,10279,9404,8477,10225,11333,12611,9514,9852,14469,12525,10367,10052,17109,12614,13778,13796,19776,14952,13766,16055,21087,21515,17131,18970,23654,24803,25217,23712,29305,25710,29937,27799,35334,29022,38244,32325,39897,29910,29398,28975,37961,30665,33379,34450,45837,34633,35507,37012,49225,36533,37847,38743,52202,4468,3774,4350,4645,4136,3334,4226,4689,3843,3520,4823,4868,4023,3725,5266,4381,4404,4213,6032,5711,4097,3766,7042,5231,4711,4369,7847,4970,4241,4204,7354,5146,4276,4125,6412,4926,4084,4299,7299,6121,4665,4473,7218,6078,5531,4885,7824,6749,7255,5418,7870,8813,7759,6187,8995,11291,8975,8573,13166,12369,11533,8989,17065,17367,17385,12310,22149,21306,22675,20124,28113,26552,25206,25451,34789,33335,28634,33849,39643,39251,29192,26176,34929,37508,29518,28973,41354,44568,32623,29876,42699,44538,33824,31175,43327,46343
"…...Changes in inventories",-6800,-42918,-44738,-42390,-32926,27612,26126,3838,11866,12682,18651,47934,33473,1606,-28841,33964,64183,27868,-3791,26936,48358,-30188,1384,1020,-34304,-95510,-52653,4318,-84487,-99515,-50664,36185,-1992,-10963,135,1884,-58483,-76714,-54286,88960,-28046,-78553,-43922,152378,65708,-45132,25140,132844,-26090,-49239,-8769,41870,-71585,-82320,46028,89658,-19363,-57453,11844,71836,-68140,-108851,11380,40187,-42579,-48603,-3948,36864,31935,-33252,-24011,9857,2992,-32219,1111,1172,12689,-78425,-95646,12856,-177204,-334708,-121931,-61622,-122353,-75647,-45746,21706,38163,91164,135690,29008,40143,-46393,-79823,11932,-24774,-58455,-60832,-2401,-4030,48402,37051,62009,81796,20620,2501,82622,37878,17409,-63060,64784,43786,76112,-29555,-1472,-1286,15267,-31626,51949,-4226,-78820,-107297,3197,-64647,-88931,-85090,-3874,-2723,-27180,-49283,77797,-81592,-42719,-89517,66277,-66844,-24562,-4715,98462,8090,-26966,1371,56507,-65478,-22157,-36539,7852,-51229,-10254,45820,36684,-1857,-3166,4865,30752,2423,-502,1932,20333,12875,-7066,-20492,41235,58580,-1228,-20265,5680,1067,-30400,1302,1087,15425,-11043,-73314,24332,-103447,-217889,-56469,-8859,-43761,-29742,-32614,25011,8937,20209,41494,67,28796,-27790,-46665,17410
"…...Valuables",68,176,293,61,89,166,341,245,15,65,391,422,435,737,623,487,108,265,407,426,309,571,613,716,284,397,210,163,110,281,165,310,600,121,601,212,153,285,514,255,273,486,391,718,180,241,339,575,377,222,337,442,404,339,235,275,309,179,461,349,180,73,509,462,120,430,410,87,36,19,65,1419,1056,552,145,949,240,468,464,323,184,257,269,229,169,354,166,353,112,306,201,511,135,567,289,509,274,704,1110,215,319,566,1138,811,50,198,1177,1191,1164,1957,1542,1131,243,632,941,896,700,1300,1330,1455,538,642,346,275,193,505,297,519,950,187,944,372,211,399,668,298,338,562,447,737,192,234,304,534,349,218,323,417,403,396,283,335,363,213,552,446,203,86,615,558,133,449,398,90,38,19,65,1404,1054,560,146,943,243,481,413,293,153,201,187,164,125,260,121,256,76,207,139,342,95,357,195,342
