"PHILIPPINES","FERTILIZER","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Area Applied",76220.50,120100.00,96310.88,95614.65,91840.61,96236.00,98815.00,97720.89,89474.49,79776.54,86341.79
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","All Grades",4.99,4.87,5.14,5.83,5.49,4.95,5.21,5.59,5.45,5.60,5.87
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea",3.15,2.78,3.00,3.36,2.58,2.61,2.71,2.99,3.12,2.99,3.19
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul",0.06,0.15,0.21,0.23,0.39,0.23,0.26,0.19,0.16,0.18,0.18
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos",0.43,0.39,0.38,0.52,0.82,0.48,0.40,0.30,0.23,0.36,0.27
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete",1.36,1.54,1.56,1.72,1.70,1.63,1.84,2.11,1.93,2.07,2.23
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Others",..,0.01,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION I (ILOCOS REGION)","Area Applied",366676.12,403238.03,399829.76,412183.00,407787.20,412316.00,408104.00,404880.00,405369.03,406086.51,409013.00
"..REGION I (ILOCOS REGION)","All Grades",6.21,6.62,6.23,6.49,6.85,6.90,7.63,7.84,6.20,7.77,6.09
"..REGION I (ILOCOS REGION)","Urea",3.06,3.06,2.95,3.05,3.28,3.33,3.84,3.77,3.05,3.42,2.95
"..REGION I (ILOCOS REGION)","Ammosul",0.65,0.86,0.64,0.62,0.70,0.47,0.32,0.47,0.65,0.95,0.61
"..REGION I (ILOCOS REGION)","Ammophos",0.61,0.27,0.37,0.25,0.27,0.33,0.26,0.19,0.31,0.41,0.16
"..REGION I (ILOCOS REGION)","Complete",1.89,2.42,2.28,2.57,2.59,2.77,3.21,3.40,2.20,3.00,2.37
"..REGION I (ILOCOS REGION)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION II (CAGAYAN VALLEY)","Area Applied",550513.00,598870.21,575485.00,624357.41,583655.18,555589.00,590327.83,557730.73,581633.00,589379.00,612913.00
"..REGION II (CAGAYAN VALLEY)","All Grades",5.99,5.49,5.85,5.66,6.09,6.46,6.10,6.38,6.48,6.40,7.06
"..REGION II (CAGAYAN VALLEY)","Urea",3.20,2.57,2.73,3.00,3.27,3.37,3.03,3.06,3.17,3.19,3.38
"..REGION II (CAGAYAN VALLEY)","Ammosul",0.45,0.46,0.67,0.50,0.47,0.37,0.44,0.45,0.32,0.23,0.32
"..REGION II (CAGAYAN VALLEY)","Ammophos",1.06,1.00,0.95,0.79,0.76,0.83,0.87,0.97,1.11,1.09,0.93
"..REGION II (CAGAYAN VALLEY)","Complete",1.28,1.46,1.49,1.36,1.60,1.89,1.77,1.89,1.88,1.88,2.44
"..REGION II (CAGAYAN VALLEY)","Others",..,..,..,..,..,..,..,..,0.00,0.00,0.00
"..REGION III (CENTRAL LUZON)","Area Applied",609875.00,675237.00,697425.78,720849.02,803348.78,785000.44,791933.66,720300.69,711923.61,707051.26,724200.98
"..REGION III (CENTRAL LUZON)","All Grades",6.07,6.37,5.75,6.97,6.41,6.81,6.74,6.89,6.81,7.30,7.64
"..REGION III (CENTRAL LUZON)","Urea",2.29,2.43,2.39,2.71,2.67,2.74,2.80,2.86,2.88,3.11,3.12
