Sector,Year,January,February,March,April,May,June,July,August,September,October,November
Corn: NFA Stock,1980,71.2,70.8,40.5,31.2,20.2,21.1,10.9,8.2,11.3,29.2,46.3
Corn: NFA Stock,1981,43.6,28.9,28.0,39.6,39.7,34.8,39.3,28.5,32.9,49.1,62.8
Corn: NFA Stock,1982,73.6,66.1,61.9,62.8,64.2,67.7,70.4,68.7,96.2,115.6,115.6
Corn: NFA Stock,1983,111.8,102.5,83.2,83.4,55.0,79.0,53.3,94.3,49.0,88.7,128.4
Corn: NFA Stock,1984,175.7,166.1,127.2,100.5,65.6,54.7,110.0,108.8,139.2,131.7,112.7
Corn: NFA Stock,1985,45.8,36.7,27.4,45.5,48.0,86.1,116.3,117.7,130.0,166.6,181.6
Corn: NFA Stock,1986,189.2,162.1,121.1,100.2,88.5,86.0,83.0,82.1,85.7,96.2,94.2
Corn: NFA Stock,1987,77.0,59.1,49.1,46.9,29.5,17.6,10.4,19.0,14.9,24.1,23.7
Corn: NFA Stock,1988,27.3,18.6,43.4,26.1,22.7,20.0,31.8,36.7,87.7,124.9,129.6
Corn: NFA Stock,1989,108.9,59.2,29.9,19.1,6.4,3.5,1.8,1.5,1.3,1.3,1.3
Corn: NFA Stock,1990,0.7,26.7,43.9,21.9,14.4,8.8,5.7,7.8,50.3,140.9,212.1
Corn: NFA Stock,1991,252.6,260.9,327.8,356.6,366.3,345.6,332.2,299.0,278.6,295.1,285.5
Corn: NFA Stock,1992,208.9,169.2,135.2,95.6,66.8,12.6,7.2,2.7,1.0,6.0,4.6
Corn: NFA Stock,1993,8.0,1.9,0.5,,1.5,,1.0,1.6,1.3,7.4,8.1
Corn: NFA Stock,1994,5.0,7.0,4.8,6.3,4.9,3.0,0.98,0.97,4.1,7.5,5.3
Corn: NFA Stock,1995,1.4,0.79,0.7,,,,,1.4,3.0,0.2,
Corn: NFA Stock,1996,,,,4.1,4.3,2.9,2.2,3.5,5.8,8.3,10.1
Corn: NFA Stock,1997,15.8,11.7,3.6,2.5,1.4,0.71,3.2,0.71,4.0,9.2,19.1
Corn: NFA Stock,1998,40.1,45.0,52.8,56.8,32.5,7.8,0.32,2.1,4.2,55.5,90.7
Corn: NFA Stock,1999,152.6,169.0,146.5,148.2,132.9,88.6,93.9,79.7,73.2,78.7,52.9
Corn: NFA Stock,2000,6.7,0.2,0.6,,2.2,1.1,1.0,2.7,7.8,8.9,8.6
Corn: NFA Stock,2001,1.0,0.6,,,,,,,,,
Corn: NFA Stock,2002,,,,,,,,,,,
Corn: NFA Stock,2003,,,,,,,,,,,
Corn: NFA Stock,2004,,,,,,,,,,,
Corn: NFA Stock,2005,,0.07,0.79,1.52,1.41,0.91,0.11,0.03,0.11,0.5,1.41
Corn: NFA Stock,2006,1.48,1.27,1.1,0.01,0.01,,,,,0.03,0.12
Corn: NFA Stock,2007,0.2,0.03,0.03,0.03,0.01,0.01,,,,,
Corn: NFA Stock,2008,,,,,0.56,0.72,0.72,0.72,0.72,0.7,1.33
Corn: NFA Stock,2009,,,,,,,10.2,31.1,61.9,32.6,76.5
Corn: NFA Stock,2010,91.8,91.4,94.1,73.6,41.2,36.5,13.4,10.5,8.7,4.9,4.4
Corn: NFA Stock,2011,1.0,0.3,0.3,0.3,0.3,0.03,0.03,0.03,0.03,0.08,0.08
Corn: NFA Stock,2012,0.2,0.07,,0.01,0.3,0.14,0.16,0.1,0.29,0.24,0.26
Corn: NFA Stock,2013,0.08,0.07,0.19,0.4,2.4,3.0,3.2,5.4,10.0,12.0,10.5
Corn: NFA Stock,2014,10.41,10.34,10.35,10.24,6.6,5.84,5.83,5.19,3.05,2.03,1.78
Corn: NFA Stock,2015,1.6,1.48,1.6,1.84,2.22,0.93,0.98,0.99,1.0,1.01,1.11
Corn: NFA Stock,2016,1.42,0.45,0.47,0.48,0.04,0.43,0.35,0.01,0.03,0.25,0.73
Corn: NFA Stock,2017,1.29,2.38,5.18,6.27,6.31,6.37,5.54,5.02,0.57,0.55,0.53
Corn: NFA Stock,2018,0.43,0.39,0.03,0.03,,,,,,,
Corn: NFA Stock,2019,,,,,,,,,,,
Corn: NFA Stock,2020,,,,,,,,,,,
Corn: NFA Stock,2021,,,,,,,,,,,
Corn: NFA Stock,2022,,,,,,,,,,,
Corn: NFA Stock,2023,,,,,,,,,,,
Corn: NFA Stock,2024,,,,,,,,,,,
