PHILIPPINES,FERTILIZER,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
..CORDILLERA ADMINISTRATIVE REGION (CAR),Area Applied,56051.0,57294.87,61639.0,56118.76,54297.43,45730.07,58663.63,52227.74,46797.2,60849.0,57548.46
..CORDILLERA ADMINISTRATIVE REGION (CAR),Average Quantity Applied,4.43,5.31,4.81,6.2,6.7,6.44,6.23,6.53,7.06,6.05,5.95
..CORDILLERA ADMINISTRATIVE REGION (CAR),Urea,2.53,2.76,2.4,3.34,3.32,3.23,3.43,3.65,4.17,3.64,3.36
..CORDILLERA ADMINISTRATIVE REGION (CAR),Ammosul,0.01,0.28,0.21,0.12,0.69,0.1,0.14,0.4,0.23,0.15,0.22
..CORDILLERA ADMINISTRATIVE REGION (CAR),Ammophos,0.8,0.85,1.01,1.4,1.29,1.24,1.09,0.99,1.13,0.6,0.36
..CORDILLERA ADMINISTRATIVE REGION (CAR),Complete,1.08,1.42,1.19,1.34,1.4,1.87,1.56,1.49,1.53,1.66,2.01
..CORDILLERA ADMINISTRATIVE REGION (CAR),Others,,,,,,,,,,,0.01
..REGION I (ILOCOS REGION),Area Applied,77183.0,81775.2,84106.0,57220.0,88194.31,93696.09,92170.49,89190.44,60743.83,94522.0,94909.0
..REGION I (ILOCOS REGION),Average Quantity Applied,6.91,8.45,6.79,7.99,9.65,9.12,9.88,10.07,10.31,7.87,8.29
..REGION I (ILOCOS REGION),Urea,4.33,5.17,4.07,4.55,5.25,5.13,5.7,5.12,5.52,4.44,4.23
..REGION I (ILOCOS REGION),Ammosul,0.73,0.39,0.36,0.64,0.75,0.61,0.52,1.03,0.71,0.32,0.31
..REGION I (ILOCOS REGION),Ammophos,0.06,0.01,0.01,0.01,0.07,,0.01,0.02,0.26,0.12,0.14
..REGION I (ILOCOS REGION),Complete,1.8,2.88,2.35,2.8,3.58,3.38,3.65,3.91,3.82,2.99,3.18
..REGION I (ILOCOS REGION),Others,,,,,,,,,,,0.43
..REGION II (CAGAYAN VALLEY),Area Applied,422095.0,427882.66,416740.0,363013.07,499112.63,431474.98,454142.12,441659.31,422361.86,426010.24,431504.0
..REGION II (CAGAYAN VALLEY),Average Quantity Applied,5.72,6.6,6.97,6.9,6.65,7.2,7.03,7.22,7.56,8.2,7.58
..REGION II (CAGAYAN VALLEY),Urea,3.15,3.5,3.44,3.9,3.71,4.12,3.61,4.01,3.77,3.49,3.36
..REGION II (CAGAYAN VALLEY),Ammosul,0.39,0.27,0.24,0.21,0.29,0.45,0.36,0.14,0.22,0.65,0.61
..REGION II (CAGAYAN VALLEY),Ammophos,1.14,1.38,1.52,1.84,1.72,1.29,1.54,1.98,2.42,1.62,1.18
..REGION II (CAGAYAN VALLEY),Complete,1.03,1.44,1.38,0.95,0.93,1.34,1.52,1.1,1.15,2.43,2.43
..REGION II (CAGAYAN VALLEY),Others,,0.01,0.4,,,,,,,,
..REGION III (CENTRAL LUZON),Area Applied,38811.0,39538.91,44151.0,43796.73,46314.42,46601.29,42444.12,46379.04,30662.09,46477.62,51232.92
..REGION III (CENTRAL LUZON),Average Quantity Applied,5.45,6.35,4.41,7.13,13.41,11.18,10.16,11.53,9.66,10.93,10.08
..REGION III (CENTRAL LUZON),Urea,2.48,3.22,2.4,3.78,7.28,6.54,5.9,6.34,6.27,5.85,5.51
..REGION III (CENTRAL LUZON),Ammosul,0.89,0.49,0.36,0.45,1.02,0.21,0.23,0.29,0.25,0.39,0.7
..REGION III (CENTRAL LUZON),Ammophos,0.21,0.1,0.12,0.17,0.47,0.23,0.06,0.35,0.22,0.53,0.47
..REGION III (CENTRAL LUZON),Complete,1.87,2.45,1.52,2.73,4.61,4.18,3.8,3.89,2.91,4.17,3.36
..REGION III (CENTRAL LUZON),Others,,0.1,,,0.03,0.03,0.18,0.65,0.02,,0.04
..REGION IV-A (CALABARZON),Area Applied,31858.0,31454.0,33906.0,37878.03,26920.5,37351.29,96845.64,118473.57,22669.79,17166.81,19070.07
