"Geolocation","Commodity","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2013 Annual"
"..National Capital Region (NCR)","Coffee Arabica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Arabica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Excelsa, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Excelsa, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Excelsa, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Liberica, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Liberica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Liberica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Robusta, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Robusta, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Coffee Robusta, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Copra Corriente",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Copra Resecada",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Copra, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Cotton (Seed cotton)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Maguey",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Pili Nut, with hull",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Pili Nut, with shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Pili Nut, without shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Pi˝a/Pineapple, Fiber",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Ramie",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Rubber Coagulated",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Rubber Cuplump",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Soybeans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Sugarcane Centrifugal, sugar",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Sugarcane for Chewing",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Sugarcane for milling",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Sugarcane Muscovado, sugar",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Tiger Grass",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Tobacco Burley, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Tobacco Burley, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Tobacco Native, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Tobacco Native, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Tobacco Virginia, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"..National Capital Region (NCR)","Tobacco Virginia, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Abaca",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","African Palm Oil",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cacao, dry beans [Cocoa beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cashew Nut w/o apple, with shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cashew Nut, without shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Castor beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Coconut green, young 'buko'",8.64,8.68,8.51,9.23,8.71,9.14,8.96,8.79,8.70,8.03,7.97,8.04,8.62
"..Cordillera Administrative Region (CAR)","Coconut matured",9.07,9.10,7.66,8.51,8.19,8.04,7.70,7.80,7.78,7.63,7.57,7.30,8.03
"..Cordillera Administrative Region (CAR)","Coffee Arabica, green coffee beans",98.10,112.60,106.68,145.21,145.22,145.77,..,..,..,..,143.07,146.70,130.42
"..Cordillera Administrative Region (CAR)","Coffee Arabica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Coffee Arabica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Coffee Excelsa, green coffee beans",..,60.65,..,..,..,..,..,..,..,..,..,..,60.65
"..Cordillera Administrative Region (CAR)","Coffee Excelsa, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Coffee Excelsa, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Coffee Liberica, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Coffee Liberica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Coffee Liberica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Coffee Robusta, green coffee beans",81.97,76.19,79.07,73.87,..,..,..,..,..,..,..,..,77.78
"..Cordillera Administrative Region (CAR)","Coffee Robusta, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Coffee Robusta, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Copra Corriente",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Copra Resecada",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Copra, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Cotton (Seed cotton)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Maguey",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Pili Nut, with hull",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Pili Nut, with shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Pili Nut, without shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Pi˝a/Pineapple, Fiber",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Ramie",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Rubber Coagulated",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Rubber Cuplump",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Soybeans",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Sugarcane Centrifugal, sugar",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Sugarcane for Chewing",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Sugarcane for milling",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Sugarcane Muscovado, sugar",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Tiger Grass",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Tobacco Burley, dry",..,..,..,..,58.82,..,..,..,..,..,..,..,58.82
"..Cordillera Administrative Region (CAR)","Tobacco Burley, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Tobacco Native, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Tobacco Native, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"..Cordillera Administrative Region (CAR)","Tobacco Virginia, dry",..,..,73.09,66.10,44.57,..,..,..,..,..,..,..,61.25
"..Cordillera Administrative Region (CAR)","Tobacco Virginia, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Abaca",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","African Palm Oil",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cacao, dry beans [Cocoa beans]",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cashew Nut w/o apple, with shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cashew Nut, without shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Castor beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coconut green, young 'buko'",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coconut matured",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Arabica, green coffee beans",50.78,54.52,54.36,..,..,..,..,..,..,..,..,..,53.22
"....Abra","Coffee Arabica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Arabica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Excelsa, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Excelsa, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Excelsa, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Liberica, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Liberica, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Liberica, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Robusta, green coffee beans",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Robusta, dry berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Coffee Robusta, fresh berries",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Copra Corriente",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Copra Resecada",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Copra, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Cotton (Seed cotton)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Maguey",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pili Nut, with hull",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pili Nut, with shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pili Nut, without shell",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Pi˝a/Pineapple, Fiber",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Ramie",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Rubber Coagulated",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Rubber Cuplump",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Soybeans",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Sugarcane Centrifugal, sugar",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Sugarcane for Chewing",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Sugarcane for milling",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Sugarcane Muscovado, sugar",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Tiger Grass",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Tobacco Burley, dry",..,..,..,..,58.82,..,..,..,..,..,..,..,58.82
"....Abra","Tobacco Burley, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Tobacco Native, dry",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Tobacco Native, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Abra","Tobacco Virginia, dry",..,..,73.09,66.10,44.57,..,..,..,..,..,..,..,61.25
"....Abra","Tobacco Virginia, fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Abaca",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","African Palm Oil",..,..,..,..,..,..,..,..,..,..,..,..,..
