Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022
..National Capital Region (NCR),63023,69231,73480,79384,88900,99596,107169,114920,126263,129423,135565,148989,159966,170950,177128,185255,196454,210168,228147,244668,225603,231661,265508
..Cordillera Administrative Region (CAR),42309,44806,47202,49670,55102,59285,62873,66182,73292,72790,74706,79261,87211,93562,98292,103872,110175,115653,124841,131679,123349,137779,155005
..Region I (Ilocos Region),32282,34614,37094,39124,41962,48284,53213,56385,62591,62564,64384,68680,74135,80837,86005,91268,97894,103761,114290,121262,113150,122287,134480
..Region II (Cagayan Valley),24647,26444,28044,28991,32941,35223,38759,40775,46385,47158,50140,55260,59651,62649,66044,69350,73424,78936,87647,94126,88128,100780,113758
..Region III (Central Luzon),42566,44957,47272,49382,54153,58470,63133,66459,75379,76183,81923,88438,94989,100843,110879,118601,129296,139842,151004,160106,149709,155646,176293
..Region IV-A (CALABARZON),48298,52357,54853,56909,61874,66038,70728,73329,80444,82027,87320,94214,101772,105230,111646,117418,123526,131837,142974,151565,139881,149639,167130
..MIMAROPA Region,25077,27395,28997,32717,34796,38073,41740,43870,50212,51318,52742,58639,64535,69407,74496,79184,84739,90822,101036,106393,100642,110131,124921
..Region V (Bicol Region),22843,25004,26870,28892,32947,36532,39087,41342,45855,48166,50954,56276,59777,64367,67757,72748,77234,84357,93461,99509,93760,105006,114451
..Region VI (Western Visayas),22719,24322,26055,28330,31765,34953,37656,40188,46428,49936,51898,56870,61593,66859,72787,78854,84768,91196,100662,106977,99951,111103,131495
..Region VII (Central Visayas),25345,27267,29233,31565,35538,39129,42373,45228,50415,49705,54188,59440,65044,70715,78230,83359,90087,96360,106346,112211,103864,113054,128718
..Region VIII (Eastern Visayas),23657,25694,27630,30642,33574,36125,38630,41699,45479,45177,45558,49869,52882,55648,60458,63836,70234,75921,83419,88395,82356,92468,102690
..Region IX (Zamboanga Peninsula),18739,20424,21870,23546,25592,28435,30467,33636,38108,38435,40782,45369,48172,51191,57374,60524,65181,69000,76601,81779,76409,82912,96456
..Region X (Northern Mindanao),23833,26004,27872,30169,33284,35684,38635,42595,48924,51506,54728,60697,66081,70487,75907,78103,82128,86949,94351,100097,93760,103098,116906
..Region XI (Davao Region),26614,29255,31097,33747,39035,42975,44344,47214,51454,54336,57155,62405,66267,69578,76007,81963,90406,98495,109264,114796,106688,114690,129281
..Region XII (SOCCSKSARGEN),24727,26991,28839,31241,34680,36608,40127,43838,49509,51652,53631,57132,61823,65816,69946,71589,76850,80830,88756,93776,87898,97612,107965
..Region XIII (Caraga),24101,26073,28143,30569,33076,35458,37530,39326,42814,43649,47326,52139,55893,58941,63118,66934,70315,74503,81543,85471,81002,92083,102554
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),19909,21849,23740,26292,29385,32330,34357,37929,40791,42272,44624,47045,51053,53489,54063,54622,55622,58251,62688,66551,62832,65426,71433
Philippines,34563,37482,39839,42603,47222,51751,55716,59274,65931,67501,71252,77658,83707,88987,94917,100222,107081,114725,125290,133177,123893,132566,149901
