Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022
..National Capital Region (NCR),1237450701,1349240704,1435447457,1545711905,1743576537,1954778997,2176864045,2399583921,2655351616,2754035852,3053160348,3237138656,3553088571,3890702252,4215201150,4532443704,4928222539,5327124065,5814440130,6294194685,5800819179,6157504618,6888962938,2416391870,2483504980,2507171644,2624052475,2841837836,2988546218,3157102605,3372129301,3524902698,3522558104,3745124533,3833040760,4072189800,4339858704,4576914911,4865073608,5216091453,5507681038,5814440130,6224134457,5599931197,5845619151,6265608932
..Cordillera Administrative Region (CAR),90446009,95301368,104838201,113075065,126064714,133005766,145857673,153956921,165532965,172017163,189766817,200486679,201836502,219989238,237096008,243673958,255584787,280805810,308267122,322106088,295502542,323883881,365945436,143658283,149394641,156294714,164434850,173236667,176315299,182923099,196165501,203317240,207767713,220343710,221420475,221950621,236871362,248982342,259526063,266691916,291775205,308267122,321722276,288876582,310765858,337664054
..Region I (Ilocos Region),128944988,137048662,147243617,157948520,178137944,198599341,218353822,235792743,265782293,278946712,312628376,334384268,356651167,393993447,430678687,449373363,490900560,527801491,587597251,630300658,597917300,644125310,729474685,240124758,245289940,252727880,264116263,277856799,290757292,307818091,326055249,335759337,335356395,364366356,378621382,398616600,432692177,461217885,486062080,525389666,554680762,587597251,630362667,581877977,608618834,654866006
..Region II (Cagayan Valley),85937981,93104321,96648982,99116555,117674721,121542578,139253836,154237291,174606287,184247388,192880304,213085202,234724620,268304482,304061090,303113509,323458416,358686602,385061271,399370781,367331248,400003438,455743088,158218411,163979540,166495687,170783478,186059551,182540224,200542676,213644370,218872182,223636839,232748963,247587301,264876624,288512422,312814849,325728274,341540501,368250759,385061271,411513567,371102979,389954561,421171436
..Region III (Central Luzon),368786804,406500228,452337803,494424474,548718978,610192972,668848239,721803908,832147448,854442889,979287700,1096258667,1206580595,1306617621,1461916690,1511232438,1640708336,1860323671,2062393875,2184815143,1864111182,2062335867,2367265679,707245644,749289527,791683392,826169061,852296755,885593565,927301530,981902705,1032623864,1039474095,1143777786,1233431610,1336963348,1417025690,1526621058,1619134911,1747565400,1929193858,2062393875,2183779631,1881277315,2021186175,2185061752
..Region IV-A (CALABARZON),601691426,671228264,713061159,788436127,881529587,987614867,1093698856,1194749373,1286125893,1283795207,1486403920,1582459854,1721867470,1847878662,2006907506,2076801161,2206254090,2423069480,2706994745,2865792547,2565120461,2785990792,3140807481,1050505077,1068135114,1120500727,1179350176,1244396888,1310160075,1369674210,1446188225,1497994676,1486472826,1638482343,1676719329,1809708699,1942476533,2054936917,2196313576,2346818115,2527658901,2706994745,2831599919,2534444265,2728935837,2942981189
..MIMAROPA Region,66182382,71908260,83490454,95423489,103521732,121806090,131197013,148513117,174989809,184665344,191713018,212158911,231318002,242953220,276139956,274605684,287300274,321948705,370744808,375589553,342643478,382709950,453006892,124948855,129576632,148590811,163145111,169206374,184832219,191998208,210149963,220607038,230687037,232547423,241561347,254595082,265363628,292033215,305952533,321170118,341505717,370744808,386783632,357780630,369725008,392960370
..Region V (Bicol Region),96854451,105014935,113543367,120066693,135875452,148022711,158101543,178100846,203567999,223520298,246110918,266892594,298247874,332295863,366663555,395256951,431762419,465966050,522014835,560835429,516847516,564637176,645753789,176358450,181995859,189219301,199696474,210676947,222207767,229731835,246621525,259226365,277463581,293875751,304077556,334658891,368570786,390488251,431896619,462821105,488370132,522014835,564941774,517770299,540189747,583716744
..Region VI (Western Visayas),180855163,190527313,206272535,220844486,244363281,270572999,299925476,329317934,375511999,407178512,433178888,477427428,527279962,566792962,615916323,667996261,720566797,791281769,860107768,919163055,850797186,937010126,1133925246,323742052,331474894,340556420,360566385,388102456,407685036,430039527,458869067,480892689,507844955,531457374,564705465,605376449,631660677,665091892,715495909,758042789,820773095,860107768,913909365,825369599,874086695,955016701
..Region VII (Central Visayas),201368028,221348981,236861695,251698543,286487926,321657954,354599746,394422136,442118144,465442221,539482115,592227842,674544563,746139449,829547258,889023020,977480106,1067272679,1180945761,1270612311,1170115820,1237764942,1406272534,382350583,398961448,406689373,424323970,453194307,485139298,507783275,549142789,577396656,594859094,666353769,713605729,779760030,841425750,903755199,958557189,1029641257,1102761503,1180945761,1254113393,1134912345,1195978557,1287323136
..Region VIII (Eastern Visayas),103764213,111662287,118558368,126148913,147430426,164052811,183249360,187305762,225450370,241850136,254164654,272677861,265041353,292195740,305697115,324929357,376587299,397386688,444384029,455533643,414265871,450146977,512903347,197055277,201720341,207527497,219236477,231739076,245209038,261794426,270150926,283219881,294361211,311990058,320330763,312295545,331113701,331605886,352680877,402993768,415257479,444384029,469292504,434767718,461066832,492339714
..Region IX (Zamboanga Peninsula),71512156,76332913,81220537,86783931,96967352,110091946,124161636,140783508,162968224,178223978,195081265,210255381,236734323,253224354,276633110,300939935,322282583,344667607,379428020,399109397,394821669,428106861,490297996,153478479,156632083,161152567,168261350,175819789,188931320,196123519,211043562,217350412,232017626,239770872,240130505,267034112,281049615,301747243,329285978,346005979,356798449,379428020,396878798,376299326,397862811,427776518
..Region X (Northern Mindanao),122602899,136862102,158949261,177471012,204146137,224201372,248747368,278501999,322020334,346382742,394980142,436363852,472652726,509881162,569991317,609017243,679435851,737898187,821122015,885223985,860415357,948892065,1070688541,254909002,272386379,299873812,319682061,346219338,364973391,389672303,418466127,441550494,456214263,484523975,513466854,551141548,583766826,633651974,670356960,723308958,766435831,821122015,867432424,821433093,872805112,935299921
..Region XI (Davao Region),152937206,162157754,177461785,194422080,221493390,240651281,260394849,289561841,328336322,358638649,403461237,437559437,454315711,495294298,555456044,602911849,674076172,748538551,841429225,922613763,890607548,967140487,1095713673,286212024,293475895,309524303,331450707,352703211,367442175,384620255,408318046,424207244,445109409,474508281,493082130,528097604,560762183,611602549,660489974,721550629,785051181,841429225,900885668,833225496,882189256,954074121
..Region XII (SOCCSKSARGEN),90192440,95184436,109032491,120147954,139197728,146556546,162095898,185204666,211332780,220826218,252178036,277035863,291093120,324370805,352653227,354753546,381711706,420127877,454304549,474892618,467334771,503888631,564216855,175244994,176820019,194583624,206949168,218756257,223108764,237237885,252449432,264630696,269570793,278784645,292232263,315391176,343680815,364657867,377171442,394076962,424972061,454304549,469982193,449247792,472510818,503643512
..Region XIII (Caraga),52357709,56225051,62421224,68343455,77441587,84420023,95817471,111530938,119394512,125030284,143337552,156504793,180393968,194874139,223865240,235177755,251476878,273088164,290561794,302930146,292574562,331856215,376765344,96921630,101609542,107557223,112632685,119223129,124555442,132729349,141280994,145216552,148064425,163468004,174932167,193102956,211269822,230076396,245363390,260522888,276299208,290561794,306260878,285001928,305704709,323858830
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),45671649,44751362,53170834,57745738,71276682,79514046,89250281,94877985,104963626,111177863,131635468,141744037,154218301,165084288,178403975,172907713,184572658,210663685,235393060,254779370,260347879,284617149,326771477,98017851,94136902,105745055,110826733,119752524,126327483,133711481,140661469,143109506,148174653,161737153,166414758,170707107,178542938,189848311,191818068,198444393,218512906,235393060,249157465,244524738,262884259,280267304
Philippines,3697556205,4024398940,4350559772,4717808940,5323904177,5917282301,6550417113,7198244888,8050200621,8390421456,9399450758,10144661327,11060588831,12050591984,13206828252,13944157448,15132381470,16556651083,18265190258,19517863172,17951573570,19410614486,22024515001,6985383240,7198383735,7465894031,7845677426,8361077904,8774324608,9240804277,9843239249,10270877529,10419633017,11183860997,11615360393,12416466190,13254643627,14096046745,14990907450,16062675895,17175978086,18265190258,19382750611,17537843279,18540084220,19943630239
