Major Industries,At Current Prices 1946,At Current Prices 1947,At Current Prices 1948,At Current Prices 1949,At Current Prices 1950,At Current Prices 1951,At Current Prices 1952,At Current Prices 1953,At Current Prices 1954,At Current Prices 1955,At Current Prices 1956,At Current Prices 1957,At Current Prices 1958,At Current Prices 1959,At Current Prices 1960,At Current Prices 1961,At Current Prices 1962,At Current Prices 1963,At Current Prices 1964,At Current Prices 1965,At Current Prices 1966,At Current Prices 1967,At Current Prices 1968,At Current Prices 1969,At Current Prices 1970,At Current Prices 1971,At Current Prices 1972,At Current Prices 1973,At Current Prices 1974,At Current Prices 1975,At Current Prices 1976,At Current Prices 1977,At Current Prices 1978,At Current Prices 1979,At Current Prices 1980,At Current Prices 1981,At Current Prices 1982,At Current Prices 1983,At Current Prices 1984,At Current Prices 1985,At Current Prices 1986,At Current Prices 1987,At Current Prices 1988,At Current Prices 1989,At Current Prices 1990,At Current Prices 1991,At Current Prices 1992,At Current Prices 1993,At Current Prices 1994,At Current Prices 1995,At Current Prices 1996,At Current Prices 1997,At Current Prices 1998,At Current Prices 1999,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023
"..Agriculture, Forestry and Fishing",1674,2157,2098,2301,2384,2534,2471,2534,2646,2837,2914,3065,3162,3449,3590,3903,4397,5254,5531,6183,6799,7360,8797,10001,11764,14572,15868,20972,29272,32956,37372,41869,47271,55694,60979,69771,73613,81924,129385,140481,145703,163847,183061,209483,235260,260949,294544,318111,372231,411922,446973,456195,449216,508644,515480,535358,585081,620437,744516,799871,875218,979430,1168573,1219985,1292318,1429965,1448473,1503122,1620700,1533369,1544279,1685956,1762616,1721539,1828424,1954487,2104090,2285159
..Industry,1338,1862,2247,2155,2275,2664,2870,3173,3153,3299,3765,4237,4557,5000,5242,5808,6440,7642,8120,8776,9612,10515,11450,12551,15811,19378,22512,29215,40598,47512,57737,67231,77415,95360,118200,137933,153910,180835,249543,252650,265397,296684,354158,407441,468666,535903,562006,610699,698922,776270,884933,989004,1062619,1123139,1293231,1404419,1513274,1629558,1789827,2000851,2191939,2375483,2637671,2644874,3039741,3179203,3472969,3708624,4100383,4250451,4582981,4987948,5582525,5919281,5098232,5607689,6436935,6853152
..Services,2002,2224,2462,2678,2888,3205,3452,3619,3856,4156,4567,4971,5251,5699,6312,6795,7634,8631,9628,10519,11626,12251,13420,14778,17056,19916,22145,26919,36074,41842,49092,55859,65073,79261,97603,112228,132916,156848,217720,257409,281753,316752,373060,437604,523956,626106,684975,753611,861508,988392,1149398,1328176,1534387,1715804,1888846,2084622,2252204,2467815,2789561,3116560,3483261,3843332,4243956,4525562,5067392,5535494,6139147,6838847,7485746,8160337,9005122,9882747,10920048,11877043,11024918,11848438,13487251,15180301
Gross Domestic Product,5015,6243,6807,7134,7547,8403,8793,9326,9655,10291,11246,12274,12970,14147,15145,16506,18470,21527,23279,25477,28037,30127,33668,37330,44632,53866,60526,77106,105944,122310,144200,164958,189758,230315,276782,319931,360439,419607,596648,650540,692852,777283,910280,1054529,1227882,1422958,1541524,1682421,1932662,2176584,2481304,2773375,3046222,3347587,3697556,4024399,4350560,4717809,5323904,5917282,6550417,7198245,8050201,8390421,9399451,10144661,11060589,12050592,13206828,13944157,15132381,16556651,18265190,19517863,17951574,19410614,22028276,24318611
