Industry,At Current Prices 1981 Q1,At Current Prices 1981 Q2,At Current Prices 1981 Q3,At Current Prices 1981 Q4,At Current Prices 1982 Q1,At Current Prices 1982 Q2,At Current Prices 1982 Q3,At Current Prices 1982 Q4,At Current Prices 1983 Q1,At Current Prices 1983 Q2,At Current Prices 1983 Q3,At Current Prices 1983 Q4,At Current Prices 1984 Q1,At Current Prices 1984 Q2,At Current Prices 1984 Q3,At Current Prices 1984 Q4,At Current Prices 1985 Q1,At Current Prices 1985 Q2,At Current Prices 1985 Q3,At Current Prices 1985 Q4,At Current Prices 1986 Q1,At Current Prices 1986 Q2,At Current Prices 1986 Q3,At Current Prices 1986 Q4,At Current Prices 1987 Q1,At Current Prices 1987 Q2,At Current Prices 1987 Q3,At Current Prices 1987 Q4,At Current Prices 1988 Q1,At Current Prices 1988 Q2,At Current Prices 1988 Q3,At Current Prices 1988 Q4,At Current Prices 1989 Q1,At Current Prices 1989 Q2,At Current Prices 1989 Q3,At Current Prices 1989 Q4,At Current Prices 1990 Q1,At Current Prices 1990 Q2,At Current Prices 1990 Q3,At Current Prices 1990 Q4,At Current Prices 1991 Q1,At Current Prices 1991 Q2,At Current Prices 1991 Q3,At Current Prices 1991 Q4,At Current Prices 1992 Q1,At Current Prices 1992 Q2,At Current Prices 1992 Q3,At Current Prices 1992 Q4,At Current Prices 1993 Q1,At Current Prices 1993 Q2,At Current Prices 1993 Q3,At Current Prices 1993 Q4,At Current Prices 1994 Q1,At Current Prices 1994 Q2,At Current Prices 1994 Q3,At Current Prices 1994 Q4,At Current Prices 1995 Q1,At Current Prices 1995 Q2,At Current Prices 1995 Q3,At Current Prices 1995 Q4,At Current Prices 1996 Q1,At Current Prices 1996 Q2,At Current Prices 1996 Q3,At Current Prices 1996 Q4,At Current Prices 1997 Q1,At Current Prices 1997 Q2,At Current Prices 1997 Q3,At Current Prices 1997 Q4,At Current Prices 1998 Q1,At Current Prices 1998 Q2,At Current Prices 1998 Q3,At Current Prices 1998 Q4,At Current Prices 1999 Q1,At Current Prices 1999 Q2,At Current Prices 1999 Q3,At Current Prices 1999 Q4,At Current Prices 2000 Q1,At Current Prices 2000 Q2,At Current Prices 2000 Q3,At Current Prices 2000 Q4,At Current Prices 2001 Q1,At Current Prices 2001 Q2,At Current Prices 2001 Q3,At Current Prices 2001 Q4,At Current Prices 2002 Q1,At Current Prices 2002 Q2,At Current Prices 2002 Q3,At Current Prices 2002 Q4,At Current Prices 2003 Q1,At Current Prices 2003 Q2,At Current Prices 2003 Q3,At Current Prices 2003 Q4,At Current Prices 2004 Q1,At Current Prices 2004 Q2,At Current Prices 2004 Q3,At Current Prices 2004 Q4,At Current Prices 2005 Q1,At Current Prices 2005 Q2,At Current Prices 2005 Q3,At Current Prices 2005 Q4,At Current Prices 2006 Q1,At Current Prices 2006 Q2,At Current Prices 2006 Q3,At Current Prices 2006 Q4,At Current Prices 2007 Q1,At Current Prices 2007 Q2,At Current Prices 2007 Q3,At Current Prices 2007 Q4,At Current Prices 2008 Q1,At Current Prices 2008 Q2,At Current Prices 2008 Q3,At Current Prices 2008 Q4,At Current Prices 2009 Q1,At Current Prices 2009 Q2,At Current Prices 2009 Q3,At Current Prices 2009 Q4,At Current Prices 2010 Q1,At Current Prices 2010 Q2,At Current Prices 2010 Q3,At Current Prices 2010 Q4,At Current Prices 2011 Q1,At Current Prices 2011 Q2,At Current Prices 2011 Q3,At Current Prices 2011 Q4,At Current Prices 2012 Q1,At Current Prices 2012 Q2,At Current Prices 2012 Q3,At Current Prices 2012 Q4,At Current Prices 2013 Q1,At Current Prices 2013 Q2,At Current Prices 2013 Q3,At Current Prices 2013 Q4,At Current Prices 2014 Q1,At Current Prices 2014 Q2,At Current Prices 2014 Q3,At Current Prices 2014 Q4,At Current Prices 2015 Q1,At Current Prices 2015 Q2,At Current Prices 2015 Q3,At Current Prices 2015 Q4,At Current Prices 2016 Q1,At Current Prices 2016 Q2,At Current Prices 2016 Q3,At Current Prices 2016 Q4,At Current Prices 2017 Q1,At Current Prices 2017 Q2,At Current Prices 2017 Q3,At Current Prices 2017 Q4,At Current Prices 2018 Q1,At Current Prices 2018 Q2,At Current Prices 2018 Q3,At Current Prices 2018 Q4,At Current Prices 2019 Q1,At Current Prices 2019 Q2,At Current Prices 2019 Q3,At Current Prices 2019 Q4,At Current Prices 2020 Q1,At Current Prices 2020 Q2,At Current Prices 2020 Q3,At Current Prices 2020 Q4,At Current Prices 2021 Q1,At Current Prices 2021 Q2,At Current Prices 2021 Q3,At Current Prices 2021 Q4,At Current Prices 2022 Q1,At Current Prices 2022 Q2,At Current Prices 2022 Q3,At Current Prices 2022 Q4,At Current Prices 2023 Q1,At Current Prices 2023 Q2,At Current Prices 2023 Q3,At Current Prices 2023 Q4
"..Agriculture, forestry, and fishing",16998.8,18254.8,13936.4,20580.7,17082.7,19316.5,13821.7,23391.8,20093.5,21482.7,16253.6,24094.1,30102.9,34559.4,26756.9,37965.8,34711.8,37759.0,26547.9,41462.0,35618.7,39322.2,27834.7,42927.0,39782.8,42938.7,32527.7,48597.8,42356.2,48545.2,39183.9,52976.1,48914.0,51913.1,48903.4,59752.8,57509.0,56557.5,53027.8,68165.9,63482.2,62316.1,55754.1,79396.1,72138.6,67859.7,61128.0,93417.7,79063.6,71961.1,62458.1,104628.6,91738.8,87405.3,79050.2,114037.0,97631.4,91833.8,95039.6,127416.9,111239.9,106899.1,103514.7,125319.5,113363.8,106215.2,99570.3,137046.0,112724.5,103829.1,100814.7,131848.1,129091.1,117599.4,113313.6,148640.2,125530.2,124887.5,113497.5,151564.7,122880.6,125987.5,121929.4,164560.6,139121.7,133602.0,131605.2,180752.5,148870.5,140507.6,139398.9,191659.6,175281.0,171867.2,175144.1,222223.9,188460.1,180793.2,186337.0,244281.1,210596.4,202886.6,203640.3,258094.3,225815.3,225863.8,225946.3,301804.3,267036.3,293394.2,274774.3,333368.4,296534.9,287441.7,273942.3,362066.3,312501.2,292304.1,293158.5,394354.0,353982.1,340422.5,321381.7,414178.3,347054.9,337675.2,334959.8,428783.4,355840.1,338539.2,344721.8,464020.4,393886.9,374265.3,357220.7,495327.0,380057.7,350398.4,339552.1,463360.9,367694.2,348622.8,359115.2,468846.3,399693.9,391556.8,381799.4,512906.0,429665.7,406440.8,396871.1,529638.9,420920.0,395738.8,391370.6,513509.3,442374.6,423957.9,410313.2,551778.0,486938.0,453832.3,433483.8,580232.6,499972.7,480440.7,484834.0,638842.5,566966.6,503276.0,511362.3,703554.3
..Industry,32585.5,34045.8,33733.3,37568.0,36380.6,38762.7,37300.3,41466.6,40932.3,46252.5,42266.0,51384.2,58060.1,63015.2,59889.2,68578.9,61872.1,64975.9,60569.6,65232.9,62870.0,67731.0,66832.2,67963.5,64402.0,72609.8,80640.2,79031.8,79632.8,83005.2,87758.2,103762.0,87853.0,93844.0,99061.6,126682.2,105514.8,108161.0,114680.6,140309.1,120413.9,126633.9,135561.7,153293.5,134230.9,133105.9,142964.2,151704.7,136651.9,143557.4,160783.7,169705.7,158297.3,164731.7,179284.1,196609.5,175902.3,183451.5,199573.5,217342.6,203143.9,209748.5,228036.0,244004.5,222510.3,234498.4,254107.9,277887.5,250858.7,256837.1,270663.5,284259.4,253359.7,269392.0,291679.3,308708.2,300292.0,309328.3,335168.6,348441.8,331235.3,344365.0,360535.0,368283.9,354214.1,379154.9,374921.7,404983.4,390009.6,394203.8,406600.0,438744.4,425101.9,433020.4,434185.2,497519.7,461941.3,489655.5,489238.4,560015.5,504968.3,535150.3,539872.5,611947.8,558338.7,592799.3,572735.4,651609.4,580476.0,646197.2,670920.6,740077.6,592715.9,642507.1,635073.5,774577.7,706382.1,771272.9,708172.0,853913.6,777912.0,789832.9,720849.8,890608.5,838650.5,851319.9,788776.6,994221.9,915358.2,910317.8,830454.0,1052493.5,975512.3,1011588.2,926096.0,1187186.2,1016199.9,1060893.6,930320.8,1243037.0,1073677.0,1132468.6,1027087.6,1349747.4,1156906.5,1234692.5,1139951.3,1456397.6,1275597.5,1381005.3,1283471.4,1642451.0,1371767.5,1441554.3,1342483.7,1763476.0,1317902.4,1146187.2,1053048.8,1581093.7,1241934.5,1432404.7,1171903.2,1761447.0,1483136.3,1651766.0,1339328.4,1962704.8,1654567.3,1731897.1,1432359.0,2034328.2
..Services,26727.3,27950.3,28039.4,29510.6,31392.8,32222.4,33507.0,35794.2,36116.2,37710.9,38831.1,44189.9,46166.1,51774.1,55447.5,64331.9,60380.1,63987.3,61363.0,71678.7,63802.6,69175.0,68974.1,79801.4,71060.9,77341.7,77538.5,90811.2,83068.4,91359.4,91451.7,107180.9,95775.7,105347.1,107913.6,128568.0,116119.5,125982.7,128035.0,153818.8,141386.8,152483.1,153475.7,178760.6,156430.0,167235.2,166360.0,194949.4,172065.2,182208.7,184289.7,215047.1,196041.3,209909.5,211453.0,244104.7,221559.4,238831.2,243167.6,284834.1,258828.3,279650.8,282898.2,328020.3,300750.9,324468.1,324455.3,378501.4,342396.1,377394.3,376673.8,437922.8,384953.8,423844.9,420529.6,486475.4,424573.4,470516.4,464977.8,528778.0,471819.7,519858.0,514301.6,578642.3,513243.4,561235.4,553169.9,624555.7,552452.6,612671.7,606554.5,696135.7,623255.8,701307.2,690528.1,774469.6,704079.7,786345.2,767878.9,858256.4,781234.6,888399.9,845284.5,968341.7,867645.2,964352.3,938042.2,1073292.6,948186.5,1080586.1,1052754.2,1162429.3,1010348.9,1145331.8,1127203.4,1242678.0,1132730.7,1289269.6,1268437.3,1376954.8,1219315.1,1414584.7,1386825.9,1514767.7,1353837.0,1564031.8,1549184.7,1672093.1,1501523.1,1745127.5,1739327.6,1852868.7,1666515.7,1910870.7,1891099.3,2017259.9,1808019.5,2082607.8,2060709.7,2209000.0,1996278.5,2310053.8,2258776.2,2440013.9,2188932.7,2527704.9,2496171.0,2669938.5,2395874.7,2781345.7,2769870.3,2972957.8,2633389.6,3028680.0,2992038.1,3222935.2,2688863.6,2568227.8,2741745.5,3026081.0,2645199.5,2881751.9,2998708.3,3322778.7,2945688.7,3265897.2,3425783.5,3849881.5,3394231.4,3654326.7,3819512.3,4312230.2
Gross Domestic Product,76311.7,80250.9,75709.0,87659.3,84856.1,90301.6,84629.0,100652.6,97142.0,105446.1,97350.7,119668.2,134329.1,149348.7,142093.6,170876.6,156964.0,166722.2,148480.5,178373.5,162291.3,176228.2,163641.0,190691.9,175245.6,192890.2,190706.4,218440.9,205057.4,222909.8,218393.8,263919.0,232542.7,251104.2,255878.7,315003.0,279143.3,290701.2,295743.5,362293.8,325282.9,341433.0,344791.5,411450.1,362799.5,368200.8,370452.1,440071.8,387780.7,397727.2,407531.5,489381.4,446077.4,462046.5,469787.3,554751.2,495093.1,514116.4,537780.7,629593.6,573212.1,596298.3,614448.9,697344.3,636625.0,665181.8,678133.5,793434.9,705979.3,738060.5,748152.0,854030.3,767404.6,810836.3,825522.5,943823.7,850395.6,904732.2,913643.9,1028784.5,925935.6,990210.5,996766.0,1111486.8,1006579.2,1073992.3,1059696.7,1210291.5,1091332.6,1147383.2,1152553.4,1326539.8,1223638.6,1306194.9,1299857.4,1494213.2,1354481.0,1456793.9,1443454.3,1662553.1,1496799.4,1626436.7,1588797.2,1838383.7,1651799.3,1783015.4,1736723.9,2026706.3,1795698.8,2020177.4,1998449.1,2235875.3,1899599.7,2075280.6,2036219.2,2379321.9,2151614.0,2352846.6,2269767.8,2625222.4,2351209.2,2544840.2,2429057.4,2819554.5,2539542.4,2753026.9,2672921.2,3095098.4,2772721.4,2993984.5,2914503.5,3369382.6,3035915.0,3296724.1,3174416.0,3699773.2,3204277.0,3493899.8,3330582.6,3915397.9,3437649.7,3791145.3,3644978.9,4258607.6,3745533.0,4153954.1,4017921.8,4639242.1,4101138.0,4568791.8,4450212.8,5145047.6,4426077.1,4865973.1,4725892.4,5499920.5,4449140.5,4138372.8,4205107.5,5158952.7,4374072.0,4767988.8,4604095.3,5664458.4,4928797.7,5398103.9,5249945.8,6451428.9,5615765.3,5889499.8,5763233.6,7050112.7
