Period,Inflation Rate
1987,3.04
1988,12.23
1989,11.37
1990,13.2
1991,19.35
1992,8.58
1993,6.76
1994,12.49
1995,6.91
1996,8.29
1997,5.6
1998,9.37
1999,6.2
2000,6.55
2001,5.4
2002,2.76
2003,2.22
2004,4.8
2005,6.64
2006,5.45
2007,2.91
2008,8.21
2009,4.24
2010,3.74
2011,4.75
2012,3.16
2013,2.59
2014,3.59
2015,0.69
2016,1.23
2017,2.85
2018,5.31
2019,2.39
2020,2.39
2021,3.93
2022,5.82
2023,5.98
