Geolocation,Commodity,Period,Stocks,Volume,Area Harvested,Self-Sufficiency Ratio,Import-Dependency Ratio,SU Gross Supply,UT Consumable,Farmgate Price,Wholesale Price,Retail Price,CPI All Income,CPI Bottom 30,Net Returns,Inflation Rate,NCR RPI
region viii (eastern visayas),Rice,2012,2227.093846153846,994972.0,285394.0,91.9,8.1,15465,11473,14.633333333333333,33.90083333333333,34.946666666666665,79.8722044725,80.97165991916667,21118.0,3.16,100.00000000000001
region ix (zamboanga peninsula),Rice,2012,2227.093846153846,618831.0,157888.0,91.9,8.1,15465,11473,16.475,35.346666666666664,35.035000000000004,80.97165992,81.49959250166667,28556.0,3.16,100.00000000000001
region x (northern mindanao),Rice,2012,2227.093846153846,637348.0,154712.0,91.9,8.1,15465,11473,16.43,34.1125,35.45083333333334,85.76329331000001,86.35578583833335,27766.0,3.16,100.00000000000001
region xi (davao region),Rice,2012,2227.093846153846,448703.0,103993.0,91.9,8.1,15465,11473,16.131666666666664,34.21,37.227500000000006,85.39709649833334,92.59259259333334,18695.0,3.16,100.00000000000001
region xii (soccsksargen),Rice,2012,2227.093846153846,1270901.0,345985.0,91.9,8.1,15465,11473,16.7225,31.944166666666664,33.50083333333333,83.54218880500001,84.388185655,18625.0,3.16,100.00000000000001
region xiii (caraga),Rice,2012,2227.093846153846,469205.0,155041.0,91.9,8.1,15465,11473,15.108333333333334,33.535833333333336,36.97,80.77544426416667,83.963056255,10039.0,3.16,100.00000000000001
bangsamoro autonomous region in muslim mindanao (barmm),Rice,2012,2227.093846153846,542760.0,202801.0,91.9,8.1,15465,11473,16.565,34.787499999999994,31.534166666666664,78.24726134583334,78.43137254916665,1874.0,3.16,100.00000000000001
philippines,Corn,2012,320.0123076923076,7407068.35,2593923.59,98.2,1.8,7710,1694,12.555,25.063333333333333,24.6825,83.68200836666666,83.19467554083333,10725.0,3.16,100.00000000000001
cordillera administrative region (car),Corn,2012,320.0123076923076,225135.0,57290.0,98.2,1.8,7710,1694,12.175555555555555,,19.751666666666665,66.71114075916667,70.4721634975,0.0,3.16,100.00000000000001
region i (ilocos region),Corn,2012,320.0123076923076,434720.0,82793.0,98.2,1.8,7710,1694,12.382222222222222,,,67.06908115333333,71.99424046166668,24600.0,3.16,100.00000000000001
region ii (cagayan valley),Corn,2012,320.0123076923076,1875622.97,432464.59,98.2,1.8,7710,1694,12.67909090909091,,20.528333333333336,75.18796992499999,78.30853562916667,18579.0,3.16,100.00000000000001
region iii (central luzon),Corn,2012,320.0123076923076,210574.0,40481.0,98.2,1.8,7710,1694,12.270000000000001,,,81.90008190083334,74.682598955,0.0,3.16,100.00000000000001
region iv-a (calabarzon),Corn,2012,320.0123076923076,58657.0,33080.0,98.2,1.8,7710,1694,14.93888888888889,,38.395,75.35795026249998,80.580177275,9962.0,3.16,100.00000000000001
mimaropa region (mimaropa),Corn,2012,320.0123076923076,87223.2,24496.0,98.2,1.8,7710,1694,12.754166666666668,,41.2925,82.23684210583333,74.46016381166666,22179.0,3.16,100.00000000000001
region v (bicol region),Corn,2012,320.0123076923076,230545.0,112964.0,98.2,1.8,7710,1694,12.481111111111112,25.519166666666667,,84.24599831333332,62.61740763833331,11426.0,3.16,100.00000000000001
region vi (western visayas),Corn,2012,320.0123076923076,330782.0,122569.0,98.2,1.8,7710,1694,13.527499999999998,18.0,,78.74015748000001,83.68200836749999,10817.0,3.16,100.00000000000001
region vii (central visayas),Corn,2012,320.0123076923076,172138.0,206270.0,98.2,1.8,7710,1694,13.456666666666665,25.85666666666667,,87.56567425416667,84.88964346333333,-1775.0,3.16,100.00000000000001
region viii (eastern visayas),Corn,2012,320.0123076923076,87333.18,61699.0,98.2,1.8,7710,1694,,31.54666666666667,,72.15007215000001,72.8862973775,0.0,3.16,100.00000000000001
region ix (zamboanga peninsula),Corn,2012,320.0123076923076,211331.0,134979.0,98.2,1.8,7710,1694,12.464166666666666,24.80666666666667,,90.57971014499999,84.24599831416667,5042.0,3.16,100.00000000000001
region x (northern mindanao),Corn,2012,320.0123076923076,1228754.0,376800.0,98.2,1.8,7710,1694,11.7025,24.46083333333333,12.994166666666665,89.12655971416666,99.10802775083333,14369.0,3.16,100.00000000000001
region xi (davao region),Corn,2012,320.0123076923076,198627.0,146077.0,98.2,1.8,7710,1694,12.382500000000002,23.926666666666666,15.1275,79.365079365,64.89292667166666,2057.0,3.16,100.00000000000001
region xii (soccsksargen),Corn,2012,320.0123076923076,1201331.0,429319.0,98.2,1.8,7710,1694,12.274999999999999,22.897499999999997,,77.22007722083335,83.33333333333334,8067.0,3.16,100.00000000000001
region xiii (caraga),Corn,2012,320.0123076923076,89521.0,33830.0,98.2,1.8,7710,1694,10.862222222222222,25.178333333333338,,89.68609865416666,96.43201542666667,7990.0,3.16,100.00000000000001
bangsamoro autonomous region in muslim mindanao (barmm),Corn,2012,320.0123076923076,764774.0,298812.0,98.2,1.8,7710,1694,11.892500000000004,31.075,,74.46016381249999,83.33333333333333,6091.0,3.16,100.00000000000001
philippines,Rice,2013,2157.0515384615387,18439419.73,4746091.35,96.8,3.2,14981,11354,16.525000000000002,34.49583333333333,34.95250000000001,84.55308742666666,85.29151791333332,16818.0,2.59,101.66666666666669
cordillera administrative region (car),Rice,2013,2157.0515384615387,460170.0,119919.0,96.8,3.2,14981,11354,17.285833333333333,34.11666666666667,36.2275,86.4392383125,86.36689868833332,27717.0,2.59,101.66666666666669
region i (ilocos region),Rice,2013,2157.0515384615387,1750057.0,406813.0,96.8,3.2,14981,11354,18.077499999999997,33.11416666666667,32.509166666666665,81.68162224583334,81.2856255025,13005.0,2.59,101.66666666666669
region ii (cagayan valley),Rice,2013,2157.0515384615387,2423200.33,585294.35,96.8,3.2,14981,11354,17.4075,32.54,33.2125,82.83156615583333,85.7419108525,25775.0,2.59,101.66666666666669
region iii (central luzon),Rice,2013,2157.0515384615387,3409468.0,710817.0,96.8,3.2,14981,11354,18.115,33.666666666666664,32.69416666666667,82.82220134750001,82.65528885166667,18723.0,2.59,101.66666666666669
region iv-a (calabarzon),Rice,2013,2157.0515384615387,411785.0,115518.0,96.8,3.2,14981,11354,14.825833333333334,34.13333333333333,32.7525,84.18771427666667,84.20884207916667,14603.0,2.59,101.66666666666669
mimaropa region (mimaropa),Rice,2013,2157.0515384615387,1033942.0,282956.0,96.8,3.2,14981,11354,16.0475,33.295,33.597500000000004,83.22876131083335,83.40787900916668,18041.0,2.59,101.66666666666669
region v (bicol region),Rice,2013,2157.0515384615387,1243241.4,343199.0,96.8,3.2,14981,11354,14.998333333333333,33.2575,35.03333333333334,84.045999545,87.22398369416668,11172.0,2.59,101.66666666666669
region vi (western visayas),Rice,2013,2157.0515384615387,2090790.0,616273.0,96.8,3.2,14981,11354,15.722499999999998,33.412499999999994,34.30416666666667,84.67535594583333,84.65909046916667,7897.0,2.59,101.66666666666669
region vii (central visayas),Rice,2013,2157.0515384615387,347697.0,106191.0,96.8,3.2,14981,11354,16.925833333333333,35.339166666666664,37.19166666666666,87.4963356275,88.42832271166668,3939.0,2.59,101.66666666666669
region viii (eastern visayas),Rice,2013,2157.0515384615387,989794.0,282153.0,96.8,3.2,14981,11354,15.114166666666668,36.39083333333333,36.77833333333334,83.64546942916667,83.72256267083334,4534.0,2.59,101.66666666666669
region ix (zamboanga peninsula),Rice,2013,2157.0515384615387,639113.0,161721.0,96.8,3.2,14981,11354,17.164166666666663,36.410000000000004,37.62250000000001,83.6897031075,83.93450214166666,24060.0,2.59,101.66666666666669
region x (northern mindanao),Rice,2013,2157.0515384615387,674903.0,158338.0,96.8,3.2,14981,11354,16.764166666666664,36.14083333333333,37.026666666666664,88.20942437833332,89.32090859333334,23533.0,2.59,101.66666666666669
region xi (davao region),Rice,2013,2157.0515384615387,421692.0,103294.0,96.8,3.2,14981,11354,16.454166666666666,36.165833333333325,37.317499999999995,86.84973854666664,94.60130517500001,27730.0,2.59,101.66666666666669
region xii (soccsksargen),Rice,2013,2157.0515384615387,1347646.0,350346.0,96.8,3.2,14981,11354,17.0425,32.034166666666664,34.59,85.5694401325,86.19339170916668,25183.0,2.59,101.66666666666669
region xiii (caraga),Rice,2013,2157.0515384615387,583838.0,176559.0,96.8,3.2,14981,11354,15.600833333333332,36.09166666666666,38.61333333333334,84.14618233750001,86.59250657583333,14229.0,2.59,101.66666666666669
bangsamoro autonomous region in muslim mindanao (barmm),Rice,2013,2157.0515384615387,612083.0,226700.0,96.8,3.2,14981,11354,16.83416666666667,35.51916666666667,32.745000000000005,79.73148338083334,79.85051153916667,11149.0,2.59,101.66666666666669
philippines,Corn,2013,331.1238461538462,7377293.3,2563718.32,95.6,4.4,7880,1881,11.948333333333332,25.81833333333334,24.361666666666668,88.32234065583333,86.16778549166668,14617.0,2.59,101.66666666666669
cordillera administrative region (car),Corn,2013,331.1238461538462,242074.0,61639.0,95.6,4.4,7880,1881,11.85375,,21.881666666666664,68.28836262333334,75.826291355,0.0,2.59,101.66666666666669
region i (ilocos region),Corn,2013,331.1238461538462,447503.0,84106.0,95.6,4.4,7880,1881,12.006363636363636,,,74.18006118416666,75.3454815475,0.0,2.59,101.66666666666669
