"Gross National Income and Gross Domestic Product, by Expenditure Shares, Growth Rates"

"Type of Expenditure","At Current Prices 2000-2001","At Current Prices 2001-2002","At Current Prices 2002-2003","At Current Prices 2003-2004","At Current Prices 2004-2005","At Current Prices 2005-2006","At Current Prices 2006-2007","At Current Prices 2007-2008","At Current Prices 2008-2009","At Current Prices 2009-2010","At Current Prices 2010-2011","At Current Prices 2011-2012","At Current Prices 2012-2013","At Current Prices 2013-2014","At Current Prices 2014-2015","At Current Prices 2015-2016","At Current Prices 2016-2017","At Current Prices 2017-2018","At Current Prices 2018-2019","At Current Prices 2019-2020","At Current Prices 2020-2021","At Current Prices 2021-2022","At Current Prices 2022-2023","At Constant 2018 Prices 2000-2001","At Constant 2018 Prices 2001-2002","At Constant 2018 Prices 2002-2003","At Constant 2018 Prices 2003-2004","At Constant 2018 Prices 2004-2005","At Constant 2018 Prices 2005-2006","At Constant 2018 Prices 2006-2007","At Constant 2018 Prices 2007-2008","At Constant 2018 Prices 2008-2009","At Constant 2018 Prices 2009-2010","At Constant 2018 Prices 2010-2011","At Constant 2018 Prices 2011-2012","At Constant 2018 Prices 2012-2013","At Constant 2018 Prices 2013-2014","At Constant 2018 Prices 2014-2015","At Constant 2018 Prices 2015-2016","At Constant 2018 Prices 2016-2017","At Constant 2018 Prices 2017-2018","At Constant 2018 Prices 2018-2019","At Constant 2018 Prices 2019-2020","At Constant 2018 Prices 2020-2021","At Constant 2018 Prices 2021-2022","At Constant 2018 Prices 2022-2023"
"....Household Final Consumption Expenditure",10.6,8.4,9.0,13.0,11.7,9.7,8.4,13.3,4.2,7.4,10.9,9.7,8.1,8.5,7.4,8.6,8.9,10.9,7.8,-5.7,8.4,14.5,11.3,3.9,5.1,5.4,5.9,4.4,4.2,4.8,3.9,2.5,3.6,5.6,6.8,5.8,5.8,6.4,7.1,6.0,5.8,5.9,-8.0,4.2,8.3,5.6
"....Government Final Consumption Expenditure",5.7,3.4,4.9,3.9,7.8,13.2,11.9,6.8,16.2,10.8,7.9,21.1,9.2,7.0,9.1,12.0,10.0,17.3,10.6,12.6,10.4,9.6,4.6,-1.3,-3.7,4.2,2.1,3.0,12.2,7.1,0.5,11.0,4.2,1.9,15.5,4.9,3.6,7.9,9.4,6.5,13.4,9.1,10.5,7.2,5.1,0.6
"....Gross capital formation",31.5,16.7,3.5,19.8,-0.5,-4.5,10.7,31.5,-4.2,31.4,9.5,2.8,15.0,11.1,7.7,25.2,13.6,17.2,3.9,-39.3,31.1,32.5,4.3,20.5,6.7,-0.4,6.1,-4.3,-10.3,8.3,26.8,-6.0,30.5,-2.5,5.4,18.4,8.3,13.4,20.8,10.9,11.3,3.5,-34.2,20.0,13.7,5.9
"......Gross fixed capital formation",2.9,8.3,10.1,12.3,9.0,14.0,10.8,13.1,1.7,22.8,0.3,14.6,13.6,10.0,12.5,22.0,12.2,17.4,6.4,-27.8,13.1,18.9,11.7,-4.5,3.9,9.6,4.3,-1.0,5.0,11.0,8.4,2.1,19.9,-4.2,12.8,11.8,8.0,13.8,20.9,10.6,12.9,3.9,-27.3,9.8,9.8,8.2
"........Construction",1.0,7.5,10.4,14.3,6.3,16.2,17.1,19.1,7.4,22.4,-2.4,22.1,15.0,12.7,12.5,17.1,9.4,21.4,11.9,-29.1,15.0,20.6,12.7,-5.9,2.5,10.4,3.1,-5.9,5.0,15.0,11.7,3.7,19.2,-8.8,18.3,13.0,9.6,11.8,15.2,8.7,14.9,9.1,-30.1,11.1,12.1,9.1
"........Durable equipment",3.4,9.0,10.6,8.4,10.4,9.4,3.2,8.1,-8.5,33.5,2.4,5.9,16.0,9.3,14.6,34.8,15.7,9.5,-4.9,-35.0,13.5,22.6,12.8,-6.3,8.6,10.8,4.0,10.8,2.7,6.8,8.9,-2.8,32.6,4.6,5.9,14.6,5.8,21.5,38.0,13.8,10.0,-6.7,-29.7,11.9,8.4,8.9
"........Breeding Stocks and Orchard Development",7.8,9.8,9.2,14.9,17.4,20.5,8.5,5.5,0.2,5.3,6.8,1.7,1.4,-6.1,6.6,13.3,15.9,21.7,5.1,0.9,1.3,2.3,3.3,3.5,3.4,5.8,8.8,1.2,8.4,4.9,-2.8,2.6,5.4,0.3,2.4,0.2,1.7,5.5,7.9,6.9,8.0,1.5,-3.4,-3.5,0.5,0.9
"........Intellectual Property Products",7.0,5.9,4.8,18.7,-0.8,0.8,5.2,-3.7,10.6,7.5,9.2,17.8,7.8,19.8,9.8,23.4,26.8,15.3,17.4,-9.5,14.3,8.3,5.7,-4.9,4.1,2.0,17.1,-1.1,8.7,-4.4,-5.8,10.5,2.9,11.4,17.5,16.6,25.9,27.6,33.1,33.2,21.9,19.0,-9.6,13.0,3.7,3.3
"......Changes in Inventories",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"......Valuables",40.7,6.2,155.6,-47.1,83.1,-52.3,-17.8,77.3,-21.4,54.9,-28.5,3.1,-9.1,3.6,-5.6,-14.5,46.9,75.7,-44.7,-37.2,11.0,8.5,32.6,23.0,-7.7,121.5,-53.2,76.4,-62.4,-15.9,62.1,-35.8,32.2,-39.3,3.4,8.4,11.1,-7.1,-26.8,42.7,77.1,-47.1,-50.7,8.2,0.3,29.5
