"Annual Gross Domestic Product Series, 1946 to 2023"

"Major Industries","At Current Prices 1946","At Current Prices 1947","At Current Prices 1948","At Current Prices 1949","At Current Prices 1950","At Current Prices 1951","At Current Prices 1952","At Current Prices 1953","At Current Prices 1954","At Current Prices 1955","At Current Prices 1956","At Current Prices 1957","At Current Prices 1958","At Current Prices 1959","At Current Prices 1960","At Current Prices 1961","At Current Prices 1962","At Current Prices 1963","At Current Prices 1964","At Current Prices 1965","At Current Prices 1966","At Current Prices 1967","At Current Prices 1968","At Current Prices 1969","At Current Prices 1970","At Current Prices 1971","At Current Prices 1972","At Current Prices 1973","At Current Prices 1974","At Current Prices 1975","At Current Prices 1976","At Current Prices 1977","At Current Prices 1978","At Current Prices 1979","At Current Prices 1980","At Current Prices 1981","At Current Prices 1982","At Current Prices 1983","At Current Prices 1984","At Current Prices 1985","At Current Prices 1986","At Current Prices 1987","At Current Prices 1988","At Current Prices 1989","At Current Prices 1990","At Current Prices 1991","At Current Prices 1992","At Current Prices 1993","At Current Prices 1994","At Current Prices 1995","At Current Prices 1996","At Current Prices 1997","At Current Prices 1998","At Current Prices 1999","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022","At Current Prices 2023","At Constant 2018 Prices 1946","At Constant 2018 Prices 1947","At Constant 2018 Prices 1948","At Constant 2018 Prices 1949","At Constant 2018 Prices 1950","At Constant 2018 Prices 1951","At Constant 2018 Prices 1952","At Constant 2018 Prices 1953","At Constant 2018 Prices 1954","At Constant 2018 Prices 1955","At Constant 2018 Prices 1956","At Constant 2018 Prices 1957","At Constant 2018 Prices 1958","At Constant 2018 Prices 1959","At Constant 2018 Prices 1960","At Constant 2018 Prices 1961","At Constant 2018 Prices 1962","At Constant 2018 Prices 1963","At Constant 2018 Prices 1964","At Constant 2018 Prices 1965","At Constant 2018 Prices 1966","At Constant 2018 Prices 1967","At Constant 2018 Prices 1968","At Constant 2018 Prices 1969","At Constant 2018 Prices 1970","At Constant 2018 Prices 1971","At Constant 2018 Prices 1972","At Constant 2018 Prices 1973","At Constant 2018 Prices 1974","At Constant 2018 Prices 1975","At Constant 2018 Prices 1976","At Constant 2018 Prices 1977","At Constant 2018 Prices 1978","At Constant 2018 Prices 1979","At Constant 2018 Prices 1980","At Constant 2018 Prices 1981","At Constant 2018 Prices 1982","At Constant 2018 Prices 1983","At Constant 2018 Prices 1984","At Constant 2018 Prices 1985","At Constant 2018 Prices 1986","At Constant 2018 Prices 1987","At Constant 2018 Prices 1988","At Constant 2018 Prices 1989","At Constant 2018 Prices 1990","At Constant 2018 Prices 1991","At Constant 2018 Prices 1992","At Constant 2018 Prices 1993","At Constant 2018 Prices 1994","At Constant 2018 Prices 1995","At Constant 2018 Prices 1996","At Constant 2018 Prices 1997","At Constant 2018 Prices 1998","At Constant 2018 Prices 1999","At Constant 2018 Prices 2000","At Constant 2018 Prices 2001","At Constant 2018 Prices 2002","At Constant 2018 Prices 2003","At Constant 2018 Prices 2004","At Constant 2018 Prices 2005","At Constant 2018 Prices 2006","At Constant 2018 Prices 2007","At Constant 2018 Prices 2008","At Constant 2018 Prices 2009","At Constant 2018 Prices 2010","At Constant 2018 Prices 2011","At Constant 2018 Prices 2012","At Constant 2018 Prices 2013","At Constant 2018 Prices 2014","At Constant 2018 Prices 2015","At Constant 2018 Prices 2016","At Constant 2018 Prices 2017","At Constant 2018 Prices 2018","At Constant 2018 Prices 2019","At Constant 2018 Prices 2020","At Constant 2018 Prices 2021","At Constant 2018 Prices 2022","At Constant 2018 Prices 2023"
"..Agriculture, Forestry and Fishing",1674,2157,2098,2301,2384,2534,2471,2534,2646,2837,2914,3065,3162,3449,3590,3903,4397,5254,5531,6183,6799,7360,8797,10001,11764,14572,15868,20972,29272,32956,37372,41869,47271,55694,60979,69771,73613,81924,129385,140481,145703,163847,183061,209483,235260,260949,294544,318111,372231,411922,446973,456195,449216,508644,515480,535358,585081,620437,744516,799871,875218,979430,1168573,1219985,1292318,1429965,1448473,1503122,1620700,1533369,1544279,1685956,1762616,1721539,1828424,1954487,2104090,2285159,144656,188931,198096,210660,226188,244481,254087,278538,310000,315969,319541,327215,341678,363079,359910,384491,401724,430639,430363,463324,480819,491213,524327,543946,544462,565921,596749,641279,616572,624895,689180,719016,744721,766934,796877,826444,829857,797244,793365,779522,808002,832871,857447,880808,882507,895479,898629,917566,940282,945593,980115,1008943,938600,1029174,1064005,1105117,1144991,1197371,1257109,1301069,1360678,1433747,1482352,1480207,1499801,1550555,1598312,1645192,1676006,1688344,1672085,1743134,1762616,1783855,1780391,1775210,1783735,1804907
"..Industry",1338,1862,2247,2155,2275,2664,2870,3173,3153,3299,3765,4237,4557,5000,5242,5808,6440,7642,8120,8776,9612,10515,11450,12551,15811,19378,22512,29215,40598,47512,57737,67231,77415,95360,118200,137933,153910,180835,249543,252650,265397,296684,354158,407441,468666,535903,562006,610699,698922,776270,884933,989004,1062619,1123139,1293231,1404419,1513274,1629558,1789827,2000851,2191939,2375483,2637671,2644874,3039741,3179203,3472969,3708624,4100383,4250451,4582981,4987948,5582525,5919281,5098232,5607689,6436935,6853152,89292,155468,213290,210580,226089,261565,264484,295245,306084,333086,380967,409016,421664,457449,455408,480329,499642,548757,572592,604891,635777,686780,718818,752954,794068,851746,913744,1035873,1099642,1190355,1325445,1424094,1502743,1610676,1689783,1771436,1810251,1828845,1626985,1373796,1406263,1461896,1586595,1700406,1740359,1696935,1688626,1717526,1816047,1934300,2057153,2182132,2124077,2094359,2233332,2263213,2346383,2462871,2571406,2701285,2802099,2940675,3101574,3057652,3358023,3411809,3674110,3924519,4218872,4493390,4861342,5202582,5582525,5887869,5115316,5551622,5913748,6126102
"..Services",2002,2224,2462,2678,2888,3205,3452,3619,3856,4156,4567,4971,5251,5699,6312,6795,7634,8631,9628,10519,11626,12251,13420,14778,17056,19916,22145,26919,36074,41842,49092,55859,65073,79261,97603,112228,132916,156848,217720,257409,281753,316752,373060,437604,523956,626106,684975,753611,861508,988392,1149398,1328176,1534387,1715804,1888846,2084622,2252204,2467815,2789561,3116560,3483261,3843332,4243956,4525562,5067392,5535494,6139147,6838847,7485746,8160337,9005122,9882747,10920048,11877043,11024918,11848438,13487251,15180301,213483,274926,306622,344616,372062,405707,451479,482743,522694,567363,597375,630818,652140,691042,718008,755836,797831,839021,877334,912577,952167,998814,1043333,1096802,1143560,1198183,1247406,1322946,1385727,1455780,1543550,1613004,1703682,1794626,1902562,1941550,2067209,2170524,2038610,1999830,2084687,2191697,2342878,2501725,2616763,2624350,2651295,2717758,2830637,2965482,3150667,3317792,3412728,3568569,3688046,3830053,3974521,4185436,4532562,4771971,5078027,5468818,5686952,5881774,6326037,6652996,7144045,7684933,8201169,8809174,9529249,10230262,10920048,11711027,10642137,11213252,12248122,13120749
"Gross Domestic Product",5015,6243,6807,7134,7547,8403,8793,9326,9655,10291,11246,12274,12970,14147,15145,16506,18470,21527,23279,25477,28037,30127,33668,37330,44632,53866,60526,77106,105944,122310,144200,164958,189758,230315,276782,319931,360439,419607,596648,650540,692852,777283,910280,1054529,1227882,1422958,1541524,1682421,1932662,2176584,2481304,2773375,3046222,3347587,3697556,4024399,4350560,4717809,5323904,5917282,6550417,7198245,8050201,8390421,9399451,10144661,11060589,12050592,13206828,13944157,15132381,16556651,18265190,19517863,17951574,19410614,22028276,24318611,447430,619325,718008,765855,824340,911753,970050,1056526,1138778,1216418,1297883,1367048,1415482,1511569,1533325,1620655,1699197,1818417,1880289,1980792,2068762,2176807,2286478,2393702,2482089,2615849,2757900,3000099,3101940,3271030,3558175,3756115,3951147,4172236,4389222,4539430,4707317,4796612,4458961,4153148,4298952,4486464,4786920,5082939,5239629,5216764,5238551,5352850,5586966,5845376,6187935,6508867,6475405,6692102,6985383,7198384,7465894,7845677,8361078,8774325,9240804,9843239,10270878,10419633,11183861,11615360,12416466,13254644,14096047,14990907,16062676,17175978,18265190,19382751,17537843,18540084,19945605,21051758
