"Annual Gross Domestic Product Series, 1946 to 2023, Percent Share"

"Major Industries","At Current Prices 1946","At Current Prices 1947","At Current Prices 1948","At Current Prices 1949","At Current Prices 1950","At Current Prices 1951","At Current Prices 1952","At Current Prices 1953","At Current Prices 1954","At Current Prices 1955","At Current Prices 1956","At Current Prices 1957","At Current Prices 1958","At Current Prices 1959","At Current Prices 1960","At Current Prices 1961","At Current Prices 1962","At Current Prices 1963","At Current Prices 1964","At Current Prices 1965","At Current Prices 1966","At Current Prices 1967","At Current Prices 1968","At Current Prices 1969","At Current Prices 1970","At Current Prices 1971","At Current Prices 1972","At Current Prices 1973","At Current Prices 1974","At Current Prices 1975","At Current Prices 1976","At Current Prices 1977","At Current Prices 1978","At Current Prices 1979","At Current Prices 1980","At Current Prices 1981","At Current Prices 1982","At Current Prices 1983","At Current Prices 1984","At Current Prices 1985","At Current Prices 1986","At Current Prices 1987","At Current Prices 1988","At Current Prices 1989","At Current Prices 1990","At Current Prices 1991","At Current Prices 1992","At Current Prices 1993","At Current Prices 1994","At Current Prices 1995","At Current Prices 1996","At Current Prices 1997","At Current Prices 1998","At Current Prices 1999","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022","At Current Prices 2023","At Constant 2018 Prices 1946","At Constant 2018 Prices 1947","At Constant 2018 Prices 1948","At Constant 2018 Prices 1949","At Constant 2018 Prices 1950","At Constant 2018 Prices 1951","At Constant 2018 Prices 1952","At Constant 2018 Prices 1953","At Constant 2018 Prices 1954","At Constant 2018 Prices 1955","At Constant 2018 Prices 1956","At Constant 2018 Prices 1957","At Constant 2018 Prices 1958","At Constant 2018 Prices 1959","At Constant 2018 Prices 1960","At Constant 2018 Prices 1961","At Constant 2018 Prices 1962","At Constant 2018 Prices 1963","At Constant 2018 Prices 1964","At Constant 2018 Prices 1965","At Constant 2018 Prices 1966","At Constant 2018 Prices 1967","At Constant 2018 Prices 1968","At Constant 2018 Prices 1969","At Constant 2018 Prices 1970","At Constant 2018 Prices 1971","At Constant 2018 Prices 1972","At Constant 2018 Prices 1973","At Constant 2018 Prices 1974","At Constant 2018 Prices 1975","At Constant 2018 Prices 1976","At Constant 2018 Prices 1977","At Constant 2018 Prices 1978","At Constant 2018 Prices 1979","At Constant 2018 Prices 1980","At Constant 2018 Prices 1981","At Constant 2018 Prices 1982","At Constant 2018 Prices 1983","At Constant 2018 Prices 1984","At Constant 2018 Prices 1985","At Constant 2018 Prices 1986","At Constant 2018 Prices 1987","At Constant 2018 Prices 1988","At Constant 2018 Prices 1989","At Constant 2018 Prices 1990","At Constant 2018 Prices 1991","At Constant 2018 Prices 1992","At Constant 2018 Prices 1993","At Constant 2018 Prices 1994","At Constant 2018 Prices 1995","At Constant 2018 Prices 1996","At Constant 2018 Prices 1997","At Constant 2018 Prices 1998","At Constant 2018 Prices 1999","At Constant 2018 Prices 2000","At Constant 2018 Prices 2001","At Constant 2018 Prices 2002","At Constant 2018 Prices 2003","At Constant 2018 Prices 2004","At Constant 2018 Prices 2005","At Constant 2018 Prices 2006","At Constant 2018 Prices 2007","At Constant 2018 Prices 2008","At Constant 2018 Prices 2009","At Constant 2018 Prices 2010","At Constant 2018 Prices 2011","At Constant 2018 Prices 2012","At Constant 2018 Prices 2013","At Constant 2018 Prices 2014","At Constant 2018 Prices 2015","At Constant 2018 Prices 2016","At Constant 2018 Prices 2017","At Constant 2018 Prices 2018","At Constant 2018 Prices 2019","At Constant 2018 Prices 2020","At Constant 2018 Prices 2021","At Constant 2018 Prices 2022","At Constant 2018 Prices 2023"
"..Agriculture, Forestry and Fishing",33.4,34.6,30.8,32.3,31.6,30.2,28.1,27.2,27.4,27.6,25.9,25.0,24.4,24.4,23.7,23.6,23.8,24.4,23.8,24.3,24.2,24.4,26.1,26.8,26.4,27.1,26.2,27.2,27.6,26.9,25.9,25.4,24.9,24.2,22.0,21.8,20.4,19.5,21.7,21.6,21.0,21.1,20.1,19.9,19.2,18.3,19.1,18.9,19.3,18.9,18.0,16.4,14.7,15.2,13.9,13.3,13.4,13.2,14.0,13.5,13.4,13.6,14.5,14.5,13.7,14.1,13.1,12.5,12.3,11.0,10.2,10.2,9.7,8.8,10.2,10.1,9.6,9.4,32.3,30.5,27.6,27.5,27.4,26.8,26.2,26.4,27.2,26.0,24.6,23.9,24.1,24.0,23.5,23.7,23.6,23.7,22.9,23.4,23.2,22.6,22.9,22.7,21.9,21.6,21.6,21.4,19.9,19.1,19.4,19.1,18.8,18.4,18.2,18.2,17.6,16.6,17.8,18.8,18.8,18.6,17.9,17.3,16.8,17.2,17.2,17.1,16.8,16.2,15.8,15.5,14.5,15.4,15.2,15.4,15.3,15.3,15.0,14.8,14.7,14.6,14.4,14.2,13.4,13.3,12.9,12.4,11.9,11.3,10.4,10.1,9.7,9.2,10.2,9.6,8.9,8.6
"..Industry",26.7,29.8,33.0,30.2,30.1,31.7,32.6,34.0,32.7,32.1,33.5,34.5,35.1,35.3,34.6,35.2,34.9,35.5,34.9,34.4,34.3,34.9,34.0,33.6,35.4,36.0,37.2,37.9,38.3,38.8,40.0,40.8,40.8,41.4,42.7,43.1,42.7,43.1,41.8,38.8,38.3,38.2,38.9,38.6,38.2,37.7,36.5,36.3,36.2,35.7,35.7,35.7,34.9,33.6,35.0,34.9,34.8,34.5,33.6,33.8,33.5,33.0,32.8,31.5,32.3,31.3,31.4,30.8,31.0,30.5,30.3,30.1,30.6,30.3,28.4,28.9,29.2,28.2,20.0,25.1,29.7,27.5,27.4,28.7,27.3,27.9,26.9,27.4,29.4,29.9,29.8,30.3,29.7,29.6,29.4,30.2,30.5,30.5,30.7,31.5,31.4,31.5,32.0,32.6,33.1,34.5,35.5,36.4,37.3,37.9,38.0,38.6,38.5,39.0,38.5,38.1,36.5,33.1,32.7,32.6,33.1,33.5,33.2,32.5,32.2,32.1,32.5,33.1,33.2,33.5,32.8,31.3,32.0,31.4,31.4,31.4,30.8,30.8,30.3,29.9,30.2,29.3,30.0,29.4,29.6,29.6,29.9,30.0,30.3,30.3,30.6,30.4,29.2,29.9,29.6,29.1
"..Services",39.9,35.6,36.2,37.5,38.3,38.1,39.3,38.8,39.9,40.4,40.6,40.5,40.5,40.3,41.7,41.2,41.3,40.1,41.4,41.3,41.5,40.7,39.9,39.6,38.2,37.0,36.6,34.9,34.1,34.2,34.0,33.9,34.3,34.4,35.3,35.1,36.9,37.4,36.5,39.6,40.7,40.8,41.0,41.5,42.7,44.0,44.4,44.8,44.6,45.4,46.3,47.9,50.4,51.3,51.1,51.8,51.8,52.3,52.4,52.7,53.2,53.4,52.7,53.9,53.9,54.6,55.5,56.8,56.7,58.5,59.5,59.7,59.8,60.9,61.4,61.0,61.2,62.4,47.7,44.4,42.7,45.0,45.1,44.5,46.5,45.7,45.9,46.6,46.0,46.1,46.1,45.7,46.8,46.6,47.0,46.1,46.7,46.1,46.0,45.9,45.6,45.8,46.1,45.8,45.2,44.1,44.7,44.5,43.4,42.9,43.1,43.0,43.3,42.8,43.9,45.3,45.7,48.2,48.5,48.9,48.9,49.2,49.9,50.3,50.6,50.8,50.7,50.7,50.9,51.0,52.7,53.3,52.8,53.2,53.2,53.3,54.2,54.4,55.0,55.6,55.4,56.4,56.6,57.3,57.5,58.0,58.2,58.8,59.3,59.6,59.8,60.4,60.7,60.5,61.4,62.3
"Gross Domestic Product",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
