"Net Primary Income from the Rest of the World"

"Industry","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022","At Current Prices 2023","At Constant 2018 Prices 2000","At Constant 2018 Prices 2001","At Constant 2018 Prices 2002","At Constant 2018 Prices 2003","At Constant 2018 Prices 2004","At Constant 2018 Prices 2005","At Constant 2018 Prices 2006","At Constant 2018 Prices 2007","At Constant 2018 Prices 2008","At Constant 2018 Prices 2009","At Constant 2018 Prices 2010","At Constant 2018 Prices 2011","At Constant 2018 Prices 2012","At Constant 2018 Prices 2013","At Constant 2018 Prices 2014","At Constant 2018 Prices 2015","At Constant 2018 Prices 2016","At Constant 2018 Prices 2017","At Constant 2018 Prices 2018","At Constant 2018 Prices 2019","At Constant 2018 Prices 2020","At Constant 2018 Prices 2021","At Constant 2018 Prices 2022","At Constant 2018 Prices 2023"
"..Total inflow",504643,576236,622981,652724,722459,826285,909474,955390,1031639,1263033,1330409,1408277,1592007,1763780,1915779,1991349,2080514,2276938,2526088,2671642,1906917,1117658,1733060,3357316,997092,1068023,1113076,1135416,1181406,1260715,1316307,1343339,1342722,1620444,1642743,1656472,1823252,1974263,2092061,2163589,2228392,2378807,2526088,2620643,1847627,1037504,1516164,2803187
"....Compensation inflow",434847,519114,584827,610956,673497,768738,825831,848995,949363,1209347,1286822,1331058,1518866,1707937,1855468,1914105,1983722,2143019,2326518,2430628,1740559,941741,1469235,2879901,859187,962152,1044907,1062761,1101340,1172911,1195249,1193741,1235636,1551566,1588923,1565644,1739487,1911757,2026200,2079663,2124721,2238897,2326518,2383284,1686092,873984,1286209,2403241
"....Property income",69796,57121,38154,41768,48963,57547,83643,106395,82276,53686,43587,77219,73141,55842,60311,77244,96792,133919,199570,241013,166358,175917,263825,477415,137905,105871,68169,72655,80066,87804,121059,149598,107086,68877,53820,90828,83765,62506,65861,83925,103672,139910,199570,237359,161535,163520,229955,399946
"..Total outflow",156042,190872,208215,208727,225849,248772,306981,308903,277511,294061,275810,313381,371459,346706,393789,397796,399961,450410,578929,717444,546490,427270,438682,686603,308313,353771,372016,363081,369322,379568,444303,434338,361192,377274,340561,368611,425415,388081,430024,432203,428390,470561,578929,704361,527455,398182,386053,576718
"....Compensation outflow",9767,12140,19211,16569,17176,19967,22999,25610,23983,23510,27851,33674,41617,45604,49310,58076,86826,94588,150273,306547,192989,42604,21368,60302,19297,22501,34324,28822,28088,30465,33287,36009,31215,30162,34390,39609,47663,51046,53847,63099,92997,98819,150273,300960,185592,39656,18689,50492
"....Property expense",146275,178732,189004,192158,208673,228805,283982,283293,253527,270551,247959,279707,329842,301102,344480,339720,313135,355823,428656,410897,353501,384667,417314,626300,289016,331270,337693,334260,341234,349103,411016,398328,329977,347112,306172,329002,377753,337034,376177,369104,335392,371742,428656,403401,341863,358526,367364,526225
"Net Primary Income From the Rest of the World",348601,385364,414766,443997,496610,577513,602492,646487,754128,968972,1054599,1094896,1220547,1417074,1521990,1593553,1680553,1826528,1947159,1954197,1360427,690388,1294379,2670713,688779,714252,741060,772334,812084,881147,872005,909001,981530,1243170,1302182,1287861,1397837,1586182,1662037,1731386,1800003,1908246,1947159,1916282,1320173,639322,1130111,2226469
