"Per Capita: Gross Domestic Product, Gross National Income, and Household Final Consumption Expenditure, Growth Rates"

"Industry","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022","2022-2023"
"Per Capita Gross Domestic Product at current prices",6.5,5.9,6.3,10.6,9.0,8.6,7.9,9.9,2.4,10.1,6.1,7.3,7.2,7.9,4.0,6.7,7.7,8.7,5.3,-9.3,6.7,12.1,9.1
"Per Capita Gross National Income at current prices",6.7,5.8,6.1,10.6,9.5,8.1,7.7,10.2,4.5,9.8,5.7,7.5,7.9,7.7,3.9,6.4,7.6,8.3,4.7,-11.3,2.7,14.6,14.4
"Per Capita Household Final Consumption Expenditure at current prices",8.3,6.2,6.8,10.8,9.6,7.6,6.4,11.3,2.4,5.6,9.1,7.9,6.4,6.8,5.7,6.8,7.1,9.2,6.3,-7.0,7.0,13.1,10.0
"Per Capita Gross Domestic Product at constant 2018 prices",0.9,1.6,3.0,4.5,2.9,3.4,4.6,2.5,-0.3,5.5,2.1,5.2,5.1,4.7,4.7,5.4,5.2,4.7,4.6,-10.8,4.3,6.3,4.3
"Per Capita Gross National Income at constant 2018 prices",0.9,1.6,2.9,4.4,3.3,2.8,4.4,2.8,1.9,5.3,1.6,5.3,5.7,4.5,4.5,5.1,5.2,4.3,3.9,-12.7,0.4,8.5,9.2
"Per Capita Household Final Consumption Expenditure at constant 2018 prices",1.7,2.9,3.3,3.8,2.5,2.2,2.9,2.0,0.8,1.8,3.8,5.1,4.2,4.2,4.8,5.4,4.3,4.2,4.4,-9.2,2.9,7.0,4.3
