"Net Primary Income from the Rest of the World, Implicit Price Index"

"Industry","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"..Total inflow",50.6,54.0,56.0,57.5,61.2,65.5,69.1,71.1,76.8,77.9,81.0,85.0,87.3,89.3,91.6,92.0,93.4,95.7,100.0,101.9,103.2,107.7,114.3,119.8
"....Compensation inflow",50.6,54.0,56.0,57.5,61.2,65.5,69.1,71.1,76.8,77.9,81.0,85.0,87.3,89.3,91.6,92.0,93.4,95.7,100.0,102.0,103.2,107.8,114.2,119.8
"....Property income",50.6,54.0,56.0,57.5,61.2,65.5,69.1,71.1,76.8,77.9,81.0,85.0,87.3,89.3,91.6,92.0,93.4,95.7,100.0,101.5,103.0,107.6,114.7,119.4
"..Total outflow",50.6,54.0,56.0,57.5,61.2,65.5,69.1,71.1,76.8,77.9,81.0,85.0,87.3,89.3,91.6,92.0,93.4,95.7,100.0,101.9,103.6,107.3,113.6,119.1
"....Compensation outflow",50.6,54.0,56.0,57.5,61.2,65.5,69.1,71.1,76.8,77.9,81.0,85.0,87.3,89.3,91.6,92.0,93.4,95.7,100.0,101.9,104.0,107.4,114.3,119.4
"....Property expense",50.6,54.0,56.0,57.5,61.2,65.5,69.1,71.1,76.8,77.9,81.0,85.0,87.3,89.3,91.6,92.0,93.4,95.7,100.0,101.9,103.4,107.3,113.6,119.0
"Net Primary Income From the Rest of the World",50.6,54.0,56.0,57.5,61.2,65.5,69.1,71.1,76.8,77.9,81.0,85.0,87.3,89.3,91.6,92.0,93.4,95.7,100.0,102.0,103.0,108.0,114.5,120.0
