"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",14044,16115,15403,15256,18579,20404,20698,23159,32147,30141,31378,37839,33613,32990,38492,36872,39063,37720,37469,32372,33708,33268,36368
"Current Prices","..Palay",4146,4555,5067,5588,6454,7794,8212,9678,13831,13322,13450,13727,14586,14738,16708,16005,16767,17161,18537,15689,14929,13977,13614
"Current Prices","..Corn",303,268,305,319,411,508,668,817,1021,1223,1045,1113,1040,1019,1108,1100,995,924,1272,995,1021,739,697
"Current Prices","..Coconut",6157,7782,6618,5423,7412,7296,6355,7001,10388,8810,9943,14962,10150,9562,12529,11618,12696,11049,8896,6586,7896,8261,9806
"Current Prices","..Banana, Saba",553,507,388,508,577,595,659,804,1047,1174,1226,1283,1301,1259,1373,1607,2002,2074,2173,2231,2412,2770,3249
"Current Prices","..Sweet Potato",605,646,702,744,792,897,998,1036,1282,1365,1336,1621,1691,1699,1889,1910,1673,1691,1599,1846,1947,1915,2571
"Current Prices","..Abaca",702,488,482,593,746,1027,938,934,1073,744,737,745,675,599,520,553,675,764,841,850,800,763,650
"Current Prices","..Cassava",248,310,333,319,321,374,413,463,521,599,599,752,782,890,1013,1078,821,652,715,832,889,918,1195
"Current Prices","..Sugarcane",399,501,456,547,500,509,734,528,706,490,651,948,686,540,618,356,704,591,570,467,630,569,772
"Current Prices","..Gabi",79,144,110,105,134,170,178,205,230,222,220,264,239,300,325,304,423,482,422,341,420,451,486
"Current Prices","..Kangkong",6,9,7,36,52,71,81,81,91,107,155,175,145,130,120,132,121,124,158,108,117,121,135
"Current Prices","..Pineapple",45,51,42,53,59,83,81,90,127,116,95,99,118,133,176,116,112,130,144,177,168,166,288
"Current Prices","..Eggplant",19,29,24,28,37,32,40,32,53,49,41,56,51,57,54,55,44,53,62,57,61,93,108
"Current Prices","..Ampalaya",11,15,12,21,27,25,30,32,42,43,36,47,43,47,45,44,44,53,58,52,54,66,67
"Current Prices","..Ginger",23,36,49,49,34,34,31,44,89,75,85,52,38,67,108,133,67,38,45,102,130,92,80
"Current Prices","..Calamansi",30,33,38,33,34,37,37,40,47,61,56,64,73,75,49,55,50,53,54,57,62,91,105
"Current Prices","..Pao (Galiang)",52,34,63,110,44,24,21,28,35,33,55,57,61,51,71,77,79,78,49,92,103,61,81
"Current Prices","..Stringbeans",5,7,7,28,29,28,35,32,35,37,33,44,40,42,41,41,39,41,47,45,41,60,66
"Current Prices","..Pili nut",14,13,13,14,15,18,18,16,29,39,41,43,45,47,53,56,49,43,47,45,47,40,43
"Current Prices","..Squash",3,4,4,11,14,15,18,20,25,24,19,30,23,26,28,24,25,32,34,31,31,44,46
"Current Prices","..Jackfruit, ripe",15,21,22,10,12,10,24,20,18,22,31,30,27,26,21,24,31,30,33,35,30,34,32
"Current Prices","..Coffee",4,4,5,6,6,6,6,7,9,8,7,8,8,6,3,3,3,4,3,3,3,3,3
"Current Prices","..Cacao",6,3,5,8,5,5,8,7,8,7,9,10,8,6,7,7,7,6,5,6,6,7,7
"Current Prices","..Other crops",620,655,652,702,864,847,1114,1243,1438,1573,1507,1710,1783,1673,1632,1573,1634,1648,1702,1724,1909,2025,2265
"Current Prices","LIVESTOCK",6266,6478,6721,7054,8292,8773,9837,9565,10759,10622,11383,11468,10082,10087,9928,9696,9540,9836,10813,10542,10740,12579,12680
"Current Prices","..Hog",5492,5821,6038,6371,7431,7970,9143,8799,9821,9502,10340,10213,8768,8732,8622,8280,8046,8307,9280,8846,9336,10656,10371
"Current Prices","..Cattle",199,161,183,206,224,219,171,168,191,225,215,229,211,232,208,207,231,234,247,231,205,334,369
"Current Prices","..Carabao",480,388,397,375,524,442,430,479,608,779,690,881,974,1006,1000,1122,1180,1216,1208,1390,1130,1506,1843
"Current Prices","..Goat",96,109,104,102,113,141,92,119,139,115,139,145,129,117,98,87,83,79,79,76,69,83,97
"Current Prices","POULTRY",2290,2264,2586,2769,3342,3276,3247,3251,4096,4388,4771,4071,3667,3335,3318,3010,3682,4804,5560,4963,7071,6793,10112
"Current Prices","..Chicken",1796,1702,1956,2131,2666,2517,2574,2622,3503,3822,4255,3566,3199,2872,2860,2598,3288,4342,5021,4309,6213,5884,9010
"Current Prices","..Duck",91,100,100,114,105,107,99,112,92,91,104,109,105,112,121,120,98,101,89,103,108,146,71
"Current Prices","..Chicken Eggs",291,369,426,418,430,477,419,398,416,406,366,348,318,307,290,250,252,318,416,513,712,728,991
"Current Prices","..Duck Eggs",111,94,103,106,141,175,155,119,84,70,46,49,45,45,47,42,44,42,34,37,38,36,41
"Current Prices","FISHERIES",2838,3337,4240,5081,6716,7739,9126,10473,11430,12262,13009,13534,13244,11792,9639,9483,9534,9169,10095,12353,11830,14680,14207
"Current Prices","..Milkfish (Bangus)",.,.,162,176,536,458,842,977,1179,1184,1163,1332,1288,1210,803,612,613,723,737,794,392,426,110
"Current Prices","..Roundscad (Galunggong)",.,.,253,358,473,550,714,717,1160,1092,1158,1111,1005,970,836,812,659,633,581,539,566,752,875
"Current Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,64,294,362,408,558,544,516,804,1113,1081,1046,949,763,740,629,579,492,454,428,511,554
"Current Prices","..Skipjack (Gulyasan)",.,.,43,52,55,67,101,190,223,759,637,911,963,926,787,793,643,513,490,393,439,388,581
"Current Prices","..Threadfin bream (Bisugo)",.,.,216,267,347,444,524,599,692,439,541,579,623,566,498,505,479,407,459,682,671,643,896
"Current Prices","..Squid (Pusit)",.,.,101,134,160,208,245,295,243,237,217,207,266,279,257,281,332,438,447,423,633,627,741
"Current Prices","..Indian mackerel (Alumahan)",.,.,195,247,297,288,337,369,416,343,467,482,529,470,411,416,407,340,440,503,668,653,527
"Current Prices","..Big-eyed scad (Matangbaka)",.,.,73,95,122,155,196,209,253,385,460,565,584,499,479,513,421,327,395,569,699,1021,950
"Current Prices","..Indo-pacific mackerel (Hasa-hasa)",.,.,385,443,618,647,870,1017,1085,873,807,789,558,532,506,537,482,342,389,546,457,555,513
"Current Prices","..Frigate tuna (Tulingan)",.,.,194,273,334,353,407,466,609,616,531,540,495,550,538,536,456,415,373,317,426,420,599
"Current Prices","..Grouper (Lapu-lapu)",.,.,79,108,144,185,238,326,191,360,243,233,254,221,228,191,217,319,350,408,492,754,514
"Current Prices","..Blue crab (Alimasag)",.,.,268,332,404,696,513,608,484,363,358,339,297,288,289,290,313,199,301,263,342,399,558
"Current Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,11,48,60,67,133,244,285,40,233,192,307,154,132,115,255,290,287,471,363,362,471
"Current Prices","..Bali sardinella (Tamban)",.,.,135,247,252,342,375,396,542,420,393,398,361,255,227,233,235,187,197,275,294,371,307
"Current Prices","..Anchovies (Dilis)",.,.,234,222,240,251,247,236,245,375,318,357,299,194,176,180,150,132,176,309,274,337,468
"Current Prices","..Mudcrab (Alimango)",.,.,13,25,31,51,60,85,81,96,113,113,115,223,169,111,114,124,152,294,174,697,39
"Current Prices","..Eastern little tuna (Bonito)",.,.,21,22,32,88,109,123,137,152,130,120,125,97,91,84,134,131,141,103,103,113,185
"Current Prices","..Mussel (Tahong)",.,.,9,11,12,12,11,13,15,26,36,45,61,41,44,46,75,54,101,118,75,64,45
"Current Prices","..Seaweed",.,.,49,77,110,90,136,104,149,158,91,165,133,94,52,44,65,87,81,77,164,87,26
"Current Prices","..Tilapia",.,.,19,37,37,41,46,65,78,61,72,67,47,54,41,43,49,38,75,75,89,63,59
"Current Prices","..Other Fisheries",.,.,1716,1614,2089,2339,2465,2891,2848,3481,3928,3909,3886,3219,2312,2401,2804,2892,3431,4741,4081,5439,5189
"Current Prices","AGRICULTURE",25438,28195,28950,30161,36928,40192,42907,46448,58432,57413,60541,66913,60606,58204,61377,59062,61819,61529,63937,60229,63348,67321,73367
"Constant 2018 Prices","CROPS",33565,34540,36878,38919,39956,41542,42563,45272,47854,45759,45709,46311,46432,44347,39201,38462,37666,37604,37469,36700,37163,35961,35340
"Constant 2018 Prices","..Palay",10132,11078,12185,13197,14133,15443,16254,18575,20176,18641,18875,19264,19478,19377,19236,18710,18693,18511,18537,17624,18149,16922,16451
"Constant 2018 Prices","..Corn",794,815,851,889,1027,1173,1306,1513,1656,1625,1546,1440,1497,1531,1511,1562,1399,1260,1272,1272,1253,1083,1009
"Constant 2018 Prices","..Coconut",12729,12295,13726,14102,14150,14324,14287,14433,14652,14423,14360,14367,14379,13179,9675,9464,8707,8828,8896,9122,8926,9057,9048
"Constant 2018 Prices","..Banana, Saba",2115,2141,2170,2199,2153,2178,2085,2206,2397,2439,2469,2462,2487,2295,1972,2080,2087,2151,2173,2250,2223,2293,2347
"Constant 2018 Prices","..Sweet Potato",1656,1683,1719,1759,1768,1883,1884,1928,1903,1905,1903,1918,1989,1900,1742,1804,1708,1703,1599,1595,1634,1624,1706
"Constant 2018 Prices","..Abaca",2023,2008,1811,1961,1827,1952,1729,1659,1594,1424,1363,1342,1286,1113,861,855,837,849,841,846,814,816,698
"Constant 2018 Prices","..Cassava",524,531,541,558,562,595,600,614,614,617,619,664,691,762,674,710,715,724,715,703,709,731,769
"Constant 2018 Prices","..Sugarcane",947,1021,802,1013,1009,904,966,725,1000,736,638,935,716,576,631,324,603,675,570,454,664,562,480
"Constant 2018 Prices","..Gabi",288,295,302,309,314,330,350,359,391,402,405,412,427,443,417,431,424,425,422,417,423,436,449
"Constant 2018 Prices","..Kangkong",51,39,40,263,305,309,310,315,320,326,317,301,250,218,180,182,174,162,158,143,144,147,156
"Constant 2018 Prices","..Pineapple",104,104,108,109,112,113,115,123,133,135,135,133,134,135,121,129,144,146,144,143,145,135,184
"Constant 2018 Prices","..Eggplant",57,58,60,62,64,67,66,69,68,68,69,69,71,71,62,65,62,62,62,60,62,67,69
"Constant 2018 Prices","..Ampalaya",32,33,34,54,55,57,57,60,61,62,63,63,64,63,58,60,59,59,58,55,56,57,55
"Constant 2018 Prices","..Ginger",43,43,44,45,46,48,48,49,50,50,50,51,51,51,43,44,44,45,45,45,43,40,40
"Constant 2018 Prices","..Calamansi",65,68,72,74,74,74,75,76,76,77,77,77,78,69,40,47,52,54,54,57,60,62,59
"Constant 2018 Prices","..Pao (Galiang)",66,67,68,70,71,72,72,73,83,86,86,87,86,68,64,62,61,60,49,46,51,52,51
"Constant 2018 Prices","..Stringbeans",10,11,11,52,54,55,55,55,54,55,54,55,55,50,46,49,49,48,47,45,46,46,44
"Constant 2018 Prices","..Pili nut",31,32,32,32,33,35,36,37,47,49,49,53,54,54,54,53,48,48,47,47,46,47,48
"Constant 2018 Prices","..Squash",13,13,14,33,35,36,36,37,38,38,38,39,39,37,36,36,36,35,34,33,35,37,37
"Constant 2018 Prices","..Jackfruit, ripe",37,38,40,40,41,42,42,43,44,44,46,46,45,41,31,34,34,34,33,33,32,33,29
"Constant 2018 Prices","..Coffee",11,12,12,13,12,12,12,11,14,13,12,11,11,7,3,3,4,4,3,3,3,3,3
"Constant 2018 Prices","..Cacao",11,10,10,11,11,11,11,11,11,10,10,10,9,8,6,6,6,6,5,6,6,6,6
"Constant 2018 Prices","..Other crops",1828,2145,2225,2075,2100,1829,2167,2300,2470,2530,2526,2514,2533,2299,1738,1753,1718,1716,1702,1700,1638,1703,1602
"Constant 2018 Prices","LIVESTOCK",13390,13729,13977,14633,14928,14753,15421,15384,14844,14340,13939,13716,12299,11922,10773,10723,10687,10622,10813,10896,11121,10929,7767
"Constant 2018 Prices","..Hog",11913,12298,12497,13139,13379,13256,14078,13978,13342,12779,12385,12048,10621,10231,9118,9105,9092,9099,9280,9227,9754,9300,6078
"Constant 2018 Prices","..Cattle",389,357,374,392,414,409,341,322,295,307,259,276,261,286,264,259,266,251,247,266,244,322,288
"Constant 2018 Prices","..Carabao",870,862,886,869,901,841,837,907,1037,1102,1142,1235,1277,1282,1295,1274,1245,1191,1208,1322,1049,1232,1342
"Constant 2018 Prices","..Goat",218,213,221,233,233,246,164,177,170,153,153,158,140,123,96,85,85,80,79,81,74,74,59
"Constant 2018 Prices","POULTRY",3791,4000,4393,4492,4575,4387,4165,4124,4529,4503,4517,4391,4205,3731,3209,3017,3727,4962,5560,6260,5859,5954,5741
"Constant 2018 Prices","..Chicken",2894,3074,3382,3462,3497,3279,3219,3240,3800,3841,3951,3805,3681,3237,2777,2588,3313,4503,5021,5690,5166,5271,4937
"Constant 2018 Prices","..Duck",217,260,270,282,281,245,215,225,167,161,175,176,164,163,164,151,124,112,89,91,89,94,54
"Constant 2018 Prices","..Chicken Eggs",508,512,584,587,616,644,542,515,464,431,330,350,303,278,216,232,245,304,416,444,571,558,714
"Constant 2018 Prices","..Duck Eggs",172,153,157,161,181,219,189,144,98,69,61,60,57,53,51,46,44,43,34,35,33,31,35
"Constant 2018 Prices","FISHERIES",7444,8547,8931,10804,12187,14654,16605,18351,18801,19115,19629,18560,17299,15374,12656,12245,12669,11238,10095,11443,11221,12049,10873
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,226,241,662,560,994,1159,1331,1302,1266,1322,1285,1187,796,619,719,745,737,748,347,370,76
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,550,814,925,1179,1482,1619,2087,2061,2107,1794,1527,1450,1203,1100,921,822,581,509,557,653,692
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,127,473,537,647,834,884,799,1115,1689,1484,1350,1241,946,851,735,716,492,435,474,466,406
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,88,101,107,120,175,286,321,1068,952,1259,1258,1135,882,823,782,617,490,373,487,323,455
"Constant 2018 Prices","..Threadfin bream (Bisugo)",.,.,563,627,708,916,1024,1170,1170,731,835,850,876,785,636,634,610,479,459,579,559,460,539
"Constant 2018 Prices","..Squid (Pusit)",.,.,259,301,340,473,477,554,436,389,378,352,421,438,371,377,447,571,447,384,561,534,536
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,445,544,566,624,699,717,786,630,746,732,763,682,565,571,540,444,440,454,581,523,349
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,158,196,218,287,359,372,413,584,676,762,766,651,609,635,532,408,395,537,615,794,659
"Constant 2018 Prices","..Indo-pacific mackerel (Hasa-hasa)",.,.,828,1002,1123,1313,1632,1745,1846,1580,1385,1201,877,834,781,793,709,453,389,565,464,466,381
