"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",22579,20678,23497,24837,31838,31660,34941,42654,59832,64431,72742,86817,82230,79611,87368,89484,99778,106963,109256,108568,117784,137883,147937
"Current Prices","..Palay",4097,4174,4414,4370,4766,4783,5037,5767,7800,8732,8855,9715,10695,11406,14045,14093,14253,14924,16133,13790,14239,14111,14804
"Current Prices","..Corn",4886,4947,4521,5328,7811,6920,8361,9786,12058,12675,12391,14689,14793,13662,14867,14625,14239,14682,18317,17302,15848,20582,27141
"Current Prices","..Banana",2088,2413,2818,2884,3736,3942,4772,7370,16131,21613,25967,24339,23393,22761,22292,23495,28516,29082,31007,33678,39720,45989,44842
"Current Prices","..Pineapple",4607,3406,3751,3453,4466,4930,4374,5510,6012,5669,6246,9150,10447,10907,11922,12906,15392,17187,17666,19786,20842,22816,21972
"Current Prices","..Coconut",2501,1711,2824,3409,4907,4885,4244,6501,8413,5954,8316,13136,9039,7347,10268,9532,12002,14085,10169,7341,9164,13423,13843
"Current Prices","..Sugarcane",1932,1765,2721,3094,3209,2932,4263,3373,4368,4209,4699,8938,7010,5928,6104,6090,5842,7274,5550,5109,5502,7059,10419
"Current Prices","..Cassava",193,135,179,135,207,239,388,587,841,1007,1353,1488,1604,1876,1904,2026,1838,1850,2100,2599,2494,2357,2566
"Current Prices","..Mango",433,395,406,487,676,703,762,683,803,904,973,979,1032,1177,1256,1382,1579,2001,1821,1745,1886,2158,2553
"Current Prices","..Tomato",185,172,160,187,212,327,364,389,451,485,536,654,505,658,531,672,773,826,839,901,1280,1297,1655
"Current Prices","..Sweet Potato",119,124,132,119,128,114,141,144,164,165,208,247,269,291,360,418,457,383,444,473,505,700,855
"Current Prices","..Rubber",90,59,109,156,235,247,347,371,375,304,591,765,527,436,296,236,250,348,312,323,249,268,283
"Current Prices","..Lanzones",5,19,13,22,34,56,66,101,43,155,116,37,211,200,194,240,241,169,220,219,185,138,144
"Current Prices","..Abaca",41,40,20,21,32,52,57,45,59,88,60,74,86,99,133,142,181,183,186,191,214,290,295
"Current Prices","..Eggplant",22,18,20,21,25,26,27,29,42,47,48,66,53,57,82,83,86,106,115,132,126,177,227
"Current Prices","..Squash",7,8,8,17,21,28,35,48,49,79,61,108,83,79,97,102,97,117,141,139,114,232,244
"Current Prices","..Coffee",69,57,50,63,69,82,99,138,150,129,120,156,128,126,135,143,146,316,323,306,238,278,312
"Current Prices","..Potato",80,113,103,103,143,116,175,185,212,219,227,219,202,226,223,190,286,239,255,233,276,219,255
"Current Prices","..Tobacco",157,83,74,68,62,67,52,51,111,127,59,48,245,274,192,272,325,442,675,785,1208,1128,858
"Current Prices","..Ampalaya",14,12,12,20,25,24,29,32,37,42,45,65,54,60,61,73,87,94,105,121,115,130,151
"Current Prices","..Papaya",170,129,123,121,152,176,203,212,288,289,258,191,224,297,415,434,466,232,247,222,259,662,322
"Current Prices","..Durian",37,33,41,65,51,49,53,55,66,78,76,84,90,81,74,87,90,82,85,89,85,82,124
"Current Prices","..Cacao",15,14,13,15,22,28,32,31,33,30,39,35,16,12,15,15,19,16,17,23,26,26,36
