"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","..Grouper (Lapu-lapu)",.,.,31,71,82,129,119,121,133,184,203,215,275,312,295,299,316,269,294,380,355,416,435
"Current Prices","..Cavalla (Talakitok)",.,.,121,125,159,127,153,204,249,221,279,223,265,286,278,315,316,315,291,340,429,488,651
"Current Prices","..Threadfin bream (Bisugo)",.,.,155,169,190,124,141,148,166,275,196,245,187,176,216,247,303,252,263,261,313,350,389
"Current Prices","..Goatfish (Saramulyete)",.,.,80,125,141,107,127,108,131,219,148,174,135,128,119,134,186,180,236,286,320,328,393
"Current Prices","..Anchovies (Dilis)",.,.,126,157,164,128,211,160,204,189,207,219,174,204,277,194,183,152,216,246,239,258,676
"Current Prices","..Fimbriated sardines (Tunsoy)",.,.,262,213,282,205,271,319,786,876,369,379,310,378,278,216,218,207,212,254,248,269,381
"Current Prices","..Crevalle (Salay-salay)",.,.,22,36,54,131,125,100,129,262,225,204,193,184,155,350,386,164,209,226,305,306,264
"Current Prices","..Roundscad (Galunggong)",.,.,861,758,824,831,1391,2736,2304,1311,1403,1204,1151,1172,1190,989,1114,1456,1455,1638,1406,1411,2015
"Current Prices","..Squid (Pusit)",.,.,175,210,234,171,194,167,146,139,175,169,227,232,196,223,338,329,310,319,339,341,325
"Current Prices","..Tiger prawn (Sugpo)",.,.,2447,2638,2642,2671,2381,1920,1796,2099,2585,2364,1928,1709,1678,1720,871,589,477,333,279,262,384
"Current Prices","..Mudcrab (Alimango)",.,.,25,28,25,26,20,22,22,62,61,53,76,77,63,67,220,204,280,368,262,297,407
"Current Prices","..Other Fisheries",.,.,1885,1408,1260,1487,1628,2505,2810,2766,3181,2889,2512,2671,2432,2213,2308,2330,2224,2731,2828,2961,4928
"Current Prices","AGRICULTURE",.,.,31688,33645,38539,44047,46956,53570,60820,62389,71228,77869,71497,71742,73091,70359,68448,74366,76800,72641,72821,83288,99826
"Constant 2018 Prices","CROPS",.,.,29194,30125,31241,34953,34204,36352,35046,35466,36733,36897,38113,39631,41007,41481,38727,40462,41668,39949,38826,39730,39511
"Constant 2018 Prices","..Palay",.,.,10703,11105,11589,11921,10896,11734,11682,11989,11711,13185,13113,13543,13917,14023,12314,14846,15441,14355,13676,14141,13809
"Constant 2018 Prices","..Corn",.,.,1966,2566,2906,3249,2975,3198,2646,2580,2843,2912,3076,3024,3251,3205,3769,3413,3769,2688,2458,2847,2629
"Constant 2018 Prices","..Coconut",.,.,7011,7075,7207,9178,9659,9899,9610,9777,9599,8729,9697,9772,9297,9426,8572,9528,9930,9790,9784,10091,10341
"Constant 2018 Prices","..Rubber",.,.,3562,3530,3463,3528,3685,4234,4202,3987,4139,4570,4568,4725,4635,4276,3977,3766,3809,3914,4008,4001,3932
"Constant 2018 Prices","..Mango",.,.,1247,1334,1513,1728,1788,1976,1761,1917,2454,2600,2681,3065,3631,3853,3810,2865,2595,2553,2445,2392,2382
"Constant 2018 Prices","..Banana",.,.,1867,1836,1955,2650,2597,2702,2772,2853,2881,2604,2628,2832,2995,3080,2850,2868,2834,2759,2798,2924,3020
"Constant 2018 Prices","..Cassava",.,.,128,142,141,145,149,157,165,164,166,164,162,283,417,440,454,488,469,454,474,485,490
"Constant 2018 Prices","..Sweet Potato",.,.,148,155,158,163,165,164,155,150,134,136,130,308,333,350,366,368,385,396,409,415,452
"Constant 2018 Prices","..Calamansi",.,.,63,65,65,115,123,119,131,126,127,137,141,155,227,222,222,241,218,207,219,215,223
"Constant 2018 Prices","..Ampalaya",.,.,57,83,90,93,89,84,85,86,86,85,86,115,168,166,164,161,166,167,169,171,174
"Constant 2018 Prices","..Tomato",.,.,31,30,35,37,41,41,42,42,41,42,43,71,135,139,139,138,141,140,140,145,147
"Constant 2018 Prices","..Eggplant",.,.,36,36,35,36,37,36,36,37,38,38,38,68,93,95,94,95,98,97,97,99,101
"Constant 2018 Prices","..Oil Palm (fresh fruit bunch)",.,.,..,..,..,..,..,..,..,..,..,..,..,..,0,0,10,70,72,72,72,102,120
"Constant 2018 Prices","..Squash",.,.,36,85,77,75,72,69,66,66,63,61,61,68,75,73,71,68,68,68,70,70,72
"Constant 2018 Prices","..Mangosteen",.,.,19,18,22,17,9,10,2,13,82,2,25,2,13,84,47,2,66,307,177,26,6
"Constant 2018 Prices","..Lanzones",.,.,159,48,52,108,40,138,5,9,575,2,2,4,92,292,239,15,99,335,222,40,27
"Constant 2018 Prices","..Papaya",.,.,66,64,65,71,70,68,68,67,66,64,64,61,65,72,68,70,70,68,69,72,75
"Constant 2018 Prices","..Kangkong",.,.,51,89,97,103,108,106,108,108,99,96,94,92,94,93,76,64,60,58,59,59,62
"Constant 2018 Prices","..Stringbeans",.,.,17,77,40,41,43,40,40,41,38,38,38,48,60,58,58,57,59,59,61,62,64
"Constant 2018 Prices","..Abaca",.,.,6,7,6,8,6,12,9,11,12,34,36,31,36,36,32,32,33,38,41,42,44
"Constant 2018 Prices","..Coffee",.,.,76,75,75,76,76,74,73,70,67,57,55,53,54,56,43,29,28,27,29,25,21
"Constant 2018 Prices","..Cacao",.,.,15,13,13,12,12,12,11,11,10,9,9,8,10,11,10,12,13,18,27,42,50
"Constant 2018 Prices","..Other Crops",.,.,1930,1694,1637,1600,1563,1479,1373,1363,1501,1334,1365,1303,1409,1433,1339,1265,1248,1378,1323,1261,1267
"Constant 2018 Prices","LIVESTOCK",.,.,13027,13388,13358,12984,12842,12591,12527,12494,12832,12367,11660,11375,11078,11212,10995,11248,11269,11212,11100,11304,12491
"Constant 2018 Prices","..Hog",.,.,9941,10242,10102,9867,9912,9641,9604,9773,10146,9645,9059,8870,8648,8771,8634,8866,8853,8859,8947,9184,10398
"Constant 2018 Prices","..Cattle",.,.,1738,1773,1796,1706,1747,1760,1760,1562,1552,1523,1446,1393,1345,1332,1233,1235,1252,1214,1084,1072,1061
"Constant 2018 Prices","..Carabao",.,.,749,779,872,815,614,617,600,598,610,677,656,640,634,647,667,701,722,710,668,687,686
"Constant 2018 Prices","..Goat",.,.,599,594,588,595,569,573,563,561,524,523,498,472,451,462,461,446,443,429,400,361,346
"Constant 2018 Prices","POULTRY",.,.,3951,4235,4249,4435,4262,4142,4283,4076,4027,4256,3844,3937,4030,4370,4681,5055,5451,6033,6073,6523,6138
"Constant 2018 Prices","..Chicken",.,.,2736,2994,2948,3110,2941,2801,2857,2664,2680,2969,2671,2809,2787,2927,3177,3365,3601,3837,3771,4175,3822
"Constant 2018 Prices","..Duck",.,.,157,160,165,147,137,107,86,83,58,41,33,33,38,39,39,37,34,38,37,43,50
"Constant 2018 Prices","..Chicken Eggs",.,.,897,911,960,1000,1027,1065,1182,1190,1172,1144,1041,978,1087,1275,1338,1511,1636,1959,2044,2121,2089
"Constant 2018 Prices","..Duck Eggs",.,.,160,169,175,177,157,169,158,140,118,101,99,118,120,129,127,142,179,199,221,184,177
"Constant 2018 Prices","FISHERIES",.,.,23282,25289,24550,25265,23888,27344,26065,28244,29203,23917,21899,21825,21388,21290,20534,18715,18412,19370,19704,19401,18858
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,1949,1777,2216,3205,2475,2176,2788,4909,4931,2928,3165,2994,3574,4018,3542,3135,3325,3382,4360,4297,3918
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,1296,1357,1321,1038,1203,1232,1324,1886,2349,2291,2269,2514,2567,2613,2956,2831,2621,2524,2315,2375,2399
"Constant 2018 Prices","..Seaweed",.,.,835,801,1222,1394,1667,1591,1753,1776,2037,2009,1944,1727,1627,1612,1524,1441,1552,1559,1599,1541,1348
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,2026,2112,1930,1763,1797,2059,1923,1629,1990,1649,1454,1354,1294,1392,1166,1102,1111,1141,1042,976,1026
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,1133,1369,1217,1515,974,1030,1147,1705,1656,972,899,925,1016,1053,973,730,812,817,826,767,760
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,3205,4122,3514,2759,2000,2821,1454,1756,1630,1285,1037,992,984,793,730,617,723,791,800,675,749
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,432,390,461,449,496,639,800,776,927,642,743,940,764,739,653,497,643,726,559,559,483
"Constant 2018 Prices","..Eastern little tuna (Bonito)",.,.,70,125,132,1230,1764,1383,1617,1345,553,520,553,649,662,629,595,653,582,530,471,453,412
"Constant 2018 Prices","..Milkfish (Bangus)",.,.,794,828,829,945,854,907,834,971,1015,968,1025,1019,869,813,759,711,575,537,519,658,474
"Constant 2018 Prices","..Grouper (Lapu-lapu)",.,.,77,168,170,237,206,197,209,272,323,299,348,385,359,366,361,297,294,339,317,340,310
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,341,343,360,273,276,339,390,335,441,324,355,375,354,388,351,347,291,318,416,420,468
