"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",.,.,18231,16987,20269,20221,18983,21047,25541,21170,25112,32937,27308,27254,33078,31136,34520,36376,34625,28167,30674,32962,33834
"Current Prices","..Palay",.,.,3398,3276,3763,3962,3684,4290,5903,5347,5470,5613,5753,6234,7611,6070,6390,6901,8124,5815,5990,6526,6394
"Current Prices","..Corn",.,.,257,251,458,529,494,673,700,615,663,817,799,1019,1003,856,1237,1213,1295,941,973,1052,1146
"Current Prices","..Coconut",.,.,4275,4917,6300,5993,4641,5809,8024,4949,7784,13018,6920,6943,10628,9244,11853,13408,9330,6626,9360,9730,10389
"Current Prices","..Sugarcane",.,.,1982,1620,1715,1800,2814,2896,3138,2159,3071,3913,3325,3025,2799,3460,3512,2845,3021,2106,1897,2459,3275
"Current Prices","..Pineapple",.,.,592,576,666,674,566,616,809,909,1166,1317,1385,1526,1940,2021,2220,2649,2828,2505,1921,1974,1882
"Current Prices","..Banana",.,.,901,922,996,1108,856,1171,868,883,930,1013,1073,1210,1478,1563,1667,1805,1745,1802,1964,1858,1721
"Current Prices","..Mango",.,.,1715,841,1414,1066,738,651,691,775,866,987,1383,984,1223,1348,1172,1218,1184,1509,1386,1863,1379
"Current Prices","..Eggplant",.,.,328,326,392,414,354,296,495,647,521,781,883,804,757,775,838,861,928,879,824,916,1066
"Current Prices","..Ampalaya",.,.,217,304,394,428,510,433,564,569,486,648,660,655,555,637,763,729,841,768,884,766,875
"Current Prices","..Sweet potato",.,.,276,266,294,294,437,430,366,318,334,383,461,448,473,451,508,570,571,666,683,801,764
"Current Prices","..Squash",.,.,182,354,412,430,439,391,436,471,403,543,522,450,469,479,494,512,563,547,494,787,737
"Current Prices","..Calamansi",.,.,315,280,208,343,379,271,266,331,330,415,382,354,307,343,345,322,461,426,362,415,489
"Current Prices","..Tomato",.,.,224,390,294,313,312,277,318,288,294,370,362,371,329,480,404,382,456,415,557,414,542
"Current Prices","..Cassava",.,.,317,285,309,317,261,305,284,249,229,260,278,272,300,315,271,250,403,431,497,463,422
"Current Prices","..Black Pepper",.,.,381,343,307,286,278,375,449,373,424,705,817,669,808,703,486,378,239,178,140,140,180
"Current Prices","..Chayote",.,.,40,60,90,78,110,116,129,178,155,148,148,169,161,172,166,118,219,169,129,163,108
"Current Prices","..Stringbeans",.,.,27,107,92,92,108,98,106,114,99,110,111,134,122,143,161,134,202,179,196,202,198
"Current Prices","..Coffee",.,.,224,300,309,306,284,324,376,302,300,245,336,207,202,99,113,92,96,68,63,62,78
