"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",.,.,24885,28958,36776,41950,45485,55046,64322,67923,74772,88401,80443,74788,87365,88525,94182,97856,97165,106161,129929,101621,99180
"Current Prices","..Palay",.,.,3614,3933,4429,4485,4716,4601,5564,6154,5752,6444,7300,7009,8857,8295,8075,8848,10399,8000,8151,8017,8344
"Current Prices","..Corn",.,.,1355,1550,2302,2371,3238,3413,3307,2707,2207,2672,2554,2894,3743,2846,2574,3229,3853,2995,3463,3746,4474
"Current Prices","..Banana, Cavendish",.,.,9062,10744,13739,17429,19770,25327,30512,35568,39986,43008,41716,38780,44065,47988,49377,49511,52444,64862,81723,52381,50425
"Current Prices","..Banana, Others*",.,.,2071,2555,2935,3295,3357,4209,4690,5830,6244,6551,6964,7782,7461,7642,8256,8223,8827,11594,14351,10047,8943
"Current Prices","..Coconut",.,.,4291,5296,7773,8628,7959,9933,12469,10257,12726,20477,13489,10718,15065,12846,15424,16653,10476,7611,10262,15086,13882
"Current Prices","..Durian",.,.,455,721,693,709,822,1360,1210,1290,1295,1720,1584,1672,1468,1951,2180,2612,2406,2280,2299,2371,2486
"Current Prices","..Mango",.,.,484,548,611,579,634,747,837,741,709,605,704,714,1334,1481,2022,2322,1941,1809,2109,1965,1972
"Current Prices","..Coffee",.,.,518,666,633,731,729,750,835,726,727,789,763,506,518,549,542,583,558,519,544,526,713
"Current Prices","..Sugarcane",.,.,561,519,532,366,689,812,733,632,473,982,785,743,595,415,571,638,710,475,472,553,725
"Current Prices","..Cacao",.,.,169,234,209,222,213,199,208,190,246,322,276,243,375,452,523,479,523,621,653,657,690
"Current Prices","..Abaca",.,.,103,129,241,256,249,272,357,348,357,287,292,217,262,323,399,476,475,480,503,526,523
"Current Prices","..Potato",.,.,151,153,193,201,265,302,355,363,396,445,380,366,385,360,518,447,468,480,492,508,571
"Current Prices","..Pomelo",.,.,214,217,211,257,306,287,292,315,296,351,383,406,383,429,504,420,441,494,571,564,617
"Current Prices","..Pineapple",.,.,78,118,150,167,83,110,112,118,115,161,204,199,221,218,236,331,371,369,483,492,443
"Current Prices","..Sweet Potato",.,.,80,102,103,103,99,101,124,134,153,156,157,174,167,210,260,254,281,295,338,303,355
"Current Prices","..Rubber",.,.,137,273,369,410,541,605,634,480,889,1187,795,308,280,219,215,331,276,295,260,332,320
"Current Prices","..Stringbeans",.,.,28,111,132,124,143,159,157,140,161,155,143,144,163,197,196,218,230,250,236,291,289
"Current Prices","..Eggplant",.,.,47,46,55,49,63,58,62,60,59,84,66,73,80,83,94,112,108,139,122,182,201
"Current Prices","..Cassava",.,.,35,40,42,48,58,57,63,63,70,71,77,83,93,98,145,132,147,141,206,164,170
"Current Prices","..Calamansi",.,.,58,44,49,59,87,70,91,105,91,113,105,95,82,83,96,111,127,136,135,177,201
"Current Prices","..Papaya",.,.,63,72,117,110,88,127,132,101,121,107,102,112,115,118,132,119,104,139,159,167,155
"Current Prices","..Mangosteen",.,.,7,5,11,21,10,5,8,10,20,11,11,9,9,14,14,11,21,18,21,21,23
"Current Prices","..Other Crops",.,.,1303,882,1245,1330,1366,1542,1573,1591,1678,1704,1594,1542,1644,1709,1831,1798,1976,2158,2376,2546,2659
"Current Prices","LIVESTOCK",.,.,6828,7084,9215,9508,9308,9746,10831,11698,13182,13866,13404,14403,15533,16316,16691,18787,20413,19674,20006,26015,30612
"Current Prices","..Hog",.,.,5580,5842,7774,8029,7833,8204,9120,9887,10991,11617,11133,11997,12977,13527,13818,15592,16863,15726,16127,21676,25425
"Current Prices","..Cattle",.,.,532,518,561,604,654,629,685,753,948,986,971,1044,1112,1179,1227,1404,1585,1756,1714,1989,2039
"Current Prices","..Carabao",.,.,318,317,359,364,360,426,471,487,616,605,673,763,814,930,966,1065,1192,1321,1125,1122,1762
"Current Prices","..Goat",.,.,398,406,522,511,462,488,555,571,626,658,626,599,630,678,680,727,773,871,1040,1228,1385
"Current Prices","POULTRY",.,.,6435,6679,7470,7744,7934,5741,6493,7391,7316,7868,8173,8524,9396,9787,10056,10051,10961,11925,11969,12629,14796
"Current Prices","..Chicken",.,.,5077,5207,5763,5903,5966,3676,4462,5240,5147,5463,5625,5985,6594,6868,6982,7082,7854,7896,7493,8759,10486
"Current Prices","..Duck",.,.,201,223,178,203,187,141,149,125,130,113,110,101,98,108,116,129,142,151,164,219,184
"Current Prices","..Chicken Eggs",.,.,1015,1108,1366,1434,1626,1801,1749,1919,1926,2165,2316,2337,2606,2687,2828,2710,2819,3727,4144,3469,3910
"Current Prices","..Duck Eggs",.,.,142,142,164,204,155,123,133,106,114,128,123,101,99,124,129,131,146,152,168,182,217
"Current Prices","FISHERIES",.,.,2255,2484,2921,3020,3217,4069,4726,4580,5110,4961,5764,6075,4560,4883,4752,5304,5166,5322,4993,6248,11848
"Current Prices","..Milkfish (Bangus)",.,.,500,495,773,556,604,1019,1426,1835,1932,1793,2228,2304,1578,1827,1535,1362,1604,1522,1709,2463,3400
